date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-08-04,2.4552,2.4552,2.277,2.277,1.6071,1852561.0,0.0,1.0
2011-08-05,2.1285,2.1681,1.9998,2.0592,1.4534,5960556.0,0.0,1.0
2011-08-08,2.0394,2.0988,1.9899,2.0691,1.4603,991238.0,0.0,1.0
2011-08-09,2.0592,2.0592,1.9008,2.0592,1.4534,839264.0,0.0,1.0
2011-08-10,2.1285,2.1582,2.0691,2.1186,1.4953,335200.0,0.0,1.0
2011-08-11,2.0691,2.0889,2.0295,2.0889,1.4743,372374.0,0.0,1.0
2011-08-12,2.0988,2.0988,2.0691,2.079,1.4673,285610.0,0.0,1.0
2011-08-15,2.079,2.1186,2.0691,2.1186,1.4953,169460.0,0.0,1.0
2011-08-16,2.0889,2.0889,2.0394,2.0691,1.4603,195282.0,0.0,1.0
2011-08-17,2.0691,2.0988,2.0691,2.0988,1.4813,317851.0,0.0,1.0
2011-08-18,2.1087,2.1087,2.0592,2.0691,1.4603,81160.0,0.0,1.0
2011-08-19,2.079,2.0889,2.0493,2.079,1.4673,57787.0,0.0,1.0
2011-08-22,2.0295,2.079,2.0295,2.0691,1.4603,69152.0,0.0,1.0
2011-08-23,2.0691,2.0691,2.0493,2.0493,1.4464,18149.0,0.0,1.0
2011-08-24,2.0493,2.0493,2.0394,2.0394,1.4394,33522.0,0.0,1.0
2011-08-25,2.0295,2.0295,2.0097,2.0295,1.4324,208680.0,0.0,1.0
2011-08-26,2.0295,2.0295,2.0196,2.0196,1.4254,826482.0,0.0,1.0
2011-08-29,2.0394,2.0691,2.0196,2.0295,1.4324,49549.0,0.0,1.0
2011-08-30,2.0394,2.0493,2.0394,2.0493,1.4464,71717.0,0.0,1.0
2011-08-31,2.0493,2.0592,2.0295,2.0592,1.4534,217019.0,0.0,1.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-09-02,2.0592,2.0592,1.9899,2.0196,1.4254,50050.0,0.0,1.0
2011-09-05,1.9998,2.0295,1.9899,2.0196,1.4254,207659.0,0.0,1.0
2011-09-06,1.9899,1.9899,1.9305,1.9305,1.3625,1352834.0,0.0,1.0
2011-09-07,1.9305,1.9305,1.9206,1.9305,1.3625,229509.0,0.0,1.0
2011-09-08,1.9701,1.98,1.9701,1.9701,1.3905,44444.0,0.0,1.0
2011-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-09-12,1.9305,1.9701,1.9305,1.9701,1.3905,84848.0,0.0,1.0
2011-09-13,1.9701,2.0394,1.9701,2.0097,1.4184,860781.0,0.0,1.0
2011-09-14,2.0394,2.079,2.0097,2.0097,1.4184,343348.0,0.0,1.0
2011-09-15,2.0691,2.0691,1.9998,2.0493,1.4464,125649.0,0.0,1.0
2011-09-16,2.0592,2.079,2.0493,2.0691,1.4603,64254.0,0.0,1.0
