date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-12-18,1.25,1.42,1.25,1.41,1.2944,712188.0,0.0,1.0
2015-12-21,1.7,2.2,1.7,1.94,1.781,1041453.0,0.0,1.0
2015-12-22,1.98,2.0,1.75,1.85,1.6984,666062.0,0.0,1.0
2015-12-23,1.85,1.9,1.8,1.84,1.6892,158717.0,0.0,1.0
2015-12-24,1.85,1.89,1.8,1.87,1.7167,101033.0,0.0,1.0
2015-12-28,1.87,1.87,1.87,1.87,1.7167,0.0,0.0,1.0
2015-12-29,1.85,1.85,1.815,1.85,1.6984,161823.0,0.0,1.0
2015-12-30,1.85,1.85,1.76,1.79,1.6433,95272.0,0.0,1.0
2015-12-31,1.76,1.79,1.76,1.79,1.6433,26500.0,0.0,1.0
2016-01-04,1.78,1.8,1.76,1.8,1.6525,1546600.0,0.0,1.0
2016-01-05,1.78,1.78,1.76,1.78,1.6341,49088.0,0.0,1.0
2016-01-06,1.85,1.96,1.85,1.885,1.7305,396451.0,0.0,1.0
2016-01-07,1.905,1.95,1.885,1.9,1.7443,111593.0,0.0,1.0
2016-01-08,1.9,1.9,1.82,1.87,1.7167,217178.0,0.0,1.0
2016-01-11,1.87,1.92,1.845,1.89,1.7351,227017.0,0.0,1.0
2016-01-12,1.91,1.915,1.88,1.89,1.7351,247567.0,0.0,1.0
2016-01-13,1.9,1.92,1.88,1.88,1.7259,405554.0,0.0,1.0
2016-01-14,1.88,1.885,1.85,1.87,1.7167,296708.0,0.0,1.0
2016-01-15,1.9,1.9,1.85,1.855,1.7029,180603.0,0.0,1.0
2016-01-18,1.855,1.86,1.83,1.84,1.6892,261977.0,0.0,1.0
2016-01-19,1.83,1.86,1.81,1.81,1.6616,215109.0,0.0,1.0
2016-01-20,1.88,1.89,1.81,1.82,1.6708,719055.0,0.0,1.0
2016-01-21,1.815,1.855,1.805,1.85,1.6984,90766.0,0.0,1.0
2016-01-22,1.9,1.91,1.86,1.89,1.7351,137971.0,0.0,1.0
2016-01-25,1.88,1.9,1.86,1.9,1.7443,337750.0,0.0,1.0
2016-01-27,1.9,1.99,1.89,1.95,1.7902,270819.0,0.0,1.0
2016-01-28,1.98,1.99,1.875,1.89,1.7351,231633.0,0.0,1.0
2016-01-29,1.9,1.9,1.86,1.9,1.7443,120435.0,0.0,1.0
2016-02-01,1.9,1.99,1.9,1.94,1.781,47392.0,0.0,1.0
2016-02-02,1.93,1.94,1.91,1.91,1.7534,121545.0,0.0,1.0
2016-02-03,1.91,1.95,1.885,1.905,1.7488,78082.0,0.0,1.0
2016-02-04,1.9,1.95,1.9,1.91,1.7534,553329.0,0.0,1.0
2016-02-05,1.95,1.95,1.9,1.915,1.758,901664.0,0.0,1.0
2016-02-08,1.93,1.93,1.89,1.925,1.7672,138983.0,0.0,1.0
2016-02-09,1.95,1.99,1.92,1.95,1.7902,367520.0,0.0,1.0
2016-02-10,1.99,2.05,1.98,2.0,1.8361,1911097.0,0.0,1.0
2016-02-11,2.04,2.04,1.97,2.01,1.8452,339887.0,0.0,1.0
2016-02-12,2.03,2.06,1.99,2.0,1.8452,1430385.0,0.0,1.0
2016-02-15,2.01,2.13,2.01,2.06,1.9006,2133363.0,0.0,1.0
2016-02-16,2.06,2.24,2.06,2.2,2.0298,1310729.0,0.0,1.0
2016-02-17,2.25,2.35,2.25,2.28,2.1036,266980.0,0.0,1.0
2016-02-18,2.3,2.32,2.23,2.24,2.0667,232713.0,0.0,1.0
2016-02-19,2.25,2.25,2.2,2.23,2.0574,98842.0,0.0,1.0
2016-02-22,2.24,2.24,2.16,2.21,2.039,134890.0,0.0,1.0
2016-02-23,2.22,2.22,2.16,2.2,2.0298,64491.0,0.0,1.0
2016-02-24,2.2,2.2,2.17,2.19,2.0205,84895.0,0.0,1.0
2016-02-25,2.19,2.19,2.16,2.17,2.0021,58514.0,0.0,1.0
2016-02-26,2.15,2.15,2.01,2.06,1.9006,255380.0,0.0,1.0
2016-02-29,2.05,2.06,1.86,1.88,1.7345,238615.0,0.0,1.0
2016-03-01,1.9,2.03,1.9,1.97,1.8176,625500.0,0.0,1.0
2016-03-02,2.01,2.08,1.99,2.0,1.8452,618300.0,0.0,1.0
2016-03-03,2.0,2.05,1.99,2.0,1.8452,252734.0,0.0,1.0
2016-03-04,2.01,2.04,2.01,2.03,1.8729,359130.0,0.0,1.0
2016-03-07,2.04,2.04,1.99,1.99,1.836,631285.0,0.0,1.0
2016-03-08,1.98,1.98,1.88,1.895,1.7484,206452.0,0.0,1.0
2016-03-09,1.91,1.94,1.91,1.94,1.7899,134432.0,0.0,1.0
2016-03-10,1.94,1.94,1.86,1.86,1.7161,889863.0,0.0,1.0
2016-03-11,1.91,1.97,1.9,1.95,1.7991,92919.0,0.0,1.0
2016-03-14,1.97,1.99,1.935,1.97,1.8176,53258.0,0.0,1.0
2016-03-15,1.985,1.985,1.95,1.95,1.7991,40785.0,0.0,1.0
2016-03-16,1.95,1.95,1.93,1.95,1.7991,37054.0,0.0,1.0
2016-03-17,1.94,1.98,1.91,1.96,1.8083,87285.0,0.0,1.0
2016-03-18,1.97,2.0,1.97,2.0,1.8452,47491.0,0.0,1.0
2016-03-21,2.0,2.01,1.96,1.96,1.8083,51097.0,0.0,1.0
2016-03-22,1.96,2.0,1.96,1.97,1.8176,46913.0,0.0,1.0
2016-03-23,1.98,1.98,1.95,1.98,1.8268,27998.0,0.0,1.0
2016-03-24,1.96,2.06,1.95,2.02,1.8637,157740.0,0.0,1.0
2016-03-29,2.05,2.12,2.04,2.12,1.956,591461.0,0.0,1.0
2016-03-30,2.14,2.29,2.14,2.29,2.1128,335466.0,0.0,1.0
2016-03-31,2.29,2.34,2.27,2.33,2.1497,749713.0,0.0,1.0
2016-04-01,2.32,2.44,2.31,2.44,2.2512,144253.0,0.0,1.0
2016-04-04,2.49,2.5,2.42,2.46,2.2696,149251.0,0.0,1.0
2016-04-05,2.45,2.45,2.26,2.31,2.1313,125390.0,0.0,1.0
2016-04-06,2.35,2.39,2.31,2.38,2.1958,288209.0,0.0,1.0
2016-04-07,2.38,2.43,2.38,2.41,2.2235,538943.0,0.0,1.0
2016-04-08,2.41,2.48,2.41,2.45,2.2604,341062.0,0.0,1.0
2016-04-11,2.45,2.45,2.4,2.45,2.2604,96879.0,0.0,1.0
2016-04-12,2.47,2.47,2.42,2.44,2.2512,87121.0,0.0,1.0
2016-04-13,2.45,2.45,2.44,2.44,2.2512,113428.0,0.0,1.0
2016-04-14,2.45,2.46,2.4,2.42,2.2327,128159.0,0.0,1.0
2016-04-15,2.45,2.47,2.42,2.45,2.2604,57468.0,0.0,1.0
2016-04-18,2.45,2.47,2.44,2.44,2.2512,61989.0,0.0,1.0
2016-04-19,2.44,2.47,2.43,2.46,2.2696,81618.0,0.0,1.0
2016-04-20,2.46,2.47,2.45,2.46,2.2696,41307.0,0.0,1.0
2016-04-21,2.46,2.46,2.4,2.46,2.2789,22450.0,0.0,1.0
2016-04-22,2.45,2.46,2.43,2.43,2.2511,30418.0,0.0,1.0
2016-04-26,2.43,2.46,2.41,2.46,2.2789,26457.0,0.0,1.0
2016-04-27,2.45,2.46,2.44,2.45,2.2696,111534.0,0.0,1.0
2016-04-28,2.45,2.48,2.44,2.48,2.2974,164899.0,0.0,1.0
2016-04-29,2.48,2.58,2.43,2.5,2.316,94173.0,0.0,1.0
2016-05-02,2.48,2.58,2.46,2.58,2.3901,415537.0,0.0,1.0
2016-05-03,2.64,2.64,2.5,2.55,2.3623,125667.0,0.0,1.0
2016-05-04,2.55,2.6,2.54,2.6,2.4086,70777.0,0.0,1.0
2016-05-05,2.6,2.6,2.58,2.6,2.4086,153104.0,0.0,1.0
2016-05-06,2.6,2.61,2.55,2.57,2.3808,79162.0,0.0,1.0
2016-05-09,2.58,2.6,2.56,2.59,2.3993,43292.0,0.0,1.0
2016-05-10,2.58,2.59,2.55,2.58,2.3901,175986.0,0.0,1.0
2016-05-11,2.59,3.0,2.59,2.86,2.6495,777809.0,0.0,1.0
2016-05-12,2.91,3.06,2.91,3.05,2.8255,1295772.0,0.0,1.0
2016-05-13,3.06,3.06,3.02,3.02,2.7977,1316551.0,0.0,1.0
2016-05-16,3.04,3.05,2.96,2.96,2.7421,291299.0,0.0,1.0
2016-05-17,2.98,3.0,2.95,2.95,2.7328,309768.0,0.0,1.0
2016-05-18,2.96,2.96,2.9,2.92,2.705,161486.0,0.0,1.0
2016-05-19,2.95,2.95,2.73,2.78,2.5753,432472.0,0.0,1.0
2016-05-20,2.79,2.8,2.68,2.72,2.5198,275530.0,0.0,1.0
2016-05-23,2.8,2.95,2.78,2.88,2.668,164144.0,0.0,1.0
2016-05-24,2.91,2.94,2.88,2.9,2.6865,127027.0,0.0,1.0
2016-05-25,2.9,2.9,2.85,2.9,2.6865,377061.0,0.0,1.0
2016-05-26,2.9,2.92,2.87,2.88,2.668,138216.0,0.0,1.0
2016-05-27,2.87,2.9,2.81,2.82,2.6124,139949.0,0.0,1.0
2016-05-30,2.8,2.9,2.8,2.85,2.6402,84648.0,0.0,1.0
2016-05-31,2.84,2.86,2.8,2.86,2.6495,690667.0,0.0,1.0
2016-06-01,2.89,2.93,2.87,2.93,2.7143,122737.0,0.0,1.0
2016-06-02,2.95,2.99,2.92,2.95,2.7328,116786.0,0.0,1.0
2016-06-03,2.95,2.95,2.86,2.93,2.7143,104561.0,0.0,1.0
2016-06-06,2.95,2.99,2.93,2.94,2.7236,101691.0,0.0,1.0
2016-06-07,2.94,2.98,2.92,2.96,2.7421,218739.0,0.0,1.0
2016-06-08,2.96,3.08,2.96,3.06,2.8347,599016.0,0.0,1.0
2016-06-09,3.12,3.225,3.12,3.15,2.9181,616888.0,0.0,1.0
2016-06-10,3.17,3.22,3.14,3.17,2.9366,169879.0,0.0,1.0
2016-06-14,3.17,3.27,3.16,3.22,2.983,206886.0,0.0,1.0
2016-06-15,3.22,3.26,3.22,3.26,3.02,169363.0,0.0,1.0
2016-06-16,3.27,3.36,3.26,3.3,3.0571,179205.0,0.0,1.0
2016-06-17,3.3,3.3,3.22,3.24,3.0015,168803.0,0.0,1.0
2016-06-20,3.25,3.27,3.19,3.19,2.9552,90164.0,0.0,1.0
2016-06-21,3.24,3.44,3.23,3.36,3.1127,155515.0,0.0,1.0
2016-06-22,3.39,3.4,3.32,3.36,3.1127,174942.0,0.0,1.0
2016-06-23,3.36,3.41,3.32,3.39,3.1404,115169.0,0.0,1.0
2016-06-24,3.39,3.4,3.14,3.23,2.9922,331193.0,0.0,1.0
2016-06-27,3.37,3.38,3.23,3.28,3.0385,148416.0,0.0,1.0
2016-06-28,3.3,3.31,3.24,3.27,3.0293,40429.0,0.0,1.0
2016-06-29,3.3,3.35,3.25,3.28,3.0385,103038.0,0.0,1.0
2016-06-30,3.29,3.32,3.23,3.3,3.0571,66637.0,0.0,1.0
2016-07-01,3.32,3.35,3.25,3.32,3.0756,121053.0,0.0,1.0
2016-07-04,3.32,3.46,3.32,3.42,3.1682,110489.0,0.0,1.0
2016-07-05,3.45,3.53,3.43,3.49,3.2331,154538.0,0.0,1.0
2016-07-06,3.5,3.5,3.38,3.39,3.1404,106910.0,0.0,1.0
2016-07-07,3.4,3.42,3.32,3.35,3.1034,113485.0,0.0,1.0
2016-07-08,3.35,3.35,3.28,3.31,3.0663,33769.0,0.0,1.0
2016-07-11,3.33,3.39,3.31,3.36,3.1127,294249.0,0.0,1.0
2016-07-12,3.45,3.5,3.32,3.4,3.1497,329287.0,0.0,1.0
2016-07-13,3.42,3.44,3.38,3.4,3.1497,171625.0,0.0,1.0
2016-07-14,3.42,3.48,3.38,3.48,3.2238,183726.0,0.0,1.0
2016-07-15,3.48,3.49,3.43,3.46,3.2053,63507.0,0.0,1.0
2016-07-18,3.48,3.495,3.47,3.48,3.2238,322891.0,0.0,1.0
2016-07-19,3.48,3.48,3.44,3.47,3.2146,60323.0,0.0,1.0
2016-07-20,3.47,3.48,3.44,3.47,3.2146,152680.0,0.0,1.0
2016-07-21,3.47,3.48,3.41,3.42,3.1682,224334.0,0.0,1.0
2016-07-22,3.435,3.435,3.27,3.32,3.0846,98453.0,0.0,1.0
2016-07-25,3.36,3.38,3.31,3.35,3.1125,89077.0,0.0,1.0
2016-07-26,3.35,3.36,3.26,3.3,3.066,104864.0,0.0,1.0
2016-07-27,3.305,3.37,3.3,3.35,3.1125,197867.0,0.0,1.0
2016-07-28,3.36,3.36,3.34,3.35,3.1125,96230.0,0.0,1.0
2016-07-29,3.36,3.36,3.29,3.3,3.066,108653.0,0.0,1.0
2016-08-01,3.3,3.33,3.2,3.27,3.0382,130483.0,0.0,1.0
2016-08-02,3.3,3.36,3.27,3.3,3.066,140187.0,0.0,1.0
2016-08-03,3.36,3.36,3.25,3.27,3.0382,1346403.0,0.0,1.0
2016-08-04,3.29,3.29,3.03,3.23,3.001,303574.0,0.0,1.0
2016-08-05,3.24,3.25,3.17,3.19,2.9638,151140.0,0.0,1.0
2016-08-08,3.19,3.2,3.12,3.13,2.9081,177349.0,0.0,1.0
2016-08-09,3.12,3.15,3.105,3.13,2.9081,291922.0,0.0,1.0
2016-08-10,3.14,3.16,3.13,3.15,2.9267,244885.0,0.0,1.0
2016-08-11,3.2,3.22,3.16,3.19,2.9638,161593.0,0.0,1.0
2016-08-12,3.22,3.28,3.2,3.22,2.9917,284428.0,0.0,1.0
2016-08-15,3.24,3.25,3.19,3.21,2.9824,225963.0,0.0,1.0
2016-08-16,3.28,3.39,3.25,3.32,3.0846,863802.0,0.0,1.0
2016-08-17,3.35,3.58,3.35,3.48,3.2333,6200604.0,0.0,1.0
2016-08-18,3.51,3.55,3.46,3.49,3.2426,952106.0,0.0,1.0
2016-08-19,3.51,3.52,3.47,3.5,3.2519,727181.0,0.0,1.0
2016-08-22,3.51,3.52,3.47,3.48,3.2333,380547.0,0.0,1.0
2016-08-23,3.48,3.52,3.45,3.5,3.2519,153359.0,0.0,1.0
2016-08-24,3.51,3.65,3.49,3.58,3.3262,369544.0,0.0,1.0
2016-08-25,3.57,3.6,3.49,3.52,3.2704,296060.0,0.0,1.0
2016-08-26,3.52,3.53,3.46,3.48,3.2333,341315.0,0.0,1.0
2016-08-29,3.52,3.57,3.48,3.52,3.2704,153353.0,0.0,1.0
2016-08-30,3.52,3.52,3.48,3.51,3.2611,102257.0,0.0,1.0
2016-08-31,3.51,3.54,3.49,3.51,3.2611,373308.0,0.0,1.0
2016-09-01,3.55,3.55,3.5,3.53,3.2797,120292.0,0.0,1.0
2016-09-02,3.55,3.55,3.52,3.53,3.2797,407537.0,0.0,1.0
2016-09-05,3.53,3.59,3.525,3.57,3.3169,528373.0,0.0,1.0
2016-09-06,3.59,3.77,3.58,3.75,3.4841,718543.0,0.0,1.0
2016-09-07,3.8,3.85,3.79,3.84,3.5678,389558.0,0.0,1.0
2016-09-08,3.85,4.0,3.845,3.98,3.6978,569360.0,0.0,1.0
2016-09-09,4.0,4.09,3.96,4.0,3.7164,649680.0,0.0,1.0
2016-09-12,3.93,3.93,3.86,3.91,3.6328,160835.0,0.0,1.0
2016-09-13,4.0,4.14,3.99,4.1,3.8093,586597.0,0.0,1.0
2016-09-14,4.14,4.18,4.1,4.15,3.8558,1317044.0,0.0,1.0
