date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-10-03,1.0,1.0,1.0,1.0,0.3712,0.0,0.0,1.0
2000-10-04,1.37,1.46,1.37,1.45,0.5383,5391018.0,0.0,1.0
2000-10-05,1.44,1.55,1.43,1.55,0.5754,889202.0,0.0,1.0
2000-10-06,1.6,1.67,1.6,1.6,0.594,1240093.0,0.0,1.0
2000-10-09,1.58,1.58,1.55,1.58,0.5866,325235.0,0.0,1.0
2000-10-10,1.58,1.58,1.54,1.55,0.5754,482350.0,0.0,1.0
2000-10-11,1.55,1.66,1.55,1.62,0.6014,181700.0,0.0,1.0
2000-10-12,1.68,1.8,1.66,1.8,0.6682,270400.0,0.0,1.0
2000-10-13,1.8,1.84,1.75,1.84,0.6831,111150.0,0.0,1.0
2000-10-16,1.86,1.9,1.85,1.85,0.6868,742587.0,0.0,1.0
2000-10-17,1.85,1.85,1.75,1.8,0.6682,98503.0,0.0,1.0
2000-10-18,1.78,1.78,1.75,1.76,0.6534,613091.0,0.0,1.0
2000-10-19,1.75,1.75,1.74,1.74,0.646,63837.0,0.0,1.0
2000-10-20,1.78,1.8,1.75,1.8,0.6682,158728.0,0.0,1.0
2000-10-23,1.8,1.8,1.74,1.76,0.6534,195468.0,0.0,1.0
2000-10-24,1.75,1.76,1.75,1.75,0.6497,96937.0,0.0,1.0
2000-10-25,1.75,1.76,1.65,1.69,0.6274,135179.0,0.0,1.0
2000-10-26,1.66,1.73,1.65,1.7,0.6311,139627.0,0.0,1.0
2000-10-27,1.74,1.81,1.74,1.81,0.6719,90779.0,0.0,1.0
2000-10-30,1.858,1.858,1.83,1.84,0.6831,43900.0,0.0,1.0
2000-10-31,1.845,1.88,1.84,1.85,0.6868,121274.0,0.0,1.0
2000-11-01,1.84,1.84,1.76,1.76,0.6534,44818.0,0.0,1.0
2000-11-02,1.76,1.79,1.76,1.78,0.6608,37150.0,0.0,1.0
2000-11-03,1.78,1.79,1.76,1.76,0.6534,62520.0,0.0,1.0
2000-11-06,1.76,1.76,1.75,1.75,0.6497,48630.0,0.0,1.0
