date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-11-08,3.9419,3.9518,3.8928,3.8928,3.224,2315350.0,0.0,1.0
2016-11-09,3.9026,3.9124,3.7552,3.9026,3.2321,4723475.0,0.0,1.0
2016-11-10,3.9026,3.9223,3.8141,3.824,3.167,1321802.0,0.0,1.0
2016-11-11,3.8338,3.8338,3.7355,3.7748,3.1263,901697.0,0.0,1.0
2016-11-14,3.7748,3.7945,3.7552,3.7945,3.1426,339059.0,0.0,1.0
2016-11-15,3.7945,3.7945,3.7355,3.7748,3.1263,538558.0,0.0,1.0
2016-11-16,3.7945,3.7945,3.6667,3.6962,3.0612,422531.0,0.0,1.0
2016-11-17,3.6864,3.7355,3.5389,3.5684,2.9553,406831.0,0.0,1.0
2016-11-18,3.5782,3.6569,3.5782,3.6372,3.0123,546273.0,0.0,1.0
2016-11-21,3.6372,3.6765,3.588,3.6077,2.9879,361452.0,0.0,1.0
2016-11-22,3.6274,3.6372,3.5979,3.6077,2.9879,282833.0,0.0,1.0
2016-11-23,3.5979,3.706,3.5979,3.6175,2.996,242086.0,0.0,1.0
2016-11-24,3.6175,3.6372,3.6077,3.6077,2.9879,256080.0,0.0,1.0
2016-11-25,3.6274,3.6372,3.6175,3.6175,2.996,312817.0,0.0,1.0
2016-11-28,3.6372,3.647,3.6175,3.6175,2.996,304323.0,0.0,1.0
2016-11-29,3.6372,3.7355,3.6274,3.6372,3.0123,86787.0,0.0,1.0
2016-11-30,3.6569,3.8043,3.6569,3.7355,3.0937,93633.0,0.0,1.0
2016-12-01,3.7847,3.7847,3.6962,3.765,3.1182,123771.0,0.0,1.0
2016-12-02,3.7847,3.7847,3.7257,3.7453,3.1019,148879.0,0.0,1.0
2016-12-05,3.7355,3.8141,3.7355,3.7847,3.1344,111501.0,0.0,1.0
2016-12-06,3.8092,3.8633,3.7847,3.8436,3.1833,194185.0,0.0,1.0
2016-12-07,3.8338,3.8633,3.8043,3.8535,3.1914,76494.0,0.0,1.0
2016-12-08,3.824,3.8928,3.824,3.883,3.2158,184384.0,0.0,1.0
2016-12-09,3.8633,3.8928,3.8338,3.8633,3.1996,176249.0,0.0,1.0
2016-12-12,3.8535,3.8731,3.8338,3.8338,3.1751,72556.0,0.0,1.0
2016-12-13,3.8338,3.8436,3.824,3.8338,3.1751,388353.0,0.0,1.0
2016-12-14,3.824,3.8535,3.8043,3.8338,3.1751,343653.0,0.0,1.0
2016-12-15,3.8141,3.8633,3.8043,3.8633,3.1996,270389.0,0.0,1.0
2016-12-16,3.8633,3.9911,3.824,3.9911,3.3054,1345167.0,0.0,1.0
2016-12-19,3.9714,3.9714,3.8535,3.9321,3.2566,179167.0,0.0,1.0
2016-12-20,3.9223,3.9223,3.8338,3.9026,3.2321,141746.0,0.0,1.0
2016-12-21,3.9026,3.9419,3.8928,3.9124,3.2403,539385.0,0.0,1.0
2016-12-22,3.9223,3.9321,3.883,3.9321,3.2566,297525.0,0.0,1.0
2016-12-23,3.9321,3.9321,3.9124,3.9321,3.2566,265496.0,0.0,1.0
2016-12-28,3.9321,3.9419,3.9124,3.9419,3.2647,102553.0,0.0,1.0
