date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-12-10,2.0543,2.0543,2.0347,2.0543,1.4246,327399.0,0.0,1.0
2014-12-11,2.0347,2.0543,2.0347,2.0347,1.4111,31178.0,0.0,1.0
2014-12-12,2.0347,2.0347,2.0347,2.0347,1.4111,10727.0,0.0,1.0
2014-12-15,2.0347,2.0347,2.0054,2.025,1.4043,232268.0,0.0,1.0
2014-12-16,2.0347,2.0347,2.0152,2.0152,1.3975,205501.0,0.0,1.0
2014-12-17,2.0152,2.025,2.0152,2.0152,1.3975,28769.0,0.0,1.0
2014-12-18,2.0347,2.0543,2.0347,2.0543,1.4246,343291.0,0.0,1.0
2014-12-19,2.0641,2.0641,2.0445,2.0641,1.4314,126022.0,0.0,1.0
2014-12-22,2.0445,2.0641,2.0347,2.0641,1.4314,35475.0,0.0,1.0
2014-12-23,2.0543,2.0543,2.0543,2.0543,1.4246,18128.0,0.0,1.0
2014-12-24,2.0543,2.0543,2.0543,2.0543,1.4246,36.0,0.0,1.0
2014-12-29,2.0739,2.0739,2.0543,2.0543,1.4246,5912.0,0.0,1.0
2014-12-30,2.0543,2.0543,2.0543,2.0543,1.4246,0.0,0.0,1.0
2014-12-31,2.0543,2.0543,2.0543,2.0543,1.4246,0.0,0.0,1.0
2015-01-02,2.0739,2.0739,2.0445,2.0445,1.4179,9711.0,0.0,1.0
2015-01-05,2.0641,2.0641,2.0543,2.0543,1.4246,30156.0,0.0,1.0
2015-01-06,2.0739,2.0739,2.0739,2.0739,1.4382,20445.0,0.0,1.0
2015-01-07,2.0739,2.0739,2.0739,2.0739,1.4382,28367.0,0.0,1.0
2015-01-08,2.0739,2.0739,2.0739,2.0739,1.4382,0.0,0.0,1.0
2015-01-09,2.0739,2.0739,2.0739,2.0739,1.4382,161870.0,0.0,1.0
2015-01-12,2.0739,2.0739,2.0739,2.0739,1.4382,7598.0,0.0,1.0
2015-01-13,2.0543,2.0543,2.0445,2.0445,1.4179,26485.0,0.0,1.0
2015-01-14,2.0543,2.0739,2.0543,2.0739,1.4382,4856.0,0.0,1.0
2015-01-15,2.0445,2.0445,2.0445,2.0445,1.4179,2556.0,0.0,1.0
2015-01-16,2.0543,2.0739,2.0543,2.0543,1.4246,56417.0,0.0,1.0
2015-01-19,2.0543,2.0739,2.0543,2.0739,1.4382,119678.0,0.0,1.0
2015-01-20,2.0739,2.0739,2.0641,2.0641,1.4314,18400.0,0.0,1.0
2015-01-21,2.0641,2.0739,2.0543,2.0543,1.4246,86379.0,0.0,1.0
2015-01-22,2.0543,2.0543,2.0543,2.0543,1.4246,0.0,0.0,1.0
2015-01-23,2.0837,2.0837,2.0837,2.0837,1.445,11954.0,0.0,1.0
2015-01-27,2.0837,2.0934,2.0837,2.0837,1.445,45291.0,0.0,1.0
2015-01-28,2.0934,2.0934,2.0934,2.0934,1.4518,165603.0,0.0,1.0
2015-01-29,2.0934,2.1032,2.0934,2.1032,1.4586,16356.0,0.0,1.0
2015-01-30,2.1228,2.1326,2.1228,2.1228,1.4721,23006.0,0.0,1.0
2015-02-02,2.1521,2.1521,2.1521,2.1521,1.4925,40890.0,0.0,1.0
2015-02-03,2.1815,2.1815,2.1619,2.1619,1.4993,15601.0,0.0,1.0
2015-02-04,2.1619,2.1717,2.1521,2.1717,1.5061,41134.0,0.0,1.0
2015-02-05,2.1717,2.1815,2.1521,2.1521,1.4925,24066.0,0.0,1.0
2015-02-06,2.1619,2.1619,2.1619,2.1619,1.4993,7156.0,0.0,1.0
2015-02-09,2.1619,2.1815,2.1619,2.1815,1.5128,18819.0,0.0,1.0
2015-02-10,2.201,2.201,2.201,2.201,1.5264,1022.0,0.0,1.0
2015-02-11,2.1815,2.1815,2.1619,2.1619,1.4993,5298.0,0.0,1.0
2015-02-12,2.1717,2.1717,2.1619,2.1619,1.4993,35372.0,0.0,1.0
2015-02-13,2.1913,2.201,2.1913,2.201,1.5264,8033.0,0.0,1.0
2015-02-16,2.338,2.338,2.3184,2.3184,1.6078,5537.0,0.0,1.0
2015-02-17,2.3087,2.338,2.3087,2.3087,1.601,33478.0,0.0,1.0
2015-02-18,2.2793,2.2793,2.25,2.2695,1.5739,35012.0,0.0,1.0
2015-02-19,2.2793,2.3087,2.2793,2.2891,1.5875,5396.0,0.0,1.0
2015-02-20,2.2793,2.2793,2.2793,2.2793,1.5807,15436.0,0.0,1.0
2015-02-23,2.2793,2.2793,2.2597,2.2793,1.5807,34610.0,0.0,1.0
2015-02-24,2.2597,2.2597,2.25,2.25,1.5603,19811.0,0.0,1.0
2015-02-25,2.25,2.25,2.201,2.25,1.5603,19850.0,0.0,1.0
2015-02-26,2.2108,2.2108,2.1913,2.1913,1.5196,76288.0,0.0,1.0
2015-02-27,2.201,2.2108,2.1913,2.1913,1.5196,28784.0,0.0,1.0
2015-03-02,2.1913,2.25,2.1913,2.25,1.5603,37612.0,0.0,1.0
2015-03-03,2.2304,2.2304,2.201,2.201,1.5264,11111.0,0.0,1.0
2015-03-04,2.201,2.201,2.201,2.201,1.5264,17012.0,0.0,1.0
