date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-03-26,1.5579,1.8111,1.5579,1.7527,0.6497,82503.0,0.0,1.0
2002-03-27,1.85,1.9474,1.85,1.8987,0.7038,74882.0,0.0,1.0
2002-03-28,1.9474,1.9474,1.8987,1.8987,0.7038,67638.0,0.0,1.0
2002-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-02,1.9377,1.9377,1.8306,1.8306,0.6786,39916.0,0.0,1.0
2002-04-03,1.8111,1.85,1.8014,1.8014,0.6677,166061.0,0.0,1.0
2002-04-04,1.85,1.85,1.8111,1.8111,0.6714,221523.0,0.0,1.0
2002-04-05,1.85,1.85,1.7819,1.7819,0.6605,57298.0,0.0,1.0
2002-04-08,1.7916,1.8208,1.7916,1.8014,0.6677,18078.0,0.0,1.0
2002-04-09,1.8014,1.8014,1.8014,1.8014,0.6677,12692.0,0.0,1.0
2002-04-10,1.8014,1.8014,1.7916,1.7916,0.6641,13714.0,0.0,1.0
2002-04-11,1.8111,1.8111,1.7916,1.8111,0.6714,98413.0,0.0,1.0
2002-04-12,1.8111,1.85,1.7819,1.8111,0.6714,59127.0,0.0,1.0
2002-04-15,1.8111,1.8403,1.8014,1.8403,0.6822,24444.0,0.0,1.0
2002-04-16,1.8306,1.85,1.8306,1.85,0.6858,8408.0,0.0,1.0
2002-04-17,1.8695,1.8987,1.8695,1.8987,0.7038,3503.0,0.0,1.0
2002-04-18,1.889,1.9474,1.8695,1.8695,0.693,16733.0,0.0,1.0
2002-04-19,1.8695,1.8695,1.8695,1.8695,0.693,6316.0,0.0,1.0
2002-04-22,1.8695,1.8695,1.8598,1.8598,0.6894,11294.0,0.0,1.0
2002-04-23,1.8695,1.8695,1.8403,1.8403,0.6822,8337.0,0.0,1.0
2002-04-24,1.8403,1.8403,1.8403,1.8403,0.6822,4669.0,0.0,1.0
2002-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-26,1.8403,1.8403,1.8014,1.8014,0.6677,206065.0,0.0,1.0
2002-04-29,1.8014,1.8111,1.7819,1.8111,0.6714,20952.0,0.0,1.0
2002-04-30,1.8208,1.8208,1.8111,1.8111,0.6714,18393.0,0.0,1.0
2002-05-01,1.8111,1.85,1.8111,1.85,0.6858,7522.0,0.0,1.0
2002-05-02,1.8403,1.9474,1.8306,1.9474,0.7219,18769.0,0.0,1.0
2002-05-03,1.9474,1.9474,1.8306,1.8306,0.6786,9265.0,0.0,1.0
2002-05-06,1.8306,1.9961,1.8306,1.9961,0.7399,143770.0,0.0,1.0
2002-05-07,1.9961,2.1421,1.9961,2.1227,0.7869,435596.0,0.0,1.0
2002-05-08,2.1129,2.2395,2.1129,2.1908,0.8121,82643.0,0.0,1.0
2002-05-09,2.1908,2.2395,2.1714,2.1811,0.8085,49009.0,0.0,1.0
2002-05-10,2.1811,2.1908,2.1811,2.1811,0.8085,17949.0,0.0,1.0
2002-05-13,2.1908,2.2395,2.1714,2.1714,0.8049,11635.0,0.0,1.0
2002-05-14,2.1714,2.1714,2.1421,2.1421,0.7941,45284.0,0.0,1.0
2002-05-15,2.1129,2.1129,1.9961,1.9961,0.7399,40606.0,0.0,1.0
2002-05-16,2.0448,2.0448,1.9961,1.9961,0.7399,194685.0,0.0,1.0
2002-05-17,2.0058,2.1421,2.0058,2.1421,0.7941,5294.0,0.0,1.0
2002-05-20,2.1519,2.2103,2.1421,2.1421,0.7941,14839.0,0.0,1.0
2002-05-21,2.0642,2.0642,2.0448,2.0448,0.758,5297.0,0.0,1.0
2002-05-22,2.0545,2.0545,2.0448,2.0448,0.758,6217.0,0.0,1.0
2002-05-23,2.0448,2.0935,2.0156,2.0156,0.7472,17058.0,0.0,1.0
2002-05-24,2.0156,2.074,2.0156,2.074,0.7688,3524.0,0.0,1.0
2002-05-27,2.074,2.0935,2.074,2.0935,0.776,42107.0,0.0,1.0
2002-05-28,2.0837,2.0935,2.0837,2.0935,0.776,17080.0,0.0,1.0
2002-05-29,2.0935,2.1421,2.0837,2.0837,0.7724,16283.0,0.0,1.0
2002-05-30,2.1227,2.1714,2.035,2.035,0.7544,4663.0,0.0,1.0
2002-05-31,2.035,2.035,2.035,2.035,0.7544,2449.0,0.0,1.0
2002-06-03,2.035,2.035,2.0156,2.0156,0.7472,11633.0,0.0,1.0
2002-06-04,2.0156,2.0156,2.0058,2.0058,0.7435,19137.0,0.0,1.0
2002-06-05,2.0058,2.0156,2.0058,2.0156,0.7472,4180.0,0.0,1.0
2002-06-06,2.0156,2.0448,2.0058,2.0058,0.7435,293729.0,0.0,1.0
2002-06-07,2.0156,2.0156,2.0156,2.0156,0.7472,1165.0,0.0,1.0
2002-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-06-11,2.0253,2.0253,2.0156,2.0156,0.7472,8862.0,0.0,1.0
2002-06-12,2.035,2.0448,2.0253,2.0448,0.758,16447.0,0.0,1.0
2002-06-13,2.0642,2.0642,2.0448,2.0448,0.758,1156.0,0.0,1.0
2002-06-14,2.035,2.035,2.0058,2.0058,0.7435,32341.0,0.0,1.0
2002-06-17,2.0058,2.035,2.0058,2.035,0.7544,11536.0,0.0,1.0
2002-06-18,2.0156,2.0156,2.0156,2.0156,0.7472,1480.0,0.0,1.0
2002-06-19,2.0156,2.035,2.0156,2.0156,0.7472,27737.0,0.0,1.0
2002-06-20,2.0156,2.035,2.0156,2.035,0.7544,6441.0,0.0,1.0
2002-06-21,2.035,2.0448,2.035,2.035,0.7544,17214.0,0.0,1.0
2002-06-24,2.035,2.0448,2.035,2.0448,0.758,6589.0,0.0,1.0
2002-06-25,2.0545,2.0642,2.0545,2.0642,0.7652,10297.0,0.0,1.0
2002-06-26,2.0642,2.074,2.0642,2.0642,0.7652,9093.0,0.0,1.0
2002-06-27,2.0642,2.1129,2.0448,2.0935,0.776,338189.0,0.0,1.0
2002-06-28,2.0935,2.1129,2.0935,2.0935,0.776,15210.0,0.0,1.0
2002-07-01,2.0935,2.0935,2.0448,2.0448,0.758,11988.0,0.0,1.0
2002-07-02,2.0642,2.0642,2.0448,2.0448,0.758,23183.0,0.0,1.0
2002-07-03,2.0642,2.0642,2.0642,2.0642,0.7652,4011.0,0.0,1.0
2002-07-04,2.0642,2.0935,2.0642,2.0935,0.776,17909.0,0.0,1.0
