date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-11-23,2.32,2.52,2.32,2.44,1.7049,1703389.0,0.0,1.0
2011-11-24,2.52,2.56,2.49,2.52,1.7608,6057524.0,0.0,1.0
2011-11-25,2.53,2.54,2.49,2.53,1.7678,770615.0,0.0,1.0
2011-11-28,2.56,2.58,2.51,2.53,1.7678,336420.0,0.0,1.0
2011-11-29,2.56,2.56,2.51,2.53,1.7678,1154171.0,0.0,1.0
2011-11-30,2.47,2.51,2.43,2.5,1.7469,1162057.0,0.0,1.0
2011-12-01,2.52,2.52,2.42,2.43,1.698,553137.0,0.0,1.0
2011-12-02,2.41,2.41,2.28,2.34,1.6351,2082337.0,0.0,1.0
2011-12-05,2.3,2.31,2.25,2.25,1.5722,1546262.0,0.0,1.0
2011-12-06,2.19,2.32,2.18,2.3,1.6071,3488976.0,0.0,1.0
2011-12-07,2.31,2.32,2.28,2.29,1.6001,1923915.0,0.0,1.0
2011-12-08,2.26,2.32,2.25,2.28,1.5931,1895558.0,0.0,1.0
2011-12-09,2.25,2.3,2.25,2.28,1.5931,2521623.0,0.0,1.0
2011-12-12,2.32,2.36,2.32,2.33,1.6281,1916466.0,0.0,1.0
2011-12-13,2.32,2.33,2.31,2.31,1.6141,1112458.0,0.0,1.0
2011-12-14,2.29,2.29,2.24,2.24,1.5652,1937138.0,0.0,1.0
2011-12-15,2.22,2.25,2.2,2.24,1.5652,1758234.0,0.0,1.0
2011-12-16,2.26,2.33,2.26,2.3,1.6071,7076525.0,0.0,1.0
2011-12-19,2.31,2.31,2.27,2.27,1.5862,808923.0,0.0,1.0
2011-12-20,2.27,2.3,2.26,2.28,1.5931,1413395.0,0.0,1.0
2011-12-21,2.29,2.35,2.27,2.31,1.6141,817011.0,0.0,1.0
2011-12-22,2.32,2.4,2.32,2.34,1.6351,357899.0,0.0,1.0
2011-12-23,2.37,2.39,2.36,2.38,1.663,576284.0,0.0,1.0
2011-12-28,2.3,2.37,2.29,2.34,1.6351,786298.0,0.0,1.0
2011-12-29,2.33,2.36,2.33,2.34,1.6351,190622.0,0.0,1.0
2011-12-30,2.34,2.4,2.34,2.38,1.663,281753.0,0.0,1.0
2012-01-03,2.33,2.37,2.33,2.37,1.656,25944.0,0.0,1.0
2012-01-04,2.36,2.36,2.32,2.33,1.6281,314587.0,0.0,1.0
2012-01-05,2.32,2.35,2.27,2.31,1.6141,272860.0,0.0,1.0
2012-01-06,2.31,2.35,2.3,2.34,1.6351,495065.0,0.0,1.0
2012-01-09,2.35,2.38,2.35,2.37,1.656,356235.0,0.0,1.0
2012-01-10,2.42,2.46,2.41,2.44,1.7049,201204.0,0.0,1.0
2012-01-11,2.48,2.48,2.44,2.44,1.7049,49869.0,0.0,1.0
2012-01-12,2.42,2.45,2.4,2.44,1.7049,663408.0,0.0,1.0
2012-01-13,2.45,2.48,2.4,2.43,1.698,60946.0,0.0,1.0
2012-01-16,2.45,2.45,2.42,2.42,1.691,453282.0,0.0,1.0
2012-01-17,2.41,2.43,2.4,2.42,1.691,622392.0,0.0,1.0
2012-01-18,2.46,2.46,2.44,2.45,1.7119,145854.0,0.0,1.0
2012-01-19,2.45,2.46,2.42,2.43,1.698,64736.0,0.0,1.0
2012-01-20,2.43,2.45,2.38,2.38,1.663,547405.0,0.0,1.0
