date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-03-12,0.167,0.167,0.167,0.167,0.167,0.0,0.0,1.0
2002-03-13,0.1478,0.1478,0.1169,0.1211,0.1211,3381802.0,0.0,1.0
2002-03-14,0.1294,0.1336,0.1211,0.1336,0.1336,4152565.0,0.0,1.0
2002-03-15,0.1336,0.1378,0.1294,0.1336,0.1336,1610952.0,0.0,1.0
2002-03-18,0.1336,0.1336,0.1211,0.1211,0.1211,543351.0,0.0,1.0
2002-03-19,0.1252,0.1252,0.1211,0.1211,0.1211,378382.0,0.0,1.0
2002-03-20,0.1211,0.1252,0.1211,0.1252,0.1252,564492.0,0.0,1.0
2002-03-21,0.1252,0.1252,0.1252,0.1252,0.1252,152112.0,0.0,1.0
2002-03-22,0.1252,0.1294,0.1252,0.1294,0.1294,1627283.0,0.0,1.0
2002-03-25,0.1294,0.1294,0.1211,0.1211,0.1211,638150.0,0.0,1.0
2002-03-26,0.1252,0.1252,0.1211,0.1211,0.1211,530596.0,0.0,1.0
2002-03-27,0.1211,0.1211,0.1211,0.1211,0.1211,223952.0,0.0,1.0
2002-03-28,0.1211,0.1252,0.1211,0.1252,0.1252,119773.0,0.0,1.0
2002-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-02,0.1211,0.1211,0.1211,0.1211,0.1211,141333.0,0.0,1.0
2002-04-03,0.1211,0.1211,0.1127,0.1127,0.1127,68271.0,0.0,1.0
2002-04-04,0.1169,0.1211,0.1085,0.1211,0.1211,602460.0,0.0,1.0
2002-04-05,0.1211,0.1211,0.1127,0.1127,0.1127,645579.0,0.0,1.0
2002-04-08,0.1127,0.1127,0.1044,0.1085,0.1085,197626.0,0.0,1.0
2002-04-09,0.1044,0.1127,0.1044,0.1127,0.1127,1169737.0,0.0,1.0
2002-04-10,0.1127,0.1211,0.1127,0.1211,0.1211,667437.0,0.0,1.0
2002-04-11,0.1252,0.1336,0.1211,0.1294,0.1294,3215390.0,0.0,1.0
2002-04-12,0.1294,0.1294,0.1252,0.1294,0.1294,1078609.0,0.0,1.0
2002-04-15,0.1252,0.1294,0.1252,0.1294,0.1294,1013630.0,0.0,1.0
2002-04-16,0.1294,0.1294,0.1211,0.1252,0.1252,360619.0,0.0,1.0
2002-04-17,0.1252,0.1252,0.1211,0.1252,0.1252,277874.0,0.0,1.0
2002-04-18,0.1252,0.1378,0.1252,0.1336,0.1336,3280711.0,0.0,1.0
2002-04-19,0.1336,0.1419,0.1336,0.1378,0.1378,3312350.0,0.0,1.0
2002-04-22,0.1419,0.1419,0.1378,0.1378,0.1378,1228578.0,0.0,1.0
2002-04-23,0.1378,0.1419,0.1336,0.1336,0.1336,415911.0,0.0,1.0
2002-04-24,0.1336,0.1378,0.1294,0.1294,0.1294,586364.0,0.0,1.0
2002-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-26,0.1336,0.1378,0.1336,0.1336,0.1336,120383.0,0.0,1.0
2002-04-29,0.1336,0.1336,0.1252,0.1294,0.1294,442133.0,0.0,1.0
2002-04-30,0.1294,0.1294,0.1252,0.1252,0.1252,141333.0,0.0,1.0
2002-05-01,0.1252,0.1294,0.1252,0.1252,0.1252,466817.0,0.0,1.0
2002-05-02,0.1252,0.1252,0.1211,0.1211,0.1211,241915.0,0.0,1.0
2002-05-03,0.1252,0.1252,0.1211,0.1252,0.1252,340810.0,0.0,1.0
2002-05-06,0.1252,0.1294,0.1252,0.1252,0.1252,167052.0,0.0,1.0
2002-05-07,0.1252,0.1252,0.1211,0.1211,0.1211,257520.0,0.0,1.0
2002-05-08,0.1211,0.1252,0.1211,0.1252,0.1252,243056.0,0.0,1.0
2002-05-09,0.1211,0.1252,0.1211,0.1252,0.1252,215592.0,0.0,1.0
2002-05-10,0.1211,0.1211,0.1211,0.1211,0.1211,307818.0,0.0,1.0
2002-05-13,0.1211,0.1211,0.1169,0.1169,0.1169,199811.0,0.0,1.0
2002-05-14,0.1211,0.1211,0.1169,0.1169,0.1169,183852.0,0.0,1.0
2002-05-15,0.1169,0.1169,0.1169,0.1169,0.1169,79050.0,0.0,1.0
2002-05-16,0.1127,0.1127,0.1127,0.1127,0.1127,167683.0,0.0,1.0
2002-05-17,0.1169,0.1169,0.1085,0.1085,0.1085,149717.0,0.0,1.0
2002-05-20,0.1211,0.1252,0.1211,0.1252,0.1252,91627.0,0.0,1.0
2002-05-21,0.1252,0.1252,0.1252,0.1252,0.1252,37820.0,0.0,1.0
2002-05-22,0.1252,0.1252,0.1211,0.1211,0.1211,23955.0,0.0,1.0
2002-05-23,0.1211,0.1211,0.1211,0.1211,0.1211,25152.0,0.0,1.0
2002-05-24,0.1211,0.1211,0.1169,0.1169,0.1169,127499.0,0.0,1.0
2002-05-27,0.1169,0.1252,0.1127,0.1211,0.1211,218195.0,0.0,1.0
2002-05-28,0.1211,0.1211,0.1211,0.1211,0.1211,8264.0,0.0,1.0
2002-05-29,0.1211,0.1211,0.1169,0.1211,0.1211,157502.0,0.0,1.0
2002-05-30,0.1211,0.1211,0.1211,0.1211,0.1211,4911.0,0.0,1.0
2002-05-31,0.1211,0.1211,0.1211,0.1211,0.1211,54976.0,0.0,1.0
2002-06-03,0.1169,0.1169,0.1169,0.1169,0.1169,95819.0,0.0,1.0
2002-06-04,0.1169,0.1169,0.1169,0.1169,0.1169,0.0,0.0,1.0
2002-06-05,0.1211,0.1252,0.1211,0.1252,0.1252,142530.0,0.0,1.0
2002-06-06,0.1252,0.1252,0.1211,0.1211,0.1211,35932.0,0.0,1.0
2002-06-07,0.1211,0.1211,0.1211,0.1211,0.1211,69557.0,0.0,1.0
2002-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-06-11,0.1211,0.1211,0.1169,0.1169,0.1169,571889.0,0.0,1.0
2002-06-12,0.1169,0.1211,0.1169,0.1211,0.1211,203883.0,0.0,1.0
2002-06-13,0.1211,0.1211,0.1211,0.1211,0.1211,200381.0,0.0,1.0
2002-06-14,0.1211,0.1252,0.1211,0.1211,0.1211,183253.0,0.0,1.0
2002-06-17,0.1252,0.1252,0.1252,0.1252,0.1252,237630.0,0.0,1.0
2002-06-18,0.1252,0.1252,0.1211,0.1211,0.1211,278477.0,0.0,1.0
2002-06-19,0.1252,0.1252,0.1252,0.1252,0.1252,278884.0,0.0,1.0
