date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,20.531,20.6,19.0,19.45,11.9377,69976.0,0.0,1.0
2000-01-05,18.5,19.1,18.5,18.96,11.637,108475.0,0.0,1.0
2000-01-06,19.0,19.55,19.0,19.4,11.907,68627.0,0.0,1.0
2000-01-07,19.4,19.4,18.75,18.8,11.5388,25622.0,0.0,1.0
2000-01-10,19.0,19.65,19.0,19.45,11.9377,61372.0,0.0,1.0
2000-01-11,19.8,19.86,19.6,19.7,12.0912,30652.0,0.0,1.0
2000-01-12,19.7,19.7,19.6,19.6,12.0298,52143.0,0.0,1.0
2000-01-13,19.75,19.75,19.0,19.05,11.6922,20398.0,0.0,1.0
2000-01-14,19.05,19.5,19.05,19.45,11.9377,55304.0,0.0,1.0
2000-01-17,19.5,19.6,19.3,19.4,11.907,36287.0,0.0,1.0
2000-01-18,19.557,19.557,19.3,19.41,11.9132,83334.0,0.0,1.0
2000-01-19,19.5,19.5,19.35,19.4,11.907,42063.0,0.0,1.0
2000-01-20,19.55,19.76,19.55,19.7,12.0912,97337.0,0.0,1.0
2000-01-21,19.7,19.71,19.6,19.7,12.0912,30613.0,0.0,1.0
2000-01-24,19.797,19.95,19.6,19.75,12.1218,188506.0,0.0,1.0
2000-01-25,19.95,19.95,19.5,19.75,12.1218,62479.0,0.0,1.0
2000-01-26,19.75,19.75,19.75,19.75,12.1218,0.0,0.0,1.0
2000-01-27,19.94,20.7,19.9,20.3,12.4594,62456.0,0.0,1.0
2000-01-28,20.5,20.9,20.5,20.85,12.797,136070.0,0.0,1.0
2000-01-31,21.0,21.0,20.5,20.54,12.6067,83531.0,0.0,1.0
2000-02-01,20.55,20.58,20.0,20.2,12.398,65660.0,0.0,1.0
2000-02-02,20.107,20.75,20.107,20.5,12.5822,150830.0,0.0,1.0
2000-02-03,20.658,21.5,20.658,21.5,13.1959,94668.0,0.0,1.0
2000-02-04,21.608,22.6,21.6,22.55,13.8404,41815.0,0.0,1.0
2000-02-07,22.8,23.0,22.4,22.5,13.8097,84098.0,0.0,1.0
2000-02-08,22.4,22.5,22.0,22.25,13.6563,97768.0,0.0,1.0
2000-02-09,22.26,22.4,22.0,22.3,13.6869,30008.0,0.0,1.0
2000-02-10,22.3,22.85,22.22,22.85,14.0245,22671.0,0.0,1.0
2000-02-11,22.95,23.8,22.95,23.33,14.3191,178772.0,0.0,1.0
2000-02-14,23.282,23.8,22.86,23.3,14.3007,203626.0,0.0,1.0
2000-02-15,23.6,23.9,23.2,23.2,14.2393,205859.0,0.0,1.0
2000-02-16,23.4,23.4,23.0,23.32,14.313,347709.0,0.0,1.0
2000-02-17,23.4,23.4,23.15,23.25,14.27,62929.0,0.0,1.0
2000-02-18,23.173,23.25,23.0,23.03,14.135,40242.0,0.0,1.0
2000-02-21,22.825,23.0,22.6,23.0,14.1166,30106.0,0.0,1.0
2000-02-22,22.76,23.0,22.76,22.77,13.9754,29262.0,0.0,1.0
2000-02-23,22.77,22.78,22.53,22.68,13.9202,99757.0,0.0,1.0
2000-02-24,22.55,22.6,21.89,21.95,13.5618,183310.0,0.0,1.0
2000-02-25,21.641,21.8,21.5,21.75,13.4383,131018.0,0.0,1.0
2000-02-28,21.641,21.66,21.0,21.5,13.2838,127125.0,0.0,1.0
2000-02-29,21.355,22.72,21.355,21.962,13.5692,142753.0,0.0,1.0
2000-03-01,22.0,22.0,21.5,21.85,13.5,32035.0,0.0,1.0
2000-03-02,21.859,21.9,21.5,21.7,13.4074,429716.0,0.0,1.0
2000-03-03,21.672,21.672,20.8,20.8,12.8513,197382.0,0.0,1.0
2000-03-06,20.8,21.25,20.8,21.17,13.0799,242694.0,0.0,1.0
2000-03-07,21.11,21.11,20.53,20.841,12.8766,138871.0,0.0,1.0
2000-03-08,20.802,20.802,20.53,20.75,12.8204,139103.0,0.0,1.0
2000-03-09,20.75,20.99,20.7,20.95,12.944,779765.0,0.0,1.0
2000-03-10,21.0,22.5,20.93,22.5,13.9016,82783.0,0.0,1.0
2000-03-13,22.75,22.8,21.45,21.78,13.4568,34983.0,0.0,1.0
2000-03-14,21.773,21.773,21.0,21.15,13.0675,33522.0,0.0,1.0
2000-03-15,21.0,21.36,21.0,21.2,13.0984,48948.0,0.0,1.0
2000-03-16,21.2,21.8,21.0,21.5,13.2838,121049.0,0.0,1.0
2000-03-17,22.0,22.02,21.51,21.65,13.3765,34627.0,0.0,1.0
2000-03-20,21.65,21.65,21.22,21.534,13.3048,20431.0,0.0,1.0
2000-03-21,21.22,21.5,21.02,21.1,13.0367,27037.0,0.0,1.0
2000-03-22,21.103,21.4,21.0,21.0,12.9749,532254.0,0.0,1.0
2000-03-23,21.0,21.4,21.0,21.2,13.0984,94181.0,0.0,1.0
2000-03-24,21.504,21.504,21.1,21.4,13.222,396542.0,0.0,1.0
2000-03-27,21.4,22.0,21.4,22.0,13.5927,266208.0,0.0,1.0
2000-03-28,22.052,23.062,22.05,23.062,14.2489,94709.0,0.0,1.0
2000-03-29,23.098,23.75,23.098,23.65,14.6122,132799.0,0.0,1.0
2000-03-30,23.78,23.85,22.5,23.241,14.3595,117747.0,0.0,1.0
2000-03-31,23.043,23.043,22.6,22.931,14.1679,128728.0,0.0,1.0
2000-04-03,23.18,23.18,21.9,23.0,14.2106,71075.0,0.0,1.0
2000-04-04,23.241,23.241,22.8,22.99,14.2044,61228.0,0.0,1.0
2000-04-05,22.9,22.9,22.48,22.5,13.9016,171706.0,0.0,1.0
2000-04-06,21.9,22.1,21.7,22.09,13.6483,138130.0,0.0,1.0
2000-04-07,21.68,22.32,21.68,22.0,13.5927,38351.0,0.0,1.0
2000-04-10,22.0,22.3,21.95,21.95,13.5618,202321.0,0.0,1.0
2000-04-11,21.562,22.008,21.56,22.008,13.5977,14387.0,0.0,1.0
2000-04-12,22.0,22.25,21.92,22.0,13.5927,124524.0,0.0,1.0
2000-04-13,22.0,22.1,21.8,22.0,13.5927,29559.0,0.0,1.0
2000-04-14,21.75,22.2,21.75,22.0,13.5927,44332.0,0.0,1.0
2000-04-17,21.156,22.049,20.6,22.049,13.623,86513.0,0.0,1.0
2000-04-18,23.145,23.145,21.5,22.0,13.5927,303182.0,0.0,1.0
2000-04-19,22.055,22.1,21.6,22.026,13.6088,65208.0,0.0,1.0
2000-04-20,22.02,22.02,21.2,21.7,13.4074,5222.0,0.0,1.0
2000-04-21,21.7,21.7,21.7,21.7,13.4074,0.0,0.0,1.0
2000-04-24,21.7,21.7,21.7,21.7,13.4074,0.0,0.0,1.0
2000-04-25,21.7,21.7,21.7,21.7,13.4074,0.0,0.0,1.0
2000-04-26,21.993,21.993,21.5,21.64,13.3703,85399.0,0.0,1.0
2000-04-27,21.7,21.7,21.15,21.487,13.2758,69768.0,0.0,1.0
2000-04-28,21.5,22.4,21.5,22.25,13.7472,181319.0,0.0,1.0
2000-05-01,22.25,22.3,22.0,22.3,13.7781,21556.0,0.0,1.0
2000-05-02,22.3,22.95,22.3,22.95,14.1797,21125.0,0.0,1.0
2000-05-03,22.85,23.68,22.83,23.68,14.6307,130390.0,0.0,1.0
2000-05-04,23.55,24.1,23.55,24.1,14.8902,104855.0,0.0,1.0
2000-05-05,24.5,24.5,23.9,24.15,14.9211,50208.0,0.0,1.0
2000-05-08,24.112,24.41,24.112,24.2,14.952,74610.0,0.0,1.0
2000-05-09,23.95,24.2,23.95,24.104,14.8927,62071.0,0.0,1.0
