date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,7.59,7.7,7.55,7.6,4.8265,517445.0,0.0,1.0
2000-01-05,7.25,7.3,7.12,7.2,4.5724,694920.0,0.0,1.0
2000-01-06,7.3,7.35,7.15,7.15,4.5407,526947.0,0.0,1.0
2000-01-07,7.093,7.093,6.51,6.51,4.1342,807142.0,0.0,1.0
2000-01-10,7.008,7.34,6.98,7.23,4.5915,738293.0,0.0,1.0
2000-01-11,7.35,7.44,7.35,7.4,4.6994,830416.0,0.0,1.0
2000-01-12,7.283,7.36,7.17,7.25,4.6042,354210.0,0.0,1.0
2000-01-13,7.15,7.15,6.75,7.009,4.4511,398689.0,0.0,1.0
2000-01-14,6.991,7.19,6.95,7.04,4.4708,564925.0,0.0,1.0
2000-01-17,7.118,7.25,6.98,6.98,4.4327,372286.0,0.0,1.0
2000-01-18,6.98,7.05,6.8,6.83,4.3375,718987.0,0.0,1.0
2000-01-19,6.94,6.94,6.58,6.63,4.2104,847778.0,0.0,1.0
2000-01-20,6.6,7.0,6.6,7.0,4.4454,701634.0,0.0,1.0
2000-01-21,6.957,7.066,6.95,7.066,4.4873,313615.0,0.0,1.0
2000-01-24,7.12,7.2,7.015,7.015,4.4549,366249.0,0.0,1.0
2000-01-25,6.75,6.99,6.7,6.85,4.3502,1220323.0,0.0,1.0
2000-01-26,6.85,6.85,6.85,6.85,4.3502,50000.0,0.0,1.0
2000-01-27,6.852,6.852,6.63,6.66,4.2295,1208268.0,0.0,1.0
2000-01-28,6.65,6.868,6.57,6.868,4.3616,1342239.0,0.0,1.0
2000-01-31,6.9,6.96,6.7,6.85,4.3502,586086.0,0.0,1.0
2000-02-01,7.0,7.0,6.79,6.85,4.3502,583441.0,0.0,1.0
2000-02-02,7.1,7.1,6.9,7.016,4.4556,2178705.0,0.0,1.0
2000-02-03,7.172,7.19,6.95,7.008,4.4505,1666559.0,0.0,1.0
2000-02-04,7.05,7.05,6.8,6.9,4.3819,720831.0,0.0,1.0
2000-02-07,6.89,6.89,6.7,6.85,4.3502,380312.0,0.0,1.0
2000-02-08,6.8,6.82,6.56,6.57,4.1723,622823.0,0.0,1.0
2000-02-09,6.61,6.78,6.61,6.68,4.2422,627960.0,0.0,1.0
