date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,7.6,7.6,7.4,7.55,3.2306,12070.0,0.0,1.0
2000-01-05,7.4,7.5,7.25,7.35,3.145,17458.0,0.0,1.0
2000-01-06,7.25,7.5,7.15,7.35,3.145,28300.0,0.0,1.0
2000-01-07,7.4,7.45,7.35,7.4,3.1664,17818.0,0.0,1.0
2000-01-10,7.5,7.5,7.5,7.5,3.2092,3628.0,0.0,1.0
2000-01-11,7.35,7.4,7.25,7.3,3.1236,30395.0,0.0,1.0
2000-01-12,7.4,7.4,7.35,7.4,3.1664,16315.0,0.0,1.0
2000-01-13,7.35,7.35,7.15,7.15,3.0594,13376.0,0.0,1.0
2000-01-14,7.2,7.3,7.2,7.3,3.1236,13510.0,0.0,1.0
2000-01-17,7.35,7.35,7.15,7.15,3.0594,25943.0,0.0,1.0
2000-01-18,7.35,7.35,7.15,7.15,3.0594,12584.0,0.0,1.0
2000-01-19,7.2,7.2,7.0,7.0,2.9952,65440.0,0.0,1.0
2000-01-20,7.0,7.0,7.0,7.0,2.9952,54945.0,0.0,1.0
2000-01-21,7.0,7.05,6.95,7.05,3.0166,65349.0,0.0,1.0
2000-01-24,7.0,7.0,6.9,6.9,2.9524,18968.0,0.0,1.0
2000-01-25,6.9,7.1,6.9,7.1,3.038,13837.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,6.9,7.0,6.9,6.95,2.9738,18279.0,0.0,1.0
2000-01-28,6.95,7.0,6.8,6.8,2.9097,23314.0,0.0,1.0
2000-01-31,6.8,6.9,6.8,6.8,2.9097,3984.0,0.0,1.0
2000-02-01,6.8,6.9,6.8,6.9,2.9524,6847.0,0.0,1.0
2000-02-02,6.9,6.95,6.9,6.95,2.9738,40483.0,0.0,1.0
2000-02-03,6.9,6.95,6.9,6.95,2.9738,7218.0,0.0,1.0
2000-02-04,6.95,7.1,6.95,7.1,3.038,323664.0,0.0,1.0
2000-02-07,7.1,7.2,7.1,7.2,3.0808,15384.0,0.0,1.0
2000-02-08,7.1,7.15,6.9,6.9,2.9524,82775.0,0.0,1.0
2000-02-09,7.0,7.15,6.9,7.15,3.0594,8394.0,0.0,1.0
2000-02-10,7.15,7.15,6.95,7.15,3.0594,38409.0,0.0,1.0
2000-02-11,7.15,7.15,6.95,7.05,3.0166,19470.0,0.0,1.0
2000-02-14,6.95,7.15,6.95,7.0,2.9952,12901.0,0.0,1.0
2000-02-15,7.05,7.1,7.0,7.05,3.0166,14136.0,0.0,1.0
2000-02-16,7.0,7.05,6.75,7.0,2.9952,36085.0,0.0,1.0
2000-02-17,6.85,7.0,6.75,6.95,2.9738,210310.0,0.0,1.0
2000-02-18,7.0,7.0,6.95,7.0,2.9952,10137.0,0.0,1.0
2000-02-21,7.0,7.0,6.75,7.0,2.9952,420427.0,0.0,1.0
2000-02-22,6.8,7.0,6.8,6.95,2.9738,66999.0,0.0,1.0
2000-02-23,6.95,7.0,6.85,6.95,2.9738,62354.0,0.0,1.0
2000-02-24,6.9,6.95,6.85,6.9,2.9524,93705.0,0.0,1.0
2000-02-25,6.9,6.95,6.8,6.8,2.9097,15241.0,0.0,1.0
2000-02-28,6.8,6.85,6.75,6.85,2.931,41766.0,0.0,1.0
2000-02-29,6.85,7.0,6.8,7.0,2.9952,61130.0,0.0,1.0
2000-03-01,7.05,7.05,6.85,6.85,2.931,8219.0,0.0,1.0
2000-03-02,6.97,7.15,6.85,6.95,2.9738,472190.0,0.0,1.0
2000-03-03,7.0,7.0,6.9,6.9,2.9524,26444.0,0.0,1.0
2000-03-06,6.9,7.0,6.9,6.95,2.9738,62453.0,0.0,1.0
2000-03-07,6.95,7.0,6.9,6.9,2.9524,22011.0,0.0,1.0
2000-03-08,7.15,7.25,6.85,6.92,2.961,31409.0,0.0,1.0
2000-03-09,6.85,6.9,6.85,6.9,2.9524,33400.0,0.0,1.0
2000-03-10,6.9,7.25,6.8,6.8,2.9097,40702.0,0.0,1.0
2000-03-13,7.1,7.1,7.1,7.1,3.038,210220.0,0.0,1.0
2000-03-14,7.1,7.15,7.0,7.15,3.0594,7992.0,0.0,1.0
2000-03-15,7.0,7.1,7.0,7.0,2.9952,7669.0,0.0,1.0
2000-03-16,7.0,7.0,6.85,6.9,2.9524,20741.0,0.0,1.0
2000-03-17,6.95,7.2,6.9,6.9,2.9524,24109.0,0.0,1.0
2000-03-20,7.0,7.0,6.95,6.95,2.9738,14528.0,0.0,1.0
2000-03-21,6.9,6.9,6.75,6.8,2.9097,208364.0,0.0,1.0
