date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,7.3333,7.3333,7.0667,7.1867,4.2867,254295.0,0.0,1.0
2000-01-05,7.0,7.1833,7.0,7.155,4.2678,424941.0,0.0,1.0
2000-01-06,7.2333,7.2733,7.0,7.0,4.1754,348534.0,0.0,1.0
2000-01-07,7.013,7.0233,6.8,6.85,4.0859,483963.0,0.0,1.0
2000-01-10,7.0,7.3333,7.0,7.3333,4.3742,546525.0,0.0,1.0
2000-01-11,7.3333,7.3333,7.2333,7.3167,4.3643,870903.0,0.0,1.0
2000-01-12,7.1667,7.4,7.1667,7.4,4.414,321720.0,0.0,1.0
2000-01-13,7.3667,7.4667,7.3,7.3667,4.3941,565902.0,0.0,1.0
2000-01-14,7.3333,7.4967,7.3333,7.4867,4.4657,551202.0,0.0,1.0
2000-01-17,7.48,7.7167,7.4667,7.5667,4.5134,1372908.0,0.0,1.0
2000-01-18,7.5667,7.5667,7.43,7.55,4.5034,514509.0,0.0,1.0
2000-01-19,7.5333,7.5667,7.42,7.5667,4.5134,365580.0,0.0,1.0
2000-01-20,7.5333,7.7333,7.53,7.7167,4.6028,1940439.0,0.0,1.0
2000-01-21,7.5833,7.6833,7.58,7.5833,4.5233,407316.0,0.0,1.0
2000-01-24,7.5333,7.5933,7.5167,7.5333,4.4935,213306.0,0.0,1.0
2000-01-25,7.529,7.529,7.4667,7.5163,4.4833,1039110.0,0.0,1.0
2000-01-26,7.5163,7.5163,7.5163,7.5163,4.4833,0.0,0.0,1.0
2000-01-27,7.534,7.8,7.5333,7.7333,4.6128,929907.0,0.0,1.0
2000-01-28,7.7207,7.7207,7.6667,7.6667,4.573,280431.0,0.0,1.0
2000-01-31,7.6553,7.7333,7.55,7.6977,4.5915,778572.0,0.0,1.0
2000-02-01,7.7,7.7667,7.7,7.7333,4.6128,527550.0,0.0,1.0
2000-02-02,7.7833,7.7833,7.6333,7.75,4.6227,218361.0,0.0,1.0
2000-02-03,7.669,7.8,7.669,7.7633,4.6307,369984.0,0.0,1.0
2000-02-04,7.7597,7.85,7.7267,7.7667,4.6327,474762.0,0.0,1.0
2000-02-07,7.732,7.8167,7.732,7.7833,4.6426,360501.0,0.0,1.0
