date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.438,2.4643,2.4182,2.438,1.0664,1490648.0,0.0,1.0
2000-01-05,2.405,2.4512,2.3984,2.438,1.0664,1536233.0,0.0,1.0
2000-01-06,2.438,2.4512,2.4314,2.4446,1.0693,2255301.0,0.0,1.0
2000-01-07,2.4512,2.4841,2.4512,2.4755,1.0828,831206.0,0.0,1.0
2000-01-10,2.4973,2.5434,2.4973,2.5302,1.1067,2561468.0,0.0,1.0
2000-01-11,2.5566,2.6027,2.5368,2.5895,1.1327,4180674.0,0.0,1.0
2000-01-12,2.5895,2.5895,2.55,2.5566,1.1183,5542112.0,0.0,1.0
2000-01-13,2.55,2.5895,2.55,2.5895,1.1327,9344011.0,0.0,1.0
2000-01-14,2.6027,2.695,2.5961,2.6752,1.1701,6674613.0,0.0,1.0
2000-01-17,2.6488,2.6884,2.6225,2.6357,1.1528,4763804.0,0.0,1.0
2000-01-18,2.6199,2.6357,2.5764,2.5764,1.1269,2438118.0,0.0,1.0
2000-01-19,2.5698,2.5698,2.5236,2.5553,1.1177,2399650.0,0.0,1.0
2000-01-20,2.5039,2.5698,2.5039,2.5302,1.1067,1589634.0,0.0,1.0
2000-01-21,2.5039,2.5368,2.4841,2.5039,1.0952,1362661.0,0.0,1.0
2000-01-24,2.4973,2.5302,2.4973,2.5039,1.0952,1391662.0,0.0,1.0
2000-01-25,2.4907,2.5045,2.4643,2.5045,1.0955,1344897.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,2.4999,2.4999,2.4643,2.4828,1.086,3236788.0,0.0,1.0
2000-01-28,2.4775,2.4907,2.4643,2.4709,1.0808,2892325.0,0.0,1.0
2000-01-31,2.438,2.4999,2.405,2.4999,1.0935,3538489.0,0.0,1.0
2000-02-01,2.4531,2.4709,2.3919,2.3984,1.0491,1240554.0,0.0,1.0
2000-02-02,2.3984,2.4116,2.3523,2.3589,1.0318,2100103.0,0.0,1.0
2000-02-03,2.3589,2.3589,2.2469,2.2469,0.9828,4513257.0,0.0,1.0
2000-02-04,2.2403,2.2996,2.2403,2.2667,0.9915,4325685.0,0.0,1.0
2000-02-07,2.2667,2.3062,2.2535,2.3062,1.0087,5015027.0,0.0,1.0
2000-02-08,2.3062,2.3392,2.2864,2.293,1.003,3738595.0,0.0,1.0
2000-02-09,2.2799,2.3326,2.2799,2.326,1.0174,6794851.0,0.0,1.0
2000-02-10,2.326,2.3523,2.2996,2.3464,1.0263,9395334.0,0.0,1.0
2000-02-11,2.3457,2.3655,2.3392,2.3589,1.0318,3356667.0,0.0,1.0
2000-02-14,2.3392,2.3589,2.3194,2.3523,1.0289,8275450.0,0.0,1.0
2000-02-15,2.3148,2.3655,2.3148,2.351,1.0283,6333839.0,0.0,1.0
2000-02-16,2.3892,2.3984,2.3392,2.3853,1.0433,15329765.0,0.0,1.0
2000-02-17,2.3853,2.4248,2.3853,2.3853,1.0433,5098415.0,0.0,1.0
2000-02-18,2.3965,2.4182,2.3589,2.3655,1.0347,1834077.0,0.0,1.0
2000-02-21,2.3326,2.4182,2.3326,2.4182,1.0577,1809319.0,0.0,1.0
2000-02-22,2.4248,2.5105,2.4248,2.438,1.0664,3001002.0,0.0,1.0
2000-02-23,2.4499,2.5105,2.4499,2.4709,1.0808,3187167.0,0.0,1.0
2000-02-24,2.4709,2.4709,2.3721,2.405,1.052,2441757.0,0.0,1.0
2000-02-25,2.405,2.4446,2.3919,2.4248,1.0606,4494440.0,0.0,1.0
2000-02-28,2.405,2.405,2.3457,2.3589,1.0318,1906628.0,0.0,1.0
2000-02-29,2.3589,2.3721,2.3326,2.3392,1.0232,2466332.0,0.0,1.0
2000-03-01,2.3392,2.3853,2.2996,2.3681,1.0358,2001546.0,0.0,1.0
2000-03-02,2.3392,2.3721,2.326,2.3523,1.0289,2402562.0,0.0,1.0
2000-03-03,2.3457,2.3523,2.2996,2.3062,1.0087,3829550.0,0.0,1.0
2000-03-06,2.3062,2.3457,2.293,2.293,1.003,2049405.0,0.0,1.0
2000-03-07,2.2733,2.3062,2.2733,2.2733,0.9943,2757552.0,0.0,1.0
2000-03-08,2.2733,2.293,2.2667,2.2799,0.9972,1766903.0,0.0,1.0
2000-03-09,2.2733,2.3062,2.2733,2.2864,1.0001,2023420.0,0.0,1.0
2000-03-10,2.293,2.3062,2.2733,2.2864,1.0001,945709.0,0.0,1.0
2000-03-13,2.2864,2.3523,2.2864,2.3392,1.0232,1244549.0,0.0,1.0
2000-03-14,2.3062,2.3392,2.293,2.293,1.003,2249481.0,0.0,1.0
2000-03-15,2.2799,2.3194,2.2667,2.3148,1.0125,2880141.0,0.0,1.0
2000-03-16,2.3115,2.4248,2.2996,2.4116,1.0549,5300638.0,0.0,1.0
2000-03-17,2.4709,2.4907,2.4248,2.438,1.0664,8170215.0,0.0,1.0
2000-03-20,2.4709,2.5039,2.4577,2.4907,1.0894,3159799.0,0.0,1.0
2000-03-21,2.4709,2.4907,2.3919,2.3984,1.0491,4646159.0,0.0,1.0
2000-03-22,2.4182,2.4182,2.3655,2.3813,1.0416,3931333.0,0.0,1.0
2000-03-23,2.3787,2.3919,2.3589,2.3721,1.0376,4719255.0,0.0,1.0
2000-03-24,2.3721,2.3853,2.3457,2.3589,1.0318,2974779.0,0.0,1.0
2000-03-27,2.3589,2.3787,2.3392,2.3721,1.0376,8463374.0,0.0,1.0
2000-03-28,2.3721,2.3721,2.2996,2.3062,1.0087,3248670.0,0.0,1.0
2000-03-29,2.3392,2.3392,2.3062,2.3273,1.018,2892557.0,0.0,1.0
2000-03-30,2.3062,2.3062,2.2733,2.3062,1.0087,9459297.0,0.0,1.0
2000-03-31,2.3062,2.3523,2.2799,2.2799,0.9972,8204225.0,0.0,1.0
2000-04-03,2.2799,2.3721,2.2799,2.3589,1.0318,1832832.0,0.0,1.0
2000-04-04,2.3523,2.3853,2.3457,2.3721,1.0376,4816116.0,0.0,1.0
2000-04-05,2.3721,2.405,2.3655,2.3919,1.0462,1530332.0,0.0,1.0
2000-04-06,2.3721,2.3853,2.3326,2.3457,1.026,1400324.0,0.0,1.0
2000-04-07,2.3457,2.3457,2.3062,2.3128,1.0116,3412744.0,0.0,1.0
2000-04-10,2.3062,2.3326,2.2996,2.3194,1.0145,1785828.0,0.0,1.0
2000-04-11,2.3062,2.3919,2.3062,2.3622,1.0332,2021309.0,0.0,1.0
2000-04-12,2.3589,2.3721,2.3062,2.3326,1.0203,1508491.0,0.0,1.0
2000-04-13,2.326,2.3326,2.2996,2.3128,1.0116,974535.0,0.0,1.0
2000-04-14,2.2996,2.326,2.2864,2.326,1.0174,479226.0,0.0,1.0
2000-04-17,2.2733,2.3062,2.2667,2.3062,1.0087,1281640.0,0.0,1.0
2000-04-18,2.3392,2.405,2.3392,2.405,1.052,8985148.0,0.0,1.0
2000-04-19,2.4446,2.4709,2.4116,2.4485,1.071,4404947.0,0.0,1.0
2000-04-20,2.4314,2.4314,2.3787,2.4248,1.0606,2992525.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
