date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.45,2.5,2.44,2.48,1.2999,186951.0,0.0,1.0
2000-01-05,2.473,2.49,2.42,2.49,1.3051,217593.0,0.0,1.0
2000-01-06,2.49,2.51,2.46,2.49,1.3051,169765.0,0.0,1.0
2000-01-07,2.5,2.51,2.44,2.44,1.2789,107107.0,0.0,1.0
2000-01-10,2.45,2.49,2.4,2.4,1.258,321483.0,0.0,1.0
2000-01-11,2.403,2.45,2.4,2.45,1.2842,311060.0,0.0,1.0
2000-01-12,2.403,2.46,2.403,2.43,1.2737,227737.0,0.0,1.0
2000-01-13,2.42,2.45,2.42,2.45,1.2842,84950.0,0.0,1.0
2000-01-14,2.45,2.49,2.45,2.46,1.2894,480293.0,0.0,1.0
2000-01-17,2.47,2.48,2.45,2.46,1.2894,402682.0,0.0,1.0
2000-01-18,2.45,2.49,2.44,2.45,1.2842,284699.0,0.0,1.0
2000-01-19,2.46,2.46,2.45,2.46,1.2894,156825.0,0.0,1.0
2000-01-20,2.462,2.47,2.43,2.43,1.2737,242870.0,0.0,1.0
2000-01-21,2.423,2.47,2.423,2.47,1.2947,119802.0,0.0,1.0
2000-01-24,2.47,2.47,2.45,2.45,1.2842,221117.0,0.0,1.0
2000-01-25,2.485,2.485,2.43,2.43,1.2737,112363.0,0.0,1.0
2000-01-26,2.43,2.43,2.43,2.43,1.2737,0.0,0.0,1.0
2000-01-27,2.45,2.45,2.41,2.42,1.2685,308013.0,0.0,1.0
2000-01-28,2.43,2.45,2.41,2.42,1.2685,183547.0,0.0,1.0
2000-01-31,2.42,2.43,2.4,2.4,1.258,203082.0,0.0,1.0
2000-02-01,2.4,2.4,2.38,2.39,1.2527,179915.0,0.0,1.0
2000-02-02,2.38,2.4,2.38,2.39,1.2527,113450.0,0.0,1.0
2000-02-03,2.39,2.4,2.36,2.36,1.237,193352.0,0.0,1.0
2000-02-04,2.39,2.39,2.35,2.372,1.2433,186565.0,0.0,1.0
2000-02-07,2.34,2.35,2.33,2.35,1.2318,174632.0,0.0,1.0
2000-02-08,2.34,2.35,2.32,2.35,1.2318,137051.0,0.0,1.0
