date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-02-12,0.9567,0.9567,0.9567,0.9567,0.9548,0.0,0.0,1.0
2001-02-13,1.9134,1.9134,0.9567,0.9567,0.9548,577696.0,0.0,1.0
2001-02-14,1.0045,1.2437,0.9567,1.2437,1.2412,754521.0,0.0,1.0
2001-02-15,1.2437,1.435,1.2437,1.435,1.4321,358567.0,0.0,1.0
2001-02-16,1.3394,1.3394,1.1959,1.2915,1.2889,89316.0,0.0,1.0
2001-02-19,1.2915,1.2915,1.0524,1.0524,1.0502,68027.0,0.0,1.0
2001-02-20,1.1002,1.1002,1.1002,1.1002,1.098,41952.0,0.0,1.0
2001-02-21,1.148,1.1959,1.148,1.148,1.1457,9564.0,0.0,1.0
2001-02-22,1.148,1.148,1.1002,1.148,1.1457,10139.0,0.0,1.0
2001-02-23,1.148,1.148,1.148,1.148,1.1457,4756.0,0.0,1.0
2001-02-26,1.1002,1.1002,1.0045,1.0045,1.0025,43728.0,0.0,1.0
2001-02-27,1.0524,1.0524,1.0524,1.0524,1.0502,27177.0,0.0,1.0
2001-02-28,1.0524,1.0524,1.0045,1.0524,1.0502,6481.0,0.0,1.0
2001-03-01,1.0524,1.0524,1.0524,1.0524,1.0502,1740.0,0.0,1.0
2001-03-02,1.0524,1.0524,1.0524,1.0524,1.0502,778.0,0.0,1.0
2001-03-05,1.1002,1.1002,1.0045,1.0045,1.0025,2550.0,0.0,1.0
2001-03-06,1.0524,1.0524,0.9567,1.0524,1.0502,13028.0,0.0,1.0
2001-03-07,0.9567,0.9567,0.9567,0.9567,0.9548,1045.0,0.0,1.0
2001-03-08,0.9567,0.9567,0.9567,0.9567,0.9548,1346.0,0.0,1.0
2001-03-09,1.0524,1.0524,0.9567,0.9567,0.9548,3136.0,0.0,1.0
2001-03-12,0.9567,0.9567,0.9567,0.9567,0.9548,2091.0,0.0,1.0
2001-03-13,1.0045,1.0045,0.9567,0.9567,0.9548,3136.0,0.0,1.0
2001-03-14,0.9567,0.9567,0.8993,0.8993,0.8975,9855.0,0.0,1.0
2001-03-15,0.9089,0.9089,0.8323,0.861,0.8593,12543.0,0.0,1.0
2001-03-16,0.8419,0.8419,0.8323,0.8323,0.8306,6951.0,0.0,1.0
2001-03-19,0.8323,0.8323,0.8323,0.8323,0.8306,366.0,0.0,1.0
2001-03-20,0.7175,0.7175,0.7175,0.7175,0.7161,10627.0,0.0,1.0
2001-03-21,0.7175,0.7175,0.7175,0.7175,0.7161,0.0,0.0,1.0
2001-03-22,0.7175,0.7367,0.641,0.7367,0.7352,9407.0,0.0,1.0
2001-03-23,0.7367,0.7367,0.7367,0.7367,0.7352,10453.0,0.0,1.0
2001-03-26,0.6219,0.6219,0.6219,0.6219,0.6206,2091.0,0.0,1.0
2001-03-27,0.6314,0.7271,0.6314,0.7271,0.7256,2017.0,0.0,1.0
2001-03-28,0.7271,0.7271,0.7271,0.7271,0.7256,0.0,0.0,1.0
2001-03-29,0.8515,0.8515,0.8515,0.8515,0.8497,0.0,0.0,1.0
2001-03-30,0.7367,0.7367,0.7367,0.7367,0.7352,836.0,0.0,1.0
2001-04-02,0.7367,0.7367,0.7367,0.7367,0.7352,10453.0,0.0,1.0
2001-04-03,0.6697,0.6697,0.6601,0.6601,0.6588,2613.0,0.0,1.0
2001-04-04,0.6697,0.6697,0.574,0.574,0.5729,42124.0,0.0,1.0
2001-04-05,0.574,0.574,0.574,0.574,0.5729,12608.0,0.0,1.0
2001-04-06,0.574,0.6219,0.574,0.6219,0.6206,8767.0,0.0,1.0
2001-04-09,0.6219,0.6219,0.6219,0.6219,0.6206,0.0,0.0,1.0
2001-04-10,0.6697,0.7175,0.6697,0.7175,0.7161,6585.0,0.0,1.0
2001-04-11,0.7175,0.7175,0.6506,0.6506,0.6492,3658.0,0.0,1.0
2001-04-12,0.6506,0.6506,0.6506,0.6506,0.6492,0.0,0.0,1.0
2001-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
