date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-12-03,14.88,15.0,14.0,14.27,8.4327,1157800.0,0.0,1.0
2007-12-04,14.19,14.27,13.7,13.7,8.0959,1760900.0,0.0,1.0
2007-12-05,13.75,13.76,13.24,13.36,7.8949,1386400.0,0.0,1.0
2007-12-06,13.65,13.67,13.35,13.46,7.954,1133500.0,0.0,1.0
2007-12-07,13.5,13.7,13.39,13.65,8.0663,2471400.0,0.0,1.0
2007-12-10,13.75,13.89,13.69,13.71,8.1018,1169800.0,0.0,1.0
2007-12-11,13.94,13.94,13.75,13.8,8.1549,1357800.0,0.0,1.0
2007-12-12,13.8,13.88,13.56,13.83,8.1727,5036000.0,0.0,1.0
2007-12-13,13.96,13.98,13.75,13.8,8.1549,1982400.0,0.0,1.0
2007-12-14,13.94,13.98,13.36,13.67,8.0781,2730200.0,0.0,1.0
2007-12-17,13.42,13.68,13.32,13.45,7.9481,2450100.0,0.0,1.0
2007-12-18,13.72,13.72,12.78,13.3,7.8595,2410000.0,0.0,1.0
2007-12-19,13.45,13.76,13.02,13.76,8.1313,4251900.0,0.0,1.0
2007-12-20,13.83,13.83,13.34,13.6,8.0368,5916900.0,0.0,1.0
2007-12-21,12.36,13.73,12.36,13.65,8.0663,9206160.0,0.0,1.0
2007-12-24,13.4,13.68,13.4,13.68,8.084,451800.0,0.0,1.0
2007-12-27,13.68,13.7,13.48,13.65,8.0663,870400.0,0.0,1.0
2007-12-28,13.65,13.65,13.34,13.45,7.9481,528100.0,0.0,1.0
2007-12-31,13.43,13.48,13.1,13.45,7.9481,774175.0,0.0,1.0
2008-01-02,13.45,13.6,13.27,13.48,7.9658,447680.0,0.0,1.0
2008-01-03,13.34,13.34,12.9,12.98,7.6704,1162674.0,0.0,1.0
2008-01-04,13.13,13.43,12.96,13.4,7.9186,1873081.0,0.0,1.0
2008-01-07,12.99,13.3,12.84,13.08,7.7295,3191290.0,0.0,1.0
2008-01-08,13.1,13.24,12.92,12.92,7.6349,1293684.0,0.0,1.0
2008-01-09,12.7,12.75,12.51,12.65,7.4754,1668861.0,0.0,1.0
2008-01-10,12.69,12.69,12.17,12.23,7.2272,1754362.0,0.0,1.0
2008-01-11,12.28,12.3,11.73,11.9,7.0322,2171792.0,0.0,1.0
2008-01-14,11.75,11.82,11.45,11.61,6.8608,1025120.0,0.0,1.0
2008-01-15,11.6,11.6,11.23,11.29,6.6717,1201645.0,0.0,1.0
2008-01-16,10.89,11.05,10.65,10.86,6.4176,2641683.0,0.0,1.0
2008-01-17,11.17,11.39,10.82,10.87,6.4235,1385779.0,0.0,1.0
2008-01-18,10.77,11.3,10.5,11.07,6.5417,693156.0,0.0,1.0
2008-01-21,10.95,11.21,10.62,10.97,6.4826,1146457.0,0.0,1.0
2008-01-22,10.35,10.97,10.12,10.36,6.1221,2810571.0,0.0,1.0
2008-01-23,10.39,10.66,10.37,10.63,6.2817,3224519.0,0.0,1.0
2008-01-24,11.0,11.0,10.4,10.45,6.1753,3150083.0,0.0,1.0
2008-01-25,10.46,11.5,10.37,11.5,6.7958,2822016.0,0.0,1.0
2008-01-29,11.5,11.53,11.1,11.41,6.7426,1841001.0,0.0,1.0
2008-01-30,11.46,11.67,11.11,11.51,6.8017,1641650.0,0.0,1.0
2008-01-31,11.14,11.7,10.9,11.66,6.8903,2183246.0,0.0,1.0
2008-02-01,11.67,12.15,11.11,12.15,7.1799,1194527.0,0.0,1.0
2008-02-04,12.2,12.49,11.86,12.05,7.1208,1231461.0,0.0,1.0
2008-02-05,11.78,11.8,11.37,11.44,6.7603,1876670.0,0.0,1.0
2008-02-06,11.27,11.5,11.1,11.3,6.6776,655034.0,0.0,1.0
2008-02-07,11.3,11.44,11.11,11.22,6.6303,589691.0,0.0,1.0
2008-02-08,11.65,11.71,11.11,11.25,6.6481,985201.0,0.0,1.0
2008-02-11,11.26,11.5,10.67,11.26,6.654,1463866.0,0.0,1.0
2008-02-12,11.4,11.74,11.17,11.55,6.8253,1244376.0,0.0,1.0
2008-02-13,11.8,11.8,11.32,11.51,6.8017,2425931.0,0.0,1.0
2008-02-14,11.77,11.77,11.35,11.5,6.7958,2147021.0,0.0,1.0
2008-02-15,11.42,11.69,11.21,11.3,6.6776,832830.0,0.0,1.0
2008-02-18,11.28,11.76,11.27,11.65,6.8844,1526110.0,0.0,1.0
2008-02-19,11.59,11.7,11.35,11.6,6.8549,1352776.0,0.0,1.0
2008-02-20,11.55,11.69,10.68,10.99,6.4944,2469611.0,0.0,1.0
2008-02-21,11.36,11.4,10.91,11.2,6.6185,1317370.0,0.0,1.0
2008-02-22,11.27,11.31,10.75,11.15,6.589,1944060.0,0.0,1.0
2008-02-25,11.26,11.39,11.07,11.29,6.6717,1257889.0,0.0,1.0
2008-02-26,11.27,11.74,11.27,11.74,6.9376,1971516.0,0.0,1.0
2008-02-27,11.5,12.09,11.43,12.06,7.1267,1764907.0,0.0,1.0
2008-02-28,11.65,11.97,11.6,11.85,7.0026,794584.0,0.0,1.0
2008-02-29,11.84,11.84,11.49,11.6,6.8549,624947.0,0.0,1.0
2008-03-03,11.4,11.5,10.92,10.92,6.453,816407.0,0.0,1.0
2008-03-04,10.91,10.92,10.53,10.68,6.3112,1970613.0,0.0,1.0
2008-03-05,10.89,11.18,10.25,10.37,6.128,2119334.0,0.0,1.0
2008-03-06,10.5,10.65,10.31,10.5,6.2049,1435939.0,0.0,1.0
2008-03-07,10.49,10.66,10.14,10.17,6.0098,1308608.0,0.0,1.0
2008-03-10,9.87,10.51,9.87,10.11,5.9744,956468.0,0.0,1.0
2008-03-11,10.28,10.48,10.21,10.32,6.0985,2385741.0,0.0,1.0
2008-03-12,10.5,10.7,10.45,10.6,6.2639,1985632.0,0.0,1.0
2008-03-13,10.53,10.69,10.52,10.62,6.2758,1592835.0,0.0,1.0
2008-03-14,10.65,11.05,10.6,10.87,6.4235,1880038.0,0.0,1.0
2008-03-17,10.85,10.97,10.64,10.86,6.4176,2302231.0,0.0,1.0
2008-03-18,10.9,11.0,10.85,10.98,6.4885,1655184.0,0.0,1.0
2008-03-19,11.17,11.18,10.88,11.09,6.5535,1248734.0,0.0,1.0
2008-03-20,11.0,11.8,10.9,11.19,6.6126,4264886.0,0.0,1.0
2008-03-25,11.12,11.47,11.12,11.18,6.6067,2049000.0,0.0,1.0
2008-03-26,11.08,11.18,10.85,10.88,6.4294,1055893.0,0.0,1.0
2008-03-27,10.83,10.83,10.43,10.55,6.2344,1822909.0,0.0,1.0
2008-03-28,10.68,10.75,10.41,10.52,6.2167,2016645.0,0.0,1.0
2008-03-31,10.55,10.66,10.21,10.5,6.2049,1449909.0,0.0,1.0
2008-04-01,10.5,10.5,10.25,10.3,6.0867,1582737.0,0.0,1.0
2008-04-02,10.75,10.85,10.59,10.85,6.4117,1300865.0,0.0,1.0
2008-04-03,10.99,10.99,10.74,10.79,6.3762,623782.0,0.0,1.0
2008-04-04,11.0,11.49,10.99,11.43,6.7544,905277.0,0.0,1.0
2008-04-07,11.3,11.39,10.95,11.26,6.8028,627649.0,0.0,1.0
2008-04-08,11.24,11.26,10.8,10.9,6.5853,561340.0,0.0,1.0
2008-04-09,10.9,11.14,10.84,11.12,6.7182,1056423.0,0.0,1.0
2008-04-10,11.15,11.15,10.57,10.72,6.4765,666341.0,0.0,1.0
2008-04-11,10.72,10.95,10.62,10.82,6.5369,1267697.0,0.0,1.0
2008-04-14,10.59,10.6,10.45,10.5,6.3436,2279407.0,0.0,1.0
2008-04-15,10.34,10.5,10.2,10.25,6.1926,1068770.0,0.0,1.0
2008-04-16,10.45,10.67,10.26,10.51,6.3496,1085414.0,0.0,1.0
2008-04-17,10.65,10.8,10.5,10.76,6.5007,752309.0,0.0,1.0
