date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-04-21,0.2968,0.2968,0.2968,0.2968,0.2389,0.0,0.0,1.0
2005-04-22,0.2968,0.3364,0.2771,0.2869,0.2309,768937.0,0.0,1.0
2005-04-26,0.2919,0.2919,0.2622,0.282,0.2269,203925.0,0.0,1.0
2005-04-27,0.2523,0.2523,0.2474,0.2474,0.1991,49690.0,0.0,1.0
2005-04-28,0.2523,0.2523,0.2523,0.2523,0.203,14149.0,0.0,1.0
2005-04-29,0.2771,0.2968,0.2771,0.2968,0.2389,100828.0,0.0,1.0
2005-05-02,0.3067,0.3166,0.3067,0.3166,0.2548,21931.0,0.0,1.0
2005-05-03,0.2968,0.3166,0.2968,0.2968,0.2389,101062.0,0.0,1.0
2005-05-04,0.2919,0.3067,0.2869,0.3067,0.2468,72204.0,0.0,1.0
2005-05-05,0.3117,0.3117,0.3117,0.3117,0.2508,11622.0,0.0,1.0
2005-05-06,0.3117,0.3166,0.3117,0.3166,0.2548,64033.0,0.0,1.0
2005-05-09,0.3117,0.3216,0.2968,0.2968,0.2389,229861.0,0.0,1.0
2005-05-10,0.3117,0.3117,0.3067,0.3067,0.2468,17181.0,0.0,1.0
2005-05-11,0.3166,0.3166,0.2869,0.2869,0.2309,10195.0,0.0,1.0
2005-05-12,0.2919,0.2919,0.2919,0.2919,0.2349,20213.0,0.0,1.0
2005-05-13,0.2919,0.2919,0.2919,0.2919,0.2349,5053.0,0.0,1.0
2005-05-16,0.2919,0.2968,0.2919,0.2968,0.2389,166451.0,0.0,1.0
2005-05-17,0.3067,0.3216,0.3067,0.3166,0.2548,198119.0,0.0,1.0
2005-05-18,0.3117,0.3216,0.3067,0.3216,0.2588,185211.0,0.0,1.0
2005-05-19,0.3216,0.3463,0.3166,0.3463,0.2787,546818.0,0.0,1.0
2005-05-20,0.3463,0.3463,0.3364,0.3364,0.2707,38202.0,0.0,1.0
2005-05-23,0.3364,0.3463,0.3364,0.3463,0.2787,133908.0,0.0,1.0
2005-05-24,0.3463,0.3513,0.3414,0.3414,0.2747,52553.0,0.0,1.0
2005-05-25,0.3414,0.3612,0.3414,0.3612,0.2906,84413.0,0.0,1.0
2005-05-26,0.376,0.3958,0.3562,0.3958,0.3185,210615.0,0.0,1.0
2005-05-27,0.4156,0.4156,0.3958,0.4007,0.3225,257389.0,0.0,1.0
2005-05-30,0.3908,0.4156,0.3859,0.4007,0.3225,193738.0,0.0,1.0
2005-05-31,0.4156,0.47,0.4156,0.4156,0.3344,167680.0,0.0,1.0
2005-06-01,0.4156,0.4156,0.4156,0.4156,0.3344,15159.0,0.0,1.0
2005-06-02,0.4156,0.4156,0.376,0.376,0.3026,20213.0,0.0,1.0
2005-06-03,0.376,0.376,0.3463,0.3463,0.2787,26579.0,0.0,1.0
2005-06-06,0.3463,0.3463,0.3463,0.3463,0.2787,3392.0,0.0,1.0
2005-06-07,0.3463,0.3463,0.3265,0.3265,0.2628,21425.0,0.0,1.0
2005-06-08,0.3562,0.3661,0.3463,0.3661,0.2946,35491.0,0.0,1.0
2005-06-09,0.3661,0.3661,0.3661,0.3661,0.2946,7721.0,0.0,1.0
2005-06-10,0.3661,0.4156,0.3661,0.3958,0.3185,27792.0,0.0,1.0
2005-06-14,0.3661,0.3661,0.3364,0.3364,0.2707,20179.0,0.0,1.0
2005-06-15,0.3463,0.376,0.3463,0.376,0.3026,59403.0,0.0,1.0
2005-06-16,0.3661,0.3661,0.3661,0.3661,0.2946,37057.0,0.0,1.0
2005-06-17,0.3661,0.3661,0.3661,0.3661,0.2946,53563.0,0.0,1.0
2005-06-20,0.3661,0.3661,0.3661,0.3661,0.2946,5296.0,0.0,1.0
2005-06-21,0.3859,0.3958,0.3859,0.3958,0.3185,5457.0,0.0,1.0
2005-06-22,0.3958,0.3958,0.3958,0.3958,0.3185,0.0,0.0,1.0
2005-06-23,0.3661,0.3661,0.3661,0.3661,0.2946,30016.0,0.0,1.0
2005-06-24,0.3661,0.3661,0.3463,0.3463,0.2787,4056.0,0.0,1.0
2005-06-27,0.3463,0.3463,0.3463,0.3463,0.2787,5063.0,0.0,1.0
2005-06-28,0.3463,0.3463,0.3166,0.3166,0.2548,74258.0,0.0,1.0
2005-06-29,0.3265,0.3315,0.3265,0.3315,0.2667,910.0,0.0,1.0
2005-06-30,0.3315,0.3661,0.3315,0.3315,0.2667,39232.0,0.0,1.0
2005-07-01,0.3661,0.3661,0.3661,0.3661,0.2946,13138.0,0.0,1.0
2005-07-04,0.3661,0.3661,0.3661,0.3661,0.2946,60638.0,0.0,1.0
2005-07-05,0.3364,0.3364,0.3364,0.3364,0.2707,876.0,0.0,1.0
2005-07-06,0.3562,0.3562,0.3562,0.3562,0.2866,3031.0,0.0,1.0
2005-07-07,0.3463,0.3661,0.3463,0.3661,0.2946,27994.0,0.0,1.0
2005-07-08,0.3661,0.3661,0.3661,0.3661,0.2946,1152.0,0.0,1.0
2005-07-11,0.3661,0.376,0.3661,0.376,0.3026,28817.0,0.0,1.0
2005-07-12,0.376,0.376,0.376,0.376,0.3026,13213.0,0.0,1.0
2005-07-13,0.3661,0.3661,0.3414,0.3414,0.2747,27229.0,0.0,1.0
2005-07-14,0.3463,0.3562,0.3463,0.3562,0.2866,3082.0,0.0,1.0
2005-07-15,0.376,0.376,0.376,0.376,0.3026,23709.0,0.0,1.0
2005-07-18,0.376,0.376,0.376,0.376,0.3026,0.0,0.0,1.0
2005-07-19,0.376,0.376,0.376,0.376,0.3026,0.0,0.0,1.0
2005-07-20,0.381,0.381,0.376,0.376,0.3026,20213.0,0.0,1.0
2005-07-21,0.3958,0.3958,0.3958,0.3958,0.3185,5053.0,0.0,1.0
2005-07-22,0.3562,0.3562,0.3562,0.3562,0.2866,1011.0,0.0,1.0
2005-07-25,0.3562,0.3661,0.3364,0.3463,0.2787,81259.0,0.0,1.0
2005-07-26,0.3463,0.3463,0.3463,0.3463,0.2787,29308.0,0.0,1.0
2005-07-27,0.3364,0.3364,0.3265,0.3265,0.2628,14148.0,0.0,1.0
2005-07-28,0.3364,0.3364,0.3364,0.3364,0.2707,14633.0,0.0,1.0
2005-07-29,0.3364,0.3364,0.3364,0.3364,0.2707,0.0,0.0,1.0
2005-08-01,0.3315,0.3315,0.3315,0.3315,0.2667,45478.0,0.0,1.0
2005-08-02,0.3463,0.3463,0.3463,0.3463,0.2787,7074.0,0.0,1.0
2005-08-03,0.3562,0.3612,0.3562,0.3612,0.2906,60638.0,0.0,1.0
2005-08-04,0.3612,0.3612,0.3612,0.3612,0.2906,0.0,0.0,1.0
2005-08-05,0.3612,0.3612,0.3612,0.3612,0.2906,0.0,0.0,1.0
2005-08-08,0.376,0.3958,0.376,0.376,0.3026,35405.0,0.0,1.0
2005-08-09,0.3859,0.3958,0.3859,0.3958,0.3185,12668.0,0.0,1.0
2005-08-10,0.3958,0.3958,0.3859,0.3859,0.3105,44925.0,0.0,1.0
2005-08-11,0.3859,0.3859,0.3859,0.3859,0.3105,0.0,0.0,1.0
2005-08-12,0.3958,0.3958,0.376,0.3958,0.3185,72361.0,0.0,1.0
2005-08-15,0.3958,0.3958,0.3958,0.3958,0.3185,0.0,0.0,1.0
2005-08-16,0.3859,0.3859,0.3859,0.3859,0.3105,2527.0,0.0,1.0
2005-08-17,0.3859,0.3958,0.3661,0.3958,0.3185,77707.0,0.0,1.0
2005-08-18,0.3958,0.4354,0.3958,0.4354,0.3503,72062.0,0.0,1.0
2005-08-19,0.4156,0.4354,0.4156,0.4354,0.3503,85768.0,0.0,1.0
2005-08-22,0.4255,0.4453,0.4255,0.4453,0.3583,93993.0,0.0,1.0
2005-08-23,0.4453,0.4453,0.4403,0.4403,0.3543,25262.0,0.0,1.0
2005-08-24,0.4403,0.4453,0.4403,0.4453,0.3583,31334.0,0.0,1.0
2005-08-25,0.4453,0.4453,0.4453,0.4453,0.3583,1007.0,0.0,1.0
2005-08-26,0.4453,0.4651,0.4453,0.4552,0.3663,156652.0,0.0,1.0
2005-08-29,0.4354,0.4354,0.4354,0.4354,0.3503,25266.0,0.0,1.0
2005-08-30,0.4552,0.4651,0.4552,0.4552,0.3663,17181.0,0.0,1.0
2005-08-31,0.4552,0.4552,0.4354,0.4552,0.3663,186971.0,0.0,1.0
2005-09-01,0.4947,0.4947,0.4947,0.4947,0.3981,22979.0,0.0,1.0
2005-09-02,0.4947,0.5244,0.4947,0.4947,0.3981,88228.0,0.0,1.0
2005-09-05,0.5244,0.5244,0.5244,0.5244,0.422,20213.0,0.0,1.0
2005-09-06,0.5244,0.5343,0.5244,0.5343,0.43,40893.0,0.0,1.0
2005-09-07,0.5244,0.5244,0.5046,0.5145,0.414,35620.0,0.0,1.0
2005-09-08,0.5046,0.5046,0.4947,0.4947,0.3981,54832.0,0.0,1.0
2005-09-09,0.5244,0.5541,0.5244,0.5541,0.4459,76082.0,0.0,1.0
2005-09-12,0.564,0.564,0.5541,0.5541,0.4459,42952.0,0.0,1.0
2005-09-13,0.5541,0.5541,0.5541,0.5541,0.4459,0.0,0.0,1.0
2005-09-14,0.5343,0.5442,0.4947,0.4947,0.3981,64680.0,0.0,1.0
2005-09-15,0.4947,0.4947,0.4947,0.4947,0.3981,23346.0,0.0,1.0
2005-09-16,0.4947,0.5145,0.4947,0.5145,0.414,97231.0,0.0,1.0
2005-09-19,0.4947,0.4947,0.4947,0.4947,0.3981,172721.0,0.0,1.0
2005-09-20,0.4947,0.4947,0.4947,0.4947,0.3981,0.0,0.0,1.0
2005-09-21,0.4947,0.4947,0.4947,0.4947,0.3981,15159.0,0.0,1.0
2005-09-22,0.4947,0.5145,0.4947,0.5145,0.414,121680.0,0.0,1.0
2005-09-23,0.5393,0.5442,0.5343,0.5442,0.4379,43861.0,0.0,1.0
2005-09-26,0.5442,0.5442,0.5442,0.5442,0.4379,0.0,0.0,1.0
2005-09-27,0.5442,0.5442,0.5442,0.5442,0.4379,50127.0,0.0,1.0
2005-09-28,0.5343,0.5442,0.5343,0.5442,0.4379,18697.0,0.0,1.0
2005-09-29,0.5442,0.5937,0.5442,0.5937,0.4777,22234.0,0.0,1.0
2005-09-30,0.5442,0.5541,0.5442,0.5442,0.4379,58718.0,0.0,1.0
2005-10-03,0.5541,0.5591,0.5442,0.5442,0.4379,56191.0,0.0,1.0
2005-10-04,0.5442,0.5442,0.5442,0.5442,0.4379,3840.0,0.0,1.0
2005-10-05,0.5442,0.5442,0.5343,0.5343,0.43,14149.0,0.0,1.0
2005-10-06,0.5442,0.5442,0.5343,0.5343,0.43,19707.0,0.0,1.0
2005-10-07,0.5343,0.5343,0.5343,0.5343,0.43,0.0,0.0,1.0
2005-10-10,0.5145,0.5145,0.4947,0.4947,0.3981,74281.0,0.0,1.0
2005-10-11,0.4947,0.4947,0.4947,0.4947,0.3981,0.0,0.0,1.0
2005-10-12,0.4947,0.4947,0.4947,0.4947,0.3981,6064.0,0.0,1.0
2005-10-13,0.5046,0.5046,0.5046,0.5046,0.4061,505.0,0.0,1.0
2005-10-14,0.5046,0.5096,0.4947,0.4947,0.3981,11117.0,0.0,1.0
2005-10-17,0.4947,0.4947,0.4947,0.4947,0.3981,50531.0,0.0,1.0
2005-10-18,0.4947,0.4947,0.4947,0.4947,0.3981,0.0,0.0,1.0
2005-10-19,0.5145,0.5145,0.4749,0.4749,0.3822,12304.0,0.0,1.0
2005-10-20,0.4947,0.4947,0.4947,0.4947,0.3981,46620.0,0.0,1.0
2005-10-21,0.4947,0.6036,0.4947,0.6036,0.4857,177871.0,0.0,1.0
2005-10-24,0.6036,0.6234,0.5937,0.5937,0.4777,53759.0,0.0,1.0
2005-10-25,0.5937,0.5937,0.5937,0.5937,0.4777,21951.0,0.0,1.0
2005-10-26,0.5937,0.5937,0.5937,0.5937,0.4777,8677.0,0.0,1.0
2005-10-27,0.5937,0.5937,0.5937,0.5937,0.4777,10106.0,0.0,1.0
2005-10-28,0.5442,0.5442,0.5442,0.5442,0.4379,1011.0,0.0,1.0
2005-10-31,0.5937,0.5937,0.5937,0.5937,0.4777,4043.0,0.0,1.0
2005-11-01,0.6432,0.6432,0.6432,0.6432,0.5175,17787.0,0.0,1.0
2005-11-02,0.7421,0.7421,0.7421,0.7421,0.5972,5053.0,0.0,1.0
2005-11-03,0.6926,0.6976,0.6926,0.6926,0.5574,8706.0,0.0,1.0
2005-11-04,0.658,0.663,0.6283,0.6432,0.5175,104095.0,0.0,1.0
2005-11-07,0.6432,0.6432,0.6432,0.6432,0.5175,10612.0,0.0,1.0
2005-11-08,0.6432,0.6432,0.6432,0.6432,0.5175,28298.0,0.0,1.0
2005-11-09,0.6432,0.6432,0.6333,0.6333,0.5096,16696.0,0.0,1.0
2005-11-10,0.6333,0.6333,0.6333,0.6333,0.5096,7303.0,0.0,1.0
2005-11-11,0.6432,0.6531,0.6432,0.6531,0.5255,1244.0,0.0,1.0
2005-11-14,0.6432,0.6432,0.6432,0.6432,0.5175,43715.0,0.0,1.0
2005-11-15,0.6432,0.6432,0.6432,0.6432,0.5175,0.0,0.0,1.0
2005-11-16,0.663,0.6926,0.663,0.6926,0.5574,131225.0,0.0,1.0
2005-11-17,0.6926,0.7421,0.6827,0.7421,0.5972,31127.0,0.0,1.0
2005-11-18,0.7124,0.7124,0.6827,0.7075,0.5693,100126.0,0.0,1.0
2005-11-21,0.7075,0.7372,0.6926,0.7372,0.5932,40749.0,0.0,1.0
2005-11-22,0.7372,0.7372,0.6926,0.6926,0.5574,5457.0,0.0,1.0
