date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-11-14,0.5588,0.5588,0.5122,0.5122,0.5122,1127767.0,0.0,1.0
2012-11-15,0.5122,0.5355,0.5029,0.5215,0.5215,421974.0,0.0,1.0
2012-11-16,0.5215,0.5215,0.5169,0.5169,0.5169,239398.0,0.0,1.0
2012-11-19,0.5215,0.5308,0.5215,0.5215,0.5215,244288.0,0.0,1.0
2012-11-20,0.5308,0.5681,0.5308,0.5588,0.5588,220629.0,0.0,1.0
2012-11-21,0.5588,0.6053,0.5588,0.596,0.596,308961.0,0.0,1.0
2012-11-22,0.5774,0.596,0.5774,0.5867,0.5867,141785.0,0.0,1.0
2012-11-23,0.5867,0.5867,0.582,0.5867,0.5867,383229.0,0.0,1.0
2012-11-26,0.5867,0.6426,0.5867,0.6379,0.6379,508699.0,0.0,1.0
2012-11-27,0.6519,0.6705,0.6519,0.6705,0.6705,353564.0,0.0,1.0
2012-11-28,0.6705,0.6985,0.6705,0.6705,0.6705,273281.0,0.0,1.0
2012-11-29,0.6612,0.6612,0.5867,0.624,0.624,187174.0,0.0,1.0
2012-11-30,0.6333,0.6519,0.624,0.6519,0.6519,274937.0,0.0,1.0
2012-12-03,0.6519,0.6705,0.6426,0.6519,0.6519,294407.0,0.0,1.0
2012-12-04,0.6519,0.6519,0.6426,0.6426,0.6426,130044.0,0.0,1.0
2012-12-05,0.6519,0.6612,0.6519,0.6519,0.6519,233381.0,0.0,1.0
2012-12-06,0.6519,0.6565,0.6519,0.6565,0.6565,94871.0,0.0,1.0
2012-12-07,0.6612,0.6891,0.6519,0.6891,0.6891,473873.0,0.0,1.0
2012-12-10,0.6985,0.6985,0.6752,0.6752,0.6752,246331.0,0.0,1.0
2012-12-11,0.6752,0.6752,0.6519,0.6519,0.6519,78387.0,0.0,1.0
2012-12-12,0.6519,0.6519,0.6519,0.6519,0.6519,28744.0,0.0,1.0
