date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-11-16,3.8,3.98,3.69,3.69,3.5302,8998338.0,0.0,1.0
2017-11-17,3.78,3.79,3.67,3.68,3.5206,3032252.0,0.0,1.0
2017-11-20,3.7,3.7,3.53,3.54,3.3867,1724906.0,0.0,1.0
2017-11-21,3.56,3.6,3.38,3.42,3.2718,2114133.0,0.0,1.0
2017-11-22,3.44,3.62,3.41,3.57,3.4154,4290768.0,0.0,1.0
2017-11-23,3.5,3.57,3.47,3.5,3.3484,2158341.0,0.0,1.0
2017-11-24,3.53,3.55,3.47,3.52,3.3675,1241434.0,0.0,1.0
2017-11-27,3.52,3.52,3.44,3.44,3.291,1047062.0,0.0,1.0
2017-11-28,3.45,3.49,3.4,3.45,3.3005,3514066.0,0.0,1.0
2017-11-29,3.46,3.48,3.38,3.41,3.2623,2410354.0,0.0,1.0
2017-11-30,3.41,3.48,3.335,3.48,3.3293,1993662.0,0.0,1.0
2017-12-01,3.47,3.49,3.41,3.47,3.3197,723133.0,0.0,1.0
2017-12-04,3.48,3.48,3.41,3.43,3.2814,559949.0,0.0,1.0
2017-12-05,3.47,3.48,3.395,3.41,3.2623,15133080.0,0.0,1.0
2017-12-06,3.4,3.46,3.39,3.39,3.2431,1419541.0,0.0,1.0
2017-12-07,3.39,3.41,3.36,3.38,3.2336,1867750.0,0.0,1.0
2017-12-08,3.38,3.53,3.37,3.53,3.3771,1588984.0,0.0,1.0
2017-12-11,3.55,3.61,3.52,3.55,3.3962,2507608.0,0.0,1.0
2017-12-12,3.54,3.55,3.49,3.49,3.3388,1545211.0,0.0,1.0
2017-12-13,3.5,3.5,3.45,3.49,3.3388,3168490.0,0.0,1.0
2017-12-14,3.49,3.55,3.45,3.52,3.3675,1057405.0,0.0,1.0
2017-12-15,3.55,3.63,3.45,3.55,3.3962,2009291.0,0.0,1.0
2017-12-18,3.6,3.7,3.57,3.58,3.4249,1177543.0,0.0,1.0
2017-12-19,3.62,3.64,3.55,3.56,3.4058,1016141.0,0.0,1.0
2017-12-20,3.58,3.58,3.49,3.51,3.358,1286387.0,0.0,1.0
2017-12-21,3.47,3.54,3.45,3.49,3.3388,940174.0,0.0,1.0
2017-12-22,3.48,3.53,3.46,3.46,3.3101,720941.0,0.0,1.0
2017-12-27,3.47,3.5,3.39,3.39,3.2431,600654.0,0.0,1.0
2017-12-28,3.39,3.44,3.37,3.42,3.2718,477432.0,0.0,1.0
2017-12-29,3.43,3.49,3.4,3.43,3.2814,568516.0,0.0,1.0
2018-01-02,3.44,3.49,3.43,3.47,3.3197,323175.0,0.0,1.0
2018-01-03,3.44,3.49,3.43,3.44,3.291,308637.0,0.0,1.0
2018-01-04,3.48,3.49,3.44,3.46,3.3101,994774.0,0.0,1.0
2018-01-05,3.46,3.49,3.43,3.45,3.3005,572750.0,0.0,1.0
2018-01-08,3.46,3.48,3.44,3.46,3.3101,852323.0,0.0,1.0
2018-01-09,3.44,3.47,3.39,3.41,3.2623,1103868.0,0.0,1.0
2018-01-10,3.4,3.41,3.33,3.35,3.2049,1405587.0,0.0,1.0
2018-01-11,3.34,3.35,3.26,3.27,3.1283,1072714.0,0.0,1.0
2018-01-12,3.27,3.28,3.19,3.22,3.0805,2536377.0,0.0,1.0
2018-01-15,3.26,3.31,3.22,3.28,3.1379,717152.0,0.0,1.0
2018-01-16,3.26,3.33,3.26,3.32,3.1762,1039678.0,0.0,1.0
2018-01-17,3.3,3.33,3.27,3.31,3.1666,1300217.0,0.0,1.0
2018-01-18,3.31,3.35,3.3,3.3,3.157,704222.0,0.0,1.0
2018-01-19,3.29,3.33,3.28,3.32,3.1762,1275396.0,0.0,1.0
2018-01-22,3.17,3.19,2.73,2.75,2.6309,12844962.0,0.0,1.0
2018-01-23,2.95,3.06,2.91,3.0,2.87,11221980.0,0.0,1.0
2018-01-24,3.06,3.13,3.04,3.11,2.9753,3759408.0,0.0,1.0
2018-01-25,3.13,3.18,3.11,3.15,3.0135,2243765.0,0.0,1.0
2018-01-29,3.16,3.17,3.14,3.17,3.0327,1044788.0,0.0,1.0
2018-01-30,3.17,3.21,3.16,3.19,3.0518,1088028.0,0.0,1.0
2018-01-31,3.18,3.19,3.12,3.16,3.0231,624792.0,0.0,1.0
2018-02-01,3.17,3.21,3.16,3.2,3.0614,747858.0,0.0,1.0
2018-02-02,3.18,3.2,3.15,3.18,3.0422,483429.0,0.0,1.0
2018-02-05,3.12,3.15,3.09,3.11,2.9753,948937.0,0.0,1.0
2018-02-06,3.06,3.07,3.0,3.01,2.8796,1122353.0,0.0,1.0
2018-02-07,3.08,3.09,3.01,3.03,2.8987,4628882.0,0.0,1.0
2018-02-08,3.03,3.06,3.01,3.02,2.8892,1150375.0,0.0,1.0
2018-02-09,3.0,3.005,2.95,2.98,2.8509,866044.0,0.0,1.0
2018-02-12,2.98,3.0,2.95,2.95,2.8222,755452.0,0.0,1.0
2018-02-13,2.98,2.98,2.9,2.9,2.7744,954681.0,0.0,1.0
2018-02-14,2.9,2.95,2.815,2.85,2.7265,918926.0,0.0,1.0
2018-02-15,2.85,2.92,2.83,2.91,2.7839,741371.0,0.0,1.0
2018-02-16,2.95,2.95,2.85,2.87,2.7457,705716.0,0.0,1.0
2018-02-19,2.92,3.03,2.84,3.0,2.87,973569.0,0.0,1.0
2018-02-20,3.07,3.11,3.02,3.09,2.9561,1342844.0,0.0,1.0
2018-02-21,3.1,3.13,3.08,3.1,2.9657,1137447.0,0.0,1.0
2018-02-22,3.1,3.135,3.08,3.11,2.9753,1114199.0,0.0,1.0
2018-02-23,3.13,3.13,3.05,3.08,2.985,699809.0,0.0,1.0
2018-02-26,3.1,3.11,3.06,3.09,2.9947,4603512.0,0.0,1.0
2018-02-27,3.09,3.1,3.05,3.07,2.9753,2760463.0,0.0,1.0
2018-02-28,3.08,3.09,3.02,3.04,2.9462,997927.0,0.0,1.0
