date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-05-13,2.1461,2.1461,2.1461,2.1461,1.4784,0.0,0.0,1.0
2005-05-16,2.2437,2.2924,2.1949,2.2241,1.5322,5706611.0,0.0,1.0
2005-05-17,2.2437,2.2632,2.1071,2.1071,1.4515,1558889.0,0.0,1.0
2005-05-18,2.1461,2.1559,2.1266,2.1461,1.4784,548348.0,0.0,1.0
2005-05-19,2.1559,2.1656,2.1168,2.1168,1.4583,652706.0,0.0,1.0
2005-05-20,2.1168,2.1266,2.0193,2.0486,1.4112,296885.0,0.0,1.0
2005-05-23,2.0778,2.1168,2.0778,2.0973,1.4448,256217.0,0.0,1.0
2005-05-24,2.1168,2.1168,2.0876,2.0876,1.4381,80166.0,0.0,1.0
2005-05-25,2.0876,2.1168,2.0876,2.1168,1.4583,286874.0,0.0,1.0
2005-05-26,2.1461,2.1461,2.1168,2.1168,1.4583,84444.0,0.0,1.0
2005-05-27,2.1266,2.1461,2.1071,2.1071,1.4515,915643.0,0.0,1.0
2005-05-30,2.1071,2.1656,2.1071,2.1266,1.465,183952.0,0.0,1.0
2005-05-31,2.1266,2.1754,2.1266,2.1754,1.4986,216682.0,0.0,1.0
2005-06-01,2.1461,2.1754,2.1461,2.1754,1.4986,58160.0,0.0,1.0
2005-06-02,2.1656,2.1754,2.1461,2.1461,1.4784,64072.0,0.0,1.0
2005-06-03,2.1559,2.1559,2.1266,2.1266,1.465,2083824.0,0.0,1.0
2005-06-06,2.1559,2.1559,2.1461,2.1461,1.4784,36709.0,0.0,1.0
2005-06-07,2.1461,2.1461,2.1266,2.1266,1.465,197647.0,0.0,1.0
2005-06-08,2.1461,2.1461,2.1266,2.1266,1.465,15918.0,0.0,1.0
2005-06-09,2.1461,2.1559,2.1461,2.1559,1.4851,341604.0,0.0,1.0
2005-06-10,2.1559,2.1851,2.1559,2.1754,1.4986,333250.0,0.0,1.0
2005-06-14,2.1754,2.2241,2.1754,2.1851,1.5053,352256.0,0.0,1.0
2005-06-15,2.1949,2.2241,2.1851,2.1949,1.512,390940.0,0.0,1.0
2005-06-16,2.2046,2.2144,2.2046,2.2046,1.5187,210614.0,0.0,1.0
2005-06-17,2.2144,2.2144,2.2046,2.2046,1.5187,183688.0,0.0,1.0
2005-06-20,2.2046,2.2241,2.2046,2.2241,1.5322,135003.0,0.0,1.0
2005-06-21,2.2924,2.3412,2.2729,2.3314,1.6061,567988.0,0.0,1.0
2005-06-22,2.3412,2.39,2.3412,2.3607,1.6263,444889.0,0.0,1.0
2005-06-23,2.3607,2.3607,2.3217,2.3217,1.5994,59065.0,0.0,1.0
2005-06-24,2.3217,2.3607,2.3119,2.3607,1.6263,267917.0,0.0,1.0
2005-06-27,2.351,2.351,2.3314,2.3314,1.6061,26653.0,0.0,1.0
2005-06-28,2.3217,2.3412,2.2924,2.3412,1.6128,77332.0,0.0,1.0
2005-06-29,2.3607,2.3607,2.3217,2.3412,1.6128,28019.0,0.0,1.0
