date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.3203,0.33,0.32,0.33,0.0001,113100.0,0.0,1.0
2000-01-05,0.32,0.32,0.305,0.305,0.0001,41000.0,0.0,1.0
2000-01-06,0.325,0.325,0.316,0.316,0.0001,36900.0,0.0,1.0
2000-01-07,0.325,0.325,0.315,0.315,0.0001,20000.0,0.0,1.0
2000-01-10,0.32,0.32,0.32,0.32,0.0001,10000.0,0.0,1.0
2000-01-11,0.316,0.316,0.315,0.315,0.0001,97000.0,0.0,1.0
2000-01-12,0.31,0.314,0.308,0.31,0.0001,143610.0,0.0,1.0
2000-01-13,0.31,0.315,0.31,0.31,0.0001,110200.0,0.0,1.0
2000-01-14,0.31,0.315,0.31,0.315,0.0001,56250.0,0.0,1.0
2000-01-17,0.315,0.315,0.3,0.3,0.0001,125800.0,0.0,1.0
2000-01-18,0.301,0.301,0.3,0.3,0.0001,99890.0,0.0,1.0
2000-01-19,0.3,0.301,0.3,0.301,0.0001,10250.0,0.0,1.0
2000-01-20,0.314,0.315,0.31,0.31,0.0001,50540.0,0.0,1.0
2000-01-21,0.311,0.311,0.311,0.311,0.0001,10000.0,0.0,1.0
2000-01-24,0.3119,0.315,0.311,0.315,0.0001,110970.0,0.0,1.0
2000-01-25,0.315,0.32,0.315,0.32,0.0001,34550.0,0.0,1.0
2000-01-26,0.32,0.32,0.32,0.32,0.0001,0.0,0.0,1.0
2000-01-27,0.316,0.316,0.301,0.302,0.0001,111000.0,0.0,1.0
2000-01-28,0.3018,0.302,0.3,0.301,0.0001,409160.0,0.0,1.0
2000-01-31,0.301,0.302,0.285,0.285,0.0001,192930.0,0.0,1.0
2000-02-01,0.288,0.288,0.285,0.285,0.0001,65190.0,0.0,1.0
2000-02-02,0.28,0.285,0.28,0.285,0.0001,23500.0,0.0,1.0
2000-02-03,0.28,0.28,0.28,0.28,0.0001,82450.0,0.0,1.0
2000-02-04,0.275,0.275,0.275,0.275,0.0001,40920.0,0.0,1.0
2000-02-07,0.27,0.27,0.261,0.261,0.0001,143500.0,0.0,1.0
2000-02-08,0.26,0.26,0.257,0.257,0.0001,42550.0,0.0,1.0
2000-02-09,0.259,0.28,0.259,0.28,0.0001,173280.0,0.0,1.0
2000-02-10,0.29,0.32,0.29,0.31,0.0001,168000.0,0.0,1.0
2000-02-11,0.308,0.308,0.295,0.298,0.0001,428820.0,0.0,1.0
2000-02-14,0.3,0.31,0.298,0.3,0.0001,659850.0,0.0,1.0
2000-02-15,0.3,0.31,0.3,0.303,0.0001,300450.0,0.0,1.0
2000-02-16,0.305,0.305,0.3,0.305,0.0001,220700.0,0.0,1.0
2000-02-17,0.3066,0.3066,0.3,0.305,0.0001,306200.0,0.0,1.0
2000-02-18,0.305,0.308,0.3,0.308,0.0001,344650.0,0.0,1.0
2000-02-21,0.3,0.308,0.3,0.305,0.0001,305000.0,0.0,1.0
2000-02-22,0.305,0.306,0.3,0.3,0.0001,119000.0,0.0,1.0
2000-02-23,0.2892,0.306,0.2892,0.3,0.0001,58600.0,0.0,1.0
2000-02-24,0.305,0.31,0.305,0.305,0.0001,249500.0,0.0,1.0
2000-02-25,0.305,0.31,0.305,0.305,0.0001,91000.0,0.0,1.0
2000-02-28,0.305,0.305,0.3,0.3,0.0001,198660.0,0.0,1.0
2000-02-29,0.3101,0.3101,0.309,0.309,0.0001,18000.0,0.0,1.0
2000-03-01,0.3069,0.3069,0.29,0.3,0.0001,98470.0,0.0,1.0
2000-03-02,0.3,0.3,0.292,0.3,0.0001,85030.0,0.0,1.0
2000-03-03,0.3085,0.31,0.3,0.31,0.0001,67300.0,0.0,1.0
2000-03-06,0.31,0.318,0.31,0.318,0.0001,113620.0,0.0,1.0
2000-03-07,0.3,0.3,0.255,0.29,0.0001,621640.0,0.0,1.0
2000-03-08,0.2764,0.277,0.271,0.271,0.0001,516920.0,0.0,1.0
2000-03-09,0.275,0.275,0.273,0.275,0.0001,170050.0,0.0,1.0
2000-03-10,0.2863,0.2863,0.27,0.275,0.0001,262000.0,0.0,1.0
2000-03-13,0.2753,0.2753,0.27,0.27,0.0001,163320.0,0.0,1.0
2000-03-14,0.27,0.2709,0.265,0.2709,0.0001,93330.0,0.0,1.0
2000-03-15,0.266,0.266,0.255,0.26,0.0001,198500.0,0.0,1.0
2000-03-16,0.265,0.27,0.255,0.27,0.0001,121000.0,0.0,1.0
2000-03-17,0.27,0.27,0.266,0.266,0.0001,547500.0,0.0,1.0
2000-03-20,0.2634,0.27,0.2634,0.27,0.0001,159400.0,0.0,1.0
2000-03-21,0.27,0.288,0.27,0.28,0.0001,530990.0,0.0,1.0
2000-03-22,0.28,0.289,0.27,0.272,0.0001,247260.0,0.0,1.0
2000-03-23,0.28,0.28,0.268,0.268,0.0001,146720.0,0.0,1.0
2000-03-24,0.27,0.272,0.268,0.27,0.0001,138000.0,0.0,1.0
2000-03-27,0.265,0.27,0.261,0.261,0.0001,211900.0,0.0,1.0
2000-03-28,0.2678,0.2678,0.261,0.261,0.0001,80150.0,0.0,1.0
2000-03-29,0.261,0.261,0.257,0.258,0.0001,101700.0,0.0,1.0
2000-03-30,0.258,0.261,0.256,0.256,0.0001,181150.0,0.0,1.0
2000-03-31,0.255,0.263,0.255,0.263,0.0001,273150.0,0.0,1.0
2000-04-03,0.262,0.262,0.26,0.26,0.0001,76350.0,0.0,1.0
2000-04-04,0.26,0.263,0.255,0.263,0.0001,160780.0,0.0,1.0
2000-04-05,0.263,0.263,0.251,0.262,0.0001,222800.0,0.0,1.0
2000-04-06,0.252,0.255,0.252,0.253,0.0001,71680.0,0.0,1.0
2000-04-07,0.255,0.255,0.252,0.252,0.0001,171550.0,0.0,1.0
2000-04-10,0.247,0.247,0.231,0.247,0.0001,22500.0,0.0,1.0
2000-04-11,0.24,0.24,0.23,0.23,0.0001,100000.0,0.0,1.0
2000-04-12,0.2333,0.235,0.2333,0.235,0.0001,18500.0,0.0,1.0
2000-04-13,0.24,0.24,0.226,0.226,0.0001,209500.0,0.0,1.0
2000-04-14,0.228,0.228,0.228,0.228,0.0001,46540.0,0.0,1.0
2000-04-17,0.2157,0.2157,0.197,0.197,0.0001,298230.0,0.0,1.0
2000-04-18,0.22,0.23,0.22,0.23,0.0001,129430.0,0.0,1.0
2000-04-19,0.239,0.239,0.228,0.228,0.0001,51000.0,0.0,1.0
2000-04-20,0.23,0.23,0.23,0.23,0.0001,20000.0,0.0,1.0
2000-04-21,0.23,0.23,0.23,0.23,0.0001,0.0,0.0,1.0
2000-04-24,0.23,0.23,0.23,0.23,0.0001,0.0,0.0,1.0
2000-04-25,0.23,0.23,0.23,0.23,0.0001,0.0,0.0,1.0
2000-04-26,0.22,0.22,0.22,0.22,0.0001,24300.0,0.0,1.0
2000-04-27,0.22,0.22,0.211,0.211,0.0001,0.0,0.0,1.0
2000-04-28,0.22,0.22,0.211,0.212,0.0001,34130.0,0.0,1.0
2000-05-01,0.211,0.211,0.211,0.211,0.0001,25000.0,0.0,1.0
2000-05-02,0.215,0.215,0.21,0.215,0.0001,138000.0,0.0,1.0
2000-05-03,0.2106,0.211,0.21,0.21,0.0001,31050.0,0.0,1.0
2000-05-04,0.21,0.212,0.21,0.21,0.0001,112840.0,0.0,1.0
2000-05-05,0.215,0.215,0.21,0.21,0.0001,0.0,0.0,1.0
2000-05-08,0.212,0.212,0.21,0.21,0.0001,78000.0,0.0,1.0
2000-05-09,0.21,0.211,0.21,0.211,0.0001,88000.0,0.0,1.0
2000-05-10,0.211,0.211,0.211,0.211,0.0001,52130.0,0.0,1.0
2000-05-11,0.211,0.211,0.205,0.205,0.0001,123660.0,0.0,1.0
2000-05-12,0.205,0.205,0.205,0.205,0.0001,85590.0,0.0,1.0
