date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-06-14,1.0,1.0,1.0,1.0,0.3933,0.0,0.0,1.0
2006-06-15,1.02,1.07,1.0,1.01,0.3972,5731502.0,0.0,1.0
2006-06-16,1.02,1.06,1.02,1.03,0.4051,3368500.0,0.0,1.0
2006-06-19,1.025,1.025,1.0,1.01,0.3972,363600.0,0.0,1.0
2006-06-20,1.0,1.0,0.98,1.0,0.3933,433505.0,0.0,1.0
2006-06-21,0.99,0.99,0.985,0.99,0.3894,1124875.0,0.0,1.0
2006-06-22,0.99,1.0,0.985,1.0,0.3933,1039300.0,0.0,1.0
2006-06-23,1.0,1.01,0.99,0.995,0.3913,466650.0,0.0,1.0
2006-06-26,1.0,1.0,0.995,1.0,0.3933,296001.0,0.0,1.0
2006-06-27,1.0,1.01,0.99,1.0,0.3933,622497.0,0.0,1.0
2006-06-28,1.0,1.015,1.0,1.015,0.3992,328000.0,0.0,1.0
2006-06-29,1.015,1.035,1.015,1.035,0.4071,943400.0,0.0,1.0
2006-06-30,1.05,1.065,1.04,1.05,0.413,854764.0,0.0,1.0
2006-07-03,1.055,1.065,1.045,1.045,0.411,132149.0,0.0,1.0
2006-07-04,1.05,1.06,1.05,1.05,0.413,1463500.0,0.0,1.0
2006-07-05,1.05,1.05,1.04,1.05,0.413,190701.0,0.0,1.0
2006-07-06,1.045,1.05,1.04,1.05,0.413,368130.0,0.0,1.0
2006-07-07,1.045,1.065,1.045,1.06,0.4169,477000.0,0.0,1.0
2006-07-10,1.055,1.14,1.055,1.12,0.4405,873780.0,0.0,1.0
2006-07-11,1.1,1.1,1.08,1.1,0.4326,317400.0,0.0,1.0
2006-07-12,1.1,1.11,1.09,1.11,0.4366,294300.0,0.0,1.0
2006-07-13,1.1,1.15,1.1,1.13,0.4444,345380.0,0.0,1.0
2006-07-14,1.1,1.12,1.09,1.12,0.4405,657000.0,0.0,1.0
2006-07-17,1.11,1.13,1.1,1.12,0.4405,702073.0,0.0,1.0
2006-07-18,1.12,1.13,1.12,1.13,0.4444,892600.0,0.0,1.0
2006-07-19,1.13,1.17,1.13,1.17,0.4602,1043000.0,0.0,1.0
2006-07-20,1.17,1.19,1.145,1.19,0.468,480327.0,0.0,1.0
2006-07-21,1.18,1.18,1.16,1.16,0.4562,261000.0,0.0,1.0
2006-07-24,1.16,1.17,1.15,1.15,0.4523,28600.0,0.0,1.0
2006-07-25,1.15,1.15,1.13,1.14,0.4484,157933.0,0.0,1.0
2006-07-26,1.14,1.14,1.135,1.14,0.4484,125810.0,0.0,1.0
2006-07-27,1.135,1.145,1.13,1.145,0.4503,162000.0,0.0,1.0
2006-07-28,1.145,1.145,1.145,1.145,0.4503,0.0,0.0,1.0
2006-07-31,1.14,1.145,1.14,1.145,0.4503,37500.0,0.0,1.0
2006-08-01,1.13,1.13,1.13,1.13,0.4444,85000.0,0.0,1.0
2006-08-02,1.13,1.14,1.13,1.13,0.4444,283190.0,0.0,1.0
2006-08-03,1.13,1.135,1.13,1.13,0.4444,27720.0,0.0,1.0
2006-08-04,1.13,1.13,1.12,1.12,0.4405,119000.0,0.0,1.0
2006-08-07,1.12,1.13,1.12,1.13,0.4444,236500.0,0.0,1.0
2006-08-08,1.12,1.13,1.12,1.13,0.4444,55538.0,0.0,1.0
2006-08-09,1.12,1.14,1.12,1.14,0.4484,106380.0,0.0,1.0
2006-08-10,1.135,1.14,1.13,1.14,0.4484,31000.0,0.0,1.0
2006-08-11,1.14,1.14,1.12,1.14,0.4484,74680.0,0.0,1.0
2006-08-14,1.13,1.13,1.13,1.13,0.4444,2142.0,0.0,1.0
2006-08-15,1.12,1.13,1.105,1.13,0.4444,83658.0,0.0,1.0
2006-08-16,1.14,1.16,1.14,1.15,0.4523,298000.0,0.0,1.0
2006-08-17,1.13,1.155,1.13,1.15,0.4523,117627.0,0.0,1.0
2006-08-18,1.15,1.165,1.15,1.16,0.4562,137000.0,0.0,1.0
2006-08-21,1.15,1.165,1.15,1.16,0.4562,88797.0,0.0,1.0
2006-08-22,1.16,1.16,1.14,1.16,0.4562,18800.0,0.0,1.0
2006-08-23,1.15,1.16,1.15,1.15,0.4523,954000.0,0.0,1.0
2006-08-24,1.165,1.22,1.165,1.21,0.4759,1281163.0,0.0,1.0
2006-08-25,1.18,1.19,1.15,1.17,0.4602,203000.0,0.0,1.0
2006-08-28,1.175,1.2,1.17,1.2,0.472,367000.0,0.0,1.0
2006-08-29,1.18,1.22,1.18,1.205,0.4739,153801.0,0.0,1.0
2006-08-30,1.205,1.22,1.2,1.21,0.4759,64287.0,0.0,1.0
2006-08-31,1.21,1.25,1.21,1.22,0.4798,155712.0,0.0,1.0
2006-09-01,1.25,1.28,1.25,1.28,0.5034,285858.0,0.0,1.0
2006-09-04,1.255,1.3,1.25,1.3,0.5113,384988.0,0.0,1.0
2006-09-05,1.3,1.3,1.29,1.3,0.5113,115000.0,0.0,1.0
2006-09-06,1.29,1.3,1.27,1.3,0.5113,35700.0,0.0,1.0
2006-09-07,1.295,1.295,1.255,1.29,0.5074,21857.0,0.0,1.0
2006-09-08,1.255,1.28,1.25,1.28,0.5034,251400.0,0.0,1.0
2006-09-11,1.265,1.28,1.25,1.28,0.5034,10000.0,0.0,1.0
2006-09-12,1.25,1.27,1.23,1.27,0.4995,4710.0,0.0,1.0
2006-09-13,1.24,1.27,1.24,1.27,0.4995,33000.0,0.0,1.0
2006-09-14,1.25,1.25,1.25,1.25,0.4916,50000.0,0.0,1.0
2006-09-15,1.24,1.25,1.24,1.25,0.4916,109500.0,0.0,1.0
2006-09-18,1.25,1.25,1.25,1.25,0.4916,118850.0,0.0,1.0
2006-09-19,1.25,1.25,1.25,1.25,0.4916,35000.0,0.0,1.0
2006-09-20,1.24,1.25,1.24,1.25,0.4916,50000.0,0.0,1.0
2006-09-21,1.24,1.24,1.24,1.24,0.4877,226000.0,0.0,1.0
2006-09-22,1.235,1.25,1.23,1.25,0.4916,307100.0,0.0,1.0
2006-09-25,1.26,1.27,1.26,1.27,0.4995,21500.0,0.0,1.0
2006-09-26,1.25,1.26,1.23,1.26,0.4956,36000.0,0.0,1.0
2006-09-27,1.26,1.28,1.24,1.28,0.5034,148070.0,0.0,1.0
2006-09-28,1.295,1.3,1.29,1.3,0.5113,188280.0,0.0,1.0
2006-09-29,1.3,1.4,1.3,1.395,0.5487,408400.0,0.0,1.0
2006-10-02,1.395,1.4,1.395,1.4,0.5506,10768.0,0.0,1.0
2006-10-03,1.39,1.39,1.31,1.38,0.5428,49500.0,0.0,1.0
2006-10-04,1.38,1.38,1.38,1.38,0.5428,0.0,0.0,1.0
2006-10-05,1.38,1.39,1.38,1.39,0.5467,40000.0,0.0,1.0
2006-10-06,1.38,1.38,1.38,1.38,0.5428,30778.0,0.0,1.0
2006-10-09,1.37,1.385,1.37,1.385,0.5447,24820.0,0.0,1.0
2006-10-10,1.385,1.385,1.35,1.35,0.531,25000.0,0.0,1.0
2006-10-11,1.38,1.38,1.38,1.38,0.5428,52450.0,0.0,1.0
2006-10-12,1.34,1.34,1.34,1.34,0.527,10000.0,0.0,1.0
