date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-10-06,7.5467,7.661,7.5467,7.6038,5.2065,601795.0,0.0,1.0
2004-10-07,7.6038,7.661,7.5467,7.6038,5.2065,889724.0,0.0,1.0
2004-10-08,7.6038,7.6038,7.4895,7.5467,5.1674,1883505.0,0.0,1.0
2004-10-11,7.6038,7.6038,7.5467,7.5467,5.1674,280931.0,0.0,1.0
2004-10-12,7.6038,7.661,7.4895,7.5467,5.1674,2952494.0,0.0,1.0
2004-10-13,7.5467,7.5467,7.4323,7.5467,5.1674,2153695.0,0.0,1.0
2004-10-14,7.4895,7.4895,7.318,7.3751,5.0499,1027105.0,0.0,1.0
2004-10-15,7.3751,7.3751,7.318,7.3751,5.0499,788227.0,0.0,1.0
2004-10-18,7.3751,7.3751,7.2036,7.2608,4.9717,710976.0,0.0,1.0
2004-10-19,7.2608,7.318,7.2608,7.318,5.0108,519937.0,0.0,1.0
2004-10-20,7.318,7.3751,7.2608,7.2608,4.9717,2930602.0,0.0,1.0
2004-10-21,7.318,7.3751,7.2608,7.318,5.0108,1395391.0,0.0,1.0
2004-10-22,7.318,7.318,7.2608,7.318,5.0108,1177734.0,0.0,1.0
2004-10-25,7.2608,7.2608,7.0893,7.1465,4.8934,2366930.0,0.0,1.0
2004-10-26,7.2036,7.2036,7.0321,7.0321,4.8151,1154702.0,0.0,1.0
2004-10-27,7.0893,7.2036,7.0893,7.1465,4.8934,3041436.0,0.0,1.0
2004-10-28,7.1465,7.2036,7.0893,7.1465,4.8934,1061524.0,0.0,1.0
2004-10-29,7.1465,7.3751,7.1465,7.3751,5.0499,3800363.0,0.0,1.0
2004-11-01,7.3751,7.3751,7.2608,7.3751,5.0499,292058.0,0.0,1.0
2004-11-02,7.318,7.318,7.2608,7.2608,4.9717,553146.0,0.0,1.0
2004-11-03,7.318,7.4323,7.2608,7.4323,5.0891,1790869.0,0.0,1.0
2004-11-04,7.4323,7.4323,7.3751,7.4323,5.0891,707635.0,0.0,1.0
2004-11-05,7.4895,7.4895,7.3751,7.4895,5.1282,1739970.0,0.0,1.0
2004-11-08,7.4323,7.4895,7.3751,7.4895,5.1282,947582.0,0.0,1.0
2004-11-09,7.4895,7.4895,7.3751,7.4323,5.0891,635372.0,0.0,1.0
2004-11-10,7.4323,7.4895,7.3751,7.4323,5.0891,1119679.0,0.0,1.0
2004-11-11,7.4323,7.4323,7.3751,7.3751,5.0499,743904.0,0.0,1.0
2004-11-12,7.3751,7.4895,7.3751,7.4323,5.0891,943305.0,0.0,1.0
2004-11-15,7.4323,7.4895,7.4323,7.4895,5.1282,706992.0,0.0,1.0
2004-11-16,7.4895,7.4895,7.3751,7.3751,5.0499,1536224.0,0.0,1.0
2004-11-17,7.3751,7.4323,7.2036,7.2036,4.9325,3166896.0,0.0,1.0
2004-11-18,7.2608,7.3751,7.2036,7.318,5.0108,1160421.0,0.0,1.0
2004-11-19,7.318,7.318,7.2036,7.2036,4.9325,1435245.0,0.0,1.0
2004-11-22,7.2608,7.2608,7.2036,7.2608,4.9717,428569.0,0.0,1.0
2004-11-23,7.318,7.318,7.2036,7.318,5.0108,484186.0,0.0,1.0
2004-11-24,7.318,7.4323,7.2608,7.4323,5.0891,1077821.0,0.0,1.0
2004-11-25,7.4895,7.5467,7.3751,7.4323,5.0891,2465276.0,0.0,1.0
2004-11-26,7.4323,7.4323,7.3751,7.3751,5.0499,209641.0,0.0,1.0
2004-11-29,7.3751,7.3751,7.318,7.3751,5.0499,539003.0,0.0,1.0
2004-11-30,7.3751,7.4895,7.3751,7.4895,5.1282,1643783.0,0.0,1.0
2004-12-01,7.4323,7.5467,7.4323,7.4323,5.0891,2300918.0,0.0,1.0
2004-12-02,7.5467,7.6038,7.4323,7.4895,5.1282,1445578.0,0.0,1.0
