date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-12-05,4.7106,4.72,4.4552,4.4836,3.5914,17930821.0,0.0,1.0
2014-12-08,4.3511,4.6538,4.3038,4.6538,3.7278,2874629.0,0.0,1.0
2014-12-09,4.6538,4.6916,4.5025,4.5214,3.6217,1847269.0,0.0,1.0
2014-12-10,4.5119,4.5119,4.3038,4.3984,3.5233,1775779.0,0.0,1.0
2014-12-11,4.4268,4.4457,4.3133,4.3984,3.5233,1598455.0,0.0,1.0
2014-12-12,4.4079,4.4173,4.3322,4.3606,3.4929,295138.0,0.0,1.0
2014-12-15,4.3322,4.4079,4.3038,4.37,3.5005,467848.0,0.0,1.0
2014-12-16,4.3511,4.37,4.3038,4.3038,3.4475,477473.0,0.0,1.0
2014-12-17,4.3227,4.3227,4.1714,4.2092,3.3717,1115445.0,0.0,1.0
2014-12-18,4.1903,4.4268,4.1903,4.4268,3.546,1031681.0,0.0,1.0
2014-12-19,4.4173,4.5498,4.389,4.5498,3.6445,574533.0,0.0,1.0
2014-12-22,4.5403,4.5498,4.4457,4.5403,3.6369,445908.0,0.0,1.0
2014-12-23,4.5308,4.5403,4.5214,4.5214,3.6217,282725.0,0.0,1.0
2014-12-24,4.5403,4.5498,4.493,4.5119,3.6142,258868.0,0.0,1.0
2014-12-29,4.5403,4.5403,4.5214,4.5403,3.6369,63588.0,0.0,1.0
2014-12-30,4.5308,4.5308,4.5025,4.5025,3.6066,58405.0,0.0,1.0
2014-12-31,4.5119,4.5308,4.4741,4.4836,3.5914,305186.0,0.0,1.0
2015-01-02,4.4836,4.5308,4.4457,4.4741,3.5839,35608.0,0.0,1.0
2015-01-05,4.4646,4.4741,4.3984,4.4646,3.5763,134270.0,0.0,1.0
2015-01-06,4.4646,4.4836,4.4079,4.4836,3.5914,121761.0,0.0,1.0
2015-01-07,4.4836,4.5308,4.4079,4.5308,3.6293,96275.0,0.0,1.0
2015-01-08,4.4457,4.6444,4.4457,4.6444,3.7203,206619.0,0.0,1.0
2015-01-09,4.5781,4.6444,4.5781,4.6444,3.7203,147294.0,0.0,1.0
2015-01-12,4.616,4.6254,4.5876,4.6254,3.7051,361386.0,0.0,1.0
