date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-07-27,1.8452,1.8452,1.8452,1.8452,1.2443,0.0,0.0,1.0
2006-07-28,1.7675,1.7966,1.7286,1.7432,1.1755,62965118.0,0.0,1.0
2006-07-31,1.7675,1.8112,1.7578,1.7966,1.2116,22690663.0,0.0,1.0
2006-08-01,1.7966,1.8403,1.7966,1.8403,1.241,18016582.0,0.0,1.0
2006-08-02,1.8403,1.8549,1.8209,1.8209,1.2279,12297411.0,0.0,1.0
2006-08-03,1.8257,1.8306,1.8112,1.8112,1.2214,4303874.0,0.0,1.0
2006-08-04,1.8112,1.8209,1.7578,1.7869,1.205,2742986.0,0.0,1.0
2006-08-07,1.7772,1.782,1.7286,1.7383,1.1723,4717540.0,0.0,1.0
2006-08-08,1.7383,1.7383,1.6752,1.7092,1.1526,8251941.0,0.0,1.0
2006-08-09,1.6995,1.7481,1.6995,1.7432,1.1755,6504751.0,0.0,1.0
2006-08-10,1.7189,1.7432,1.7189,1.7432,1.1755,1137559.0,0.0,1.0
2006-08-11,1.7432,1.7626,1.7335,1.7578,1.1854,5713679.0,0.0,1.0
2006-08-14,1.7675,1.7869,1.7675,1.782,1.2017,2741634.0,0.0,1.0
2006-08-15,1.782,1.7869,1.7772,1.7869,1.205,3890428.0,0.0,1.0
2006-08-16,1.7869,1.8257,1.7869,1.8015,1.2148,6598120.0,0.0,1.0
2006-08-17,1.7966,1.8063,1.7869,1.7869,1.205,1161266.0,0.0,1.0
2006-08-18,1.7869,1.8063,1.7869,1.7966,1.2116,616398.0,0.0,1.0
2006-08-21,1.8063,1.8063,1.7869,1.7869,1.205,2958360.0,0.0,1.0
2006-08-22,1.7869,1.7917,1.7675,1.7675,1.1919,1660512.0,0.0,1.0
2006-08-23,1.7675,1.7772,1.7626,1.7675,1.1919,653108.0,0.0,1.0
2006-08-24,1.7675,1.7772,1.7675,1.7772,1.1984,1187698.0,0.0,1.0
2006-08-25,1.7772,1.7772,1.7675,1.7675,1.1919,267456.0,0.0,1.0
2006-08-28,1.7723,1.7772,1.7675,1.7723,1.1952,655704.0,0.0,1.0
2006-08-29,1.7772,1.782,1.7723,1.7772,1.1984,848727.0,0.0,1.0
2006-08-30,1.7772,1.782,1.7723,1.7772,1.1984,1054789.0,0.0,1.0
2006-08-31,1.7772,1.7869,1.7723,1.7869,1.205,1014761.0,0.0,1.0
2006-09-01,1.782,1.7966,1.782,1.7917,1.2083,1568492.0,0.0,1.0
2006-09-04,1.7966,1.8015,1.7869,1.7966,1.2116,2618441.0,0.0,1.0
2006-09-05,1.7966,1.8452,1.7917,1.8452,1.2443,7442910.0,0.0,1.0
2006-09-06,1.8452,1.8986,1.8452,1.8743,1.2639,21451003.0,0.0,1.0
2006-09-07,1.884,1.9034,1.884,1.8986,1.2803,9776276.0,0.0,1.0
2006-09-08,1.8937,1.8986,1.8452,1.8937,1.277,1072074.0,0.0,1.0
2006-09-11,1.8937,1.8937,1.8646,1.8889,1.2738,1455496.0,0.0,1.0
2006-09-12,1.8743,1.884,1.8355,1.8403,1.241,5053716.0,0.0,1.0
2006-09-13,1.85,1.8743,1.8209,1.8257,1.2312,5208621.0,0.0,1.0
2006-09-14,1.8257,1.8355,1.8209,1.8355,1.2377,1967940.0,0.0,1.0
2006-09-15,1.8355,1.8403,1.8257,1.8257,1.2312,956672.0,0.0,1.0
2006-09-18,1.8306,1.8306,1.8063,1.816,1.2246,450952.0,0.0,1.0
2006-09-19,1.816,1.8209,1.8015,1.816,1.2246,1640818.0,0.0,1.0
2006-09-20,1.8112,1.8112,1.7723,1.7772,1.1984,1356387.0,0.0,1.0
2006-09-21,1.7869,1.7917,1.7481,1.7578,1.1854,1223088.0,0.0,1.0
2006-09-22,1.7529,1.7578,1.7335,1.7432,1.1755,2403716.0,0.0,1.0
2006-09-25,1.7432,1.7432,1.7335,1.7335,1.169,1404461.0,0.0,1.0
2006-09-26,1.7383,1.7481,1.7335,1.7432,1.1755,479497.0,0.0,1.0
2006-09-27,1.7529,1.7966,1.7529,1.7772,1.1984,2445520.0,0.0,1.0
2006-09-28,1.7966,1.8063,1.7869,1.7869,1.205,3868092.0,0.0,1.0
2006-09-29,1.8015,1.8015,1.7723,1.7772,1.1984,1247401.0,0.0,1.0
2006-10-02,1.7869,1.7869,1.7772,1.7869,1.205,334941.0,0.0,1.0
2006-10-03,1.7772,1.7772,1.7481,1.7481,1.1788,1547222.0,0.0,1.0
2006-10-04,1.7578,1.7723,1.7044,1.7383,1.1723,613548.0,0.0,1.0
2006-10-05,1.7383,1.7481,1.7189,1.7189,1.1592,3899649.0,0.0,1.0
2006-10-06,1.7578,1.7723,1.7044,1.7383,1.1723,613548.0,0.0,1.0
2006-10-09,1.8063,1.8209,1.7675,1.782,1.2017,1314806.0,0.0,1.0
2006-10-10,1.7966,1.8257,1.7966,1.8063,1.2181,1058336.0,0.0,1.0
2006-10-11,1.816,1.816,1.7917,1.7966,1.2116,2936671.0,0.0,1.0
2006-10-12,1.7966,1.8063,1.7772,1.7966,1.2116,982109.0,0.0,1.0
2006-10-13,1.7966,1.7966,1.7481,1.782,1.2017,7270682.0,0.0,1.0
2006-10-16,1.782,1.7917,1.7626,1.7675,1.1919,7248627.0,0.0,1.0
2006-10-17,1.7772,1.8112,1.7772,1.8015,1.2148,4750595.0,0.0,1.0
2006-10-18,1.8112,1.8355,1.8112,1.8306,1.2345,7214257.0,0.0,1.0
2006-10-19,1.8452,1.8743,1.8355,1.8743,1.2639,6958877.0,0.0,1.0
2006-10-20,1.884,1.8986,1.8743,1.884,1.2705,10470616.0,0.0,1.0
2006-10-23,1.884,1.884,1.8355,1.8549,1.2508,2573110.0,0.0,1.0
2006-10-24,1.85,1.8549,1.8403,1.8452,1.2443,2497979.0,0.0,1.0
2006-10-25,1.8452,1.884,1.8452,1.8646,1.2574,3383633.0,0.0,1.0
2006-10-26,1.8743,1.884,1.8646,1.8792,1.2672,2944554.0,0.0,1.0
2006-10-27,1.8792,1.8792,1.8452,1.8452,1.2443,10078024.0,0.0,1.0
2006-10-30,1.8549,1.8694,1.85,1.8549,1.2508,2583529.0,0.0,1.0
2006-10-31,1.8597,1.8694,1.85,1.8646,1.2574,3014780.0,0.0,1.0
2006-11-01,1.8646,1.8743,1.8646,1.8646,1.2574,1645687.0,0.0,1.0
2006-11-02,1.8549,1.8549,1.8403,1.8549,1.2508,1233261.0,0.0,1.0
2006-11-03,1.8549,1.8549,1.8209,1.8209,1.2279,1778461.0,0.0,1.0
2006-11-06,1.8355,1.8452,1.8257,1.8355,1.2377,2788332.0,0.0,1.0
2006-11-07,1.8549,1.8743,1.8452,1.8646,1.2574,1141317.0,0.0,1.0
2006-11-08,1.8646,1.8646,1.8403,1.8597,1.2541,2745086.0,0.0,1.0
2006-11-09,1.8597,1.8597,1.8452,1.8452,1.2443,1927787.0,0.0,1.0
2006-11-10,1.85,1.8597,1.8355,1.8452,1.2443,1854264.0,0.0,1.0
2006-11-13,1.8452,1.8452,1.816,1.816,1.2246,2993416.0,0.0,1.0
2006-11-14,1.8209,1.8209,1.7966,1.8015,1.2148,1665421.0,0.0,1.0
2006-11-15,1.8015,1.816,1.7966,1.7966,1.2116,2033399.0,0.0,1.0
2006-11-16,1.7966,1.8063,1.7723,1.7723,1.1952,1371957.0,0.0,1.0
2006-11-17,1.7917,1.8063,1.7675,1.7966,1.2116,9645222.0,0.0,1.0
2006-11-20,1.7966,1.8355,1.7966,1.816,1.2246,1006253.0,0.0,1.0
2006-11-21,1.8063,1.8355,1.8015,1.8355,1.2377,1063814.0,0.0,1.0
2006-11-22,1.8403,1.8403,1.8063,1.8209,1.2279,1036490.0,0.0,1.0
2006-11-23,1.816,1.8257,1.8015,1.8015,1.2148,1772220.0,0.0,1.0
2006-11-24,1.7966,1.816,1.7917,1.7917,1.2083,3246701.0,0.0,1.0
2006-11-27,1.8063,1.816,1.7917,1.8063,1.2181,622655.0,0.0,1.0
2006-11-28,1.7966,1.7966,1.7238,1.7383,1.1723,4651508.0,0.0,1.0
2006-11-29,1.7626,1.7626,1.7286,1.7383,1.1723,3928190.0,0.0,1.0
2006-11-30,1.7383,1.7383,1.7092,1.7189,1.1592,3814671.0,0.0,1.0
2006-12-01,1.7141,1.7189,1.7044,1.7092,1.1526,1970361.0,0.0,1.0
2006-12-04,1.7092,1.7238,1.6995,1.6995,1.1461,1479061.0,0.0,1.0
2006-12-05,1.7141,1.7238,1.7092,1.7189,1.1592,7325416.0,0.0,1.0
2006-12-06,1.7189,1.7286,1.7141,1.7189,1.1592,5306420.0,0.0,1.0
2006-12-07,1.7189,1.7286,1.7141,1.7189,1.1592,8157180.0,0.0,1.0
2006-12-08,1.7189,1.7432,1.7092,1.7092,1.1526,7105869.0,0.0,1.0
2006-12-11,1.7141,1.7772,1.7141,1.7675,1.1919,2096452.0,0.0,1.0
