date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,175.299,175.299,170.43,170.43,159.2632,3903.0,0.0,1.0
2000-01-05,168.806,168.806,163.937,164.749,153.9544,6342.0,0.0,1.0
2000-01-06,166.047,168.806,159.879,159.879,149.4036,6058.0,0.0,1.0
2000-01-07,164.749,164.749,158.256,160.691,150.1624,16477.0,0.0,1.0
2000-01-10,162.314,164.749,161.502,163.937,153.1957,4702.0,0.0,1.0
2000-01-11,166.372,167.995,159.879,160.691,150.1624,13452.0,0.0,1.0
2000-01-12,166.778,166.778,161.502,165.56,154.7124,2083.0,0.0,1.0
2000-01-13,165.56,165.56,162.314,162.314,151.679,1854.0,0.0,1.0
2000-01-14,161.502,167.183,161.502,165.56,154.7124,15182.0,0.0,1.0
2000-01-17,165.56,167.183,164.749,166.372,155.4712,9966.0,0.0,1.0
2000-01-18,167.183,168.806,163.937,168.806,157.7457,5289.0,0.0,1.0
2000-01-19,166.372,167.183,161.502,161.502,150.9202,1665.0,0.0,1.0
2000-01-20,162.314,166.372,160.691,163.937,153.1957,15057.0,0.0,1.0
2000-01-21,166.372,167.995,164.749,167.995,156.9878,10013.0,0.0,1.0
2000-01-24,167.995,167.995,164.749,164.749,153.9544,5806.0,0.0,1.0
2000-01-25,162.314,163.125,159.879,162.314,151.679,11306.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,160.691,162.314,159.879,162.314,151.679,4808.0,0.0,1.0
2000-01-28,162.314,162.314,161.502,161.502,150.9202,3100.0,0.0,1.0
2000-01-31,160.691,160.691,154.198,155.821,145.6114,5953.0,0.0,1.0
2000-02-01,155.821,159.068,155.821,156.633,146.3703,2281.0,0.0,1.0
2000-02-02,156.633,159.879,155.821,155.821,145.6114,2900.0,0.0,1.0
2000-02-03,155.821,158.256,155.01,155.902,145.6872,5527.0,0.0,1.0
2000-02-04,155.984,159.068,155.01,156.633,146.3703,3957.0,0.0,1.0
2000-02-07,159.068,159.068,155.821,156.633,146.3703,3516.0,0.0,1.0
2000-02-08,158.337,158.337,155.01,157.444,147.1281,4988.0,0.0,1.0
2000-02-09,157.444,158.256,155.821,158.256,147.8869,4216.0,0.0,1.0
2000-02-10,157.444,157.444,154.198,154.198,144.0948,3895.0,0.0,1.0
2000-02-11,155.01,155.821,146.894,151.763,141.8194,11138.0,0.0,1.0
2000-02-14,148.111,150.952,146.894,146.894,137.2694,8227.0,0.0,1.0
2000-02-15,147.787,150.14,146.894,148.517,138.786,7229.0,0.0,1.0
2000-02-16,149.329,150.14,146.083,146.732,137.118,4629.0,0.0,1.0
2000-02-17,146.894,150.14,144.459,144.459,134.9939,16066.0,0.0,1.0
2000-02-18,144.459,147.706,142.836,142.836,133.4772,13923.0,0.0,1.0
2000-02-21,141.375,143.648,137.155,138.778,129.6851,7173.0,0.0,1.0
2000-02-22,137.967,141.213,133.909,137.967,128.9273,12669.0,0.0,1.0
2000-02-23,141.7,145.271,132.286,145.271,135.7527,11148.0,0.0,1.0
2000-02-24,145.271,145.271,137.967,138.778,129.6851,5837.0,0.0,1.0
2000-02-25,138.778,142.836,138.778,140.402,131.2027,4424.0,0.0,1.0
2000-02-28,140.402,142.025,138.778,141.213,131.9606,5395.0,0.0,1.0
2000-02-29,140.402,142.025,136.344,136.344,127.4106,9813.0,0.0,1.0
2000-03-01,137.723,143.648,137.723,142.025,132.7194,12106.0,0.0,1.0
2000-03-02,142.025,145.271,136.344,136.344,127.4106,4607.0,0.0,1.0
2000-03-03,139.59,140.402,137.967,139.59,130.4439,20010.0,0.0,1.0
2000-03-06,142.025,142.025,138.778,139.59,130.4439,23989.0,0.0,1.0
2000-03-07,138.454,139.59,136.344,137.967,128.9273,11448.0,0.0,1.0
2000-03-08,137.155,137.967,136.344,137.155,128.1685,10601.0,0.0,1.0
2000-03-09,137.155,140.402,136.344,136.344,127.4106,6444.0,0.0,1.0
2000-03-10,138.778,142.025,134.721,139.752,130.6337,7445.0,0.0,1.0
2000-03-13,137.967,141.213,137.967,139.59,130.4822,3370.0,0.0,1.0
2000-03-14,139.671,142.025,138.778,141.213,131.9993,5836.0,0.0,1.0
2000-03-15,142.025,146.083,141.213,142.025,132.7583,5669.0,0.0,1.0
2000-03-16,146.083,146.894,144.459,145.271,135.7925,28093.0,0.0,1.0
2000-03-17,146.083,147.706,142.025,143.648,134.2754,12657.0,0.0,1.0
2000-03-20,146.083,149.329,144.459,147.706,138.0687,5643.0,0.0,1.0
2000-03-21,149.329,150.14,142.836,146.083,136.5516,15509.0,0.0,1.0
2000-03-22,145.19,146.894,144.459,146.083,136.5516,5603.0,0.0,1.0
2000-03-23,147.706,147.706,142.025,142.025,132.7583,1725.0,0.0,1.0
2000-03-24,142.025,142.025,136.344,137.967,128.9651,6860.0,0.0,1.0
2000-03-27,137.967,142.025,134.721,135.532,126.689,8673.0,0.0,1.0
2000-03-28,136.344,142.025,136.344,137.155,128.2061,11108.0,0.0,1.0
2000-03-29,137.967,141.213,133.909,134.721,125.9309,8170.0,0.0,1.0
2000-03-30,136.344,137.967,133.26,133.26,124.5652,6830.0,0.0,1.0
2000-03-31,133.909,134.721,131.474,134.721,125.9309,6486.0,0.0,1.0
