date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-07-11,1.25,1.29,1.24,1.275,0.8353,1794958.0,0.0,1.0
2014-07-14,1.29,1.29,1.26,1.27,0.8321,626988.0,0.0,1.0
2014-07-15,1.28,1.28,1.265,1.265,0.8288,2042365.0,0.0,1.0
2014-07-16,1.275,1.31,1.275,1.31,0.8583,350099.0,0.0,1.0
2014-07-17,1.33,1.34,1.32,1.33,0.8714,88100.0,0.0,1.0
2014-07-18,1.33,1.34,1.33,1.33,0.8714,222306.0,0.0,1.0
2014-07-21,1.34,1.35,1.325,1.325,0.8681,109651.0,0.0,1.0
2014-07-22,1.34,1.35,1.32,1.32,0.8648,116944.0,0.0,1.0
2014-07-23,1.32,1.335,1.32,1.335,0.8747,84063.0,0.0,1.0
2014-07-24,1.33,1.335,1.32,1.32,0.8648,41000.0,0.0,1.0
2014-07-25,1.315,1.33,1.315,1.315,0.8616,724283.0,0.0,1.0
2014-07-28,1.325,1.34,1.325,1.33,0.8714,108018.0,0.0,1.0
2014-07-29,1.335,1.34,1.335,1.34,0.8779,58273.0,0.0,1.0
2014-07-30,1.33,1.335,1.33,1.33,0.8714,74800.0,0.0,1.0
2014-07-31,1.34,1.34,1.325,1.33,0.8714,1217355.0,0.0,1.0
2014-08-01,1.33,1.34,1.33,1.34,0.8779,75000.0,0.0,1.0
2014-08-04,1.335,1.34,1.335,1.34,0.8779,37343.0,0.0,1.0
2014-08-05,1.34,1.34,1.33,1.33,0.8714,39736.0,0.0,1.0
2014-08-06,1.34,1.34,1.33,1.33,0.8714,33204.0,0.0,1.0
2014-08-07,1.32,1.33,1.3,1.3,0.8517,34962.0,0.0,1.0
2014-08-08,1.31,1.34,1.31,1.34,0.8779,61772.0,0.0,1.0
2014-08-11,1.34,1.34,1.34,1.34,0.8779,20000.0,0.0,1.0
2014-08-12,1.34,1.34,1.32,1.32,0.8648,77500.0,0.0,1.0
2014-08-13,1.32,1.35,1.32,1.34,0.8779,103333.0,0.0,1.0
2014-08-14,1.34,1.35,1.34,1.35,0.8845,172712.0,0.0,1.0
2014-08-15,1.35,1.35,1.35,1.35,0.8845,0.0,0.0,1.0
2014-08-18,1.4,1.4,1.4,1.4,0.9172,8524.0,0.0,1.0
2014-08-19,1.39,1.39,1.37,1.38,0.9041,47658.0,0.0,1.0
2014-08-20,1.4,1.4,1.38,1.38,0.9041,29000.0,0.0,1.0
2014-08-21,1.39,1.4,1.37,1.37,0.8976,50642.0,0.0,1.0
2014-08-22,1.37,1.4,1.37,1.4,0.9172,1219128.0,0.0,1.0
2014-08-25,1.4,1.41,1.4,1.41,0.9238,255946.0,0.0,1.0
2014-08-26,1.41,1.42,1.375,1.375,0.9009,33500.0,0.0,1.0
2014-08-27,1.42,1.43,1.42,1.425,0.9336,302500.0,0.0,1.0
2014-08-28,1.43,1.44,1.43,1.43,0.9369,230000.0,0.0,1.0
2014-08-29,1.43,1.43,1.42,1.42,0.9303,140849.0,0.0,1.0
2014-09-01,1.45,1.45,1.4,1.4,0.9172,112404.0,0.0,1.0
2014-09-02,1.4,1.42,1.38,1.385,0.9074,109735.0,0.0,1.0
2014-09-03,1.39,1.4,1.38,1.4,0.9172,99668.0,0.0,1.0
2014-09-04,1.4,1.4,1.392,1.4,0.9172,61286.0,0.0,1.0
2014-09-05,1.39,1.4,1.39,1.4,0.9172,238335.0,0.0,1.0
2014-09-08,1.4,1.4,1.39,1.39,0.9107,69976.0,0.0,1.0
2014-09-09,1.39,1.39,1.382,1.385,0.9074,273032.0,0.0,1.0
2014-09-10,1.385,1.385,1.38,1.385,0.9074,385571.0,0.0,1.0
2014-09-11,1.385,1.385,1.37,1.37,0.8976,350171.0,0.0,1.0
2014-09-12,1.38,1.4,1.36,1.38,0.9041,89657.0,0.0,1.0
2014-09-15,1.38,1.4,1.37,1.38,0.9041,50665.0,0.0,1.0
2014-09-16,1.38,1.38,1.38,1.38,0.9041,97012.0,0.0,1.0
2014-09-17,1.38,1.38,1.38,1.38,0.9041,0.0,0.0,1.0
2014-09-18,1.38,1.38,1.35,1.38,0.9041,46739.0,0.0,1.0
2014-09-19,1.38,1.38,1.37,1.37,0.8976,32492.0,0.0,1.0
2014-09-22,1.37,1.38,1.35,1.38,0.9041,18870.0,0.0,1.0
2014-09-23,1.37,1.37,1.34,1.34,0.8779,92981.0,0.0,1.0
2014-09-24,1.34,1.34,1.31,1.31,0.8583,30000.0,0.0,1.0
2014-09-25,1.35,1.39,1.35,1.35,0.8845,196963.0,0.0,1.0
2014-09-26,1.355,1.375,1.335,1.34,0.8779,34135.0,0.0,1.0
2014-09-29,1.345,1.35,1.345,1.35,0.8845,22222.0,0.0,1.0
2014-09-30,1.34,1.375,1.34,1.375,0.9009,127778.0,0.0,1.0
2014-10-01,1.375,1.375,1.375,1.375,0.9009,0.0,0.0,1.0
2014-10-02,1.35,1.35,1.35,1.35,0.8845,68147.0,0.0,1.0
2014-10-03,1.35,1.35,1.35,1.35,0.8845,59453.0,0.0,1.0
2014-10-06,1.35,1.35,1.35,1.35,0.8845,0.0,0.0,1.0
2014-10-07,1.35,1.35,1.35,1.35,0.8845,0.0,0.0,1.0
2014-10-08,1.35,1.35,1.35,1.35,0.8845,22222.0,0.0,1.0
2014-10-09,1.34,1.35,1.33,1.35,0.8845,58888.0,0.0,1.0
2014-10-10,1.32,1.35,1.32,1.32,0.8648,63184.0,0.0,1.0
2014-10-13,1.32,1.35,1.3,1.3,0.8517,103629.0,0.0,1.0
2014-10-14,1.32,1.35,1.32,1.35,0.8845,182222.0,0.0,1.0
2014-10-15,1.35,1.35,1.35,1.35,0.8845,10001.0,0.0,1.0
2014-10-16,1.34,1.35,1.34,1.35,0.8845,18519.0,0.0,1.0
2014-10-17,1.35,1.35,1.35,1.35,0.8845,55555.0,0.0,1.0
2014-10-20,1.35,1.35,1.35,1.35,0.8845,73677.0,0.0,1.0
2014-10-21,1.35,1.35,1.335,1.35,0.8845,59748.0,0.0,1.0
2014-10-22,1.35,1.35,1.34,1.34,0.8779,11259.0,0.0,1.0
2014-10-23,1.34,1.35,1.34,1.35,0.8845,25668.0,0.0,1.0
2014-10-24,1.34,1.35,1.3,1.35,0.8845,139850.0,0.0,1.0
2014-10-27,1.33,1.345,1.33,1.345,0.8812,50838.0,0.0,1.0
2014-10-28,1.345,1.345,1.34,1.345,0.8812,46222.0,0.0,1.0
2014-10-29,1.345,1.35,1.345,1.35,0.8845,45638.0,0.0,1.0
2014-10-30,1.35,1.35,1.33,1.35,0.8845,83926.0,0.0,1.0
2014-10-31,1.35,1.35,1.35,1.35,0.8845,12000.0,0.0,1.0
2014-11-03,1.35,1.35,1.35,1.35,0.8845,67000.0,0.0,1.0
2014-11-04,1.33,1.335,1.33,1.33,0.8714,4178.0,0.0,1.0
2014-11-05,1.33,1.33,1.325,1.325,0.8681,27980.0,0.0,1.0
2014-11-06,1.35,1.35,1.35,1.35,0.8845,59614.0,0.0,1.0
2014-11-07,1.34,1.35,1.34,1.35,0.8845,74074.0,0.0,1.0
2014-11-10,1.35,1.36,1.35,1.36,0.891,14012.0,0.0,1.0
2014-11-11,1.37,1.39,1.37,1.375,0.9009,45741.0,0.0,1.0
2014-11-12,1.375,1.39,1.37,1.38,0.9041,32016.0,0.0,1.0
