date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,1.1495,1.1543,1.1495,1.1495,0.6201,5510.0,0.0,1.0
2000-01-05,1.1543,1.1543,1.1062,1.1399,0.6149,53755.0,0.0,1.0
2000-01-06,1.1303,1.1303,1.1062,1.1062,0.5967,51774.0,0.0,1.0
2000-01-07,1.1062,1.1062,1.0581,1.0581,0.5708,47125.0,0.0,1.0
2000-01-10,1.1029,1.1029,1.0678,1.0678,0.576,23342.0,0.0,1.0
2000-01-11,1.0822,1.0822,1.0581,1.0581,0.5708,13930.0,0.0,1.0
2000-01-12,1.0581,1.0581,1.01,1.01,0.5448,128345.0,0.0,1.0
2000-01-13,0.986,0.986,0.9764,0.986,0.5319,12175.0,0.0,1.0
2000-01-14,0.986,1.0533,0.986,1.0341,0.5578,6778.0,0.0,1.0
2000-01-17,1.01,1.01,0.9764,0.9764,0.5267,3418.0,0.0,1.0
2000-01-18,1.01,1.0341,1.01,1.0341,0.5578,17970.0,0.0,1.0
2000-01-19,1.01,1.01,1.01,1.01,0.5448,11643.0,0.0,1.0
2000-01-20,1.01,1.0149,1.01,1.0149,0.5474,2742.0,0.0,1.0
2000-01-21,1.0149,1.0293,1.01,1.01,0.5448,17645.0,0.0,1.0
2000-01-24,1.01,1.01,0.962,0.986,0.5319,69267.0,0.0,1.0
2000-01-25,0.986,0.9908,0.986,0.9908,0.5345,7593.0,0.0,1.0
2000-01-26,0.9908,0.9908,0.9908,0.9908,0.5345,0.0,0.0,1.0
2000-01-27,1.01,1.01,0.9956,0.9956,0.5371,7797.0,0.0,1.0
2000-01-28,0.9956,1.0293,0.9956,1.0245,0.5526,17510.0,0.0,1.0
2000-01-31,1.0245,1.0533,1.0245,1.0533,0.5682,34097.0,0.0,1.0
2000-02-01,1.0533,1.087,1.0533,1.087,0.5863,37112.0,0.0,1.0
2000-02-02,1.0822,1.0918,1.0822,1.087,0.5863,37987.0,0.0,1.0
2000-02-03,1.087,1.087,1.087,1.087,0.5863,17880.0,0.0,1.0
2000-02-04,1.0856,1.087,1.0437,1.0437,0.563,14822.0,0.0,1.0
2000-02-07,1.0581,1.0822,1.0581,1.063,0.5734,4127.0,0.0,1.0
2000-02-08,1.0341,1.0341,1.0341,1.0341,0.6157,10395.0,0.0,1.0
2000-02-09,1.0341,1.0341,1.01,1.01,0.6014,4158.0,0.0,1.0
2000-02-10,1.01,1.01,1.01,1.01,0.6014,20791.0,0.0,1.0
2000-02-11,1.01,1.01,0.9908,0.9908,0.59,7144.0,0.0,1.0
2000-02-14,0.9908,1.01,0.9908,1.01,0.6014,4158.0,0.0,1.0
2000-02-15,0.9956,0.9956,0.986,0.986,0.5871,23375.0,0.0,1.0
2000-02-16,0.9908,1.01,0.9908,1.01,0.6014,31706.0,0.0,1.0
2000-02-17,0.9908,1.01,0.9908,1.01,0.6014,1601.0,0.0,1.0
2000-02-18,1.01,1.0197,0.9908,1.0197,0.6071,26612.0,0.0,1.0
2000-02-21,1.0197,1.0197,1.0197,1.0197,0.6071,8940.0,0.0,1.0
2000-02-22,1.01,1.01,0.986,0.9908,0.59,67103.0,0.0,1.0
2000-02-23,1.01,1.01,0.9764,0.9764,0.5814,7589.0,0.0,1.0
2000-02-24,1.0158,1.0158,0.9668,1.0004,0.5957,20504.0,0.0,1.0
2000-02-25,0.986,1.01,0.986,1.01,0.6014,16138.0,0.0,1.0
2000-02-28,0.986,0.986,0.986,0.986,0.5871,32496.0,0.0,1.0
2000-02-29,0.986,1.01,0.9668,1.01,0.6014,87031.0,0.0,1.0
2000-03-01,0.9668,0.9668,0.9668,0.9668,0.5756,30544.0,0.0,1.0
2000-03-02,1.01,1.01,0.9668,1.01,0.6014,21882.0,0.0,1.0
2000-03-03,1.01,1.0293,1.01,1.0293,0.6129,35345.0,0.0,1.0
2000-03-06,1.0293,1.0341,1.0293,1.0341,0.6157,41582.0,0.0,1.0
2000-03-07,0.9764,0.9764,0.9764,0.9764,0.5814,2339.0,0.0,1.0
2000-03-08,1.011,1.011,1.0052,1.0052,0.5985,7077.0,0.0,1.0
2000-03-09,1.0052,1.0052,1.0052,1.0052,0.5985,0.0,0.0,1.0
2000-03-10,1.0052,1.0052,0.9908,0.9908,0.59,2252.0,0.0,1.0
2000-03-13,0.9908,1.0004,0.9908,1.0004,0.5957,14969.0,0.0,1.0
2000-03-14,0.9749,0.9764,0.9716,0.9764,0.5814,13254.0,0.0,1.0
2000-03-15,0.9812,0.9812,0.9764,0.9764,0.5814,2599.0,0.0,1.0
2000-03-16,0.986,0.986,0.986,0.986,0.5871,520.0,0.0,1.0
2000-03-17,1.0004,1.0004,0.9956,1.0004,0.5957,11537.0,0.0,1.0
2000-03-20,1.0052,1.01,1.0004,1.0004,0.5957,7797.0,0.0,1.0
2000-03-21,1.0004,1.01,1.0004,1.01,0.6014,19354.0,0.0,1.0
2000-03-22,0.986,0.9908,0.986,0.9908,0.59,7175.0,0.0,1.0
2000-03-23,0.986,1.0004,0.9812,0.9812,0.5842,26508.0,0.0,1.0
2000-03-24,0.986,0.986,0.9716,0.9764,0.5814,139270.0,0.0,1.0
2000-03-27,0.9668,0.9668,0.9139,0.9139,0.5441,34153.0,0.0,1.0
2000-03-28,0.9235,0.9283,0.9235,0.9283,0.5527,8277.0,0.0,1.0
2000-03-29,0.9283,0.9283,0.9235,0.9283,0.5527,9928.0,0.0,1.0
2000-03-30,0.9475,0.962,0.9475,0.962,0.5728,8379.0,0.0,1.0
2000-03-31,0.9668,0.9716,0.9668,0.9668,0.5756,12888.0,0.0,1.0
2000-04-03,0.9668,0.986,0.9668,0.986,0.5871,30461.0,0.0,1.0
