date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-11-09,1.35,1.35,1.3,1.35,1.0615,38350.0,0.0,1.0
2016-11-10,1.33,1.35,1.33,1.35,1.0615,485810.0,0.0,1.0
2016-11-11,1.35,1.35,1.35,1.35,1.0615,0.0,0.0,1.0
2016-11-14,1.33,1.33,1.33,1.33,1.0457,22500.0,0.0,1.0
2016-11-15,1.32,1.32,1.25,1.27,0.9986,101075.0,0.0,1.0
2016-11-16,1.27,1.28,1.27,1.27,0.9986,22977.0,0.0,1.0
2016-11-17,1.27,1.27,1.27,1.27,0.9986,0.0,0.0,1.0
2016-11-18,1.27,1.27,1.27,1.27,0.9986,0.0,0.0,1.0
2016-11-21,1.295,1.3,1.295,1.3,1.0221,12962.0,0.0,1.0
2016-11-22,1.3,1.3,1.3,1.3,1.0221,0.0,0.0,1.0
2016-11-23,1.3,1.31,1.27,1.3,1.0221,159574.0,0.0,1.0
2016-11-24,1.3,1.31,1.295,1.3,1.0221,39906.0,0.0,1.0
2016-11-25,1.295,1.3,1.29,1.29,1.0143,40000.0,0.0,1.0
2016-11-28,1.29,1.295,1.29,1.29,1.0143,566390.0,0.0,1.0
2016-11-29,1.3,1.3,1.3,1.3,1.0221,3094.0,0.0,1.0
2016-11-30,1.3,1.3,1.3,1.3,1.0221,0.0,0.0,1.0
2016-12-01,1.3,1.3,1.3,1.3,1.0221,0.0,0.0,1.0
2016-12-02,1.3,1.3,1.3,1.3,1.0221,0.0,0.0,1.0
2016-12-05,1.25,1.3,1.25,1.26,0.9907,22424.0,0.0,1.0
2016-12-06,1.26,1.26,1.26,1.26,0.9907,0.0,0.0,1.0
2016-12-07,1.3,1.3,1.3,1.3,1.0221,30007.0,0.0,1.0
2016-12-08,1.3,1.3,1.3,1.3,1.0221,98369.0,0.0,1.0
2016-12-09,1.31,1.31,1.31,1.31,1.03,15000.0,0.0,1.0
2016-12-12,1.3,1.3,1.3,1.3,1.0221,90013.0,0.0,1.0
2016-12-13,1.3,1.305,1.3,1.3,1.0221,241987.0,0.0,1.0
2016-12-14,1.31,1.32,1.31,1.31,1.03,200379.0,0.0,1.0
2016-12-15,1.31,1.31,1.29,1.29,1.0143,1878.0,0.0,1.0
2016-12-16,1.3,1.31,1.3,1.3,1.0221,302944.0,0.0,1.0
2016-12-19,1.3,1.3,1.3,1.3,1.0221,1072690.0,0.0,1.0
2016-12-20,1.305,1.305,1.3,1.3,1.0221,868700.0,0.0,1.0
2016-12-21,1.3,1.3,1.29,1.3,1.0221,754570.0,0.0,1.0
2016-12-22,1.34,1.34,1.34,1.34,1.0536,1000.0,0.0,1.0
2016-12-23,1.34,1.34,1.34,1.34,1.0536,0.0,0.0,1.0
2016-12-28,1.34,1.34,1.34,1.34,1.0536,1954.0,0.0,1.0
2016-12-29,1.34,1.34,1.34,1.34,1.0647,0.0,0.0,1.0
2016-12-30,1.35,1.35,1.35,1.35,1.0727,22500.0,0.0,1.0
2017-01-03,1.35,1.35,1.35,1.35,1.0727,0.0,0.0,1.0
2017-01-04,1.35,1.35,1.35,1.35,1.0727,0.0,0.0,1.0
2017-01-05,1.33,1.33,1.33,1.33,1.0568,112780.0,0.0,1.0
2017-01-06,1.33,1.33,1.33,1.33,1.0568,0.0,0.0,1.0
2017-01-09,1.33,1.33,1.33,1.33,1.0568,0.0,0.0,1.0
2017-01-10,1.33,1.33,1.33,1.33,1.0568,0.0,0.0,1.0
2017-01-11,1.3,1.33,1.3,1.33,1.0568,92121.0,0.0,1.0
2017-01-12,1.315,1.315,1.315,1.315,1.0449,23.0,0.0,1.0
2017-01-13,1.315,1.315,1.315,1.315,1.0449,25710.0,0.0,1.0
2017-01-16,1.315,1.315,1.315,1.315,1.0449,0.0,0.0,1.0
2017-01-17,1.315,1.315,1.315,1.315,1.0449,0.0,0.0,1.0
2017-01-18,1.315,1.315,1.315,1.315,1.0449,1477.0,0.0,1.0
2017-01-19,1.315,1.315,1.315,1.315,1.0449,0.0,0.0,1.0
2017-01-20,1.32,1.32,1.32,1.32,1.0488,157610.0,0.0,1.0
2017-01-23,1.29,1.32,1.29,1.32,1.0488,11890.0,0.0,1.0
2017-01-24,1.32,1.32,1.32,1.32,1.0488,8889.0,0.0,1.0
2017-01-25,1.32,1.32,1.26,1.32,1.0488,357561.0,0.0,1.0
2017-01-27,1.32,1.32,1.32,1.32,1.0488,0.0,0.0,1.0
2017-01-30,1.32,1.32,1.32,1.32,1.0488,0.0,0.0,1.0
2017-01-31,1.32,1.32,1.32,1.32,1.0488,0.0,0.0,1.0
2017-02-01,1.32,1.35,1.32,1.35,1.0727,317327.0,0.0,1.0
2017-02-02,1.35,1.35,1.35,1.35,1.0727,0.0,0.0,1.0
2017-02-03,1.32,1.35,1.32,1.35,1.0727,15000.0,0.0,1.0
2017-02-06,1.35,1.35,1.35,1.35,1.0727,0.0,0.0,1.0
2017-02-07,1.35,1.35,1.35,1.35,1.0727,0.0,0.0,1.0
2017-02-08,1.35,1.35,1.35,1.35,1.0727,0.0,0.0,1.0
2017-02-09,1.35,1.35,1.35,1.35,1.0727,0.0,0.0,1.0
2017-02-10,1.3,1.3,1.3,1.3,1.0329,1678568.0,0.0,1.0
2017-02-13,1.3,1.3,1.3,1.3,1.0329,0.0,0.0,1.0
2017-02-14,1.35,1.35,1.35,1.35,1.0727,12848.0,0.0,1.0
2017-02-15,1.35,1.35,1.35,1.35,1.0727,36544.0,0.0,1.0
2017-02-16,1.305,1.35,1.305,1.35,1.0727,392.0,0.0,1.0
2017-02-17,1.35,1.35,1.35,1.35,1.0727,25.0,0.0,1.0
2017-02-20,1.35,1.35,1.33,1.33,1.0568,771.0,0.0,1.0
2017-02-21,1.33,1.33,1.33,1.33,1.0568,29870.0,0.0,1.0
2017-02-22,1.33,1.33,1.33,1.33,1.0568,0.0,0.0,1.0
2017-02-23,1.33,1.33,1.33,1.33,1.0568,0.0,0.0,1.0
2017-02-24,1.33,1.33,1.33,1.33,1.0568,0.0,0.0,1.0
2017-02-27,1.33,1.33,1.305,1.305,1.0369,65.0,0.0,1.0
2017-02-28,1.305,1.305,1.305,1.305,1.0369,0.0,0.0,1.0
2017-03-01,1.305,1.305,1.305,1.305,1.0369,0.0,0.0,1.0
2017-03-02,1.305,1.305,1.305,1.305,1.0369,0.0,0.0,1.0
2017-03-03,1.305,1.305,1.305,1.305,1.0369,0.0,0.0,1.0
2017-03-06,1.345,1.345,1.34,1.34,1.0647,390.0,0.0,1.0
2017-03-07,1.34,1.34,1.3,1.3,1.0329,43173.0,0.0,1.0
2017-03-08,1.3,1.33,1.3,1.33,1.0568,5019.0,0.0,1.0
2017-03-09,1.32,1.32,1.3,1.3,1.0329,50886.0,0.0,1.0
2017-03-10,1.3,1.3,1.3,1.3,1.0329,502614.0,0.0,1.0
2017-03-13,1.3,1.3,1.3,1.3,1.0329,0.0,0.0,1.0
2017-03-14,1.3,1.3,1.3,1.3,1.0329,0.0,0.0,1.0
2017-03-15,1.3,1.3,1.3,1.3,1.0329,10360.0,0.0,1.0
2017-03-16,1.3,1.3,1.3,1.3,1.0329,1500.0,0.0,1.0
2017-03-17,1.29,1.29,1.29,1.29,1.025,1352374.0,0.0,1.0
2017-03-20,1.29,1.29,1.29,1.29,1.025,13.0,0.0,1.0
2017-03-21,1.29,1.29,1.29,1.29,1.025,40858.0,0.0,1.0
2017-03-22,1.29,1.29,1.29,1.29,1.025,11443.0,0.0,1.0
2017-03-23,1.29,1.3,1.29,1.3,1.0329,1097.0,0.0,1.0
2017-03-24,1.3,1.3,1.3,1.3,1.0329,0.0,0.0,1.0
2017-03-27,1.285,1.285,1.285,1.285,1.021,10001.0,0.0,1.0
2017-03-28,1.285,1.285,1.285,1.285,1.021,0.0,0.0,1.0
2017-03-29,1.285,1.29,1.285,1.29,1.025,123409.0,0.0,1.0
2017-03-30,1.29,1.305,1.29,1.305,1.0369,245873.0,0.0,1.0
2017-03-31,1.305,1.305,1.305,1.305,1.0369,0.0,0.0,1.0
2017-04-03,1.305,1.305,1.305,1.305,1.0369,16000.0,0.0,1.0
2017-04-04,1.305,1.305,1.305,1.305,1.0369,7400.0,0.0,1.0
