date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-08-20,1.098,1.098,1.0431,1.0431,0.9041,3643.0,0.0,1.0
2002-08-21,1.098,1.098,1.0431,1.0431,0.9041,7741.0,0.0,1.0
2002-08-22,1.0431,1.0431,1.0431,1.0431,0.9041,0.0,0.0,1.0
2002-08-23,1.098,1.1529,1.098,1.1529,0.9993,12295.0,0.0,1.0
2002-08-26,1.1529,1.1529,1.1529,1.1529,0.9993,911.0,0.0,1.0
2002-08-27,1.1255,1.2078,1.1255,1.1529,0.9993,83787.0,0.0,1.0
2002-08-28,1.2078,1.2078,1.1529,1.1529,0.9993,154824.0,0.0,1.0
2002-08-29,1.2078,1.2078,1.2078,1.2078,1.0469,27322.0,0.0,1.0
2002-08-30,1.2078,1.2627,1.2078,1.2627,1.0944,50090.0,0.0,1.0
2002-09-02,1.2627,1.2627,1.2627,1.2627,1.0944,0.0,0.0,1.0
2002-09-03,1.2353,1.2353,1.2353,1.2353,1.0707,4554.0,0.0,1.0
2002-09-04,1.2353,1.2353,1.2353,1.2353,1.0707,2550.0,0.0,1.0
2002-09-05,1.2078,1.2078,1.2078,1.2078,1.0469,25500.0,0.0,1.0
2002-09-06,1.2078,1.2627,1.2078,1.2078,1.0469,22841.0,0.0,1.0
2002-09-09,1.2078,1.2078,1.2078,1.2078,1.0469,0.0,0.0,1.0
2002-09-10,1.2078,1.2078,1.2078,1.2078,1.0469,0.0,0.0,1.0
2002-09-11,1.3176,1.3176,1.3176,1.3176,1.142,1038.0,0.0,1.0
2002-09-12,1.3176,1.3176,1.3176,1.3176,1.142,0.0,0.0,1.0
2002-09-13,1.3176,1.3176,1.3176,1.3176,1.142,1694.0,0.0,1.0
2002-09-16,1.3725,1.3725,1.3451,1.3451,1.1658,4554.0,0.0,1.0
2002-09-17,1.3725,1.4,1.3725,1.4,1.2134,7286.0,0.0,1.0
2002-09-18,1.4274,1.4549,1.4274,1.4549,1.261,7832.0,0.0,1.0
2002-09-19,1.4549,1.4549,1.2627,1.4274,1.2372,14550.0,0.0,1.0
2002-09-20,1.4274,1.4274,1.4274,1.4274,1.2372,29143.0,0.0,1.0
2002-09-23,1.4274,1.4274,1.4274,1.4274,1.2372,0.0,0.0,1.0
2002-09-24,1.4274,1.4274,1.4274,1.4274,1.2372,0.0,0.0,1.0
2002-09-25,1.4274,1.4274,1.4274,1.4274,1.2372,0.0,0.0,1.0
2002-09-26,1.4274,1.4274,1.4274,1.4274,1.2372,0.0,0.0,1.0
2002-09-27,1.2627,1.2627,1.2627,1.2627,1.0944,2732.0,0.0,1.0
2002-09-30,1.2627,1.2627,1.2627,1.2627,1.0944,0.0,0.0,1.0
2002-10-01,1.2627,1.3725,1.2627,1.3176,1.142,15220.0,0.0,1.0
2002-10-02,1.3176,1.3176,1.3176,1.3176,1.142,0.0,0.0,1.0
2002-10-03,1.3176,1.3176,1.3176,1.3176,1.142,0.0,0.0,1.0
2002-10-04,1.3176,1.3176,1.3176,1.3176,1.142,0.0,0.0,1.0
2002-10-07,1.3176,1.3176,1.3176,1.3176,1.142,0.0,0.0,1.0
2002-10-08,1.2902,1.2902,1.2353,1.2353,1.0707,4226.0,0.0,1.0
2002-10-09,1.2353,1.2353,1.2078,1.2078,1.0469,59197.0,0.0,1.0
2002-10-10,1.1529,1.1529,1.1255,1.1255,0.9755,5592.0,0.0,1.0
2002-10-11,1.1255,1.1255,1.1255,1.1255,0.9755,0.0,0.0,1.0
2002-10-14,1.2078,1.2627,1.2078,1.2627,1.0944,21858.0,0.0,1.0
2002-10-15,1.1804,1.1804,1.1529,1.1529,0.9993,23679.0,0.0,1.0
2002-10-16,1.1529,1.1529,1.1529,1.1529,0.9993,80.0,0.0,1.0
2002-10-17,1.1804,1.2353,1.1804,1.2353,1.0707,17841.0,0.0,1.0
2002-10-18,1.1804,1.1804,1.1804,1.1804,1.0231,23905.0,0.0,1.0
2002-10-21,1.1804,1.1804,1.1804,1.1804,1.0231,147.0,0.0,1.0
2002-10-22,1.1804,1.1804,1.1804,1.1804,1.0231,0.0,0.0,1.0
2002-10-23,1.1804,1.1804,1.1804,1.1804,1.0231,0.0,0.0,1.0
2002-10-24,1.2078,1.2078,1.2078,1.2078,1.0469,3581.0,0.0,1.0
2002-10-25,1.2078,1.2627,1.2078,1.2627,1.0944,6193.0,0.0,1.0
2002-10-28,1.2627,1.2627,1.2627,1.2627,1.0944,0.0,0.0,1.0
2002-10-29,1.1804,1.1804,1.1529,1.1529,0.9993,4782.0,0.0,1.0
2002-10-30,1.098,1.098,1.098,1.098,0.9517,1002.0,0.0,1.0
2002-10-31,1.098,1.1529,1.098,1.098,0.9517,7878.0,0.0,1.0
2002-11-01,1.1529,1.1529,1.1529,1.1529,0.9993,2732.0,0.0,1.0
2002-11-04,1.1529,1.1529,1.1529,1.1529,0.9993,0.0,0.0,1.0
2002-11-05,1.1255,1.1255,1.1255,1.1255,0.9755,1821.0,0.0,1.0
2002-11-06,1.098,1.098,1.098,1.098,0.9517,4554.0,0.0,1.0
2002-11-07,1.1255,1.1529,1.1255,1.1255,0.9755,12084.0,0.0,1.0
2002-11-08,1.2078,1.2078,1.2078,1.2078,1.0469,25500.0,0.0,1.0
2002-11-11,1.2078,1.2078,1.2078,1.2078,1.0469,0.0,0.0,1.0
2002-11-12,1.2353,1.2353,1.2353,1.2353,1.0707,546.0,0.0,1.0
2002-11-13,1.2353,1.2353,1.2353,1.2353,1.0707,1275.0,0.0,1.0
2002-11-14,1.2353,1.2353,1.2353,1.2353,1.0707,0.0,0.0,1.0
2002-11-15,1.2353,1.2353,1.2353,1.2353,1.0707,0.0,0.0,1.0
2002-11-18,1.2353,1.2353,1.2353,1.2353,1.0707,756.0,0.0,1.0
2002-11-19,1.2078,1.2078,1.2078,1.2078,1.0469,1821.0,0.0,1.0
2002-11-20,1.1529,1.1529,1.1529,1.1529,0.9993,6375.0,0.0,1.0
2002-11-21,1.1529,1.1529,1.1529,1.1529,0.9993,0.0,0.0,1.0
2002-11-22,1.098,1.098,1.098,1.098,0.9517,4554.0,0.0,1.0
2002-11-25,1.098,1.098,1.098,1.098,0.9517,0.0,0.0,1.0
2002-11-26,1.098,1.098,1.098,1.098,0.9517,1821.0,0.0,1.0
2002-11-27,1.0431,1.0431,1.0431,1.0431,0.9041,1821.0,0.0,1.0
2002-11-28,1.0706,1.098,1.0706,1.098,0.9517,2887.0,0.0,1.0
2002-11-29,1.098,1.098,1.098,1.098,0.9517,0.0,0.0,1.0
2002-12-02,1.098,1.098,1.098,1.098,0.9517,0.0,0.0,1.0
2002-12-03,1.098,1.098,1.098,1.098,0.9517,0.0,0.0,1.0
2002-12-04,1.098,1.098,1.098,1.098,0.9517,0.0,0.0,1.0
2002-12-05,1.098,1.098,1.0706,1.0706,0.9279,18215.0,0.0,1.0
2002-12-06,1.2078,1.2078,1.2078,1.2078,1.0469,1821.0,0.0,1.0
2002-12-09,1.2353,1.2353,1.2353,1.2353,1.0707,1821.0,0.0,1.0
2002-12-10,1.2353,1.2353,1.2353,1.2353,1.0707,0.0,0.0,1.0
2002-12-11,1.2353,1.2353,1.2353,1.2353,1.0707,0.0,0.0,1.0
2002-12-12,1.2353,1.2353,1.2353,1.2353,1.0707,0.0,0.0,1.0
2002-12-13,1.2353,1.2353,1.2353,1.2353,1.0707,0.0,0.0,1.0
2002-12-16,1.2353,1.2353,1.2353,1.2353,1.0707,0.0,0.0,1.0
2002-12-17,1.2353,1.3176,1.2353,1.3176,1.142,14572.0,0.0,1.0
2002-12-18,1.3176,1.3176,1.3176,1.3176,1.142,0.0,0.0,1.0
2002-12-19,1.3725,1.3725,1.3176,1.3725,1.1896,5464.0,0.0,1.0
2002-12-20,1.3176,1.3176,1.3176,1.3176,1.142,1821.0,0.0,1.0
2002-12-23,1.3176,1.3176,1.3176,1.3176,1.142,0.0,0.0,1.0
2002-12-24,1.3176,1.3176,1.3176,1.3176,1.142,0.0,0.0,1.0
2002-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-12-27,1.4274,1.4274,1.4274,1.4274,1.2372,7104.0,0.0,1.0
2002-12-30,1.4274,1.4274,1.4274,1.4274,1.2372,0.0,0.0,1.0
2002-12-31,1.4274,1.4274,1.4274,1.4274,1.2372,0.0,0.0,1.0
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-01-02,1.4274,1.4274,1.4274,1.4274,1.2372,0.0,0.0,1.0
2003-01-03,1.4823,1.4823,1.4823,1.4823,1.2848,4554.0,0.0,1.0
2003-01-06,1.5372,1.647,1.5372,1.647,1.4275,38251.0,0.0,1.0
2003-01-07,1.647,1.7019,1.647,1.7019,1.4751,106555.0,0.0,1.0
2003-01-08,1.647,1.647,1.647,1.647,1.4275,4554.0,0.0,1.0
2003-01-09,1.647,1.647,1.647,1.647,1.4275,0.0,0.0,1.0
2003-01-10,1.647,1.8117,1.647,1.8117,1.5703,110122.0,0.0,1.0
2003-01-13,1.8117,1.8117,1.8117,1.8117,1.5703,11839.0,0.0,1.0
2003-01-14,1.6745,1.6745,1.647,1.647,1.4275,18816.0,0.0,1.0
2003-01-15,1.647,1.647,1.647,1.647,1.4275,0.0,0.0,1.0
2003-01-16,1.647,1.647,1.647,1.647,1.4275,0.0,0.0,1.0
2003-01-17,1.8117,1.8117,1.8117,1.8117,1.5703,6375.0,0.0,1.0
2003-01-20,1.8117,1.8117,1.8117,1.8117,1.5703,2914.0,0.0,1.0
2003-01-21,1.7019,1.7019,1.7019,1.7019,1.4751,1457.0,0.0,1.0
2003-01-22,1.7019,1.7019,1.7019,1.7019,1.4751,0.0,0.0,1.0
2003-01-23,1.7019,1.7019,1.7019,1.7019,1.4751,0.0,0.0,1.0
2003-01-24,1.4823,1.7568,1.4823,1.647,1.4275,23957.0,0.0,1.0
2003-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-01-28,1.8117,1.9215,1.8117,1.8392,1.5941,53201.0,0.0,1.0
2003-01-29,1.8392,1.8392,1.8117,1.8117,1.5703,1625.0,0.0,1.0
2003-01-30,1.8117,1.8117,1.8117,1.8117,1.5703,607.0,0.0,1.0
2003-01-31,1.8666,1.9215,1.8666,1.9215,1.6655,38113.0,0.0,1.0
2003-02-03,1.9215,1.9215,1.9215,1.9215,1.6655,455.0,0.0,1.0
2003-02-04,1.9215,1.9215,1.9215,1.9215,1.6655,0.0,0.0,1.0
2003-02-05,1.9215,1.9215,1.9215,1.9215,1.6655,911.0,0.0,1.0
2003-02-06,1.9215,1.9215,1.9215,1.9215,1.6655,0.0,0.0,1.0
2003-02-07,1.7568,1.9215,1.7568,1.9215,1.6655,2109.0,0.0,1.0
2003-02-10,1.9215,1.9215,1.9215,1.9215,1.6655,23238.0,0.0,1.0
2003-02-11,1.9215,1.9215,1.8666,1.8666,1.6179,1620.0,0.0,1.0
2003-02-12,1.8666,1.8666,1.8666,1.8666,1.6179,0.0,0.0,1.0
2003-02-13,1.7568,1.7568,1.7568,1.7568,1.5227,3825.0,0.0,1.0
2003-02-14,1.647,1.647,1.647,1.647,1.4275,2281.0,0.0,1.0
2003-02-17,1.647,1.647,1.647,1.647,1.4275,1730.0,0.0,1.0
2003-02-18,1.647,1.647,1.5921,1.5921,1.38,6006.0,0.0,1.0
2003-02-19,1.5921,1.5921,1.5921,1.5921,1.38,4924.0,0.0,1.0
2003-02-20,1.647,1.647,1.647,1.647,1.4275,4007.0,0.0,1.0
2003-02-21,1.6196,1.7568,1.5921,1.7019,1.4751,41898.0,0.0,1.0
2003-02-24,1.7568,1.7568,1.7568,1.7568,1.5227,7387.0,0.0,1.0
2003-02-25,1.7568,1.7568,1.7568,1.7568,1.5227,0.0,0.0,1.0
2003-02-26,1.8117,1.9215,1.8117,1.9215,1.6655,4999.0,0.0,1.0
2003-02-27,1.9215,1.9764,1.9215,1.9215,1.6655,16039.0,0.0,1.0
2003-02-28,1.9215,1.9764,1.9215,1.9764,1.713,5464.0,0.0,1.0
2003-03-03,1.9764,2.196,1.9764,2.196,1.9034,19915.0,0.0,1.0
2003-03-04,2.196,2.4705,2.196,2.4156,2.0937,17304.0,0.0,1.0
2003-03-05,2.3607,2.3607,2.196,2.196,1.9034,6011.0,0.0,1.0
2003-03-06,2.2784,2.4156,2.2509,2.3058,1.9986,5537.0,0.0,1.0
2003-03-07,2.3058,2.4705,2.3058,2.4705,2.1413,24225.0,0.0,1.0
2003-03-10,2.4156,2.4705,2.4156,2.4705,2.1413,2095.0,0.0,1.0
2003-03-11,2.4156,2.4156,2.3607,2.3607,2.0461,10437.0,0.0,1.0
2003-03-12,2.3607,2.4156,2.3607,2.4156,2.0937,4535.0,0.0,1.0
2003-03-13,2.3882,2.3882,2.2509,2.2509,1.951,4105.0,0.0,1.0
2003-03-14,2.2509,2.2509,2.0862,2.0862,1.8082,2564.0,0.0,1.0
2003-03-17,2.0862,2.0862,2.0862,2.0862,1.8082,0.0,0.0,1.0
2003-03-18,2.0862,2.0862,2.0862,2.0862,1.8082,0.0,0.0,1.0
2003-03-19,2.1686,2.196,2.1686,2.196,1.9034,228.0,0.0,1.0
2003-03-20,2.1686,2.1686,2.1686,2.1686,1.8796,1093.0,0.0,1.0
2003-03-21,2.1411,2.1686,2.1411,2.1686,1.8796,2186.0,0.0,1.0
2003-03-24,2.0862,2.0862,2.0862,2.0862,1.8082,546.0,0.0,1.0
2003-03-25,1.9215,1.9215,1.8666,1.8666,1.6179,5829.0,0.0,1.0
2003-03-26,1.8666,1.8666,1.8666,1.8666,1.6179,1821.0,0.0,1.0
2003-03-27,1.8666,1.8666,1.8666,1.8666,1.6179,765.0,0.0,1.0
2003-03-28,1.8666,1.8666,1.8666,1.8666,1.6179,0.0,0.0,1.0
2003-03-31,1.8666,1.8666,1.8666,1.8666,1.6179,0.0,0.0,1.0
2003-04-01,2.0862,2.0862,2.0862,2.0862,1.8082,911.0,0.0,1.0
2003-04-02,2.0313,2.0313,2.0313,2.0313,1.7606,1821.0,0.0,1.0
2003-04-03,1.9764,1.9764,1.7568,1.7568,1.5227,20036.0,0.0,1.0
2003-04-04,1.7568,1.7568,1.7568,1.7568,1.5227,0.0,0.0,1.0
2003-04-07,2.1411,2.1411,2.1411,2.1411,1.8558,3188.0,0.0,1.0
2003-04-08,1.8666,1.8666,1.7568,1.8117,1.5703,1457.0,0.0,1.0
2003-04-09,1.8117,1.8117,1.8117,1.8117,1.5703,0.0,0.0,1.0
2003-04-10,2.1137,2.1411,2.1137,2.1411,1.8558,9672.0,0.0,1.0
2003-04-11,2.2509,2.2509,2.2509,2.2509,1.951,237.0,0.0,1.0
2003-04-14,2.2509,2.2509,2.2509,2.2509,1.951,0.0,0.0,1.0
2003-04-15,2.196,2.196,2.196,2.196,1.9034,237.0,0.0,1.0
2003-04-16,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-04-17,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-04-22,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-04-23,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-04-24,2.1686,2.1686,2.0313,2.0313,1.7606,1989.0,0.0,1.0
2003-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-04-28,2.0313,2.0313,2.0313,2.0313,1.7606,0.0,0.0,1.0
2003-04-29,2.0313,2.0313,2.0313,2.0313,1.7606,0.0,0.0,1.0
2003-04-30,1.9215,1.9215,1.9215,1.9215,1.6655,9107.0,0.0,1.0
2003-05-01,1.949,1.949,1.9215,1.9215,1.6655,10929.0,0.0,1.0
2003-05-02,1.9215,1.9215,1.8666,1.8666,1.6179,6208.0,0.0,1.0
2003-05-05,1.9215,1.9215,1.7568,1.7568,1.5227,19893.0,0.0,1.0
2003-05-06,1.7568,1.7568,1.7568,1.7568,1.5227,5555.0,0.0,1.0
2003-05-07,1.9215,2.2509,1.9215,2.196,1.9034,82042.0,0.0,1.0
2003-05-08,2.196,2.196,2.196,2.196,1.9034,7468.0,0.0,1.0
2003-05-09,2.1411,2.1686,2.1411,2.1411,1.8558,10200.0,0.0,1.0
2003-05-12,2.0862,2.0862,2.0862,2.0862,1.8082,5343.0,0.0,1.0
2003-05-13,2.196,2.196,2.196,2.196,1.9034,9107.0,0.0,1.0
2003-05-14,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-05-15,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-05-16,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-05-19,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-05-20,2.1411,2.3058,2.1411,2.3058,1.9986,50241.0,0.0,1.0
2003-05-21,2.3058,2.3058,2.196,2.3058,1.9986,13510.0,0.0,1.0
2003-05-22,2.3058,2.3058,2.3058,2.3058,1.9986,9107.0,0.0,1.0
2003-05-23,2.3058,2.3058,2.2509,2.2509,1.951,17832.0,0.0,1.0
2003-05-26,2.196,2.196,2.196,2.196,1.9034,2094.0,0.0,1.0
2003-05-27,2.2509,2.2509,2.2509,2.2509,1.951,929.0,0.0,1.0
2003-05-28,2.2509,2.2509,2.196,2.196,1.9034,10929.0,0.0,1.0
2003-05-29,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-05-30,2.196,2.196,2.196,2.196,1.9034,0.0,0.0,1.0
2003-06-02,2.196,2.2509,2.1411,2.2509,1.951,187118.0,0.0,1.0
2003-06-03,2.2509,2.3333,2.2509,2.2509,1.951,97721.0,0.0,1.0
2003-06-04,2.3058,2.4705,2.3058,2.4705,2.1413,9131.0,0.0,1.0
2003-06-05,2.4431,2.4705,2.3058,2.4156,2.0937,149587.0,0.0,1.0
2003-06-06,2.4156,2.4156,2.4156,2.4156,2.0937,36584.0,0.0,1.0
2003-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-06-10,2.4156,2.4156,2.3607,2.3607,2.0461,28488.0,0.0,1.0
2003-06-11,2.3607,2.3607,2.3058,2.3607,2.0461,34061.0,0.0,1.0
2003-06-12,2.3058,2.3607,2.3058,2.3058,1.9986,109902.0,0.0,1.0
2003-06-13,2.3058,2.3058,2.3058,2.3058,1.9986,23679.0,0.0,1.0
2003-06-16,2.3607,2.3882,2.3333,2.3607,2.0461,55190.0,0.0,1.0
2003-06-17,2.3607,2.3607,2.3607,2.3607,2.0461,1821.0,0.0,1.0
2003-06-18,2.3607,2.3607,2.3607,2.3607,2.0461,7104.0,0.0,1.0
2003-06-19,2.3058,2.3607,2.3058,2.3607,2.0461,55239.0,0.0,1.0
2003-06-20,2.3607,2.3607,2.3607,2.3607,2.0461,0.0,0.0,1.0
2003-06-23,2.3607,2.3607,2.3607,2.3607,2.0461,17619.0,0.0,1.0
2003-06-24,2.2509,2.2509,2.2235,2.2235,1.9272,9107.0,0.0,1.0
2003-06-25,2.2235,2.3607,2.2235,2.3607,2.0461,7759.0,0.0,1.0
2003-06-26,2.3058,2.3607,2.3058,2.3607,2.0461,9107.0,0.0,1.0
2003-06-27,2.3058,2.3607,2.3058,2.3607,2.0461,18215.0,0.0,1.0
2003-06-30,2.3607,2.3607,2.3058,2.3058,1.9986,27795.0,0.0,1.0
2003-07-01,2.4156,2.4156,2.3607,2.4156,2.0937,201185.0,0.0,1.0
2003-07-02,2.4156,2.4431,2.4156,2.4431,2.1175,229923.0,0.0,1.0
2003-07-03,2.4705,2.5529,2.4705,2.5529,2.2127,76319.0,0.0,1.0
2003-07-04,2.6353,2.6353,2.6078,2.6078,2.2603,18215.0,0.0,1.0
2003-07-07,2.6353,2.6627,2.6078,2.6078,2.2603,48876.0,0.0,1.0
2003-07-08,2.6078,2.6078,2.5804,2.5804,2.2365,9107.0,0.0,1.0
2003-07-09,2.5804,2.5804,2.5529,2.5529,2.2127,10382.0,0.0,1.0
2003-07-10,2.5529,2.5804,2.5529,2.5804,2.2365,2204.0,0.0,1.0
2003-07-11,2.5804,2.5804,2.5804,2.5804,2.2365,45536.0,0.0,1.0
2003-07-14,2.5804,2.5804,2.5804,2.5804,2.2365,0.0,0.0,1.0
2003-07-15,2.5804,2.5804,2.5804,2.5804,2.2365,21858.0,0.0,1.0
2003-07-16,2.5529,2.5529,2.5255,2.5255,2.1889,4237.0,0.0,1.0
2003-07-17,2.4705,2.4705,2.4431,2.4431,2.1175,5752.0,0.0,1.0
2003-07-18,2.4705,2.5255,2.4705,2.5255,2.1889,7850.0,0.0,1.0
2003-07-21,2.4705,2.4705,2.4705,2.4705,2.1413,5464.0,0.0,1.0
2003-07-22,2.4705,2.4705,2.4431,2.4705,2.1413,2204.0,0.0,1.0
2003-07-23,2.5255,2.5255,2.4705,2.4705,2.1413,23874.0,0.0,1.0
2003-07-24,2.5255,2.5804,2.4705,2.5804,2.2365,14572.0,0.0,1.0
2003-07-25,2.5804,2.6353,2.5255,2.6353,2.2841,63134.0,0.0,1.0
2003-07-28,2.6902,2.6902,2.6353,2.6902,2.3316,3005.0,0.0,1.0
2003-07-29,2.745,2.8548,2.745,2.745,2.3792,64390.0,0.0,1.0
2003-07-30,2.7999,2.7999,2.745,2.745,2.3792,13421.0,0.0,1.0
2003-07-31,2.745,2.8548,2.745,2.8548,2.4744,9745.0,0.0,1.0
2003-08-01,2.745,2.745,2.745,2.745,2.3792,11505.0,0.0,1.0
2003-08-04,2.8548,2.8548,2.7999,2.8548,2.4744,7620.0,0.0,1.0
2003-08-05,2.8548,2.9098,2.7999,2.9098,2.522,60834.0,0.0,1.0
2003-08-06,2.9098,3.0196,2.7999,2.7999,2.4268,13661.0,0.0,1.0
2003-08-07,2.9647,2.9647,2.7999,2.7999,2.4268,24840.0,0.0,1.0
2003-08-08,2.9098,2.9647,2.8548,2.9647,2.5696,24408.0,0.0,1.0
2003-08-11,2.9647,2.9647,2.9098,2.9098,2.522,19034.0,0.0,1.0
2003-08-12,2.9098,2.9647,2.9098,2.9647,2.5696,9107.0,0.0,1.0
2003-08-13,3.0196,3.0196,2.8548,2.9098,2.522,49270.0,0.0,1.0
2003-08-14,2.9098,2.9098,2.8548,2.9098,2.522,27882.0,0.0,1.0
2003-08-15,2.9098,2.9098,2.7999,2.8548,2.4744,23679.0,0.0,1.0
2003-08-18,2.8548,2.8548,2.7999,2.7999,2.4268,16778.0,0.0,1.0
2003-08-19,2.7999,2.7999,2.745,2.745,2.3792,5157.0,0.0,1.0
2003-08-20,2.745,2.745,2.745,2.745,2.3792,0.0,0.0,1.0
2003-08-21,2.6627,2.6627,2.5804,2.6078,2.2603,16393.0,0.0,1.0
2003-08-22,2.7176,2.7176,2.6902,2.6902,2.3316,6683.0,0.0,1.0
2003-08-25,2.6078,2.6902,2.6078,2.6353,2.2841,17304.0,0.0,1.0
