date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,3.7304,3.7304,3.6265,3.6359,1.3549,23100.0,0.0,1.0
2000-01-05,3.5509,3.5509,3.5415,3.5415,1.3197,9173.0,0.0,1.0
2000-01-06,3.5849,3.6076,3.5415,3.5415,1.3197,449161.0,0.0,1.0
2000-01-07,3.5415,3.5415,3.5415,3.5415,1.3197,333278.0,0.0,1.0
2000-01-10,3.5887,3.5887,3.5698,3.5698,1.3302,11330.0,0.0,1.0
2000-01-11,3.5698,3.5887,3.4187,3.4282,1.2775,32319.0,0.0,1.0
2000-01-12,3.4282,3.4659,3.4282,3.4282,1.2775,6446.0,0.0,1.0
2000-01-13,3.4659,3.4754,3.4659,3.4754,1.295,3950.0,0.0,1.0
2000-01-14,3.4659,3.4754,3.4471,3.4518,1.2863,17177.0,0.0,1.0
2000-01-17,3.5887,3.5887,3.4754,3.4943,1.3021,92857.0,0.0,1.0
2000-01-18,3.4471,3.5887,3.4376,3.4376,1.281,370392.0,0.0,1.0
2000-01-19,3.4253,3.4471,3.4253,3.4471,1.2845,29543.0,0.0,1.0
2000-01-20,3.4471,3.4565,3.4471,3.4565,1.288,833.0,0.0,1.0
2000-01-21,3.5698,3.5698,3.5698,3.5698,1.3302,53.0,0.0,1.0
2000-01-24,3.4943,3.4943,3.4943,3.4943,1.3021,3406.0,0.0,1.0
2000-01-25,3.4754,3.4754,3.4471,3.4471,1.2845,27553.0,0.0,1.0
2000-01-26,3.6501,3.6501,3.6501,3.6501,1.3601,0.0,0.0,1.0
2000-01-27,3.4943,3.4943,3.4943,3.4943,1.3021,1588.0,0.0,1.0
2000-01-28,3.5698,3.5887,3.5415,3.5887,1.3373,62368.0,0.0,1.0
2000-01-31,3.4461,3.5887,3.4461,3.4943,1.3021,18980.0,0.0,1.0
2000-02-01,3.5132,3.5132,3.4376,3.4471,1.2845,51147.0,0.0,1.0
2000-02-02,3.4471,3.4565,3.4471,3.4565,1.288,23137.0,0.0,1.0
2000-02-03,3.4943,3.5132,3.4471,3.4471,1.2845,21420.0,0.0,1.0
2000-02-04,3.4471,3.5132,3.4471,3.5132,1.3091,47755.0,0.0,1.0
2000-02-07,3.5132,3.5132,3.5132,3.5132,1.3091,45833.0,0.0,1.0
2000-02-08,3.5132,3.5132,3.4848,3.4848,1.2986,147837.0,0.0,1.0
2000-02-09,3.4848,3.5509,3.4848,3.4848,1.2986,121080.0,0.0,1.0
2000-02-10,3.4848,3.4848,3.3715,3.4282,1.2775,25942.0,0.0,1.0
2000-02-11,3.4282,3.4282,3.4282,3.4282,1.2775,0.0,0.0,1.0
2000-02-14,3.4471,3.5415,3.3998,3.4471,1.2845,11129.0,0.0,1.0
