date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,13.0099,13.0596,13.0099,13.0596,6.8287,6825.0,0.0,1.0
2000-01-05,13.0288,13.0596,12.9106,12.9106,6.7508,24047.0,0.0,1.0
2000-01-06,13.0099,13.1092,12.9106,13.1092,6.8546,53762.0,0.0,1.0
2000-01-07,13.134,13.134,13.0099,13.1092,6.8546,5760.0,0.0,1.0
2000-01-10,13.1291,13.5958,13.1291,13.5958,7.109,26653.0,0.0,1.0
2000-01-11,13.7051,14.7677,13.7051,14.4499,7.5556,34042.0,0.0,1.0
2000-01-12,14.4003,14.6982,14.4003,14.4499,7.5556,64151.0,0.0,1.0
2000-01-13,14.4003,14.4996,14.4003,14.4996,7.5816,11700.0,0.0,1.0
2000-01-14,14.4996,14.4996,14.1619,14.4003,7.5297,7525.0,0.0,1.0
2000-01-17,14.5036,14.5036,14.4003,14.4003,7.5297,12467.0,0.0,1.0
2000-01-18,14.4003,14.4003,14.2215,14.2215,7.4362,6119.0,0.0,1.0
2000-01-19,14.291,14.4301,14.291,14.4003,7.5297,26052.0,0.0,1.0
2000-01-20,14.4301,14.4301,14.4003,14.4301,7.5453,12180.0,0.0,1.0
2000-01-21,14.4301,14.579,14.4301,14.579,7.6231,2158.0,0.0,1.0
2000-01-24,14.5492,14.7479,14.5492,14.6982,7.6855,15851.0,0.0,1.0
2000-01-25,14.6982,14.7081,14.6486,14.6585,7.6647,6061.0,0.0,1.0
2000-01-26,14.7186,14.7186,14.7186,14.7186,7.6961,0.0,0.0,1.0
2000-01-27,14.6982,14.8968,14.6982,14.7876,7.7322,17615.0,0.0,1.0
2000-01-28,14.7479,14.8968,14.7479,14.8968,7.7893,36013.0,0.0,1.0
2000-01-31,14.8968,15.1948,14.8968,15.0955,7.8932,17985.0,0.0,1.0
2000-02-01,15.3934,15.741,15.3934,15.4927,8.1009,19277.0,0.0,1.0
2000-02-02,15.592,15.592,15.3835,15.4927,8.1009,30929.0,0.0,1.0
2000-02-03,15.5821,15.8304,15.4927,15.8304,8.2775,34054.0,0.0,1.0
2000-02-04,15.9893,16.3865,15.9893,16.3369,8.5423,21594.0,0.0,1.0
2000-02-07,16.4243,18.0748,16.4243,17.0817,8.9318,21711.0,0.0,1.0
2000-02-08,17.033,18.4224,16.8831,17.8762,9.3472,57503.0,0.0,1.0
2000-02-09,17.8762,17.9755,17.479,17.479,9.1395,21728.0,0.0,1.0
2000-02-10,17.479,17.618,17.181,17.3796,9.0875,164480.0,0.0,1.0
2000-02-11,17.3796,17.6776,17.3796,17.5783,9.1914,20139.0,0.0,1.0
2000-02-14,17.5723,17.5723,17.2307,17.2803,9.0356,160225.0,0.0,1.0
2000-02-15,17.2803,17.479,17.2803,17.3995,9.0979,16953.0,0.0,1.0
