date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-11-21,2.3972,2.45,2.396,2.4292,0.7627,4118940.0,0.0,1.0
2001-11-22,2.54,2.72,2.53,2.6388,0.8285,6352590.0,0.0,1.0
2001-11-23,2.652,2.696,2.64,2.67,0.8383,4238500.0,0.0,1.0
2001-11-26,2.77,2.814,2.77,2.8138,0.8834,3098745.0,0.0,1.0
2001-11-27,2.9172,2.996,2.886,2.96,0.9293,6897285.0,0.0,1.0
2001-11-28,2.95,2.95,2.86,2.882,0.9048,4496370.0,0.0,1.0
2001-11-29,2.82,2.832,2.78,2.83,0.8885,4547240.0,0.0,1.0
2001-11-30,2.872,2.91,2.866,2.9,0.9105,1156625.0,0.0,1.0
2001-12-03,2.87,2.88,2.83,2.842,0.8923,422665.0,0.0,1.0
2001-12-04,2.8234,2.8234,2.78,2.814,0.8835,1095610.0,0.0,1.0
2001-12-05,2.816,2.83,2.81,2.826,0.8873,278855.0,0.0,1.0
2001-12-06,2.826,2.826,2.78,2.79,0.876,343100.0,0.0,1.0
2001-12-07,2.752,2.752,2.72,2.74,0.8603,405495.0,0.0,1.0
2001-12-10,2.7,2.7,2.64,2.67,0.8383,387600.0,0.0,1.0
2001-12-11,2.6506,2.712,2.58,2.712,0.8515,1388565.0,0.0,1.0
2001-12-12,2.7102,2.724,2.69,2.704,0.849,385480.0,0.0,1.0
2001-12-13,2.718,2.764,2.718,2.76,0.8665,821660.0,0.0,1.0
2001-12-14,2.75,2.76,2.74,2.76,0.8665,379500.0,0.0,1.0
2001-12-17,2.7306,2.75,2.712,2.736,0.859,332925.0,0.0,1.0
2001-12-18,2.74,2.756,2.73,2.748,0.8628,468515.0,0.0,1.0
2001-12-19,2.76,2.79,2.75,2.77,0.8697,1233160.0,0.0,1.0
2001-12-20,2.76,2.77,2.744,2.75,0.8634,433340.0,0.0,1.0
2001-12-21,2.75,2.776,2.75,2.76,0.8665,279205.0,0.0,1.0
2001-12-24,2.776,2.776,2.76,2.77,0.8697,36380.0,0.0,1.0
2001-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-12-27,2.76,2.77,2.76,2.76,0.8665,73500.0,0.0,1.0
2001-12-28,2.768,2.78,2.76,2.77,0.8697,81845.0,0.0,1.0
2001-12-31,2.7784,2.7784,2.742,2.75,0.8634,15530.0,0.0,1.0
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-01-02,2.742,2.756,2.742,2.75,0.8634,43930.0,0.0,1.0
2002-01-03,2.76,2.76,2.742,2.758,0.8659,31925.0,0.0,1.0
2002-01-04,2.758,2.79,2.758,2.79,0.876,1063500.0,0.0,1.0
2002-01-07,2.7866,2.788,2.756,2.768,0.8691,140305.0,0.0,1.0
2002-01-08,2.7108,2.7108,2.66,2.66,0.8351,551600.0,0.0,1.0
2002-01-09,2.6352,2.654,2.6352,2.65,0.832,312610.0,0.0,1.0
2002-01-10,2.6402,2.666,2.624,2.65,0.832,161225.0,0.0,1.0
2002-01-11,2.664,2.68,2.664,2.674,0.8395,83935.0,0.0,1.0
2002-01-14,2.67,2.7,2.67,2.68,0.8414,107750.0,0.0,1.0
2002-01-15,2.664,2.71,2.66,2.71,0.8508,254235.0,0.0,1.0
2002-01-16,2.692,2.722,2.692,2.72,0.854,240315.0,0.0,1.0
2002-01-17,2.72,2.744,2.69,2.73,0.8571,237130.0,0.0,1.0
2002-01-18,2.72,2.776,2.72,2.764,0.8678,117765.0,0.0,1.0
2002-01-21,2.764,2.79,2.764,2.78,0.8728,174070.0,0.0,1.0
2002-01-22,2.79,2.812,2.764,2.764,0.8678,124920.0,0.0,1.0
2002-01-23,2.7004,2.72,2.57,2.64,0.8289,1828160.0,0.0,1.0
2002-01-24,2.6374,2.642,2.6,2.61,0.8194,631390.0,0.0,1.0
2002-01-25,2.62,2.62,2.51,2.524,0.7924,1211575.0,0.0,1.0
2002-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-01-29,2.52,2.52,2.38,2.44,0.7661,524910.0,0.0,1.0
2002-01-30,2.4232,2.446,2.4,2.428,0.7623,660995.0,0.0,1.0
2002-01-31,2.48,2.51,2.44,2.45,0.7692,523630.0,0.0,1.0
2002-02-01,2.439,2.44,2.42,2.434,0.7642,3298300.0,0.0,1.0
2002-02-04,2.42,2.42,2.36,2.388,0.7497,499200.0,0.0,1.0
2002-02-05,2.3484,2.3484,2.26,2.28,0.7158,774890.0,0.0,1.0
2002-02-06,2.282,2.282,2.25,2.25,0.7064,426530.0,0.0,1.0
2002-02-07,2.26,2.26,2.16,2.17,0.6813,1464930.0,0.0,1.0
2002-02-08,2.17,2.29,2.09,2.278,0.7152,1087830.0,0.0,1.0
2002-02-11,2.3056,2.36,2.3056,2.32,0.7284,439750.0,0.0,1.0
2002-02-12,2.37,2.38,2.29,2.3,0.7221,276900.0,0.0,1.0
2002-02-13,2.29,2.32,2.29,2.302,0.7227,617680.0,0.0,1.0
2002-02-14,1.912,2.0,1.85,1.86,0.584,2145365.0,0.0,1.0
2002-02-15,1.6864,1.798,1.68,1.798,0.5645,17312740.0,0.0,1.0
2002-02-18,1.8004,1.8004,1.722,1.738,0.5457,2606020.0,0.0,1.0
2002-02-19,1.738,1.75,1.702,1.75,0.5494,612715.0,0.0,1.0
2002-02-20,1.7598,1.822,1.73,1.81,0.5683,1087030.0,0.0,1.0
2002-02-21,1.8,1.8,1.77,1.77,0.5557,758185.0,0.0,1.0
2002-02-22,1.77,1.77,1.722,1.76,0.5526,1742780.0,0.0,1.0
2002-02-25,1.78,1.82,1.78,1.812,0.5689,289910.0,0.0,1.0
2002-02-26,1.82,1.82,1.804,1.804,0.5664,740290.0,0.0,1.0
2002-02-27,1.802,1.804,1.78,1.794,0.5633,334015.0,0.0,1.0
2002-02-28,1.769,1.769,1.74,1.75,0.5494,948700.0,0.0,1.0
2002-03-01,1.74,1.74,1.728,1.732,0.5438,508705.0,0.0,1.0
2002-03-04,1.74,1.744,1.7,1.72,0.54,1996985.0,0.0,1.0
2002-03-05,1.72,1.72,1.68,1.692,0.5312,1673985.0,0.0,1.0
2002-03-06,1.618,1.65,1.61,1.638,0.5143,507420.0,0.0,1.0
2002-03-07,1.64,1.66,1.624,1.66,0.5212,1342490.0,0.0,1.0
2002-03-08,1.642,1.646,1.638,1.638,0.5143,542700.0,0.0,1.0
2002-03-11,1.63,1.64,1.61,1.628,0.5111,221225.0,0.0,1.0
2002-03-12,1.62,1.62,1.57,1.59,0.4992,84905.0,0.0,1.0
2002-03-13,1.57,1.61,1.52,1.6088,0.5051,818790.0,0.0,1.0
