date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,1.6972,1.6972,1.6972,1.6972,0.6228,206.0,0.0,1.0
2000-01-05,1.6972,1.6972,1.6972,1.6972,0.6228,1753.0,0.0,1.0
2000-01-06,1.6972,1.6972,1.6972,1.6972,0.6228,13863.0,0.0,1.0
2000-01-07,1.6681,1.6972,1.6681,1.6972,0.6228,1215.0,0.0,1.0
2000-01-10,1.6875,1.6972,1.6681,1.6681,0.6121,474442.0,0.0,1.0
2000-01-11,1.7069,1.7069,1.7069,1.7069,0.6263,5156.0,0.0,1.0
2000-01-12,1.7069,1.7069,1.7069,1.7069,0.6263,0.0,0.0,1.0
2000-01-13,1.7942,1.7942,1.7942,1.7942,0.6584,2578.0,0.0,1.0
2000-01-14,1.8427,1.8427,1.8039,1.8039,0.6619,57214.0,0.0,1.0
2000-01-17,1.8039,1.8039,1.8039,1.8039,0.6619,0.0,0.0,1.0
2000-01-18,1.8039,1.8039,1.7263,1.7263,0.6335,11858.0,0.0,1.0
2000-01-19,1.8136,1.8136,1.8136,1.8136,0.6655,278.0,0.0,1.0
2000-01-20,1.7845,1.7845,1.7263,1.7263,0.6335,8467.0,0.0,1.0
2000-01-21,1.7457,1.7457,1.7457,1.7457,0.6406,2784.0,0.0,1.0
2000-01-24,1.736,1.736,1.736,1.736,0.637,3093.0,0.0,1.0
2000-01-25,1.7457,1.7457,1.736,1.736,0.637,2113.0,0.0,1.0
2000-01-26,1.736,1.736,1.736,1.736,0.637,0.0,0.0,1.0
2000-01-27,1.736,1.736,1.7263,1.7263,0.6335,10051.0,0.0,1.0
2000-01-28,1.7263,1.7263,1.7263,1.7263,0.6335,515552.0,0.0,1.0
2000-01-31,1.7263,1.7263,1.7263,1.7263,0.6335,4975.0,0.0,1.0
2000-02-01,1.7263,1.7263,1.7263,1.7263,0.6335,0.0,0.0,1.0
2000-02-02,1.7166,1.7166,1.7166,1.7166,0.6299,2062.0,0.0,1.0
2000-02-03,1.7166,1.7166,1.7166,1.7166,0.6299,7218.0,0.0,1.0
2000-02-04,1.7166,1.7166,1.7166,1.7166,0.6299,0.0,0.0,1.0
2000-02-07,1.7166,1.7166,1.7166,1.7166,0.6299,0.0,0.0,1.0
2000-02-08,1.7166,1.7166,1.7166,1.7166,0.6299,0.0,0.0,1.0
2000-02-09,1.6972,1.6972,1.6972,1.6972,0.6228,160543.0,0.0,1.0
2000-02-10,1.6972,1.6972,1.6972,1.6972,0.6228,0.0,0.0,1.0
2000-02-11,1.6487,1.6487,1.6487,1.6487,0.605,6187.0,0.0,1.0
2000-02-14,1.5517,1.5517,1.5517,1.5517,0.5694,1709.0,0.0,1.0
2000-02-15,1.6002,1.6487,1.6002,1.6487,0.605,3815.0,0.0,1.0
2000-02-16,1.6487,1.6487,1.6487,1.6487,0.605,0.0,0.0,1.0
2000-02-17,1.6002,1.6002,1.6002,1.6002,0.5872,6187.0,0.0,1.0
2000-02-18,1.6487,1.6487,1.6487,1.6487,0.605,5156.0,0.0,1.0
2000-02-21,1.6487,1.6487,1.6487,1.6487,0.605,0.0,0.0,1.0
2000-02-22,1.6487,1.6487,1.6487,1.6487,0.605,0.0,0.0,1.0
2000-02-23,1.5517,1.5517,1.5517,1.5517,0.5694,3756.0,0.0,1.0
2000-02-24,1.5226,1.5226,1.5226,1.5226,0.5587,7324.0,0.0,1.0
2000-02-25,1.5226,1.5226,1.5226,1.5226,0.5587,0.0,0.0,1.0
2000-02-28,1.5517,1.5517,1.5226,1.5226,0.5587,2807.0,0.0,1.0
2000-02-29,1.5226,1.5517,1.5226,1.5517,0.5694,5295.0,0.0,1.0
2000-03-01,1.5517,1.5517,1.5517,1.5517,0.5694,0.0,0.0,1.0
2000-03-02,1.6002,1.6002,1.6002,1.6002,0.5872,7733.0,0.0,1.0
2000-03-03,1.6099,1.6099,1.6099,1.6099,0.5907,2243.0,0.0,1.0
2000-03-06,1.5517,1.5517,1.5517,1.5517,0.5694,954.0,0.0,1.0
2000-03-07,1.5517,1.5517,1.5517,1.5517,0.5694,0.0,0.0,1.0
2000-03-08,1.5517,1.5517,1.5517,1.5517,0.5694,3171.0,0.0,1.0
2000-03-09,1.5517,1.5517,1.5517,1.5517,0.5694,0.0,0.0,1.0
2000-03-10,1.5032,1.5032,1.5032,1.5032,0.5516,5156.0,0.0,1.0
2000-03-13,1.5032,1.5032,1.5032,1.5032,0.5516,0.0,0.0,1.0
2000-03-14,1.4838,1.4838,1.4742,1.4742,0.5409,18560.0,0.0,1.0
2000-03-15,1.4547,1.4547,1.4547,1.4547,0.5506,1547.0,0.0,1.0
2000-03-16,1.4547,1.4547,1.4547,1.4547,0.5506,0.0,0.0,1.0
2000-03-17,1.4547,1.4547,1.4547,1.4547,0.5506,0.0,0.0,1.0
2000-03-20,1.4547,1.4547,1.4547,1.4547,0.5506,516.0,0.0,1.0
2000-03-21,1.4547,1.4547,1.4547,1.4547,0.5506,0.0,0.0,1.0
2000-03-22,1.4547,1.4547,1.4547,1.4547,0.5506,0.0,0.0,1.0
2000-03-23,1.4547,1.4547,1.4547,1.4547,0.5506,0.0,0.0,1.0
2000-03-24,1.3675,1.3675,1.3093,1.3578,0.5139,68056.0,0.0,1.0
2000-03-27,1.3578,1.3675,1.3578,1.3578,0.5139,67493.0,0.0,1.0
2000-03-28,1.3578,1.3578,1.3481,1.3481,0.5102,4689.0,0.0,1.0
2000-03-29,1.319,1.319,1.319,1.319,0.4992,2479.0,0.0,1.0
2000-03-30,1.3287,1.3578,1.3093,1.3578,0.5139,11548.0,0.0,1.0
2000-03-31,1.3578,1.3578,1.3578,1.3578,0.5139,16601.0,0.0,1.0
2000-04-03,1.3578,1.3578,1.3578,1.3578,0.5139,5156.0,0.0,1.0
2000-04-04,1.3093,1.3093,1.3093,1.3093,0.4956,5156.0,0.0,1.0
2000-04-05,1.3578,1.3578,1.3578,1.3578,0.5139,1547.0,0.0,1.0
2000-04-06,1.3578,1.3578,1.3093,1.3093,0.4956,10311.0,0.0,1.0
2000-04-07,1.3578,1.3578,1.3578,1.3578,0.5139,3712.0,0.0,1.0
2000-04-10,1.3578,1.3578,1.3578,1.3578,0.5139,1031.0,0.0,1.0
2000-04-11,1.3578,1.3869,1.3578,1.3578,0.5139,4124.0,0.0,1.0
2000-04-12,1.3093,1.3093,1.2608,1.2608,0.4772,39782.0,0.0,1.0
2000-04-13,1.3093,1.3093,1.3093,1.3093,0.4956,3093.0,0.0,1.0
2000-04-14,1.3093,1.3093,1.3093,1.3093,0.4956,0.0,0.0,1.0
2000-04-17,1.1735,1.2414,1.1735,1.222,0.4625,32070.0,0.0,1.0
2000-04-18,1.2608,1.3093,1.2608,1.3093,0.4956,17529.0,0.0,1.0
2000-04-19,1.3093,1.3093,1.3093,1.3093,0.4956,0.0,0.0,1.0
2000-04-20,1.2705,1.2705,1.222,1.222,0.4625,25778.0,0.0,1.0
2000-04-21,1.222,1.222,1.222,1.222,0.4625,0.0,0.0,1.0
2000-04-24,1.222,1.222,1.222,1.222,0.4625,0.0,0.0,1.0
2000-04-25,1.222,1.222,1.222,1.222,0.4625,0.0,0.0,1.0
2000-04-26,1.2802,1.2802,1.2608,1.2608,0.4772,5156.0,0.0,1.0
