date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-12-11,1.9321,1.9321,1.9321,1.9321,0.8621,0.0,0.0,1.0
2006-12-12,2.5118,2.5311,2.4925,2.5215,1.1251,36090300.0,0.0,1.0
2006-12-13,2.5215,2.5601,2.4925,2.4925,1.1122,3070610.0,0.0,1.0
2006-12-14,2.4925,2.5118,2.4538,2.5118,1.1208,2815648.0,0.0,1.0
2006-12-15,2.4925,2.5215,2.4925,2.5118,1.1208,1288460.0,0.0,1.0
2006-12-18,2.5021,2.647,2.5021,2.6084,1.1639,1610410.0,0.0,1.0
2006-12-19,2.6084,2.7919,2.5601,2.705,1.207,2920035.0,0.0,1.0
2006-12-20,2.7533,2.7919,2.705,2.763,1.2329,837597.0,0.0,1.0
2006-12-21,2.7533,2.7823,2.7533,2.763,1.2329,343052.0,0.0,1.0
2006-12-22,2.7533,2.7726,2.7436,2.7533,1.2286,270581.0,0.0,1.0
2006-12-27,2.763,2.7823,2.763,2.7823,1.2415,61513.0,0.0,1.0
2006-12-28,2.7823,2.8016,2.7823,2.8016,1.2501,547253.0,0.0,1.0
2006-12-29,2.8113,2.8113,2.734,2.8016,1.2501,495553.0,0.0,1.0
2007-01-02,2.8016,2.8113,2.8016,2.8016,1.2501,28301.0,0.0,1.0
2007-01-03,2.8016,2.8306,2.8016,2.8113,1.2544,107455.0,0.0,1.0
2007-01-04,2.8403,2.8403,2.7919,2.8403,1.2674,169071.0,0.0,1.0
2007-01-05,2.7823,2.8403,2.7823,2.8016,1.2501,90401.0,0.0,1.0
2007-01-08,2.8209,2.8789,2.8113,2.8499,1.2717,182826.0,0.0,1.0
2007-01-09,2.8789,2.8885,2.8499,2.8885,1.2889,84275.0,0.0,1.0
2007-01-10,2.8982,2.8982,2.8499,2.8982,1.2932,107118.0,0.0,1.0
2007-01-11,2.9272,2.9272,2.8306,2.9175,1.3018,151346.0,0.0,1.0
2007-01-12,2.9175,2.9175,2.8789,2.8982,1.2932,212712.0,0.0,1.0
2007-01-15,2.9175,2.9175,2.8885,2.8885,1.2889,45896.0,0.0,1.0
2007-01-16,2.8692,2.8692,2.8016,2.8692,1.2803,50203.0,0.0,1.0
2007-01-17,2.8499,2.8982,2.8499,2.8982,1.2932,1234950.0,0.0,1.0
2007-01-18,2.9175,2.9948,2.8982,2.9948,1.3363,378889.0,0.0,1.0
2007-01-19,2.9948,3.0141,2.9465,3.0045,1.3406,318062.0,0.0,1.0
2007-01-22,3.0045,3.0238,3.0045,3.0045,1.3406,212924.0,0.0,1.0
2007-01-23,3.0721,3.0914,2.9465,3.0141,1.345,1709346.0,0.0,1.0
2007-01-24,3.0141,3.0721,2.9562,3.0335,1.3536,224382.0,0.0,1.0
2007-01-25,3.0141,3.0914,3.0141,3.0431,1.3579,412397.0,0.0,1.0
2007-01-29,3.0528,3.0914,3.0431,3.0431,1.3579,346248.0,0.0,1.0
2007-01-30,3.0721,3.0914,3.0045,3.0914,1.3794,123490.0,0.0,1.0
2007-01-31,3.0818,3.1301,3.0818,3.1204,1.3924,661259.0,0.0,1.0
2007-02-01,3.1107,3.1107,2.9948,3.0528,1.3622,239973.0,0.0,1.0
2007-02-02,3.0141,3.0914,2.9852,3.0431,1.3579,67371.0,0.0,1.0
2007-02-05,3.0045,3.0431,2.9755,3.0335,1.3536,103623.0,0.0,1.0
2007-02-06,2.9948,2.9948,2.8692,2.9369,1.3105,737786.0,0.0,1.0
2007-02-07,2.8982,2.8982,2.8016,2.8596,1.276,603195.0,0.0,1.0
2007-02-08,2.8692,2.8789,2.8499,2.8499,1.2717,242736.0,0.0,1.0
2007-02-09,2.8499,2.9369,2.8499,2.9369,1.3105,146987.0,0.0,1.0
2007-02-12,2.9175,2.9852,2.9175,2.9852,1.332,84305.0,0.0,1.0
2007-02-13,2.9852,2.9948,2.9562,2.9562,1.3191,290455.0,0.0,1.0
2007-02-14,2.9562,2.9658,2.8982,2.9465,1.3148,1044815.0,0.0,1.0
2007-02-15,2.9369,2.9465,2.9369,2.9465,1.3148,85604.0,0.0,1.0
2007-02-16,2.9465,2.9465,2.8789,2.9465,1.3148,154756.0,0.0,1.0
2007-02-19,2.9369,2.9369,2.8499,2.8499,1.2717,123904.0,0.0,1.0
2007-02-20,2.8596,2.8982,2.8499,2.8982,1.2932,87959.0,0.0,1.0
2007-02-21,2.8982,2.9272,2.8596,2.8596,1.276,244425.0,0.0,1.0
2007-02-22,2.9079,2.9079,2.8596,2.8982,1.2932,22643.0,0.0,1.0
2007-02-23,2.8885,2.8885,2.8306,2.8692,1.2803,231381.0,0.0,1.0
2007-02-26,2.8306,2.9175,2.8306,2.9175,1.3018,252042.0,0.0,1.0
2007-02-27,2.9175,2.9175,2.8692,2.8692,1.2803,74332.0,0.0,1.0
2007-02-28,2.8403,2.8499,2.7726,2.8209,1.2587,581583.0,0.0,1.0
2007-03-01,2.8016,2.8789,2.8016,2.8016,1.2501,35059.0,0.0,1.0
2007-03-02,2.7919,2.8016,2.734,2.8016,1.2501,162546.0,0.0,1.0
2007-03-05,2.7533,2.7533,2.705,2.734,1.2199,18322.0,0.0,1.0
2007-03-06,2.6567,2.7147,2.5987,2.6857,1.1984,74166.0,0.0,1.0
2007-03-07,2.6664,2.7243,2.6374,2.705,1.207,391725.0,0.0,1.0
2007-03-08,2.7243,2.7243,2.6374,2.7243,1.2156,781736.0,0.0,1.0
2007-03-09,2.734,2.734,2.6857,2.705,1.207,182028.0,0.0,1.0
2007-03-12,2.705,2.705,2.6857,2.705,1.207,18011.0,0.0,1.0
2007-03-13,2.705,2.8016,2.705,2.8016,1.2501,383676.0,0.0,1.0
2007-03-14,2.705,2.8016,2.705,2.8016,1.2501,383676.0,0.0,1.0
2007-03-15,2.7147,2.7823,2.705,2.7823,1.2415,190945.0,0.0,1.0
2007-03-16,2.7823,2.8403,2.7147,2.8403,1.2674,308409.0,0.0,1.0
2007-03-19,2.8499,2.8499,2.8209,2.8499,1.2717,41405.0,0.0,1.0
2007-03-20,2.7919,2.8499,2.7919,2.8403,1.2674,8902.0,0.0,1.0
2007-03-21,2.8403,2.8403,2.8016,2.8209,1.2587,95231.0,0.0,1.0
2007-03-22,2.8499,2.8982,2.8499,2.8982,1.2932,532311.0,0.0,1.0
2007-03-23,2.8982,2.8982,2.8692,2.8789,1.2846,401213.0,0.0,1.0
2007-03-26,2.8885,2.8885,2.8113,2.8789,1.2846,573339.0,0.0,1.0
2007-03-27,2.734,2.8789,2.734,2.8789,1.2846,17597.0,0.0,1.0
2007-03-28,2.8789,2.8789,2.8789,2.8789,1.2846,662755.0,0.0,1.0
2007-03-29,2.8499,2.9272,2.8499,2.9175,1.3018,430599.0,0.0,1.0
2007-03-30,2.9079,2.9272,2.8982,2.8982,1.2932,33826.0,0.0,1.0
2007-04-02,2.8499,2.8885,2.8499,2.8789,1.2846,59420.0,0.0,1.0
2007-04-03,2.8789,2.8982,2.8499,2.8982,1.2932,55285.0,0.0,1.0
2007-04-04,2.8789,2.8982,2.8499,2.8982,1.2932,42469.0,0.0,1.0
2007-04-05,2.8885,2.8982,2.8789,2.8789,1.2846,48464.0,0.0,1.0
2007-04-10,2.8982,2.8982,2.8789,2.8982,1.2932,24040.0,0.0,1.0
2007-04-11,2.8789,2.8982,2.7919,2.8982,1.2932,504867.0,0.0,1.0
2007-04-12,2.8982,2.8982,2.8789,2.8885,1.2889,1659299.0,0.0,1.0
2007-04-13,2.8403,2.8789,2.8403,2.8789,1.2846,8074.0,0.0,1.0
2007-04-16,2.8789,2.8789,2.8499,2.8499,1.2717,59961.0,0.0,1.0
2007-04-17,2.8016,2.8403,2.7436,2.8403,1.2674,84089.0,0.0,1.0
2007-04-18,2.8403,2.8692,2.8306,2.8692,1.2803,25784.0,0.0,1.0
2007-04-19,2.8113,2.8403,2.8016,2.8403,1.2674,24739.0,0.0,1.0
2007-04-20,2.8016,2.8692,2.7147,2.8692,1.2803,72665.0,0.0,1.0
2007-04-23,2.8209,2.8499,2.8016,2.8499,1.2717,138706.0,0.0,1.0
2007-04-24,2.8403,2.8596,2.8209,2.8209,1.2587,117128.0,0.0,1.0
2007-04-26,2.8209,2.8499,2.763,2.8209,1.2587,83644.0,0.0,1.0
2007-04-27,2.7726,2.8499,2.763,2.8499,1.2717,22773.0,0.0,1.0
2007-04-30,2.8209,2.8499,2.8209,2.8499,1.2717,66248.0,0.0,1.0
2007-05-01,2.7533,2.8403,2.7533,2.7533,1.2286,154923.0,0.0,1.0
2007-05-02,2.7533,2.7533,2.6857,2.705,1.207,47431.0,0.0,1.0
2007-05-03,2.705,2.7533,2.705,2.7533,1.2286,120786.0,0.0,1.0
2007-05-04,2.7533,2.7533,2.705,2.7533,1.2286,156040.0,0.0,1.0
2007-05-07,2.6567,2.7533,2.6567,2.7533,1.2286,14041.0,0.0,1.0
2007-05-08,2.6567,2.6567,2.6084,2.6084,1.1639,1117943.0,0.0,1.0
2007-05-09,2.6084,2.6084,2.5408,2.5408,1.1337,110414.0,0.0,1.0
2007-05-10,2.5601,2.5891,2.5601,2.5891,1.1553,552568.0,0.0,1.0
2007-05-11,2.5891,2.7533,2.5891,2.705,1.207,1216702.0,0.0,1.0
2007-05-14,2.763,2.8016,2.705,2.7533,1.2286,259037.0,0.0,1.0
2007-05-15,2.7823,2.7823,2.676,2.705,1.207,89408.0,0.0,1.0
2007-05-16,2.705,2.705,2.6567,2.705,1.207,137745.0,0.0,1.0
2007-05-17,2.705,2.705,2.6953,2.6953,1.2027,203581.0,0.0,1.0
2007-05-18,2.705,2.705,2.676,2.705,1.207,407107.0,0.0,1.0
2007-05-21,2.6857,2.705,2.676,2.705,1.207,433767.0,0.0,1.0
2007-05-22,2.705,2.705,2.705,2.705,1.207,136722.0,0.0,1.0
2007-05-23,2.705,2.734,2.6857,2.6857,1.1984,232830.0,0.0,1.0
2007-05-24,2.705,2.705,2.676,2.705,1.207,671071.0,0.0,1.0
2007-05-25,2.705,2.705,2.6857,2.705,1.207,33951.0,0.0,1.0
