date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-12-17,0.95,0.95,0.885,0.885,0.7673,3041173.0,0.0,1.0
2013-12-18,0.92,0.92,0.89,0.905,0.7846,1512471.0,0.0,1.0
2013-12-19,0.91,0.915,0.865,0.89,0.7716,835116.0,0.0,1.0
2013-12-20,0.88,0.9,0.88,0.885,0.7673,249827.0,0.0,1.0
2013-12-23,0.89,0.89,0.885,0.885,0.7673,362982.0,0.0,1.0
2013-12-24,0.89,0.89,0.885,0.885,0.7673,222691.0,0.0,1.0
2013-12-27,0.885,0.89,0.88,0.88,0.763,941272.0,0.0,1.0
2013-12-30,0.88,0.885,0.875,0.875,0.7586,979692.0,0.0,1.0
2013-12-31,0.875,0.89,0.875,0.89,0.7716,51780.0,0.0,1.0
2014-01-02,0.87,0.88,0.87,0.88,0.763,385475.0,0.0,1.0
2014-01-03,0.87,0.885,0.87,0.885,0.7673,33885.0,0.0,1.0
2014-01-06,0.87,0.895,0.865,0.89,0.7716,223438.0,0.0,1.0
2014-01-07,0.87,0.89,0.87,0.89,0.7716,127932.0,0.0,1.0
2014-01-08,0.87,0.88,0.87,0.88,0.763,150956.0,0.0,1.0
2014-01-09,0.87,0.875,0.865,0.865,0.75,2165820.0,0.0,1.0
2014-01-10,0.865,0.87,0.86,0.87,0.7543,12552267.0,0.0,1.0
2014-01-13,0.875,0.885,0.865,0.865,0.75,337537.0,0.0,1.0
2014-01-14,0.865,0.87,0.865,0.87,0.7543,46749.0,0.0,1.0
2014-01-15,0.87,0.87,0.87,0.87,0.7543,60622.0,0.0,1.0
2014-01-16,0.865,0.865,0.865,0.865,0.75,73009.0,0.0,1.0
2014-01-17,0.865,0.87,0.865,0.87,0.7543,187142.0,0.0,1.0
2014-01-20,0.865,0.87,0.85,0.87,0.7543,847184.0,0.0,1.0
2014-01-21,0.87,0.87,0.84,0.87,0.7543,913245.0,0.0,1.0
2014-01-22,0.85,0.875,0.85,0.87,0.7543,4156279.0,0.0,1.0
2014-01-23,0.87,0.875,0.87,0.87,0.7543,59560.0,0.0,1.0
2014-01-24,0.865,0.87,0.865,0.865,0.75,63584.0,0.0,1.0
2014-01-28,0.855,0.895,0.85,0.88,0.763,462541.0,0.0,1.0
2014-01-29,0.88,0.9,0.87,0.885,0.7673,3011974.0,0.0,1.0
2014-01-30,0.885,0.89,0.88,0.88,0.763,342767.0,0.0,1.0
2014-01-31,0.88,0.9,0.88,0.9,0.7803,1430949.0,0.0,1.0
2014-02-03,0.9,0.9,0.9,0.9,0.7803,2326712.0,0.0,1.0
2014-02-04,0.885,0.91,0.885,0.9,0.7803,1034019.0,0.0,1.0
2014-02-05,0.89,0.9,0.89,0.895,0.776,846555.0,0.0,1.0
2014-02-06,0.895,0.92,0.89,0.905,0.7846,1063222.0,0.0,1.0
2014-02-07,0.905,0.915,0.9,0.9,0.7803,137781.0,0.0,1.0
2014-02-10,0.9,0.91,0.895,0.91,0.789,106522.0,0.0,1.0
2014-02-11,0.91,0.91,0.895,0.895,0.776,820565.0,0.0,1.0
2014-02-12,0.905,0.905,0.895,0.9,0.7803,124219.0,0.0,1.0
2014-02-13,0.905,0.91,0.895,0.9,0.7803,1616030.0,0.0,1.0
2014-02-14,0.9,0.9,0.89,0.89,0.7716,564761.0,0.0,1.0
2014-02-17,0.9,0.9,0.885,0.885,0.7673,426181.0,0.0,1.0
2014-02-18,0.9,0.9,0.875,0.875,0.7586,231667.0,0.0,1.0
2014-02-19,0.895,0.905,0.88,0.89,0.7716,1268135.0,0.0,1.0
2014-02-20,0.89,0.89,0.88,0.89,0.7716,72752.0,0.0,1.0
2014-02-21,0.885,0.89,0.88,0.88,0.763,709708.0,0.0,1.0
2014-02-24,0.875,0.89,0.875,0.875,0.7586,182215.0,0.0,1.0
2014-02-25,0.88,0.885,0.87,0.875,0.7586,785490.0,0.0,1.0
2014-02-26,0.885,0.885,0.87,0.88,0.763,838521.0,0.0,1.0
2014-02-27,0.88,0.8825,0.875,0.875,0.7586,283683.0,0.0,1.0
2014-02-28,0.875,0.88,0.87,0.875,0.7586,745965.0,0.0,1.0
2014-03-03,0.875,0.875,0.865,0.865,0.75,102397.0,0.0,1.0
2014-03-04,0.865,0.87,0.85,0.86,0.7456,259892.0,0.0,1.0
2014-03-05,0.86,0.88,0.855,0.86,0.7456,3613075.0,0.0,1.0
2014-03-06,0.857,0.86,0.857,0.86,0.7456,2512743.0,0.0,1.0
2014-03-07,0.87,0.895,0.87,0.88,0.763,1878640.0,0.0,1.0
2014-03-10,0.885,0.89,0.875,0.89,0.7716,1236519.0,0.0,1.0
2014-03-11,0.89,0.89,0.875,0.885,0.7673,485652.0,0.0,1.0
2014-03-12,0.88,0.885,0.855,0.885,0.7673,797527.0,0.0,1.0
2014-03-13,0.885,0.885,0.87,0.875,0.7586,1045102.0,0.0,1.0
2014-03-14,0.872,0.875,0.86,0.875,0.7586,388035.0,0.0,1.0
2014-03-17,0.87,0.875,0.865,0.87,0.7543,1932194.0,0.0,1.0
2014-03-18,0.875,0.875,0.865,0.87,0.7543,583833.0,0.0,1.0
2014-03-19,0.865,0.87,0.84,0.86,0.7456,1734877.0,0.0,1.0
2014-03-20,0.86,0.87,0.855,0.87,0.7543,1811314.0,0.0,1.0
2014-03-21,0.87,0.92,0.87,0.92,0.7976,48154535.0,0.0,1.0
2014-03-24,0.91,0.91,0.89,0.9,0.7803,771717.0,0.0,1.0
2014-03-25,0.9,0.91,0.9,0.91,0.789,384674.0,0.0,1.0
2014-03-26,0.905,0.91,0.895,0.895,0.776,252575.0,0.0,1.0
2014-03-27,0.9,0.9,0.875,0.89,0.7716,770657.0,0.0,1.0
2014-03-28,0.885,0.91,0.88,0.91,0.789,302238.0,0.0,1.0
2014-03-31,0.905,0.91,0.89,0.89,0.7716,428487.0,0.0,1.0
2014-04-01,0.9,0.905,0.89,0.895,0.776,253325.0,0.0,1.0
2014-04-02,0.9,0.905,0.885,0.885,0.7673,235028.0,0.0,1.0
2014-04-03,0.895,0.895,0.865,0.875,0.7586,131278.0,0.0,1.0
2014-04-04,0.875,0.88,0.872,0.875,0.7586,333437.0,0.0,1.0
2014-04-07,0.88,0.905,0.88,0.905,0.7846,216039.0,0.0,1.0
2014-04-08,0.905,0.91,0.895,0.905,0.7846,104266.0,0.0,1.0
2014-04-09,0.905,0.905,0.885,0.89,0.7716,35595.0,0.0,1.0
2014-04-10,0.895,0.895,0.88,0.88,0.763,169637.0,0.0,1.0
2014-04-11,0.89,0.8925,0.882,0.89,0.7716,1376590.0,0.0,1.0
2014-04-14,0.89,0.89,0.885,0.885,0.7673,449302.0,0.0,1.0
