date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-12-05,0.99,0.99,0.89,0.94,0.5701,254000.0,0.0,1.0
2007-12-06,0.94,0.94,0.92,0.92,0.558,115921.0,0.0,1.0
2007-12-07,0.91,0.91,0.85,0.85,0.5155,426300.0,0.0,1.0
2007-12-10,0.86,0.93,0.85,0.91,0.5519,112877.0,0.0,1.0
2007-12-11,0.9,0.9,0.89,0.89,0.5398,43500.0,0.0,1.0
2007-12-12,0.86,0.86,0.805,0.86,0.5216,31000.0,0.0,1.0
2007-12-13,0.85,0.85,0.8,0.8,0.4852,40073.0,0.0,1.0
2007-12-14,0.82,0.82,0.79,0.79,0.4791,75500.0,0.0,1.0
2007-12-17,0.79,0.79,0.75,0.75,0.4549,42432.0,0.0,1.0
2007-12-18,0.75,0.75,0.75,0.75,0.4549,7038.0,0.0,1.0
2007-12-19,0.8,0.8,0.75,0.75,0.4549,122200.0,0.0,1.0
2007-12-20,0.76,0.76,0.75,0.75,0.4549,14700.0,0.0,1.0
2007-12-21,0.75,0.75,0.7,0.7,0.4245,48350.0,0.0,1.0
2007-12-24,0.77,0.77,0.705,0.705,0.4276,0.0,0.0,1.0
2007-12-27,0.77,0.77,0.715,0.715,0.4336,0.0,0.0,1.0
2007-12-28,0.77,0.77,0.77,0.77,0.467,1000.0,0.0,1.0
2007-12-31,0.75,0.75,0.725,0.725,0.4397,12736.0,0.0,1.0
2008-01-02,0.75,0.75,0.725,0.725,0.4397,0.0,0.0,1.0
2008-01-03,0.725,0.725,0.7,0.7,0.4245,37479.0,0.0,1.0
2008-01-04,0.71,0.71,0.7,0.7,0.4245,28764.0,0.0,1.0
2008-01-07,0.7,0.7,0.695,0.695,0.4215,23316.0,0.0,1.0
2008-01-08,0.685,0.685,0.68,0.68,0.4124,87231.0,0.0,1.0
2008-01-09,0.65,0.65,0.65,0.65,0.3942,10000.0,0.0,1.0
2008-01-10,0.65,0.685,0.63,0.685,0.4154,29000.0,0.0,1.0
2008-01-11,0.68,0.68,0.68,0.68,0.4124,769.0,0.0,1.0
2008-01-14,0.68,0.68,0.63,0.63,0.3821,222731.0,0.0,1.0
2008-01-15,0.63,0.63,0.63,0.63,0.3821,21600.0,0.0,1.0
2008-01-16,0.63,0.63,0.6,0.6,0.3639,204683.0,0.0,1.0
2008-01-17,0.55,0.55,0.55,0.55,0.3336,10000.0,0.0,1.0
2008-01-18,0.555,0.555,0.55,0.55,0.3336,17500.0,0.0,1.0
2008-01-21,0.55,0.6,0.52,0.55,0.3336,18700.0,0.0,1.0
2008-01-22,0.55,0.55,0.45,0.45,0.2729,202500.0,0.0,1.0
2008-01-23,0.535,0.535,0.49,0.5,0.3032,27380.0,0.0,1.0
2008-01-24,0.48,0.49,0.45,0.45,0.2729,45400.0,0.0,1.0
2008-01-25,0.45,0.45,0.45,0.45,0.2729,35000.0,0.0,1.0
2008-01-29,0.45,0.45,0.45,0.45,0.2729,46000.0,0.0,1.0
2008-01-30,0.45,0.45,0.41,0.41,0.2487,50000.0,0.0,1.0
2008-01-31,0.45,0.45,0.45,0.45,0.2729,2200.0,0.0,1.0
2008-02-01,0.42,0.45,0.42,0.45,0.2729,77000.0,0.0,1.0
2008-02-04,0.45,0.45,0.45,0.45,0.2729,0.0,0.0,1.0
2008-02-05,0.44,0.44,0.44,0.44,0.2668,2500.0,0.0,1.0
2008-02-06,0.425,0.44,0.41,0.44,0.2668,31684.0,0.0,1.0
2008-02-07,0.43,0.43,0.41,0.41,0.2487,8491.0,0.0,1.0
2008-02-08,0.44,0.44,0.42,0.42,0.2547,13700.0,0.0,1.0
2008-02-11,0.42,0.42,0.37,0.4,0.2426,88816.0,0.0,1.0
2008-02-12,0.4,0.4,0.315,0.35,0.2123,94800.0,0.0,1.0
2008-02-13,0.35,0.35,0.35,0.35,0.2123,44000.0,0.0,1.0
2008-02-14,0.385,0.385,0.35,0.35,0.2123,0.0,0.0,1.0
2008-02-15,0.35,0.35,0.35,0.35,0.2123,21000.0,0.0,1.0
2008-02-18,0.335,0.345,0.335,0.34,0.2062,65000.0,0.0,1.0
2008-02-19,0.36,0.36,0.36,0.36,0.2183,10000.0,0.0,1.0
2008-02-20,0.36,0.36,0.35,0.35,0.2123,110000.0,0.0,1.0
2008-02-21,0.35,0.35,0.34,0.34,0.2062,15000.0,0.0,1.0
2008-02-22,0.335,0.335,0.335,0.335,0.2032,30000.0,0.0,1.0
2008-02-25,0.34,0.34,0.34,0.34,0.2062,15000.0,0.0,1.0
2008-02-26,0.355,0.355,0.33,0.33,0.2001,25000.0,0.0,1.0
2008-02-27,0.33,0.35,0.33,0.33,0.2001,38000.0,0.0,1.0
2008-02-28,0.35,0.35,0.335,0.335,0.2032,52000.0,0.0,1.0
2008-02-29,0.355,0.36,0.34,0.34,0.2062,80000.0,0.0,1.0
2008-03-03,0.34,0.37,0.31,0.31,0.188,166430.0,0.0,1.0
2008-03-04,0.32,0.32,0.29,0.29,0.1759,49000.0,0.0,1.0
2008-03-05,0.3,0.3,0.3,0.3,0.1819,30000.0,0.0,1.0
2008-03-06,0.35,0.35,0.35,0.35,0.2123,142714.0,0.0,1.0
2008-03-07,0.305,0.305,0.3,0.3,0.1819,65251.0,0.0,1.0
2008-03-10,0.3,0.3,0.265,0.265,0.1607,8551.0,0.0,1.0
2008-03-11,0.27,0.27,0.27,0.27,0.1637,18000.0,0.0,1.0
2008-03-12,0.28,0.43,0.28,0.365,0.2214,266200.0,0.0,1.0
2008-03-13,0.365,0.37,0.355,0.355,0.2153,177900.0,0.0,1.0
2008-03-14,0.355,0.355,0.355,0.355,0.2153,0.0,0.0,1.0
2008-03-17,0.355,0.355,0.355,0.355,0.2153,43100.0,0.0,1.0
2008-03-18,0.355,0.355,0.33,0.33,0.2001,26900.0,0.0,1.0
2008-03-19,0.35,0.35,0.35,0.35,0.2123,18100.0,0.0,1.0
2008-03-20,0.355,0.355,0.355,0.355,0.2153,20000.0,0.0,1.0
2008-03-25,0.38,0.38,0.38,0.38,0.2305,37600.0,0.0,1.0
2008-03-26,0.365,0.365,0.365,0.365,0.2214,2000.0,0.0,1.0
2008-03-27,0.365,0.365,0.365,0.365,0.2214,1650.0,0.0,1.0
2008-03-28,0.36,0.36,0.33,0.33,0.2001,80950.0,0.0,1.0
2008-03-31,0.38,0.39,0.34,0.36,0.2183,57200.0,0.0,1.0
2008-04-01,0.38,0.38,0.36,0.36,0.2183,31100.0,0.0,1.0
2008-04-02,0.37,0.4,0.37,0.38,0.2305,53279.0,0.0,1.0
2008-04-03,0.375,0.375,0.37,0.37,0.2244,35800.0,0.0,1.0
2008-04-04,0.37,0.38,0.37,0.38,0.2305,22000.0,0.0,1.0
2008-04-07,0.38,0.38,0.37,0.37,0.2244,4676.0,0.0,1.0
2008-04-08,0.36,0.36,0.315,0.35,0.2123,77350.0,0.0,1.0
2008-04-09,0.315,0.315,0.315,0.315,0.191,21400.0,0.0,1.0
2008-04-10,0.31,0.31,0.31,0.31,0.188,35000.0,0.0,1.0
2008-04-11,0.31,0.31,0.3,0.3,0.1819,37000.0,0.0,1.0
2008-04-14,0.3,0.3,0.3,0.3,0.1819,38450.0,0.0,1.0
2008-04-15,0.32,0.32,0.29,0.29,0.1759,0.0,0.0,1.0
2008-04-16,0.29,0.29,0.29,0.29,0.1759,15000.0,0.0,1.0
2008-04-17,0.3,0.3,0.29,0.29,0.1759,26000.0,0.0,1.0
2008-04-18,0.29,0.29,0.29,0.29,0.1759,20000.0,0.0,1.0
2008-04-21,0.29,0.29,0.29,0.29,0.1759,0.0,0.0,1.0
2008-04-22,0.3,0.3,0.28,0.28,0.1698,0.0,0.0,1.0
2008-04-23,0.29,0.29,0.29,0.29,0.1759,7250.0,0.0,1.0
2008-04-24,0.29,0.32,0.29,0.32,0.1941,41670.0,0.0,1.0
2008-04-28,0.32,0.32,0.32,0.32,0.1941,635.0,0.0,1.0
2008-04-29,0.34,0.34,0.34,0.34,0.2062,47895.0,0.0,1.0
2008-04-30,0.3,0.3,0.3,0.3,0.1819,95500.0,0.0,1.0
2008-05-01,0.3,0.3,0.3,0.3,0.1819,17566.0,0.0,1.0
2008-05-02,0.29,0.29,0.28,0.285,0.1728,41200.0,0.0,1.0
2008-05-05,0.28,0.28,0.275,0.275,0.1668,17700.0,0.0,1.0
2008-05-06,0.28,0.28,0.28,0.28,0.1698,10000.0,0.0,1.0
2008-05-07,0.27,0.27,0.265,0.265,0.1607,52000.0,0.0,1.0
2008-05-08,0.285,0.285,0.27,0.27,0.1637,0.0,0.0,1.0
2008-05-09,0.28,0.28,0.27,0.27,0.1637,13000.0,0.0,1.0
2008-05-12,0.285,0.285,0.285,0.285,0.1728,55000.0,0.0,1.0
2008-05-13,0.285,0.285,0.285,0.285,0.1728,0.0,0.0,1.0
2008-05-14,0.285,0.285,0.26,0.27,0.1637,153607.0,0.0,1.0
2008-05-15,0.265,0.265,0.26,0.26,0.1577,150000.0,0.0,1.0
2008-05-16,0.275,0.275,0.26,0.26,0.1577,78000.0,0.0,1.0
2008-05-19,0.26,0.265,0.255,0.255,0.1547,100000.0,0.0,1.0
2008-05-20,0.255,0.255,0.25,0.25,0.1516,155000.0,0.0,1.0
2008-05-21,0.25,0.25,0.25,0.25,0.1516,32222.0,0.0,1.0
2008-05-22,0.26,0.26,0.26,0.26,0.1577,15000.0,0.0,1.0
2008-05-23,0.28,0.285,0.25,0.27,0.1637,325000.0,0.0,1.0
2008-05-26,0.275,0.275,0.265,0.265,0.1607,30000.0,0.0,1.0
2008-05-27,0.26,0.26,0.25,0.25,0.1516,71000.0,0.0,1.0
2008-05-28,0.245,0.25,0.245,0.25,0.1516,37000.0,0.0,1.0
2008-05-29,0.245,0.245,0.24,0.24,0.1456,20000.0,0.0,1.0
2008-05-30,0.235,0.235,0.235,0.235,0.1425,25000.0,0.0,1.0
2008-06-02,0.25,0.255,0.24,0.255,0.1547,70000.0,0.0,1.0
2008-06-03,0.255,0.26,0.25,0.26,0.1577,34200.0,0.0,1.0
2008-06-04,0.25,0.25,0.25,0.25,0.1516,3000.0,0.0,1.0
2008-06-05,0.25,0.25,0.225,0.25,0.1516,105000.0,0.0,1.0
2008-06-06,0.25,0.25,0.25,0.25,0.1516,145000.0,0.0,1.0
2008-06-10,0.245,0.245,0.2,0.22,0.1334,136200.0,0.0,1.0
2008-06-11,0.2,0.2,0.18,0.18,0.1092,199000.0,0.0,1.0
2008-06-12,0.17,0.18,0.17,0.18,0.1092,145158.0,0.0,1.0
2008-06-13,0.17,0.18,0.17,0.18,0.1092,6000.0,0.0,1.0
2008-06-16,0.18,0.18,0.17,0.17,0.1031,144000.0,0.0,1.0
2008-06-17,0.16,0.17,0.16,0.16,0.097,110285.0,0.0,1.0
2008-06-18,0.16,0.19,0.16,0.18,0.1092,83000.0,0.0,1.0
2008-06-19,0.16,0.16,0.16,0.16,0.097,50000.0,0.0,1.0
2008-06-20,0.16,0.17,0.155,0.17,0.1031,650965.0,0.0,1.0
2008-06-23,0.15,0.155,0.15,0.15,0.091,154279.0,0.0,1.0
2008-06-24,0.155,0.17,0.15,0.17,0.1031,237585.0,0.0,1.0
2008-06-25,0.165,0.17,0.16,0.165,0.1001,227080.0,0.0,1.0
2008-06-26,0.17,0.17,0.155,0.155,0.094,259167.0,0.0,1.0
2008-06-27,0.155,0.17,0.155,0.17,0.1031,112000.0,0.0,1.0
2008-06-30,0.155,0.155,0.15,0.15,0.091,383833.0,0.0,1.0
2008-07-01,0.16,0.16,0.16,0.16,0.097,10000.0,0.0,1.0
2008-07-02,0.15,0.16,0.15,0.16,0.097,190000.0,0.0,1.0
2008-07-03,0.16,0.16,0.155,0.16,0.097,255000.0,0.0,1.0
2008-07-04,0.16,0.165,0.16,0.165,0.1001,565949.0,0.0,1.0
2008-07-07,0.17,0.2,0.17,0.2,0.1213,141499.0,0.0,1.0
2008-07-08,0.195,0.195,0.195,0.195,0.1183,9501.0,0.0,1.0
2008-07-09,0.195,0.195,0.185,0.19,0.1152,92000.0,0.0,1.0
2008-07-10,0.19,0.205,0.185,0.185,0.1122,80000.0,0.0,1.0
2008-07-11,0.185,0.195,0.185,0.195,0.1183,74051.0,0.0,1.0
