date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-05-20,3.4015,3.5535,3.3898,3.5067,2.378,85849957.0,0.0,1.0
2014-05-21,3.5067,3.5535,3.4366,3.4483,2.3384,18921421.0,0.0,1.0
2014-05-22,3.4249,3.4483,3.4249,3.4366,2.3305,7442526.0,0.0,1.0
2014-05-23,3.4249,3.5067,3.4132,3.5067,2.378,2488688.0,0.0,1.0
2014-05-26,3.5067,3.6587,3.5067,3.5885,2.4335,3180195.0,0.0,1.0
2014-05-27,3.6236,3.6236,3.5652,3.5652,2.4177,2630420.0,0.0,1.0
2014-05-28,3.5885,3.6119,3.5535,3.6119,2.4494,970510.0,0.0,1.0
2014-05-29,3.6119,3.6938,3.6119,3.6938,2.5049,3679506.0,0.0,1.0
2014-05-30,3.6938,3.7171,3.6762,3.6938,2.5049,2886534.0,0.0,1.0
2014-06-02,3.7171,3.7288,3.647,3.6704,2.489,1795908.0,0.0,1.0
2014-06-03,3.6704,3.6704,3.5067,3.5652,2.4177,3801573.0,0.0,1.0
2014-06-04,3.5652,3.6002,3.5359,3.5535,2.4097,1340299.0,0.0,1.0
2014-06-05,3.5769,3.6119,3.5652,3.5885,2.4335,760213.0,0.0,1.0
2014-06-06,3.5769,3.6119,3.5769,3.6002,2.4415,1023509.0,0.0,1.0
2014-06-10,3.6002,3.647,3.5769,3.5769,2.4256,924869.0,0.0,1.0
2014-06-11,3.5769,3.6002,3.5652,3.5885,2.4335,414148.0,0.0,1.0
2014-06-12,3.5885,3.6119,3.5769,3.6119,2.4494,242813.0,0.0,1.0
2014-06-13,3.5885,3.6236,3.5769,3.6002,2.4415,309740.0,0.0,1.0
2014-06-16,3.5885,3.647,3.5301,3.5301,2.3939,635181.0,0.0,1.0
2014-06-17,3.5301,3.5535,3.5067,3.5301,2.3939,1377631.0,0.0,1.0
2014-06-18,3.5184,3.5535,3.5067,3.5067,2.378,3820725.0,0.0,1.0
2014-06-19,3.5067,3.5184,3.4132,3.5067,2.378,427256.0,0.0,1.0
2014-06-20,3.5184,3.6002,3.5184,3.5885,2.4335,208223.0,0.0,1.0
2014-06-23,3.5652,3.6002,3.5652,3.5769,2.4256,490740.0,0.0,1.0
2014-06-24,3.5652,3.6353,3.5652,3.6002,2.4415,801460.0,0.0,1.0
2014-06-25,3.6236,3.7288,3.6236,3.6938,2.5049,1051450.0,0.0,1.0
2014-06-26,3.6938,3.7288,3.6938,3.7288,2.5286,157144.0,0.0,1.0
2014-06-27,3.7288,3.8106,3.7171,3.8106,2.5841,1615258.0,0.0,1.0
2014-06-30,3.8106,3.8574,3.8106,3.834,2.6,619936.0,0.0,1.0
2014-07-01,3.8106,3.8223,3.7405,3.7405,2.5366,136616.0,0.0,1.0
2014-07-02,3.7405,3.799,3.7405,3.799,2.5762,286777.0,0.0,1.0
2014-07-03,3.8106,3.8925,3.8106,3.8925,2.6396,901095.0,0.0,1.0
2014-07-04,3.8808,3.8925,3.799,3.8574,2.6158,203421.0,0.0,1.0
2014-07-07,3.8574,3.8925,3.834,3.8574,2.6158,322092.0,0.0,1.0
2014-07-08,3.8808,3.9042,3.8457,3.8574,2.6158,617273.0,0.0,1.0
2014-07-09,3.8574,3.8574,3.6821,3.6821,2.4969,840191.0,0.0,1.0
2014-07-10,3.7522,3.7756,3.7054,3.7288,2.5286,136632.0,0.0,1.0
2014-07-11,3.7639,3.7639,3.4483,3.6587,2.4811,1143461.0,0.0,1.0
2014-07-14,3.7288,3.7522,3.6704,3.7405,2.5366,204780.0,0.0,1.0
2014-07-15,3.7522,3.799,3.7171,3.799,2.5762,172442.0,0.0,1.0
2014-07-16,3.8223,3.8574,3.7756,3.799,2.5762,301878.0,0.0,1.0
2014-07-17,3.8574,3.8574,3.7756,3.834,2.6,150419.0,0.0,1.0
2014-07-18,3.799,3.8106,3.7522,3.799,2.5762,123467.0,0.0,1.0
2014-07-21,3.834,3.8457,3.7639,3.8223,2.5921,159375.0,0.0,1.0
2014-07-22,3.8457,3.8457,3.7873,3.8106,2.5841,345041.0,0.0,1.0
2014-07-23,3.8223,3.8691,3.8106,3.8223,2.5921,1454882.0,0.0,1.0
2014-07-24,3.8574,3.9042,3.834,3.8457,2.6079,1345405.0,0.0,1.0
2014-07-25,3.8574,3.8808,3.834,3.8457,2.6079,179208.0,0.0,1.0
2014-07-28,3.8574,3.8574,3.7639,3.799,2.5762,209776.0,0.0,1.0
2014-07-29,3.8457,3.8691,3.7873,3.8223,2.5921,826795.0,0.0,1.0
2014-07-30,3.9275,4.2081,3.9158,4.1964,2.8457,2952888.0,0.0,1.0
2014-07-31,4.1262,4.1613,3.9392,4.0327,2.7347,3793035.0,0.0,1.0
2014-08-01,3.9509,4.0912,3.9509,4.0094,2.7189,1116952.0,0.0,1.0
2014-08-04,4.0094,4.0795,3.9626,3.9626,2.6872,3141914.0,0.0,1.0
2014-08-05,4.0327,4.0561,3.9509,3.9626,2.6872,1448488.0,0.0,1.0
2014-08-06,3.9392,4.0327,3.8808,3.9042,2.6476,843206.0,0.0,1.0
2014-08-07,3.9626,4.0736,3.9275,4.021,2.7268,4538566.0,0.0,1.0
2014-08-08,4.021,4.0912,4.0094,4.0561,2.7506,1860840.0,0.0,1.0
2014-08-11,4.1146,4.1555,4.0678,4.0795,2.7665,1081321.0,0.0,1.0
2014-08-12,4.1146,4.1262,4.0561,4.0912,2.7744,337870.0,0.0,1.0
2014-08-13,4.0912,4.0912,4.0094,4.0444,2.7616,703667.0,0.0,1.0
2014-08-14,4.0912,4.1613,4.0094,4.1029,2.8015,1345223.0,0.0,1.0
2014-08-15,4.1262,4.1379,4.0795,4.0795,2.7855,1599822.0,0.0,1.0
2014-08-18,4.1146,4.2665,4.1029,4.1613,2.8414,1828833.0,0.0,1.0
2014-08-19,4.2431,4.3016,4.2081,4.2198,2.8813,929678.0,0.0,1.0
2014-08-20,4.2665,4.3016,4.2081,4.2899,2.9292,543018.0,0.0,1.0
2014-08-21,4.2899,4.3717,4.1847,4.1964,2.8653,7962015.0,0.0,1.0
2014-08-22,4.2081,4.2665,4.173,4.2548,2.9052,1081180.0,0.0,1.0
