date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-02-02,18.11,18.2419,18.0221,18.154,12.3405,1766657.0,0.0,1.0
2005-02-03,18.154,18.1979,17.9342,18.0221,12.2508,1231526.0,0.0,1.0
2005-02-04,18.066,18.11,17.8902,18.066,12.2806,1429571.0,0.0,1.0
2005-02-07,18.154,18.7254,18.154,18.6814,12.699,2385083.0,0.0,1.0
2005-02-08,18.6375,18.6375,18.4617,18.4617,12.5496,721746.0,0.0,1.0
2005-02-09,18.4617,18.5056,18.2858,18.3298,12.46,856421.0,0.0,1.0
2005-02-10,18.2858,18.2858,18.0221,18.1979,12.3703,834100.0,0.0,1.0
2005-02-11,18.1979,18.2858,18.11,18.2419,12.4002,421979.0,0.0,1.0
2005-02-14,18.2419,18.2419,17.8023,18.0221,12.2508,709866.0,0.0,1.0
2005-02-15,17.6265,17.6265,17.099,17.5386,11.9221,718250.0,0.0,1.0
2005-02-16,17.2748,17.4946,17.143,17.4946,11.8922,707343.0,0.0,1.0
2005-02-17,17.4507,17.4946,17.2309,17.2309,11.713,414424.0,0.0,1.0
2005-02-18,17.1869,17.3627,17.1869,17.3188,11.7727,532126.0,0.0,1.0
2005-02-21,17.2309,17.3188,16.9671,17.1869,11.6831,533504.0,0.0,1.0
2005-02-22,17.2748,17.2748,16.7034,17.0111,11.5635,866056.0,0.0,1.0
2005-02-23,16.8792,17.1869,16.7474,17.1869,11.6831,843965.0,0.0,1.0
2005-02-24,17.099,17.2309,16.9232,16.9232,11.5038,690813.0,0.0,1.0
2005-02-25,16.7474,16.8792,16.7474,16.7913,11.4141,981832.0,0.0,1.0
2005-02-28,16.7913,17.2309,16.7913,17.2309,11.713,445011.0,0.0,1.0
2005-03-01,16.8353,17.3188,16.8353,17.2748,11.7428,464646.0,0.0,1.0
2005-03-02,17.2748,17.4507,17.055,17.4507,11.8624,485350.0,0.0,1.0
2005-03-03,17.4067,17.4946,17.143,17.3627,11.8026,336460.0,0.0,1.0
2005-03-04,17.3188,17.3188,17.143,17.2309,11.713,233461.0,0.0,1.0
2005-03-07,17.3188,17.4507,17.3188,17.4507,11.8624,184339.0,0.0,1.0
2005-03-08,17.4067,17.4507,17.2748,17.4067,11.8325,222882.0,0.0,1.0
2005-03-09,17.3627,17.4067,17.055,17.2309,11.713,347571.0,0.0,1.0
2005-03-10,17.3188,17.3188,16.7913,16.8792,11.4739,373450.0,0.0,1.0
2005-03-11,16.8353,17.143,16.8353,16.8792,11.4739,734323.0,0.0,1.0
2005-03-14,16.7913,17.055,16.7913,16.9671,11.5336,215584.0,0.0,1.0
2005-03-15,16.9671,17.0111,16.8353,16.8353,11.444,217717.0,0.0,1.0
2005-03-16,16.8792,17.055,16.8792,16.9671,11.5336,578195.0,0.0,1.0
2005-03-17,17.0111,17.099,16.9232,17.0111,11.5635,968592.0,0.0,1.0
2005-03-18,17.0111,17.143,16.9232,17.099,11.6233,514961.0,0.0,1.0
2005-03-21,17.0111,17.2309,16.9232,17.143,11.6532,441262.0,0.0,1.0
2005-03-22,17.055,17.3188,17.055,17.055,11.5934,570867.0,0.0,1.0
2005-03-23,16.6155,16.8353,16.6155,16.7474,11.4277,478722.0,0.0,1.0
2005-03-24,16.7034,16.9232,16.4836,16.7034,11.3977,271848.0,0.0,1.0
2005-03-29,16.7034,16.7034,16.3957,16.7034,11.3977,295597.0,0.0,1.0
2005-03-30,16.7034,16.8353,16.5715,16.7474,11.4277,604336.0,0.0,1.0
2005-03-31,16.7913,16.7913,16.5715,16.7034,11.3977,430767.0,0.0,1.0
2005-04-01,16.7034,16.8792,16.7034,16.7474,11.4277,318031.0,0.0,1.0
