date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,7.5402,7.7077,7.5402,7.7077,4.0159,45847.0,0.0,1.0
2000-01-05,7.582,7.7077,7.582,7.7077,4.0159,29482.0,0.0,1.0
2000-01-06,7.582,7.7077,7.582,7.7077,4.0159,82626.0,0.0,1.0
2000-01-07,7.7077,7.7077,7.7077,7.7077,4.0159,20124.0,0.0,1.0
2000-01-10,7.7077,7.7915,7.7077,7.7077,4.0159,16676.0,0.0,1.0
2000-01-11,7.7077,7.7496,7.7077,7.7496,4.0377,47983.0,0.0,1.0
2000-01-12,7.7496,7.7915,7.6658,7.7915,4.0595,28121.0,0.0,1.0
2000-01-13,7.8334,7.8334,7.7915,7.7915,4.0595,33645.0,0.0,1.0
2000-01-14,7.8753,7.9172,7.8753,7.9172,4.125,8415.0,0.0,1.0
2000-01-17,7.9172,8.0428,7.9172,8.0428,4.1905,38260.0,0.0,1.0
2000-01-18,8.0428,8.0428,8.0428,8.0428,4.1905,0.0,0.0,1.0
2000-01-19,7.9591,8.0428,7.9591,8.0428,4.1905,4774.0,0.0,1.0
2000-01-20,8.0428,8.0428,8.0428,8.0428,4.1905,0.0,0.0,1.0
2000-01-21,7.8753,7.8753,7.8753,7.8753,4.1032,1671.0,0.0,1.0
2000-01-24,7.7496,7.7496,7.7077,7.7077,4.0159,3686.0,0.0,1.0
2000-01-25,7.7077,7.7077,7.7077,7.7077,4.0159,0.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,7.7077,7.7496,7.7077,7.7496,4.0377,2744.0,0.0,1.0
2000-01-28,7.7496,7.7496,7.7496,7.7496,4.0377,4094.0,0.0,1.0
2000-01-31,7.7077,7.7077,7.7077,7.7077,4.0159,264.0,0.0,1.0
2000-02-01,7.7077,7.7077,7.6239,7.6239,3.9722,7162.0,0.0,1.0
2000-02-02,7.6239,7.6658,7.6239,7.6658,3.994,6684.0,0.0,1.0
2000-02-03,7.6574,7.6658,7.6574,7.6658,3.994,2387.0,0.0,1.0
2000-02-04,7.5402,7.5402,7.5402,7.5402,3.9286,5968.0,0.0,1.0
2000-02-07,7.5402,7.5402,7.4564,7.5402,3.9286,5332.0,0.0,1.0
2000-02-08,7.4815,7.4815,7.2888,7.2888,3.7976,3360.0,0.0,1.0
2000-02-09,7.2972,7.2972,7.2888,7.2888,3.7976,8672.0,0.0,1.0
2000-02-10,7.3307,7.3307,7.2888,7.2888,3.7976,982.0,0.0,1.0
2000-02-11,7.1213,7.1631,7.1213,7.1631,3.7321,17904.0,0.0,1.0
2000-02-14,7.1213,7.1213,6.9956,6.9956,3.6448,8716.0,0.0,1.0
2000-02-15,7.1213,7.1213,7.1213,7.1213,3.7103,3266.0,0.0,1.0
2000-02-16,6.9956,6.9956,6.9956,6.9956,3.6448,132.0,0.0,1.0
2000-02-17,7.004,7.004,7.004,7.004,3.6492,2387.0,0.0,1.0
2000-02-18,7.004,7.004,7.004,7.004,3.6492,0.0,0.0,1.0
2000-02-21,7.004,7.004,7.004,7.004,3.6492,0.0,0.0,1.0
2000-02-22,7.1213,7.1213,7.1213,7.1213,3.7103,836.0,0.0,1.0
