date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-04-19,1.76,1.9,1.76,1.89,1.0334,3857454.0,0.0,1.0
2011-04-20,1.975,2.14,1.97,2.02,1.1045,1824345.0,0.0,1.0
2011-04-21,2.09,2.12,1.95,1.97,1.0771,683226.0,0.0,1.0
2011-04-27,1.97,1.97,1.86,1.86,1.017,3744205.0,0.0,1.0
2011-04-28,1.855,1.88,1.84,1.855,1.0143,256814.0,0.0,1.0
2011-04-29,1.855,1.885,1.8,1.875,1.0252,161949.0,0.0,1.0
2011-05-02,1.86,1.86,1.82,1.82,0.9951,317409.0,0.0,1.0
2011-05-03,1.83,1.83,1.76,1.78,0.9732,60461.0,0.0,1.0
2011-05-04,1.78,1.78,1.71,1.745,0.9541,54903.0,0.0,1.0
2011-05-05,1.71,1.71,1.65,1.7,0.9295,217964.0,0.0,1.0
2011-05-06,1.69,1.81,1.69,1.8,0.9842,35814.0,0.0,1.0
2011-05-09,1.78,1.895,1.78,1.89,1.0334,124521.0,0.0,1.0
2011-05-10,1.885,1.95,1.85,1.945,1.0635,138840.0,0.0,1.0
2011-05-11,1.945,2.0,1.92,1.945,1.0635,160078.0,0.0,1.0
2011-05-12,1.9,1.9,1.83,1.83,1.0006,78037.0,0.0,1.0
2011-05-13,1.85,1.895,1.85,1.895,1.0361,20995.0,0.0,1.0
2011-05-16,1.88,1.9,1.83,1.9,1.0389,104700.0,0.0,1.0
2011-05-17,1.89,1.89,1.89,1.89,1.0334,754.0,0.0,1.0
2011-05-18,1.87,1.87,1.84,1.85,1.0115,28030.0,0.0,1.0
2011-05-19,1.85,1.86,1.83,1.86,1.017,138872.0,0.0,1.0
2011-05-20,1.87,1.87,1.85,1.855,1.0143,61550.0,0.0,1.0
2011-05-23,1.89,1.95,1.89,1.91,1.0443,285514.0,0.0,1.0
2011-05-24,1.91,1.94,1.905,1.93,1.0553,210526.0,0.0,1.0
2011-05-25,1.94,1.94,1.91,1.92,1.0498,129261.0,0.0,1.0
2011-05-26,1.89,1.9,1.89,1.89,1.0334,136282.0,0.0,1.0
2011-05-27,1.89,1.92,1.89,1.9,1.0389,49388.0,0.0,1.0
2011-05-30,1.9,1.92,1.89,1.9,1.0389,139410.0,0.0,1.0
2011-05-31,1.9,1.94,1.9,1.91,1.0443,78450.0,0.0,1.0
2011-06-01,1.94,1.94,1.89,1.9,1.0389,39704.0,0.0,1.0
2011-06-02,1.89,1.91,1.89,1.91,1.0443,73857.0,0.0,1.0
2011-06-03,1.91,2.0,1.91,2.0,1.0935,20339.0,0.0,1.0
2011-06-06,2.0,2.0,1.96,2.0,1.0935,6708.0,0.0,1.0
2011-06-07,2.0,2.02,1.98,2.01,1.099,774501.0,0.0,1.0
2011-06-08,2.05,2.05,2.02,2.05,1.1209,41714.0,0.0,1.0
2011-06-09,2.05,2.05,2.02,2.05,1.1209,194611.0,0.0,1.0
2011-06-10,2.07,2.07,2.03,2.06,1.1263,33570.0,0.0,1.0
2011-06-14,2.03,2.03,1.98,2.0,1.0935,176950.0,0.0,1.0
2011-06-15,2.0,2.01,2.0,2.01,1.099,74009.0,0.0,1.0
2011-06-16,2.02,2.03,2.0,2.02,1.1045,142852.0,0.0,1.0
2011-06-17,2.02,2.03,2.0,2.0,1.0935,134836.0,0.0,1.0
2011-06-20,2.0,2.0,1.95,1.95,1.0662,74457.0,0.0,1.0
2011-06-21,1.95,1.96,1.91,1.92,1.0498,6989.0,0.0,1.0
2011-06-22,1.95,1.95,1.94,1.94,1.0607,20774.0,0.0,1.0
2011-06-23,1.95,1.95,1.905,1.91,1.0443,133591.0,0.0,1.0
2011-06-24,1.91,1.98,1.91,1.98,1.0826,6592.0,0.0,1.0
2011-06-27,1.98,1.98,1.925,1.95,1.0662,18654.0,0.0,1.0
