date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-07-04,9.5208,9.5208,8.7436,9.2294,4.1613,1891979.0,0.0,1.0
2007-07-05,9.2294,9.2294,9.0836,9.2294,4.1613,305666.0,0.0,1.0
2007-07-06,9.1808,9.2294,9.1322,9.2294,4.1613,190128.0,0.0,1.0
2007-07-09,9.2294,9.4237,9.2294,9.3265,4.2051,84715.0,0.0,1.0
2007-07-10,9.3265,9.3751,9.3265,9.3265,4.2051,80926.0,0.0,1.0
2007-07-11,9.3265,9.3751,9.2294,9.3265,4.2051,48533.0,0.0,1.0
2007-07-12,9.3265,9.3265,9.2294,9.2294,4.1613,41073.0,0.0,1.0
2007-07-13,9.2294,9.3265,9.1808,9.278,4.1832,25330.0,0.0,1.0
2007-07-16,9.3265,9.3265,9.1808,9.2294,4.1613,34607.0,0.0,1.0
2007-07-17,9.2294,9.3265,9.1808,9.3265,4.2051,20258.0,0.0,1.0
2007-07-18,9.278,9.3265,9.1808,9.1808,4.1394,39047.0,0.0,1.0
2007-07-19,9.2294,9.278,9.1322,9.278,4.1832,62459.0,0.0,1.0
2007-07-20,9.278,9.278,9.0351,9.0351,4.0737,81691.0,0.0,1.0
2007-07-23,9.2294,9.2294,9.1322,9.1322,4.1175,47067.0,0.0,1.0
2007-07-24,9.1808,9.2294,9.1808,9.2294,4.1613,36402.0,0.0,1.0
2007-07-25,9.2294,9.2294,9.1322,9.2294,4.1613,189584.0,0.0,1.0
2007-07-26,9.0836,9.2294,9.0836,9.0836,4.0956,24381.0,0.0,1.0
2007-07-27,9.0836,9.1322,8.9865,9.0836,4.0956,69273.0,0.0,1.0
2007-07-30,9.0351,9.0351,8.8893,8.9379,4.0299,73753.0,0.0,1.0
2007-07-31,8.9379,9.1322,8.9379,9.0351,4.0737,29269.0,0.0,1.0
2007-08-01,8.7922,8.9865,8.6465,8.7436,3.9423,209424.0,0.0,1.0
2007-08-02,8.695,9.1322,8.695,9.1322,4.1175,101758.0,0.0,1.0
2007-08-03,8.9865,9.0836,8.9379,8.9865,4.0518,82226.0,0.0,1.0
2007-08-06,8.9865,8.9865,8.8408,8.9865,4.0518,140676.0,0.0,1.0
2007-08-07,8.9865,9.0351,8.8893,9.0351,4.0737,34104.0,0.0,1.0
2007-08-08,9.0351,9.0351,8.8893,8.9379,4.0299,13137.0,0.0,1.0
2007-08-09,8.9379,8.9865,8.8408,8.9865,4.0518,25800.0,0.0,1.0
2007-08-10,8.8408,8.8893,8.7436,8.7436,3.9423,54122.0,0.0,1.0
2007-08-13,8.7436,8.8408,8.7436,8.7436,3.9423,33247.0,0.0,1.0
2007-08-14,8.7436,8.8408,8.695,8.7436,3.9423,30983.0,0.0,1.0
2007-08-15,8.6465,8.6465,8.5007,8.5979,3.8766,51809.0,0.0,1.0
2007-08-16,8.5493,8.5493,7.7235,8.2579,3.7233,70257.0,0.0,1.0
2007-08-17,8.2579,8.5493,8.2579,8.2579,3.7233,23351.0,0.0,1.0
2007-08-20,8.5007,8.695,8.4522,8.5493,3.8547,56623.0,0.0,1.0
2007-08-21,8.5493,8.5493,8.355,8.355,3.7671,9881.0,0.0,1.0
2007-08-22,8.5493,8.7436,8.5493,8.6465,3.8985,61913.0,0.0,1.0
2007-08-23,8.6465,8.7436,8.5493,8.6465,3.8985,75182.0,0.0,1.0
2007-08-24,8.7436,8.7436,8.6465,8.7436,3.9423,38119.0,0.0,1.0
2007-08-27,8.7436,8.7436,8.5979,8.7436,3.9423,13109.0,0.0,1.0
2007-08-28,8.7436,8.8893,8.5493,8.8893,4.008,27391.0,0.0,1.0
2007-08-29,8.7436,8.8893,8.695,8.8408,3.9861,38455.0,0.0,1.0
2007-08-30,8.8408,8.9379,8.7436,8.7922,3.9642,33999.0,0.0,1.0
2007-08-31,8.695,8.9379,8.695,8.8408,3.9861,7687.0,0.0,1.0
2007-09-03,8.7436,8.7922,8.7436,8.7922,3.9642,16677.0,0.0,1.0
2007-09-04,8.7922,8.8408,8.7436,8.8408,3.9861,35445.0,0.0,1.0
2007-09-05,8.8408,8.8408,8.7436,8.7922,3.9642,28114.0,0.0,1.0
2007-09-06,8.8408,8.8408,8.7922,8.7922,3.9642,17605.0,0.0,1.0
2007-09-07,8.8408,8.8408,8.7922,8.8408,3.9861,31194.0,0.0,1.0
2007-09-10,8.7922,8.8408,8.695,8.7436,3.9423,11233.0,0.0,1.0
