date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,8.1471,8.1471,7.9951,8.0612,3.8965,304756.0,0.0,1.0
2000-01-05,8.0612,8.0612,7.863,7.896,3.8167,666564.0,0.0,1.0
2000-01-06,7.9951,7.9951,7.7969,7.83,3.7848,1677859.0,0.0,1.0
2000-01-07,7.8531,7.9621,7.83,7.896,3.8167,1017506.0,0.0,1.0
2000-01-10,7.9291,8.0282,7.896,7.9621,3.8486,972096.0,0.0,1.0
2000-01-11,7.9621,7.9621,7.7308,7.7969,3.7688,1283500.0,0.0,1.0
2000-01-12,7.7969,7.83,7.7308,7.7969,3.7688,780091.0,0.0,1.0
2000-01-13,7.7308,7.7639,7.5326,7.6317,3.6889,2076022.0,0.0,1.0
2000-01-14,7.6317,7.7308,7.5656,7.5987,3.673,2090851.0,0.0,1.0
2000-01-17,7.5987,7.6648,7.5326,7.5987,3.673,183457.0,0.0,1.0
2000-01-18,7.5987,7.6978,7.5987,7.6317,3.6889,596486.0,0.0,1.0
2000-01-19,7.5987,7.6317,7.5326,7.5987,3.673,2216215.0,0.0,1.0
2000-01-20,7.5987,7.6648,7.5326,7.6648,3.7049,1986274.0,0.0,1.0
2000-01-21,7.5987,7.7639,7.5987,7.7639,3.7528,513486.0,0.0,1.0
2000-01-24,7.7639,7.9951,7.7639,7.863,3.8007,280660.0,0.0,1.0
2000-01-25,7.7639,7.863,7.6978,7.863,3.8007,663787.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,7.863,7.9951,7.863,7.9291,3.8327,2991959.0,0.0,1.0
2000-01-28,7.9258,7.9951,7.9258,7.9951,3.8646,3243475.0,0.0,1.0
2000-01-31,7.9291,8.1273,7.9291,8.0612,3.8965,448050.0,0.0,1.0
2000-02-01,8.0249,8.1603,8.0249,8.0282,3.8806,494372.0,0.0,1.0
2000-02-02,8.0348,8.1273,7.9951,8.0943,3.9125,385883.0,0.0,1.0
2000-02-03,7.9951,8.0612,7.863,8.0282,3.9037,845570.0,0.0,1.0
2000-02-04,8.0546,8.1273,7.9621,8.1273,3.9519,396068.0,0.0,1.0
2000-02-07,8.0943,8.1273,8.0612,8.0612,3.9198,150860.0,0.0,1.0
2000-02-08,8.0612,8.1273,7.9291,8.0612,3.9198,1700393.0,0.0,1.0
2000-02-09,8.0943,8.1934,8.0612,8.0612,3.9198,477406.0,0.0,1.0
2000-02-10,8.0612,8.1934,7.9951,8.1934,3.984,1667900.0,0.0,1.0
2000-02-11,8.1273,8.1603,7.9951,8.1273,3.9519,519407.0,0.0,1.0
2000-02-14,7.9588,8.1273,7.9588,8.0612,3.9198,388684.0,0.0,1.0
2000-02-15,8.0282,8.1273,8.0282,8.0943,3.9359,1074082.0,0.0,1.0
2000-02-16,8.0943,8.1603,8.0612,8.1603,3.968,595468.0,0.0,1.0
2000-02-17,8.1603,8.2264,8.0943,8.1537,3.9648,908679.0,0.0,1.0
2000-02-18,8.1603,8.3255,8.0943,8.0943,3.9359,1702650.0,0.0,1.0
2000-02-21,8.0282,8.1934,8.0282,8.1603,3.968,702625.0,0.0,1.0
2000-02-22,8.1603,8.1603,8.0943,8.1141,3.9455,452818.0,0.0,1.0
2000-02-23,8.1174,8.3916,8.1174,8.2925,4.0322,1308102.0,0.0,1.0
2000-02-24,8.2925,8.3255,8.1934,8.2264,4.0001,2034809.0,0.0,1.0
2000-02-25,8.2594,8.3916,8.2264,8.2594,4.0162,398041.0,0.0,1.0
2000-02-28,8.2594,8.2925,8.1934,8.2594,4.0162,376200.0,0.0,1.0
2000-02-29,8.2264,8.4577,8.2264,8.4577,4.1126,1288999.0,0.0,1.0
2000-03-01,8.4577,8.5568,8.3916,8.5237,4.1447,765846.0,0.0,1.0
2000-03-02,8.5237,8.5568,8.2925,8.3585,4.0644,796361.0,0.0,1.0
2000-03-03,8.2925,8.2925,8.0943,8.1273,3.9519,904505.0,0.0,1.0
2000-03-06,8.1603,8.2925,8.1273,8.1934,3.984,540249.0,0.0,1.0
2000-03-07,8.1934,8.1934,8.1273,8.1273,3.9519,388412.0,0.0,1.0
2000-03-08,8.0943,8.1603,8.0612,8.1603,3.968,602494.0,0.0,1.0
2000-03-09,8.1273,8.1934,8.0943,8.1934,3.984,933197.0,0.0,1.0
2000-03-10,8.233,8.4246,8.1603,8.2264,4.0001,585990.0,0.0,1.0
2000-03-13,8.2594,8.4907,8.2594,8.4907,4.1286,1166386.0,0.0,1.0
2000-03-14,8.3916,8.5237,8.3585,8.4709,4.119,534511.0,0.0,1.0
2000-03-15,8.3883,8.4246,8.3585,8.3916,4.0804,416153.0,0.0,1.0
2000-03-16,8.3916,8.4907,8.3585,8.4246,4.0965,855826.0,0.0,1.0
2000-03-17,8.4246,8.5237,8.2594,8.3585,4.0644,656312.0,0.0,1.0
2000-03-20,8.2594,8.2594,8.0943,8.1934,3.984,628718.0,0.0,1.0
2000-03-21,8.2264,8.2594,8.1273,8.1934,3.984,599064.0,0.0,1.0
2000-03-22,8.1603,8.3255,8.1603,8.2925,4.0322,1439018.0,0.0,1.0
2000-03-23,8.2594,8.3255,8.1934,8.2925,4.0322,1520904.0,0.0,1.0
2000-03-24,8.2925,8.2925,8.2925,8.2925,4.0322,8637.0,0.0,1.0
2000-03-27,8.2925,8.2925,8.2264,8.2264,4.0001,627536.0,0.0,1.0
2000-03-28,8.2264,8.5237,8.2264,8.4577,4.1126,415129.0,0.0,1.0
2000-03-29,8.4577,8.4907,8.3585,8.4246,4.0965,715337.0,0.0,1.0
2000-03-30,8.3916,8.4907,8.385,8.385,4.0772,399098.0,0.0,1.0
2000-03-31,8.4577,8.4907,8.3916,8.4246,4.0965,844770.0,0.0,1.0
2000-04-03,8.4544,8.6889,8.4544,8.6493,4.2057,454223.0,0.0,1.0
2000-04-04,8.5898,8.9202,8.5898,8.755,4.2571,429572.0,0.0,1.0
2000-04-05,8.6559,8.9863,8.6559,8.9202,4.3375,1051052.0,0.0,1.0
2000-04-06,8.9268,8.9268,8.755,8.8541,4.3053,1054638.0,0.0,1.0
2000-04-07,8.8541,8.8872,8.8211,8.8872,4.3214,644507.0,0.0,1.0
2000-04-10,8.8541,8.9202,8.8541,8.8872,4.3214,318448.0,0.0,1.0
2000-04-11,8.8872,8.9532,8.8211,8.8872,4.3214,356594.0,0.0,1.0
2000-04-12,8.8872,8.8872,8.6889,8.755,4.2571,506870.0,0.0,1.0
2000-04-13,8.6889,8.8211,8.6889,8.788,4.2732,335865.0,0.0,1.0
2000-04-14,8.755,8.8211,8.755,8.788,4.2732,187142.0,0.0,1.0
2000-04-17,8.4246,8.8872,8.4246,8.722,4.2411,271203.0,0.0,1.0
2000-04-18,8.722,8.8541,8.6889,8.6889,4.225,259865.0,0.0,1.0
2000-04-19,8.7451,8.8872,8.6559,8.8872,4.3214,212155.0,0.0,1.0
2000-04-20,8.8211,8.8872,8.6559,8.788,4.2732,176085.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-26,8.788,8.8541,8.5898,8.5898,4.1768,303790.0,0.0,1.0
2000-04-27,8.5898,8.722,8.5568,8.6889,4.225,414728.0,0.0,1.0
2000-04-28,8.755,8.8541,8.6228,8.755,4.2571,406510.0,0.0,1.0
2000-05-01,8.6889,8.788,8.6889,8.755,4.2571,562218.0,0.0,1.0
2000-05-02,8.755,8.788,8.6889,8.788,4.2732,1259863.0,0.0,1.0
2000-05-03,8.6889,8.6889,8.4577,8.6228,4.2159,543863.0,0.0,1.0
2000-05-04,8.5898,8.6559,8.5568,8.5898,4.1998,748643.0,0.0,1.0
2000-05-05,8.5898,8.6889,8.5898,8.6559,4.2321,727777.0,0.0,1.0
2000-05-08,8.6559,8.755,8.6559,8.6823,4.245,448637.0,0.0,1.0
2000-05-09,8.6559,8.6889,8.6228,8.6228,4.2159,294046.0,0.0,1.0
2000-05-10,8.6228,8.6559,8.5237,8.5237,4.1675,388456.0,0.0,1.0
2000-05-11,8.4874,8.5898,8.4577,8.5237,4.1675,344434.0,0.0,1.0
2000-05-12,8.4907,8.6228,8.4907,8.5568,4.1836,345799.0,0.0,1.0
2000-05-15,8.5667,8.5898,8.5237,8.5237,4.1675,167059.0,0.0,1.0
2000-05-16,8.5568,8.6228,8.5568,8.6228,4.2159,251170.0,0.0,1.0
2000-05-17,8.5898,8.6889,8.5898,8.6228,4.2159,271786.0,0.0,1.0
2000-05-18,8.5898,8.6889,8.5568,8.6889,4.2482,243199.0,0.0,1.0
2000-05-19,8.6559,8.755,8.6559,8.755,4.2805,224807.0,0.0,1.0
2000-05-22,8.6889,8.755,8.6889,8.722,4.2644,322813.0,0.0,1.0
2000-05-23,8.722,8.755,8.6559,8.755,4.2805,2202807.0,0.0,1.0
2000-05-24,8.6856,8.755,8.6559,8.722,4.2644,493657.0,0.0,1.0
2000-05-25,8.722,8.755,8.5898,8.722,4.2644,142348.0,0.0,1.0
2000-05-26,8.6228,8.722,8.5898,8.6889,4.2482,170542.0,0.0,1.0
2000-05-29,8.6889,8.722,8.6228,8.6559,4.2321,395527.0,0.0,1.0
2000-05-30,8.5898,8.6559,8.4907,8.6328,4.2208,831948.0,0.0,1.0
2000-05-31,8.6228,8.6559,8.4577,8.6228,4.2159,342052.0,0.0,1.0
2000-06-01,8.5898,8.722,8.5568,8.5568,4.1836,583802.0,0.0,1.0
2000-06-02,8.5898,8.6228,8.4577,8.537,4.1739,371782.0,0.0,1.0
2000-06-05,8.4907,8.6228,8.4907,8.5898,4.1998,429788.0,0.0,1.0
2000-06-06,8.5237,8.5898,8.4907,8.5568,4.1836,578626.0,0.0,1.0
2000-06-07,8.5469,8.6228,8.5237,8.5237,4.1675,1000899.0,0.0,1.0
2000-06-08,8.5568,8.6228,8.5237,8.5568,4.1836,459421.0,0.0,1.0
2000-06-09,8.5568,8.6559,8.5568,8.6559,4.2321,724321.0,0.0,1.0
2000-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-06-13,8.6559,8.788,8.6559,8.788,4.2967,1477679.0,0.0,1.0
2000-06-14,8.788,8.788,8.6889,8.755,4.2805,1625452.0,0.0,1.0
2000-06-15,8.755,8.788,8.6889,8.722,4.2644,515185.0,0.0,1.0
2000-06-16,8.722,8.8211,8.722,8.788,4.2967,668504.0,0.0,1.0
2000-06-19,8.788,8.788,8.6889,8.755,4.2805,521448.0,0.0,1.0
2000-06-20,8.7913,8.7913,8.6889,8.755,4.2805,601275.0,0.0,1.0
2000-06-21,8.6889,8.8211,8.6559,8.8211,4.3128,1200948.0,0.0,1.0
2000-06-22,8.755,8.8541,8.6889,8.788,4.2967,1326872.0,0.0,1.0
2000-06-23,8.788,8.788,8.6889,8.6889,4.2482,840125.0,0.0,1.0
2000-06-26,8.6889,8.722,8.6228,8.6228,4.2159,1730656.0,0.0,1.0
2000-06-27,8.6559,8.722,8.6559,8.6889,4.2482,1863332.0,0.0,1.0
2000-06-28,8.722,8.722,8.6889,8.6889,4.2482,813787.0,0.0,1.0
2000-06-29,8.755,8.8211,8.6889,8.8211,4.3128,1126808.0,0.0,1.0
2000-06-30,8.8872,8.9532,8.8211,8.8872,4.3451,2275734.0,0.0,1.0
2000-07-03,8.9037,8.9037,8.8211,8.8872,4.3451,690429.0,0.0,1.0
2000-07-04,8.8872,9.0193,8.8541,8.8872,4.3451,736269.0,0.0,1.0
2000-07-05,8.8541,9.0193,8.8541,9.0193,4.4098,1866080.0,0.0,1.0
2000-07-06,8.9863,9.1515,8.9863,9.1184,4.4582,3750446.0,0.0,1.0
2000-07-07,9.0854,9.1845,9.0854,9.1515,4.4744,759172.0,0.0,1.0
2000-07-10,9.2175,9.3166,9.1845,9.2506,4.5228,649518.0,0.0,1.0
2000-07-11,9.2175,9.2506,9.0854,9.1713,4.4841,328574.0,0.0,1.0
2000-07-12,9.2175,9.2506,9.0854,9.1184,4.4582,1244443.0,0.0,1.0
2000-07-13,9.1184,9.2175,9.0193,9.2175,4.5067,671369.0,0.0,1.0
2000-07-14,9.2175,9.2836,9.1515,9.1845,4.4905,403530.0,0.0,1.0
2000-07-17,9.1845,9.2175,9.0854,9.0854,4.4421,269802.0,0.0,1.0
2000-07-18,9.0523,9.0854,8.9202,8.9896,4.3952,466630.0,0.0,1.0
2000-07-19,8.9863,9.0854,8.9863,9.0854,4.4421,1329967.0,0.0,1.0
2000-07-20,9.0523,9.1845,9.0523,9.1845,4.4905,935293.0,0.0,1.0
2000-07-21,9.1614,9.2836,9.1515,9.2836,4.539,646345.0,0.0,1.0
2000-07-24,9.2175,9.2506,9.1184,9.1184,4.4582,312985.0,0.0,1.0
2000-07-25,9.1316,9.1845,9.0854,9.1515,4.4744,523598.0,0.0,1.0
2000-07-26,9.1184,9.2506,9.1184,9.1845,4.4905,410846.0,0.0,1.0
2000-07-27,9.0854,9.1184,9.0193,9.0854,4.4421,346016.0,0.0,1.0
2000-07-28,9.0854,9.1845,9.0523,9.1515,4.4744,1498763.0,0.0,1.0
2000-07-31,9.1184,9.2506,9.0854,9.1845,4.4905,902967.0,0.0,1.0
2000-08-01,9.0854,9.1845,8.9202,8.9863,4.4167,711682.0,0.0,1.0
2000-08-02,8.9532,8.9863,8.8872,8.9532,4.4004,566975.0,0.0,1.0
2000-08-03,8.9532,8.9863,8.8541,8.9202,4.3842,704081.0,0.0,1.0
2000-08-04,8.8872,8.8872,8.8211,8.864,4.3566,267265.0,0.0,1.0
2000-08-07,8.8541,8.8872,8.788,8.8376,4.3436,347124.0,0.0,1.0
2000-08-08,8.8872,8.8872,8.755,8.755,4.303,739595.0,0.0,1.0
2000-08-09,8.788,8.788,8.6889,8.722,4.2868,731405.0,0.0,1.0
2000-08-10,8.6889,8.8872,8.6889,8.8277,4.3387,1296989.0,0.0,1.0
2000-08-11,8.788,8.9202,8.755,8.8872,4.368,379745.0,0.0,1.0
2000-08-14,8.8872,8.8872,8.788,8.788,4.3193,557077.0,0.0,1.0
2000-08-15,8.8211,8.8872,8.788,8.8872,4.368,451373.0,0.0,1.0
2000-08-16,8.8211,9.0523,8.8211,9.0523,4.4492,459266.0,0.0,1.0
2000-08-17,9.0193,9.1845,9.0193,9.1184,4.4816,524591.0,0.0,1.0
2000-08-18,9.0523,9.1515,9.0523,9.1515,4.4979,618929.0,0.0,1.0
2000-08-21,9.1184,9.2175,9.1184,9.1878,4.5157,392042.0,0.0,1.0
2000-08-22,9.1845,9.3166,9.1515,9.3166,4.5791,1146399.0,0.0,1.0
2000-08-23,9.3166,9.3827,9.2506,9.3166,4.5791,744376.0,0.0,1.0
2000-08-24,9.2506,9.3166,9.1515,9.1515,4.4979,572967.0,0.0,1.0
2000-08-25,9.1515,9.2506,9.1184,9.1845,4.5141,686220.0,0.0,1.0
2000-08-28,9.2175,9.2506,9.1515,9.1515,4.4979,495766.0,0.0,1.0
2000-08-29,9.1515,9.1515,9.0523,9.0523,4.4492,105285.0,0.0,1.0
2000-08-30,8.9202,8.9863,8.8211,8.8541,4.3517,322423.0,0.0,1.0
2000-08-31,8.755,8.8872,8.6559,8.6559,4.2543,400059.0,0.0,1.0
2000-09-01,8.6559,8.788,8.6228,8.6889,4.2705,219596.0,0.0,1.0
2000-09-04,8.6096,8.722,8.6096,8.6228,4.2381,110997.0,0.0,1.0
2000-09-05,8.6559,8.7187,8.5898,8.7187,4.2852,53176.0,0.0,1.0
2000-09-06,8.6889,8.6889,8.5898,8.6559,4.2543,216823.0,0.0,1.0
2000-09-07,8.6228,8.6559,8.5898,8.6559,4.2543,328901.0,0.0,1.0
2000-09-08,8.6228,8.6228,8.5237,8.5568,4.2056,583352.0,0.0,1.0
2000-09-11,8.4907,8.5568,8.3585,8.3916,4.1244,313695.0,0.0,1.0
2000-09-12,8.4246,8.5898,8.4246,8.5898,4.2218,224103.0,0.0,1.0
2000-09-13,8.6228,8.6889,8.5568,8.6889,4.2705,276923.0,0.0,1.0
2000-09-14,8.6228,8.755,8.6228,8.755,4.303,744276.0,0.0,1.0
2000-09-15,8.7286,8.7286,8.5568,8.5766,4.2153,346478.0,0.0,1.0
2000-09-18,8.5898,8.5898,8.4246,8.4577,4.1569,305343.0,0.0,1.0
2000-09-19,8.4577,8.4577,8.2925,8.3255,4.0919,693599.0,0.0,1.0
2000-09-20,8.3255,8.4246,8.3255,8.4246,4.1406,570070.0,0.0,1.0
2000-09-21,8.4246,8.4246,8.3255,8.4246,4.1406,1187701.0,0.0,1.0
2000-09-22,8.3916,8.3916,8.2925,8.3585,4.1082,601207.0,0.0,1.0
2000-09-25,8.3255,8.4577,8.3255,8.4577,4.1569,122882.0,0.0,1.0
2000-09-26,8.4246,8.527,8.3916,8.527,4.191,289604.0,0.0,1.0
2000-09-27,8.4577,8.5237,8.4577,8.4577,4.1569,196295.0,0.0,1.0
2000-09-28,8.4577,8.5898,8.4577,8.4577,4.1569,226776.0,0.0,1.0
2000-09-29,8.4577,8.6228,8.4577,8.5237,4.1894,412209.0,0.0,1.0
2000-10-02,8.5568,8.6228,8.5237,8.5898,4.2218,160110.0,0.0,1.0
2000-10-03,8.6559,8.788,8.5898,8.755,4.303,1023083.0,0.0,1.0
2000-10-04,8.755,8.9202,8.755,8.8211,4.3355,501621.0,0.0,1.0
2000-10-05,8.788,8.9532,8.788,8.9202,4.3842,2083331.0,0.0,1.0
2000-10-06,8.8872,8.9532,8.8541,8.9202,4.3842,476566.0,0.0,1.0
2000-10-09,8.8872,8.9202,8.8211,8.8872,4.368,894993.0,0.0,1.0
2000-10-10,8.8541,8.9863,8.8541,8.8872,4.368,789493.0,0.0,1.0
2000-10-11,8.8872,8.9532,8.8872,8.9202,4.3842,570934.0,0.0,1.0
2000-10-12,8.8541,8.9532,8.8211,8.8211,4.3355,497829.0,0.0,1.0
2000-10-13,8.755,8.8872,8.755,8.788,4.3193,232367.0,0.0,1.0
2000-10-16,8.8541,8.8541,8.788,8.788,4.3193,1074998.0,0.0,1.0
2000-10-17,8.8211,8.8872,8.755,8.788,4.3193,1704084.0,0.0,1.0
2000-10-18,8.6394,8.8211,8.6394,8.6889,4.2705,499970.0,0.0,1.0
2000-10-19,8.755,8.8211,8.5898,8.6889,4.2705,411414.0,0.0,1.0
2000-10-20,8.6889,8.8211,8.6889,8.755,4.303,473991.0,0.0,1.0
2000-10-23,8.8244,8.8244,8.722,8.755,4.303,492109.0,0.0,1.0
2000-10-24,8.755,8.8277,8.722,8.8277,4.3387,523688.0,0.0,1.0
2000-10-25,8.788,8.8872,8.755,8.8211,4.3355,920328.0,0.0,1.0
2000-10-26,8.8211,8.8541,8.6889,8.755,4.303,483854.0,0.0,1.0
2000-10-27,8.6592,8.6592,8.5568,8.5898,4.2451,1084633.0,0.0,1.0
2000-10-30,8.5898,8.6559,8.4577,8.4907,4.1961,875675.0,0.0,1.0
2000-10-31,8.5601,8.5601,8.2925,8.3255,4.1145,482463.0,0.0,1.0
2000-11-01,8.3916,8.4907,8.3585,8.4246,4.1635,135692.0,0.0,1.0
2000-11-02,8.3585,8.5898,8.3585,8.5237,4.2124,837999.0,0.0,1.0
2000-11-03,8.4643,8.5898,8.4577,8.5237,4.2124,297597.0,0.0,1.0
2000-11-06,8.5237,8.8541,8.5237,8.5898,4.2451,365439.0,0.0,1.0
2000-11-07,8.5568,8.755,8.5568,8.6889,4.2941,400699.0,0.0,1.0
2000-11-08,8.6889,8.8541,8.6889,8.7583,4.3284,1625092.0,0.0,1.0
2000-11-09,8.755,8.9202,8.755,8.8211,4.3594,1042798.0,0.0,1.0
2000-11-10,8.8211,8.8541,8.722,8.755,4.3267,790046.0,0.0,1.0
2000-11-13,8.722,8.8541,8.6889,8.8211,4.3594,479340.0,0.0,1.0
2000-11-14,8.8211,8.9532,8.8211,8.8872,4.3921,426895.0,0.0,1.0
2000-11-15,8.9037,9.0193,8.8211,8.8772,4.3871,881914.0,0.0,1.0
2000-11-16,8.8574,8.9202,8.788,8.8872,4.3921,1074677.0,0.0,1.0
2000-11-17,8.8541,8.8872,8.722,8.722,4.3104,1521971.0,0.0,1.0
2000-11-20,8.722,8.8211,8.722,8.755,4.3267,495370.0,0.0,1.0
2000-11-21,8.755,8.788,8.6889,8.722,4.3104,874671.0,0.0,1.0
2000-11-22,8.722,8.788,8.722,8.755,4.3267,1054258.0,0.0,1.0
2000-11-23,8.755,8.8211,8.755,8.8211,4.3594,792537.0,0.0,1.0
2000-11-24,8.788,8.8211,8.788,8.788,4.3431,602723.0,0.0,1.0
2000-11-27,8.788,8.8211,8.755,8.788,4.3431,894577.0,0.0,1.0
2000-11-28,8.755,8.8211,8.755,8.755,4.3267,1246873.0,0.0,1.0
2000-11-29,8.755,8.788,8.722,8.755,4.3267,690558.0,0.0,1.0
2000-11-30,8.722,8.8211,8.722,8.722,4.3104,1231859.0,0.0,1.0
2000-12-01,8.722,8.8872,8.722,8.8211,4.3594,683664.0,0.0,1.0
2000-12-04,8.8211,8.8872,8.788,8.8872,4.3921,350584.0,0.0,1.0
2000-12-05,8.8541,9.0523,8.8541,8.9863,4.441,728676.0,0.0,1.0
2000-12-06,9.0854,9.1184,8.9202,8.9202,4.4084,711919.0,0.0,1.0
2000-12-07,8.9532,9.1515,8.9532,9.1515,4.5227,795612.0,0.0,1.0
2000-12-08,9.1515,9.3827,9.1515,9.3464,4.619,721224.0,0.0,1.0
2000-12-11,9.3497,9.647,9.3497,9.647,4.7676,1302382.0,0.0,1.0
2000-12-12,9.5479,9.5809,9.2506,9.3497,4.6206,966899.0,0.0,1.0
2000-12-13,9.3497,9.4158,9.2836,9.3497,4.6206,786546.0,0.0,1.0
2000-12-14,9.3166,9.3497,9.2836,9.2836,4.588,1417124.0,0.0,1.0
2000-12-15,9.2175,9.2506,9.1515,9.2175,4.5553,1502715.0,0.0,1.0
2000-12-18,9.1812,9.1845,8.9863,9.0193,4.4574,824130.0,0.0,1.0
2000-12-19,9.1184,9.1184,8.9863,9.0193,4.4574,1332815.0,0.0,1.0
2000-12-20,9.0193,9.1515,9.0193,9.1515,4.5227,465042.0,0.0,1.0
2000-12-21,9.0193,9.2506,8.9863,9.1845,4.539,458979.0,0.0,1.0
2000-12-22,9.1515,9.2175,9.1515,9.2175,4.5553,312855.0,0.0,1.0
2000-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-27,9.1845,9.3166,9.1845,9.2737,4.5831,560410.0,0.0,1.0
2000-12-28,9.3166,9.3497,9.2836,9.3166,4.6043,364874.0,0.0,1.0
2000-12-29,9.2836,9.5149,9.1416,9.1416,4.5178,716735.0,0.0,1.0
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-02,9.2175,9.3497,9.2175,9.3166,4.6043,254219.0,0.0,1.0
