date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,1.443,1.443,1.41,1.41,0.3885,78106.0,0.0,1.0
2000-01-05,1.42,1.44,1.41,1.41,0.3885,32677.0,0.0,1.0
2000-01-06,1.42,1.44,1.42,1.43,0.394,28162.0,0.0,1.0
2000-01-07,1.458,1.465,1.44,1.465,0.4036,67738.0,0.0,1.0
2000-01-10,1.5,1.6,1.5,1.59,0.4381,63995.0,0.0,1.0
2000-01-11,1.619,1.71,1.619,1.65,0.4546,45556.0,0.0,1.0
2000-01-12,1.66,1.67,1.66,1.67,0.4601,61139.0,0.0,1.0
2000-01-13,1.68,1.68,1.66,1.68,0.4629,36500.0,0.0,1.0
2000-01-14,1.67,1.69,1.65,1.68,0.4629,50545.0,0.0,1.0
2000-01-17,1.67,1.68,1.66,1.66,0.4574,54129.0,0.0,1.0
2000-01-18,1.67,1.67,1.6,1.6,0.4408,82436.0,0.0,1.0
2000-01-19,1.6,1.6,1.51,1.51,0.416,17698.0,0.0,1.0
2000-01-20,1.51,1.54,1.51,1.54,0.4243,21995.0,0.0,1.0
2000-01-21,1.54,1.54,1.53,1.53,0.4216,12073.0,0.0,1.0
2000-01-24,1.56,1.56,1.55,1.55,0.4271,4700.0,0.0,1.0
2000-01-25,1.53,1.54,1.53,1.53,0.4216,31573.0,0.0,1.0
2000-01-26,1.53,1.53,1.53,1.53,0.4216,0.0,0.0,1.0
2000-01-27,1.52,1.53,1.51,1.52,0.4188,15881.0,0.0,1.0
2000-01-28,1.536,1.56,1.53,1.55,0.4271,35248.0,0.0,1.0
2000-01-31,1.51,1.65,1.51,1.6,0.4408,51800.0,0.0,1.0
2000-02-01,1.6,1.6,1.56,1.56,0.4298,12808.0,0.0,1.0
2000-02-02,1.58,1.6,1.55,1.55,0.4271,39692.0,0.0,1.0
2000-02-03,1.55,1.55,1.47,1.47,0.405,58483.0,0.0,1.0
2000-02-04,1.45,1.45,1.41,1.41,0.3885,16118.0,0.0,1.0
2000-02-07,1.45,1.45,1.41,1.45,0.3995,31968.0,0.0,1.0
2000-02-08,1.45,1.45,1.41,1.41,0.3885,12787.0,0.0,1.0
2000-02-09,1.4,1.4,1.35,1.4,0.3857,47125.0,0.0,1.0
2000-02-10,1.4,1.45,1.4,1.4,0.3857,92773.0,0.0,1.0
2000-02-11,1.4,1.4,1.4,1.4,0.3857,17709.0,0.0,1.0
2000-02-14,1.4,1.4,1.4,1.4,0.3857,13272.0,0.0,1.0
2000-02-15,1.4,1.45,1.4,1.42,0.3912,61373.0,0.0,1.0
2000-02-16,1.42,1.42,1.4,1.4,0.3857,17512.0,0.0,1.0
2000-02-17,1.4,1.42,1.38,1.42,0.3912,168596.0,0.0,1.0
2000-02-18,1.39,1.4,1.39,1.4,0.3857,43745.0,0.0,1.0
2000-02-21,1.38,1.5,1.38,1.41,0.3885,55519.0,0.0,1.0
2000-02-22,1.36,1.42,1.36,1.37,0.3775,78726.0,0.0,1.0
2000-02-23,1.4,1.41,1.38,1.4,0.3857,53333.0,0.0,1.0
2000-02-24,1.402,1.402,1.39,1.39,0.383,10248.0,0.0,1.0
2000-02-25,1.36,1.4,1.36,1.4,0.3857,25492.0,0.0,1.0
2000-02-28,1.4,1.4,1.37,1.37,0.3775,36798.0,0.0,1.0
2000-02-29,1.37,1.4,1.37,1.4,0.3857,78596.0,0.0,1.0
2000-03-01,1.4,1.41,1.4,1.41,0.3885,51142.0,0.0,1.0
2000-03-02,1.463,1.463,1.41,1.41,0.3885,256500.0,0.0,1.0
2000-03-03,1.42,1.42,1.41,1.41,0.3885,63390.0,0.0,1.0
2000-03-06,1.41,1.42,1.41,1.41,0.3885,28470.0,0.0,1.0
2000-03-07,1.41,1.45,1.41,1.45,0.3995,66502.0,0.0,1.0
2000-03-08,1.45,1.49,1.43,1.436,0.3957,119719.0,0.0,1.0
2000-03-09,1.43,1.45,1.43,1.44,0.3968,17422.0,0.0,1.0
2000-03-10,1.43,1.48,1.42,1.48,0.4078,26586.0,0.0,1.0
2000-03-13,1.48,1.49,1.47,1.47,0.405,17107.0,0.0,1.0
2000-03-14,1.47,1.47,1.43,1.43,0.394,42554.0,0.0,1.0
2000-03-15,1.43,1.54,1.43,1.52,0.4188,3443247.0,0.0,1.0
2000-03-16,1.556,1.65,1.55,1.56,0.4298,186297.0,0.0,1.0
2000-03-17,1.58,1.62,1.57,1.57,0.4326,80248.0,0.0,1.0
2000-03-20,1.58,1.7,1.58,1.65,0.4546,239369.0,0.0,1.0
2000-03-21,1.635,1.635,1.5,1.5,0.433,110778.0,0.0,1.0
2000-03-22,1.593,1.593,1.5,1.52,0.4387,55000.0,0.0,1.0
2000-03-23,1.52,1.55,1.48,1.48,0.4272,105601.0,0.0,1.0
2000-03-24,1.472,1.53,1.472,1.5,0.433,117679.0,0.0,1.0
2000-03-27,1.5,1.59,1.5,1.56,0.4503,126131.0,0.0,1.0
