date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.5152,2.5261,2.5042,2.5042,0.9214,56617.0,0.0,1.0
2000-01-05,2.4714,2.5042,2.4605,2.5042,0.9214,114172.0,0.0,1.0
2000-01-06,2.4823,2.5152,2.4605,2.4605,0.9053,582543.0,0.0,1.0
2000-01-07,2.5042,2.5042,2.4058,2.4386,0.8972,90695.0,0.0,1.0
2000-01-10,2.4605,2.4714,2.4277,2.4277,0.8932,73965.0,0.0,1.0
2000-01-11,2.4605,2.4605,2.4058,2.4495,0.9012,344778.0,0.0,1.0
2000-01-12,2.4277,2.4605,2.4167,2.4277,0.8932,397236.0,0.0,1.0
2000-01-13,2.4167,2.4167,2.3839,2.3949,0.8811,164465.0,0.0,1.0
2000-01-14,2.4058,2.4714,2.4058,2.4605,0.9053,67013.0,0.0,1.0
2000-01-17,2.4823,2.537,2.4823,2.537,0.9334,71000.0,0.0,1.0
2000-01-18,2.5152,2.5808,2.5152,2.5808,0.9495,66683.0,0.0,1.0
2000-01-19,2.5808,2.5917,2.5589,2.5917,0.9535,82781.0,0.0,1.0
2000-01-20,2.5808,2.6026,2.5698,2.5808,0.9495,150883.0,0.0,1.0
2000-01-21,2.548,2.5698,2.548,2.548,0.9374,76716.0,0.0,1.0
2000-01-24,2.5829,2.5829,2.5589,2.5589,0.9415,74297.0,0.0,1.0
2000-01-25,2.5698,2.5698,2.5261,2.537,0.9334,78278.0,0.0,1.0
2000-01-26,2.537,2.537,2.537,2.537,0.9334,0.0,0.0,1.0
2000-01-27,2.5589,2.5589,2.548,2.548,0.9374,38580.0,0.0,1.0
2000-01-28,2.548,2.5698,2.5261,2.537,0.9334,126873.0,0.0,1.0
2000-01-31,2.5261,2.537,2.5261,2.5261,0.9294,71565.0,0.0,1.0
2000-02-01,2.537,2.537,2.4933,2.4933,0.9173,186284.0,0.0,1.0
2000-02-02,2.5042,2.5152,2.4714,2.4823,0.9133,83515.0,0.0,1.0
2000-02-03,2.5053,2.5053,2.4714,2.4714,0.9093,278879.0,0.0,1.0
2000-02-04,2.4605,2.4605,2.3949,2.4386,0.8972,78050.0,0.0,1.0
2000-02-07,2.4386,2.5152,2.4386,2.5152,0.9254,210618.0,0.0,1.0
2000-02-08,2.5042,2.5698,2.4495,2.4495,0.9012,172755.0,0.0,1.0
2000-02-09,2.4933,2.5152,2.4605,2.4714,0.9093,369833.0,0.0,1.0
2000-02-10,2.4922,2.4933,2.4058,2.4495,0.9012,219050.0,0.0,1.0
2000-02-11,2.4277,2.4933,2.4277,2.4933,0.9173,54199.0,0.0,1.0
2000-02-14,2.4823,2.4933,2.4386,2.4605,0.9053,375119.0,0.0,1.0
2000-02-15,2.4495,2.4605,2.3949,2.3949,0.8811,204597.0,0.0,1.0
2000-02-16,2.3949,2.4167,2.3949,2.4058,0.8851,174955.0,0.0,1.0
2000-02-17,2.4167,2.4386,2.4167,2.4277,0.8932,272745.0,0.0,1.0
2000-02-18,2.4277,2.4495,2.3839,2.3949,0.8811,304059.0,0.0,1.0
2000-02-21,2.361,2.4167,2.361,2.362,0.8691,55403.0,0.0,1.0
