date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-12-10,2.08,2.09,2.04,2.07,1.3446,21322928.0,0.0,1.0
2013-12-11,2.06,2.06,2.02,2.02,1.3121,3956170.0,0.0,1.0
2013-12-12,2.03,2.04,2.0,2.0,1.2991,1598101.0,0.0,1.0
2013-12-13,2.0,2.0,1.93,1.935,1.2569,2060352.0,0.0,1.0
2013-12-16,1.91,1.94,1.91,1.91,1.2406,1004740.0,0.0,1.0
2013-12-17,1.94,1.9425,1.915,1.915,1.2439,1027790.0,0.0,1.0
2013-12-18,1.92,1.94,1.9,1.9,1.2342,3400470.0,0.0,1.0
2013-12-19,1.92,1.96,1.92,1.96,1.2731,221633.0,0.0,1.0
2013-12-20,1.96,2.01,1.95,1.995,1.2959,310169.0,0.0,1.0
2013-12-23,2.03,2.04,2.02,2.04,1.3251,16277.0,0.0,1.0
2013-12-24,2.04,2.04,1.99,1.99,1.2926,17898.0,0.0,1.0
2013-12-27,1.95,1.975,1.95,1.975,1.2829,145146.0,0.0,1.0
2013-12-30,2.0,2.02,2.0,2.02,1.3121,192142.0,0.0,1.0
2013-12-31,2.02,2.02,2.0,2.02,1.3121,152451.0,0.0,1.0
2014-01-02,2.02,2.02,1.995,2.0,1.2991,20824.0,0.0,1.0
2014-01-03,2.0,2.0,2.0,2.0,1.2991,9007.0,0.0,1.0
2014-01-06,2.01,2.02,2.0,2.01,1.3056,74165.0,0.0,1.0
2014-01-07,2.01,2.01,1.99,1.995,1.2959,502189.0,0.0,1.0
2014-01-08,2.0,2.03,1.99,2.03,1.3186,378722.0,0.0,1.0
2014-01-09,2.06,2.08,2.02,2.05,1.3316,227368.0,0.0,1.0
2014-01-10,2.06,2.07,2.05,2.05,1.3316,435920.0,0.0,1.0
2014-01-13,2.04,2.09,2.04,2.06,1.3381,60634.0,0.0,1.0
2014-01-14,2.06,2.07,2.05,2.07,1.3446,91190.0,0.0,1.0
2014-01-15,2.07,2.08,2.06,2.07,1.3446,113248.0,0.0,1.0
2014-01-16,2.07,2.09,2.05,2.09,1.3576,80312.0,0.0,1.0
2014-01-17,2.07,2.07,2.06,2.07,1.3446,72531.0,0.0,1.0
2014-01-20,2.07,2.07,2.06,2.07,1.3446,33826.0,0.0,1.0
2014-01-21,2.07,2.07,2.05,2.05,1.3316,197225.0,0.0,1.0
2014-01-22,2.05,2.06,2.05,2.06,1.3381,352523.0,0.0,1.0
2014-01-23,2.05,2.06,2.05,2.05,1.3316,15102.0,0.0,1.0
2014-01-24,2.04,2.05,2.04,2.04,1.3251,146306.0,0.0,1.0
2014-01-28,2.04,2.04,2.02,2.04,1.3251,121967.0,0.0,1.0
2014-01-29,2.05,2.05,2.02,2.02,1.3121,76423.0,0.0,1.0
2014-01-30,2.02,2.04,2.02,2.03,1.3186,132236.0,0.0,1.0
2014-01-31,2.03,2.03,1.99,2.02,1.3121,189535.0,0.0,1.0
2014-02-03,2.0,2.02,1.99,2.0,1.2991,164656.0,0.0,1.0
2014-02-04,2.0,2.03,1.97,2.0,1.2991,117286.0,0.0,1.0
2014-02-05,2.0,2.04,1.98,2.01,1.3056,917376.0,0.0,1.0
2014-02-06,2.01,2.03,2.01,2.02,1.3121,217823.0,0.0,1.0
2014-02-07,2.02,2.05,2.015,2.02,1.3121,265617.0,0.0,1.0
2014-02-10,2.03,2.04,2.02,2.02,1.3121,340807.0,0.0,1.0
2014-02-11,2.02,2.05,2.02,2.02,1.3121,909049.0,0.0,1.0
2014-02-12,2.02,2.03,2.0,2.03,1.3186,143038.0,0.0,1.0
2014-02-13,2.02,2.03,2.01,2.02,1.3121,48135.0,0.0,1.0
2014-02-14,2.02,2.02,2.0,2.0,1.2991,138530.0,0.0,1.0
2014-02-17,2.0,2.01,2.0,2.0,1.2991,32565.0,0.0,1.0
2014-02-18,2.005,2.02,2.0,2.02,1.3121,300098.0,0.0,1.0
2014-02-19,2.01,2.03,2.01,2.02,1.3121,101016.0,0.0,1.0
2014-02-20,2.0,2.01,1.99,2.0,1.2991,679434.0,0.0,1.0
2014-02-21,2.0,2.0,1.99,1.995,1.2959,668434.0,0.0,1.0
2014-02-24,2.0,2.0,1.99,1.99,1.2926,530679.0,0.0,1.0
2014-02-25,2.0,2.0,1.99,1.995,1.2959,99125.0,0.0,1.0
2014-02-26,1.99,1.995,1.99,1.99,1.2926,50631.0,0.0,1.0
2014-02-27,1.99,1.99,1.98,1.99,1.2926,216281.0,0.0,1.0
2014-02-28,1.98,1.995,1.98,1.99,1.2926,235445.0,0.0,1.0
2014-03-03,1.985,1.99,1.96,1.97,1.2796,120841.0,0.0,1.0
2014-03-04,1.99,1.995,1.99,1.995,1.2959,36529.0,0.0,1.0
2014-03-05,1.995,2.1,1.995,2.06,1.3381,469004.0,0.0,1.0
2014-03-06,2.06,2.09,2.06,2.09,1.3576,128561.0,0.0,1.0
2014-03-07,2.08,2.11,2.08,2.1,1.3641,446940.0,0.0,1.0
2014-03-10,2.1,2.11,2.1,2.1,1.3641,958609.0,0.0,1.0
2014-03-11,2.1,2.11,2.09,2.1,1.3641,209957.0,0.0,1.0
2014-03-12,2.1,2.11,2.09,2.09,1.3576,196011.0,0.0,1.0
2014-03-13,2.11,2.17,2.09,2.13,1.3836,505966.0,0.0,1.0
2014-03-14,2.12,2.12,2.1,2.1,1.3641,486302.0,0.0,1.0
2014-03-17,2.11,2.12,2.1,2.1,1.3641,534808.0,0.0,1.0
2014-03-18,2.1,2.11,2.1,2.11,1.3706,564162.0,0.0,1.0
2014-03-19,2.105,2.115,2.09,2.09,1.3576,368191.0,0.0,1.0
2014-03-20,2.09,2.1,2.07,2.07,1.3446,543330.0,0.0,1.0
2014-03-21,2.09,2.1,2.04,2.04,1.3251,10794437.0,0.0,1.0
2014-03-24,2.05,2.09,1.995,2.05,1.3316,772775.0,0.0,1.0
2014-03-25,2.04,2.08,2.02,2.02,1.3121,119205.0,0.0,1.0
2014-03-26,2.02,2.07,1.995,2.01,1.3056,489443.0,0.0,1.0
2014-03-27,2.05,2.05,1.995,2.0,1.2991,277555.0,0.0,1.0
2014-03-28,2.01,2.04,1.98,2.0,1.2991,802630.0,0.0,1.0
2014-03-31,2.0,2.01,1.96,1.99,1.2926,852130.0,0.0,1.0
2014-04-01,1.98,2.06,1.98,2.03,1.3186,153552.0,0.0,1.0
2014-04-02,2.03,2.05,2.02,2.02,1.3121,75141.0,0.0,1.0
2014-04-03,2.03,2.06,2.03,2.03,1.3186,67684.0,0.0,1.0
2014-04-04,2.05,2.06,2.03,2.04,1.3251,129479.0,0.0,1.0
2014-04-07,2.02,2.06,2.02,2.04,1.3251,208311.0,0.0,1.0
2014-04-08,2.03,2.035,2.02,2.03,1.3186,61262.0,0.0,1.0
2014-04-09,2.03,2.06,2.03,2.04,1.3251,243373.0,0.0,1.0
2014-04-10,2.04,2.06,2.035,2.04,1.3251,410594.0,0.0,1.0
2014-04-11,2.04,2.065,2.04,2.05,1.3316,93612.0,0.0,1.0
