date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.2815,4.3213,4.1919,4.1919,4.1919,229803.0,0.0,1.0
2000-01-05,4.0824,4.2019,3.9828,4.176,4.176,782484.0,0.0,1.0
2000-01-06,4.2725,4.2725,4.1919,4.2317,4.2317,357285.0,0.0,1.0
2000-01-07,3.9828,3.9928,3.8235,3.933,3.933,1768486.0,0.0,1.0
2000-01-10,4.0196,4.1322,3.9728,3.9828,3.9828,602009.0,0.0,1.0
2000-01-11,4.0625,4.162,4.0625,4.1421,4.1421,685853.0,0.0,1.0
2000-01-12,4.0923,4.2317,4.0824,4.1819,4.1819,309827.0,0.0,1.0
2000-01-13,4.163,4.163,3.9828,3.9928,3.9928,677822.0,0.0,1.0
2000-01-14,4.0744,4.172,4.0326,4.0326,4.0326,402924.0,0.0,1.0
2000-01-17,4.0824,4.172,4.0824,4.1222,4.1222,152224.0,0.0,1.0
2000-01-18,4.1421,4.162,4.1222,4.1521,4.1521,463671.0,0.0,1.0
2000-01-19,4.0824,4.0824,3.9728,4.0226,4.0226,267541.0,0.0,1.0
2000-01-20,3.9898,4.0425,3.9728,4.0425,4.0425,424009.0,0.0,1.0
2000-01-21,4.0226,4.0525,4.0027,4.0027,4.0027,171273.0,0.0,1.0
2000-01-24,4.0027,4.0326,3.9828,3.9828,3.9828,231420.0,0.0,1.0
2000-01-25,3.9629,4.0824,3.9529,4.0824,4.0824,611185.0,0.0,1.0
2000-01-26,4.0999,4.0999,4.0999,4.0999,4.0999,0.0,0.0,1.0
2000-01-27,4.1819,4.2317,4.1421,4.1819,4.1819,519841.0,0.0,1.0
2000-01-28,4.1819,4.3014,4.1819,4.2815,4.2815,840338.0,0.0,1.0
2000-01-31,4.2317,4.2616,4.1322,4.2317,4.2317,217736.0,0.0,1.0
2000-02-01,4.2317,4.2815,4.1919,4.2815,4.2815,495657.0,0.0,1.0
2000-02-02,4.3661,4.63,4.3313,4.63,4.63,1911318.0,0.0,1.0
2000-02-03,4.624,4.624,4.3512,4.4309,4.4309,1692244.0,0.0,1.0
