date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-10-23,4.95,4.95,4.79,4.8,4.5979,1217672.0,0.0,1.0
2014-10-24,4.81,4.81,4.75,4.8,4.5979,899428.0,0.0,1.0
2014-10-27,4.81,4.81,4.61,4.78,4.5788,123577.0,0.0,1.0
2014-10-28,4.8,4.8,4.77,4.78,4.5788,51554.0,0.0,1.0
2014-10-29,4.77,4.77,4.61,4.7,4.5021,598057.0,0.0,1.0
2014-10-30,4.7,4.79,4.67,4.72,4.5213,244015.0,0.0,1.0
2014-10-31,4.77,4.77,4.7,4.71,4.5117,16982.0,0.0,1.0
2014-11-03,4.75,4.8,4.75,4.76,4.5596,6725.0,0.0,1.0
2014-11-04,4.79,4.83,4.76,4.8,4.5979,38445.0,0.0,1.0
2014-11-05,4.82,4.86,4.79,4.79,4.5883,32820.0,0.0,1.0
2014-11-06,4.83,4.86,4.8,4.82,4.6171,35602.0,0.0,1.0
2014-11-07,4.85,4.91,4.8,4.8,4.5979,34380.0,0.0,1.0
2014-11-10,4.83,4.86,4.83,4.84,4.6362,6111.0,0.0,1.0
2014-11-11,4.84,4.89,4.84,4.84,4.6362,3443.0,0.0,1.0
2014-11-12,4.9,4.91,4.85,4.86,4.6554,35256.0,0.0,1.0
2014-11-13,4.96,4.96,4.82,4.82,4.6171,14159.0,0.0,1.0
2014-11-14,4.94,4.96,4.8,4.8,4.5979,24100.0,0.0,1.0
2014-11-17,4.8,4.8,4.75,4.8,4.5979,139131.0,0.0,1.0
2014-11-18,4.82,4.82,4.76,4.76,4.5596,8291.0,0.0,1.0
2014-11-19,4.8,4.8,4.76,4.76,4.5596,11746.0,0.0,1.0
2014-11-20,4.79,4.79,4.72,4.79,4.5883,58077.0,0.0,1.0
2014-11-21,4.8,4.83,4.75,4.8,4.5979,81107.0,0.0,1.0
2014-11-24,4.9,4.9,4.74,4.75,4.55,48081.0,0.0,1.0
2014-11-25,4.75,4.77,4.7,4.7,4.5021,81854.0,0.0,1.0
2014-11-26,4.7,4.7,4.6,4.7,4.5021,6847.0,0.0,1.0
2014-11-27,4.75,4.89,4.75,4.75,4.55,8884.0,0.0,1.0
2014-11-28,4.82,4.82,4.7,4.7,4.5021,19668.0,0.0,1.0
2014-12-01,4.88,4.89,4.85,4.85,4.6458,2119.0,0.0,1.0
2014-12-02,4.85,4.85,4.8,4.8,4.5979,562.0,0.0,1.0
2014-12-03,4.85,4.92,4.85,4.9,4.6937,118720.0,0.0,1.0
2014-12-04,4.9,4.9,4.8,4.8,4.5979,9564.0,0.0,1.0
2014-12-05,4.9,4.9,4.8,4.8,4.5979,30979.0,0.0,1.0
2014-12-08,4.89,4.89,4.8,4.8,4.5979,90230.0,0.0,1.0
2014-12-09,4.85,4.85,4.8,4.8,4.5979,2043.0,0.0,1.0
2014-12-10,4.85,4.86,4.8,4.84,4.6362,12257.0,0.0,1.0
2014-12-11,4.87,4.87,4.75,4.75,4.55,11293.0,0.0,1.0
2014-12-12,4.87,4.87,4.87,4.87,4.665,7.0,0.0,1.0
2014-12-15,4.82,4.82,4.8,4.8,4.5979,10531.0,0.0,1.0
2014-12-16,4.8,4.85,4.78,4.78,4.5788,13237.0,0.0,1.0
2014-12-17,4.815,4.87,4.72,4.77,4.5692,239393.0,0.0,1.0
2014-12-18,4.78,4.84,4.78,4.78,4.5788,391881.0,0.0,1.0
2014-12-19,4.78,4.78,4.73,4.73,4.5309,55364.0,0.0,1.0
2014-12-22,4.76,4.76,4.76,4.76,4.5596,245.0,0.0,1.0
2014-12-23,4.78,4.78,4.73,4.73,4.5309,44885.0,0.0,1.0
2014-12-24,4.73,4.73,4.6,4.6,4.4063,10757.0,0.0,1.0
2014-12-29,4.63,4.8,4.62,4.63,4.4351,3013.0,0.0,1.0
2014-12-30,4.63,4.63,4.63,4.63,4.4351,0.0,0.0,1.0
2014-12-31,4.8,4.8,4.78,4.8,4.5979,178683.0,0.0,1.0
2015-01-02,4.85,4.85,4.8,4.85,4.6458,1104.0,0.0,1.0
2015-01-05,4.84,4.84,4.84,4.84,4.6362,2713.0,0.0,1.0
2015-01-06,4.84,4.84,4.84,4.84,4.6362,0.0,0.0,1.0
2015-01-07,4.84,4.84,4.84,4.84,4.6362,500.0,0.0,1.0
2015-01-08,4.84,4.84,4.7,4.7,4.5021,9820.0,0.0,1.0
2015-01-09,4.8,4.84,4.8,4.84,4.6362,3488.0,0.0,1.0
2015-01-12,4.85,4.85,4.8,4.8,4.5979,4171.0,0.0,1.0
2015-01-13,4.8,4.8,4.7,4.7,4.5021,62374.0,0.0,1.0
2015-01-14,4.74,4.74,4.64,4.64,4.4447,835576.0,0.0,1.0
2015-01-15,4.7,4.7,4.6,4.61,4.4159,10913.0,0.0,1.0
2015-01-16,4.62,4.75,4.61,4.61,4.4159,163666.0,0.0,1.0
2015-01-19,4.75,4.75,4.65,4.65,4.4542,18324.0,0.0,1.0
2015-01-20,4.66,4.7,4.66,4.7,4.5021,823.0,0.0,1.0
2015-01-21,4.75,4.75,4.68,4.68,4.483,5666.0,0.0,1.0
2015-01-22,4.66,4.66,4.65,4.65,4.4542,12500.0,0.0,1.0
2015-01-23,4.7,4.7,4.7,4.7,4.5021,422.0,0.0,1.0
2015-01-27,4.74,4.74,4.66,4.66,4.4638,10410.0,0.0,1.0
2015-01-28,4.7,4.7,4.65,4.65,4.4542,7666.0,0.0,1.0
2015-01-29,4.67,4.68,4.65,4.65,4.4542,34795.0,0.0,1.0
