date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.7954,2.7954,2.5814,2.5907,1.1636,665501.0,0.0,1.0
2000-01-05,2.572,2.572,2.4593,2.5091,1.127,1874452.0,0.0,1.0
2000-01-06,2.5344,2.6095,2.5157,2.572,1.1552,1222251.0,0.0,1.0
2000-01-07,2.5907,2.5907,2.4781,2.4875,1.1173,618874.0,0.0,1.0
2000-01-10,2.6039,2.6189,2.5063,2.525,1.1341,308340.0,0.0,1.0
2000-01-11,2.5157,2.5157,2.3936,2.4218,1.0878,2174500.0,0.0,1.0
2000-01-12,2.4453,2.4781,2.4218,2.4218,1.0878,889944.0,0.0,1.0
2000-01-13,2.4312,2.4406,2.3936,2.4124,1.0835,2427379.0,0.0,1.0
2000-01-14,2.4406,2.6189,2.4124,2.6001,1.1679,3339590.0,0.0,1.0
2000-01-17,2.816,2.8442,2.816,2.816,1.2648,4124964.0,0.0,1.0
2000-01-18,2.8348,2.8536,2.816,2.8442,1.2775,2393114.0,0.0,1.0
2000-01-19,2.816,2.863,2.816,2.863,1.2859,632949.0,0.0,1.0
2000-01-20,2.863,2.9568,2.863,2.9287,1.3154,730774.0,0.0,1.0
2000-01-21,2.9474,2.9662,2.9287,2.9662,1.3323,2498938.0,0.0,1.0
2000-01-24,2.985,2.985,2.9568,2.985,1.3407,1883475.0,0.0,1.0
2000-01-25,2.9662,2.9944,2.9193,2.9381,1.3196,1888760.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,2.9381,2.9662,2.9381,2.9662,1.3323,1465971.0,0.0,1.0
2000-01-28,2.9381,2.9662,2.9381,2.9474,1.3239,1211682.0,0.0,1.0
2000-01-31,2.9474,2.9474,2.8911,2.9352,1.3184,1613452.0,0.0,1.0
2000-02-01,2.9381,2.9568,2.9099,2.9381,1.3196,574044.0,0.0,1.0
2000-02-02,2.9484,2.9484,2.863,2.8817,1.2943,815550.0,0.0,1.0
2000-02-03,2.8911,2.9099,2.8254,2.8254,1.2691,1600139.0,0.0,1.0
2000-02-04,2.8076,2.8254,2.7315,2.7691,1.2438,693414.0,0.0,1.0
2000-02-07,2.7973,2.8066,2.7597,2.7691,1.2438,411601.0,0.0,1.0
2000-02-08,2.7691,2.816,2.7691,2.7973,1.2564,787931.0,0.0,1.0
2000-02-09,2.816,2.8911,2.816,2.8254,1.2691,798234.0,0.0,1.0
2000-02-10,2.8254,2.8817,2.816,2.8536,1.2817,3626788.0,0.0,1.0
2000-02-11,2.816,2.863,2.816,2.8536,1.2817,723813.0,0.0,1.0
2000-02-14,2.7456,2.8442,2.7456,2.7879,1.2522,1870659.0,0.0,1.0
2000-02-15,2.7991,2.8583,2.7691,2.8583,1.2838,1445246.0,0.0,1.0
2000-02-16,2.8536,2.8536,2.7315,2.816,1.2648,1201647.0,0.0,1.0
2000-02-17,2.816,2.8442,2.7879,2.8066,1.2606,487106.0,0.0,1.0
2000-02-18,2.7879,2.8442,2.7879,2.8348,1.2733,451155.0,0.0,1.0
2000-02-21,2.7973,2.8442,2.7503,2.8066,1.2606,310700.0,0.0,1.0
2000-02-22,2.8217,2.8217,2.7222,2.8066,1.2606,476706.0,0.0,1.0
2000-02-23,2.8066,2.8254,2.7691,2.8254,1.2691,1231334.0,0.0,1.0
2000-02-24,2.6846,2.816,2.6846,2.7597,1.2395,304333.0,0.0,1.0
2000-02-25,2.7118,2.7691,2.694,2.7503,1.2353,523043.0,0.0,1.0
2000-02-28,2.6837,2.7222,2.6471,2.7222,1.2227,326278.0,0.0,1.0
2000-02-29,2.7109,2.7315,2.6846,2.7315,1.2269,1017227.0,0.0,1.0
2000-03-01,2.7222,2.7691,2.6752,2.7409,1.2311,630495.0,0.0,1.0
2000-03-02,2.7297,2.7691,2.6377,2.6752,1.2016,687014.0,0.0,1.0
2000-03-03,2.6752,2.6752,2.4218,2.5344,1.1384,2065921.0,0.0,1.0
2000-03-06,2.5814,2.5814,2.4406,2.4875,1.1173,1036595.0,0.0,1.0
2000-03-07,2.6095,2.6095,2.4875,2.4875,1.1173,356402.0,0.0,1.0
