date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-08-07,2.8176,2.8176,2.8176,2.8176,1.1624,0.0,0.0,1.0
2000-08-08,3.0943,3.1762,3.0738,3.084,1.2723,531875151.0,0.0,1.0
2000-08-09,3.0635,3.0635,2.9201,2.9508,1.2174,75015415.0,0.0,1.0
2000-08-10,2.9201,2.9713,2.8893,2.9406,1.2131,47348364.0,0.0,1.0
2000-08-11,2.9508,2.9713,2.9406,2.9611,1.2216,20320949.0,0.0,1.0
2000-08-14,2.9713,2.9816,2.9611,2.9713,1.2258,5995718.0,0.0,1.0
2000-08-15,3.0738,3.0943,3.0328,3.0635,1.2638,28038469.0,0.0,1.0
2000-08-16,3.0635,3.084,3.043,3.0635,1.2638,12032529.0,0.0,1.0
2000-08-17,3.0738,3.1147,3.0738,3.0943,1.2765,9137724.0,0.0,1.0
2000-08-18,3.1147,3.1147,3.0533,3.0533,1.2596,8389678.0,0.0,1.0
2000-08-21,3.0533,3.0943,3.0225,3.0225,1.2469,10095809.0,0.0,1.0
2000-08-22,2.9918,3.043,2.9816,3.043,1.2554,8121228.0,0.0,1.0
2000-08-23,3.0533,3.0738,3.0328,3.0533,1.2596,3839583.0,0.0,1.0
2000-08-24,3.043,3.0533,3.0225,3.043,1.2554,3688880.0,0.0,1.0
2000-08-25,3.0328,3.043,3.0328,3.0328,1.2512,7212670.0,0.0,1.0
2000-08-28,3.0225,3.0328,2.9816,2.9918,1.2343,3176064.0,0.0,1.0
2000-08-29,2.9816,2.9816,2.9201,2.9303,1.2089,5661516.0,0.0,1.0
2000-08-30,2.9201,2.9508,2.8996,2.8996,1.1962,3880557.0,0.0,1.0
2000-08-31,2.9098,2.9611,2.8996,2.9303,1.2089,2988905.0,0.0,1.0
2000-09-01,2.9406,2.9611,2.9303,2.9406,1.2131,3266779.0,0.0,1.0
2000-09-04,2.9406,2.9406,2.8893,2.9201,1.2047,4115426.0,0.0,1.0
2000-09-05,2.8996,2.8996,2.8791,2.8791,1.1878,2584600.0,0.0,1.0
2000-09-06,2.8893,2.8996,2.8689,2.8791,1.1878,3124785.0,0.0,1.0
2000-09-07,2.8689,2.8689,2.7766,2.7766,1.1455,12473719.0,0.0,1.0
2000-09-08,2.7664,2.7664,2.7152,2.7357,1.1286,6990974.0,0.0,1.0
2000-09-11,2.7459,2.7459,2.6844,2.6947,1.1117,3783879.0,0.0,1.0
2000-09-12,2.6844,2.6947,2.6434,2.6844,1.1075,2060826.0,0.0,1.0
2000-09-13,2.6742,2.7459,2.6639,2.7459,1.1328,1900178.0,0.0,1.0
2000-09-14,2.7869,2.8586,2.6844,2.6844,1.1075,5659515.0,0.0,1.0
2000-09-15,2.6947,2.7664,2.6844,2.7357,1.1286,2312852.0,0.0,1.0
2000-09-18,2.6947,2.6947,2.6639,2.6742,1.1032,5969017.0,0.0,1.0
2000-09-19,2.6639,2.6639,2.6229,2.6434,1.0905,4557152.0,0.0,1.0
2000-09-20,2.6434,2.7664,2.6434,2.7664,1.1413,3114594.0,0.0,1.0
2000-09-21,2.7561,2.7664,2.6947,2.7561,1.137,4390299.0,0.0,1.0
2000-09-22,2.7152,2.7152,2.6332,2.6537,1.0948,1469538.0,0.0,1.0
2000-09-25,2.6742,2.7049,2.6639,2.6844,1.1075,948335.0,0.0,1.0
2000-09-26,2.7049,2.7561,2.6947,2.7049,1.1159,2006489.0,0.0,1.0
2000-09-27,2.7152,2.7561,2.7049,2.7357,1.1286,2493258.0,0.0,1.0
2000-09-28,2.7254,2.7561,2.7254,2.7561,1.137,1711232.0,0.0,1.0
2000-09-29,2.7459,2.7459,2.7254,2.7357,1.1286,3460434.0,0.0,1.0
2000-10-02,2.7357,2.7459,2.7152,2.7254,1.1244,1057010.0,0.0,1.0
2000-10-03,2.7254,2.8176,2.7254,2.8176,1.1624,3198341.0,0.0,1.0
2000-10-04,2.8176,2.8279,2.7766,2.8176,1.1624,4531807.0,0.0,1.0
2000-10-05,2.8074,2.8996,2.7971,2.8791,1.1878,5631659.0,0.0,1.0
2000-10-06,2.8381,2.8689,2.7561,2.7869,1.1497,7820586.0,0.0,1.0
2000-10-09,2.7459,2.7869,2.7357,2.7561,1.137,2471732.0,0.0,1.0
