date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-10-21,1.9008,1.9008,1.7636,1.793,1.5502,2393833.0,0.0,1.0
2015-10-22,1.793,1.9106,1.793,1.8734,1.6197,1435336.0,0.0,1.0
2015-10-23,1.9106,1.9155,1.891,1.9008,1.6434,1180542.0,0.0,1.0
2015-10-26,1.9106,1.94,1.8812,1.8959,1.6392,305513.0,0.0,1.0
2015-10-27,1.8959,1.94,1.8616,1.9106,1.6519,214183.0,0.0,1.0
2015-10-28,1.8616,1.8616,1.7832,1.7881,1.546,608459.0,0.0,1.0
2015-10-29,1.7881,1.7881,1.7293,1.7293,1.4951,981455.0,0.0,1.0
2015-10-30,1.7244,1.7636,1.7146,1.7587,1.5206,1351299.0,0.0,1.0
2015-11-02,1.7636,1.8812,1.7636,1.8224,1.5756,59253.0,0.0,1.0
2015-11-03,1.842,1.8616,1.7734,1.7783,1.5375,150089.0,0.0,1.0
2015-11-04,1.7783,1.7783,1.7146,1.7636,1.5248,1183843.0,0.0,1.0
2015-11-05,1.7685,1.7685,1.7636,1.7636,1.5248,5103.0,0.0,1.0
2015-11-06,1.793,1.842,1.793,1.8028,1.5587,1445982.0,0.0,1.0
2015-11-09,1.8028,1.8812,1.8028,1.8714,1.618,398140.0,0.0,1.0
2015-11-10,1.8665,1.8665,1.842,1.842,1.5926,5392.0,0.0,1.0
2015-11-11,1.7832,1.8224,1.7832,1.7832,1.5417,47965.0,0.0,1.0
2015-11-12,1.7832,1.8028,1.7636,1.793,1.5502,67569.0,0.0,1.0
2015-11-13,1.7636,1.7685,1.7538,1.7538,1.5163,713536.0,0.0,1.0
2015-11-16,1.744,1.744,1.7342,1.7342,1.4994,29568.0,0.0,1.0
2015-11-17,1.7342,1.744,1.7244,1.7244,1.4909,208307.0,0.0,1.0
2015-11-18,1.7146,1.7244,1.6754,1.7244,1.4909,1345495.0,0.0,1.0
2015-11-19,1.7342,1.793,1.7244,1.7636,1.5248,165109.0,0.0,1.0
2015-11-20,1.7636,1.8028,1.7636,1.7832,1.5417,1189043.0,0.0,1.0
2015-11-23,1.7832,1.8077,1.7636,1.7832,1.5417,70618.0,0.0,1.0
2015-11-24,1.7685,1.793,1.7489,1.7636,1.5248,444616.0,0.0,1.0
2015-11-25,1.7489,1.793,1.7489,1.7832,1.5417,171357.0,0.0,1.0
2015-11-26,1.7832,1.7832,1.7636,1.7636,1.5248,125517.0,0.0,1.0
2015-11-27,1.7636,1.8028,1.7636,1.7832,1.5417,29494.0,0.0,1.0
2015-11-30,1.7636,1.8028,1.7538,1.7979,1.5545,49128.0,0.0,1.0
2015-12-01,1.7636,1.7685,1.7636,1.7636,1.5248,174517.0,0.0,1.0
2015-12-02,1.7636,1.7832,1.7636,1.7832,1.5417,60234.0,0.0,1.0
2015-12-03,1.744,1.744,1.7391,1.744,1.5079,27206.0,0.0,1.0
2015-12-04,1.7411,1.7538,1.7342,1.7538,1.5163,72579.0,0.0,1.0
2015-12-07,1.7636,1.8126,1.7636,1.8028,1.5587,92401.0,0.0,1.0
2015-12-08,1.7832,1.842,1.7636,1.8126,1.5672,68408.0,0.0,1.0
2015-12-09,1.8322,1.8322,1.8126,1.8273,1.5799,4161166.0,0.0,1.0
2015-12-10,1.8273,1.8273,1.7734,1.7832,1.5417,37636.0,0.0,1.0
2015-12-11,1.7832,1.8126,1.7832,1.8126,1.5672,758981.0,0.0,1.0
2015-12-14,1.793,1.8028,1.7734,1.8028,1.5587,56409.0,0.0,1.0
2015-12-15,1.8028,1.8028,1.7342,1.7342,1.4994,131232.0,0.0,1.0
2015-12-16,1.7146,1.7146,1.4354,1.6118,1.3935,632523.0,0.0,1.0
2015-12-17,1.5236,1.6019,1.5236,1.5481,1.3384,161571.0,0.0,1.0
2015-12-18,1.553,1.6852,1.553,1.646,1.4231,277652.0,0.0,1.0
2015-12-21,1.646,1.646,1.5971,1.6313,1.4104,40273.0,0.0,1.0
2015-12-22,1.6166,1.6313,1.5971,1.6264,1.4062,43918.0,0.0,1.0
2015-12-23,1.6068,1.6068,1.5677,1.5971,1.3808,73636.0,0.0,1.0
2015-12-24,1.6068,1.6264,1.5971,1.6068,1.3893,20451.0,0.0,1.0
2015-12-28,1.6068,1.6068,1.6068,1.6068,1.3893,0.0,0.0,1.0
2015-12-29,1.6235,1.624,1.6215,1.6215,1.402,6318.0,0.0,1.0
2015-12-30,1.6264,1.646,1.5971,1.6264,1.4062,20325.0,0.0,1.0
2015-12-31,1.6264,1.6656,1.6019,1.6215,1.402,51461.0,0.0,1.0
2016-01-04,1.6215,1.6215,1.6068,1.6068,1.3893,42152.0,0.0,1.0
2016-01-05,1.6166,1.6509,1.6166,1.6411,1.4189,7012.0,0.0,1.0
2016-01-06,1.6264,1.6264,1.6068,1.6068,1.3893,20262.0,0.0,1.0
2016-01-07,1.6068,1.6068,1.5677,1.6019,1.385,5217.0,0.0,1.0
2016-01-08,1.5775,1.6019,1.5775,1.5873,1.3723,126745.0,0.0,1.0
2016-01-11,1.5775,1.6215,1.5775,1.6215,1.402,13647.0,0.0,1.0
2016-01-12,1.6068,1.6215,1.5971,1.6166,1.3977,4164.0,0.0,1.0
2016-01-13,1.5971,1.5971,1.5677,1.5873,1.3723,38515.0,0.0,1.0
2016-01-14,1.5873,1.5873,1.5383,1.5383,1.33,49609.0,0.0,1.0
2016-01-15,1.5383,1.5481,1.5383,1.5481,1.3384,17058.0,0.0,1.0
2016-01-18,1.5481,1.5481,1.5481,1.5481,1.3384,0.0,0.0,1.0
2016-01-19,1.5481,1.5775,1.5481,1.5775,1.3638,14453.0,0.0,1.0
2016-01-20,1.5775,1.5775,1.5775,1.5775,1.3638,0.0,0.0,1.0
2016-01-21,1.5383,1.5873,1.5236,1.5334,1.3257,32112.0,0.0,1.0
2016-01-22,1.5334,1.5873,1.5089,1.5873,1.3723,26881.0,0.0,1.0
2016-01-25,1.5187,1.5187,1.4452,1.5187,1.313,37388.0,0.0,1.0
2016-01-27,1.5677,1.5677,1.4893,1.4893,1.2876,7373.0,0.0,1.0
2016-01-28,1.4893,1.4893,1.4403,1.4403,1.2452,203524.0,0.0,1.0
2016-01-29,1.4403,1.4599,1.4403,1.4599,1.2622,154251.0,0.0,1.0
