date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-11-26,3.25,3.42,3.245,3.4,3.1753,30544729.0,0.0,1.0
2015-11-27,3.38,3.47,3.26,3.4,3.1753,2223644.0,0.0,1.0
2015-11-30,3.44,3.48,3.4,3.43,3.2033,501111.0,0.0,1.0
2015-12-01,3.41,3.45,3.39,3.44,3.2127,1083258.0,0.0,1.0
2015-12-02,3.45,3.47,3.44,3.47,3.2407,624697.0,0.0,1.0
2015-12-03,3.47,3.58,3.47,3.55,3.3154,760380.0,0.0,1.0
2015-12-04,3.5,3.54,3.48,3.51,3.278,479609.0,0.0,1.0
2015-12-07,3.55,3.6,3.45,3.52,3.2874,1137277.0,0.0,1.0
2015-12-08,3.55,3.55,3.39,3.48,3.25,190929.0,0.0,1.0
2015-12-09,3.48,3.51,3.45,3.5,3.2687,539319.0,0.0,1.0
2015-12-10,3.5,3.51,3.49,3.5,3.2687,2123100.0,0.0,1.0
2015-12-11,3.5,3.52,3.43,3.5,3.2687,385110.0,0.0,1.0
2015-12-14,3.45,3.45,3.39,3.42,3.194,418898.0,0.0,1.0
2015-12-15,3.4,3.45,3.35,3.4,3.1753,1902953.0,0.0,1.0
2015-12-16,3.42,3.52,3.4,3.4,3.1753,78648.0,0.0,1.0
2015-12-17,3.38,3.51,3.35,3.39,3.166,1348395.0,0.0,1.0
2015-12-18,3.375,3.39,3.375,3.39,3.166,159131.0,0.0,1.0
2015-12-21,3.38,3.4,3.38,3.38,3.1566,366421.0,0.0,1.0
2015-12-22,3.375,3.4,3.35,3.36,3.1379,990132.0,0.0,1.0
2015-12-23,3.355,3.38,3.34,3.36,3.1379,190583.0,0.0,1.0
2015-12-24,3.37,3.37,3.3,3.33,3.1099,21913.0,0.0,1.0
2015-12-28,3.33,3.33,3.33,3.33,3.1099,0.0,0.0,1.0
2015-12-29,3.33,3.33,3.32,3.32,3.1006,4033.0,0.0,1.0
2015-12-30,3.36,3.37,3.35,3.35,3.1286,150309.0,0.0,1.0
2015-12-31,3.35,3.35,3.3,3.33,3.1099,27313.0,0.0,1.0
2016-01-04,3.34,3.38,3.34,3.36,3.1379,740396.0,0.0,1.0
2016-01-05,3.36,3.36,3.31,3.33,3.1099,174848.0,0.0,1.0
2016-01-06,3.31,3.35,3.3,3.31,3.0913,366004.0,0.0,1.0
2016-01-07,3.3,3.31,3.26,3.3,3.0819,506891.0,0.0,1.0
2016-01-08,3.28,3.3,3.255,3.3,3.0819,61234.0,0.0,1.0
2016-01-11,3.3,3.36,3.27,3.35,3.1286,561247.0,0.0,1.0
2016-01-12,3.34,3.35,3.28,3.32,3.1006,1018464.0,0.0,1.0
2016-01-13,3.34,3.42,3.3,3.35,3.1286,465264.0,0.0,1.0
2016-01-14,3.3,3.3,3.22,3.24,3.0259,90940.0,0.0,1.0
2016-01-15,3.27,3.28,3.21,3.21,2.9979,1345172.0,0.0,1.0
2016-01-18,3.25,3.25,3.16,3.2,2.9885,2335756.0,0.0,1.0
2016-01-19,3.21,3.26,3.16,3.18,2.9698,180528.0,0.0,1.0
2016-01-20,3.19,3.21,3.16,3.16,2.9512,518060.0,0.0,1.0
