date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-12-16,1.9284,1.9728,1.8248,1.9629,1.5418,3333173.0,0.0,1.0
2015-12-17,1.9728,2.0418,1.9728,2.0023,1.5728,883158.0,0.0,1.0
2015-12-18,2.0023,2.0023,1.9629,1.9728,1.5495,830228.0,0.0,1.0
2015-12-21,1.9728,1.9728,1.9629,1.9728,1.5495,364111.0,0.0,1.0
2015-12-22,1.9728,1.9728,1.9629,1.9629,1.5418,248075.0,0.0,1.0
2015-12-23,1.9629,1.9728,1.958,1.9728,1.5495,100114.0,0.0,1.0
2015-12-24,1.9629,1.9728,1.9629,1.9728,1.5495,110449.0,0.0,1.0
2015-12-28,1.9728,1.9728,1.9728,1.9728,1.5495,0.0,0.0,1.0
2015-12-29,1.9728,1.9826,1.9728,1.9826,1.5573,103212.0,0.0,1.0
2015-12-30,1.9826,1.9925,1.9826,1.9925,1.565,38018.0,0.0,1.0
2015-12-31,1.9925,1.9925,1.9728,1.9728,1.5495,87644.0,0.0,1.0
2016-01-04,1.9728,1.9728,1.9728,1.9728,1.5495,7604.0,0.0,1.0
2016-01-05,1.9728,1.9728,1.9333,1.953,1.534,368120.0,0.0,1.0
2016-01-06,1.953,1.953,1.953,1.953,1.534,55760.0,0.0,1.0
2016-01-07,1.9728,1.9728,1.9333,1.953,1.534,79576.0,0.0,1.0
2016-01-08,1.9234,1.953,1.9234,1.953,1.534,49373.0,0.0,1.0
2016-01-11,1.9234,1.9629,1.9136,1.9629,1.5418,102961.0,0.0,1.0
2016-01-12,1.9333,1.953,1.9284,1.9333,1.5185,212388.0,0.0,1.0
2016-01-13,1.9234,1.9234,1.9037,1.9234,1.5108,164192.0,0.0,1.0
2016-01-14,1.9136,1.9234,1.8741,1.8741,1.472,40565.0,0.0,1.0
2016-01-15,1.8939,1.8939,1.8741,1.8741,1.472,29401.0,0.0,1.0
2016-01-18,1.8642,1.9136,1.8544,1.9037,1.4953,80085.0,0.0,1.0
2016-01-19,1.8741,1.9037,1.8741,1.9037,1.4953,25165.0,0.0,1.0
2016-01-20,1.8741,1.8741,1.8741,1.8741,1.472,54169.0,0.0,1.0
2016-01-21,1.8544,1.9678,1.8297,1.9678,1.5456,984206.0,0.0,1.0
2016-01-22,1.9728,1.9826,1.953,1.9629,1.5418,568039.0,0.0,1.0
2016-01-25,1.9629,1.9629,1.9432,1.953,1.534,23324.0,0.0,1.0
2016-01-27,1.953,1.9728,1.953,1.9728,1.5495,261743.0,0.0,1.0
2016-01-28,1.9629,1.9728,1.9599,1.9728,1.5495,175699.0,0.0,1.0
2016-01-29,1.9728,2.0122,1.958,1.958,1.5379,314773.0,0.0,1.0
2016-02-01,1.9629,1.9728,1.9629,1.9728,1.5495,129854.0,0.0,1.0
2016-02-02,1.9728,1.9925,1.953,1.9728,1.5495,339522.0,0.0,1.0
2016-02-03,1.9728,1.9826,1.9629,1.9678,1.5456,68774.0,0.0,1.0
