date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,3.6825,3.6825,3.3987,3.4699,1.8477,105577.0,0.0,1.0
2000-01-05,3.4254,3.5144,3.3987,3.4699,1.8477,328138.0,0.0,1.0
2000-01-06,3.5037,3.5589,3.4076,3.4165,1.8193,323092.0,0.0,1.0
2000-01-07,3.4877,3.6033,3.4165,3.5856,1.9093,350508.0,0.0,1.0
2000-01-10,3.6033,3.6301,3.5144,3.5411,1.8856,147463.0,0.0,1.0
2000-01-11,3.5856,3.6212,3.5589,3.5589,1.8951,364344.0,0.0,1.0
2000-01-12,3.5678,3.5767,3.55,3.5767,1.9046,1227217.0,0.0,1.0
2000-01-13,3.6033,3.6301,3.5678,3.6212,1.9283,789469.0,0.0,1.0
2000-01-14,3.6033,3.6923,3.6033,3.6834,1.9614,534925.0,0.0,1.0
2000-01-17,3.6852,3.6852,3.6478,3.6567,1.9472,132747.0,0.0,1.0
2000-01-18,3.6567,3.7012,3.6478,3.6923,1.9662,466294.0,0.0,1.0
2000-01-19,3.7012,3.7368,3.6478,3.6478,1.9425,325937.0,0.0,1.0
2000-01-20,3.6478,3.6478,3.5678,3.5678,1.8998,148004.0,0.0,1.0
2000-01-21,3.5589,3.6478,3.5589,3.6033,1.9188,190103.0,0.0,1.0
2000-01-24,3.7377,3.7377,3.4432,3.4432,1.8335,399152.0,0.0,1.0
2000-01-25,3.4254,3.4521,3.3987,3.4254,1.824,522746.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,3.4165,3.4343,3.3809,3.3987,1.8098,533601.0,0.0,1.0
2000-01-28,3.4254,3.4699,3.4254,3.4254,1.824,99586.0,0.0,1.0
2000-01-31,3.4165,3.4165,3.3364,3.3364,1.7767,298190.0,0.0,1.0
2000-02-01,3.3809,3.4076,3.3364,3.3453,1.7814,266788.0,0.0,1.0
