date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.087,0.087,0.087,0.087,0.0686,30000.0,0.0,1.0
2000-01-05,0.09,0.09,0.09,0.09,0.071,18000.0,0.0,1.0
2000-01-06,0.09,0.09,0.09,0.09,0.071,25000.0,0.0,1.0
2000-01-07,0.09,0.09,0.09,0.09,0.071,0.0,0.0,1.0
2000-01-10,0.09,0.09,0.09,0.09,0.071,65000.0,0.0,1.0
2000-01-11,0.09,0.1,0.09,0.1,0.0788,14300.0,0.0,1.0
2000-01-12,0.09,0.09,0.09,0.09,0.071,17000.0,0.0,1.0
2000-01-13,0.09,0.09,0.09,0.09,0.071,0.0,0.0,1.0
2000-01-14,0.095,0.095,0.095,0.095,0.0749,10000.0,0.0,1.0
2000-01-17,0.095,0.095,0.095,0.095,0.0749,0.0,0.0,1.0
2000-01-18,0.095,0.095,0.095,0.095,0.0749,0.0,0.0,1.0
2000-01-19,0.09,0.09,0.09,0.09,0.071,5000.0,0.0,1.0
2000-01-20,0.09,0.09,0.09,0.09,0.071,0.0,0.0,1.0
2000-01-21,0.09,0.09,0.09,0.09,0.071,0.0,0.0,1.0
2000-01-24,0.09,0.09,0.09,0.09,0.071,0.0,0.0,1.0
2000-01-25,0.09,0.09,0.09,0.09,0.071,0.0,0.0,1.0
2000-01-26,0.09,0.09,0.09,0.09,0.071,0.0,0.0,1.0
2000-01-27,0.095,0.095,0.095,0.095,0.0749,6000.0,0.0,1.0
2000-01-28,0.09,0.09,0.081,0.081,0.0639,14000.0,0.0,1.0
2000-01-31,0.081,0.081,0.081,0.081,0.0639,0.0,0.0,1.0
2000-02-01,0.081,0.081,0.081,0.081,0.0639,0.0,0.0,1.0
2000-02-02,0.081,0.081,0.081,0.081,0.0639,0.0,0.0,1.0
2000-02-03,0.09,0.09,0.09,0.09,0.071,14000.0,0.0,1.0
2000-02-04,0.09,0.09,0.09,0.09,0.071,0.0,0.0,1.0
2000-02-07,0.09,0.095,0.09,0.095,0.0749,50000.0,0.0,1.0
2000-02-08,0.085,0.085,0.085,0.085,0.067,10000.0,0.0,1.0
2000-02-09,0.085,0.085,0.08,0.08,0.0631,200000.0,0.0,1.0
