date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-11-07,3.14,3.22,3.1,3.22,2.6842,9133996.0,0.0,1.0
2016-11-08,3.23,3.33,3.23,3.29,2.7425,7531418.0,0.0,1.0
2016-11-09,3.3,3.3,3.12,3.19,2.6592,2501398.0,0.0,1.0
2016-11-10,3.22,3.28,3.22,3.27,2.7259,1095636.0,0.0,1.0
2016-11-11,3.26,3.26,3.2,3.24,2.7009,768977.0,0.0,1.0
2016-11-14,3.23,3.24,3.17,3.19,2.6592,971268.0,0.0,1.0
2016-11-15,3.2,3.21,3.16,3.19,2.6592,2589793.0,0.0,1.0
2016-11-16,3.18,3.19,3.15,3.18,2.6508,1062334.0,0.0,1.0
2016-11-17,3.16,3.17,3.05,3.14,2.6175,1004361.0,0.0,1.0
2016-11-18,3.15,3.16,3.13,3.15,2.6258,507290.0,0.0,1.0
2016-11-21,3.15,3.15,3.11,3.11,2.5925,1384238.0,0.0,1.0
2016-11-22,3.1,3.12,3.07,3.09,2.5758,3132793.0,0.0,1.0
2016-11-23,3.09,3.09,3.06,3.08,2.5675,1163343.0,0.0,1.0
2016-11-24,3.09,3.09,3.04,3.06,2.5508,663124.0,0.0,1.0
2016-11-25,3.05,3.05,3.0,3.02,2.5175,703133.0,0.0,1.0
2016-11-28,3.01,3.09,3.01,3.06,2.5508,425832.0,0.0,1.0
2016-11-29,3.07,3.13,3.07,3.1,2.5842,599035.0,0.0,1.0
2016-11-30,3.12,3.16,3.1,3.16,2.6342,395872.0,0.0,1.0
2016-12-01,3.15,3.15,3.13,3.15,2.6258,326994.0,0.0,1.0
2016-12-02,3.15,3.16,3.13,3.14,2.6175,337859.0,0.0,1.0
2016-12-05,3.14,3.14,3.1,3.11,2.5925,126548.0,0.0,1.0
2016-12-06,3.13,3.15,3.05,3.1,2.5842,175174.0,0.0,1.0
2016-12-07,3.1,3.11,3.06,3.08,2.5675,343291.0,0.0,1.0
2016-12-08,3.08,3.13,3.03,3.11,2.5925,2416229.0,0.0,1.0
2016-12-09,3.11,3.14,3.11,3.12,2.6008,174020.0,0.0,1.0
2016-12-12,3.11,3.13,3.06,3.1,2.5842,272700.0,0.0,1.0
2016-12-13,3.1,3.12,3.05,3.12,2.6008,416404.0,0.0,1.0
2016-12-14,3.12,3.14,3.09,3.12,2.6008,791324.0,0.0,1.0
2016-12-15,3.07,3.12,3.01,3.1,2.5842,1856994.0,0.0,1.0
2016-12-16,3.09,3.1,3.05,3.08,2.5675,571629.0,0.0,1.0
2016-12-19,3.05,3.07,3.04,3.06,2.5508,834030.0,0.0,1.0
2016-12-20,3.08,3.13,3.07,3.12,2.6008,872550.0,0.0,1.0
2016-12-21,3.15,3.17,3.15,3.16,2.6342,2436425.0,0.0,1.0
2016-12-22,3.16,3.23,3.16,3.23,2.6925,1330400.0,0.0,1.0
2016-12-23,3.21,3.22,3.2,3.22,2.6842,645316.0,0.0,1.0
2016-12-28,3.2,3.22,3.2,3.21,2.6759,237682.0,0.0,1.0
2016-12-29,3.2,3.21,3.185,3.21,2.6759,408055.0,0.0,1.0
2016-12-30,3.21,3.21,3.16,3.19,2.6592,151052.0,0.0,1.0
