date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-11-19,3.14,3.17,2.96,3.1,2.5058,17927075.0,0.0,1.0
2014-11-20,3.13,3.33,3.11,3.32,2.6837,1916138.0,0.0,1.0
2014-11-21,3.32,3.4,3.21,3.38,2.7322,2301487.0,0.0,1.0
2014-11-24,3.4,3.4,3.25,3.31,2.6756,1177516.0,0.0,1.0
2014-11-25,3.3,3.36,3.26,3.35,2.7079,1591929.0,0.0,1.0
2014-11-26,3.32,3.33,3.21,3.25,2.6271,351785.0,0.0,1.0
2014-11-27,3.25,3.35,3.22,3.35,2.7079,613184.0,0.0,1.0
2014-11-28,3.3,3.3,3.27,3.27,2.6432,170124.0,0.0,1.0
2014-12-01,3.27,3.27,3.25,3.25,2.6271,1076286.0,0.0,1.0
2014-12-02,3.24,3.3,3.23,3.28,2.6513,189876.0,0.0,1.0
2014-12-03,3.27,3.3,3.26,3.3,2.6675,341737.0,0.0,1.0
2014-12-04,3.28,3.36,3.27,3.3,2.6675,597458.0,0.0,1.0
2014-12-05,3.3,3.34,3.29,3.32,2.6837,424220.0,0.0,1.0
2014-12-08,3.32,3.49,3.31,3.42,2.7645,369018.0,0.0,1.0
2014-12-09,3.4,3.42,3.34,3.36,2.716,420872.0,0.0,1.0
2014-12-10,3.36,3.36,3.285,3.32,2.6837,317163.0,0.0,1.0
2014-12-11,3.31,3.43,3.31,3.39,2.7402,397830.0,0.0,1.0
2014-12-12,3.4,3.45,3.39,3.4,2.7483,142871.0,0.0,1.0
2014-12-15,3.43,3.45,3.38,3.39,2.7402,203067.0,0.0,1.0
2014-12-16,3.39,3.44,3.37,3.4,2.7483,471657.0,0.0,1.0
2014-12-17,3.37,3.41,3.37,3.4,2.7483,975013.0,0.0,1.0
2014-12-18,3.4,3.43,3.37,3.37,2.7241,154636.0,0.0,1.0
2014-12-19,3.37,3.43,3.37,3.43,2.7726,100976.0,0.0,1.0
2014-12-22,3.43,3.5,3.43,3.46,2.7968,147191.0,0.0,1.0
2014-12-23,3.46,3.5,3.45,3.46,2.7968,155898.0,0.0,1.0
2014-12-24,3.5,3.5,3.46,3.47,2.8049,88590.0,0.0,1.0
2014-12-29,3.5,3.5,3.48,3.48,2.813,45545.0,0.0,1.0
2014-12-30,3.5,3.5,3.49,3.49,2.8211,11971.0,0.0,1.0
2014-12-31,3.5,3.51,3.49,3.5,2.8292,60358.0,0.0,1.0
2015-01-02,3.5,3.55,3.49,3.54,2.8615,47229.0,0.0,1.0
2015-01-05,3.55,3.57,3.51,3.51,2.8372,97687.0,0.0,1.0
2015-01-06,3.49,3.53,3.49,3.52,2.8453,398365.0,0.0,1.0
2015-01-07,3.52,3.6,3.51,3.56,2.8777,189989.0,0.0,1.0
2015-01-08,3.58,3.75,3.58,3.66,2.9585,197484.0,0.0,1.0
2015-01-09,3.68,3.74,3.68,3.74,3.0232,123503.0,0.0,1.0
2015-01-12,3.71,3.85,3.71,3.81,3.0797,154571.0,0.0,1.0
2015-01-13,3.82,3.82,3.65,3.75,3.0312,91373.0,0.0,1.0
2015-01-14,3.7,3.73,3.58,3.58,2.8938,163137.0,0.0,1.0
2015-01-15,3.55,3.6,3.5,3.56,2.8777,74333.0,0.0,1.0
2015-01-16,3.53,3.615,3.53,3.6,2.91,50812.0,0.0,1.0
2015-01-19,3.61,3.64,3.57,3.6,2.91,54414.0,0.0,1.0
2015-01-20,3.6,3.67,3.6,3.67,2.9666,121461.0,0.0,1.0
2015-01-21,3.63,3.67,3.62,3.65,2.9504,107168.0,0.0,1.0
2015-01-22,3.65,3.69,3.61,3.65,2.9504,167476.0,0.0,1.0
2015-01-23,3.65,3.78,3.6,3.67,2.9666,102213.0,0.0,1.0
2015-01-27,3.77,3.84,3.75,3.82,3.0878,120556.0,0.0,1.0
2015-01-28,3.8,3.82,3.78,3.82,3.0878,355747.0,0.0,1.0
2015-01-29,3.8,3.84,3.78,3.83,3.0959,108978.0,0.0,1.0
2015-01-30,3.8,3.8,3.73,3.75,3.0312,166653.0,0.0,1.0
2015-02-02,3.75,3.79,3.7,3.75,3.0312,134260.0,0.0,1.0
2015-02-03,3.78,3.88,3.78,3.88,3.1363,437105.0,0.0,1.0
2015-02-04,3.9,4.15,3.9,4.09,3.3061,1190229.0,0.0,1.0
2015-02-05,4.08,4.25,4.05,4.24,3.4273,186214.0,0.0,1.0
2015-02-06,4.25,4.28,4.21,4.25,3.4354,245231.0,0.0,1.0
2015-02-09,4.25,4.26,4.07,4.07,3.2899,404977.0,0.0,1.0
2015-02-10,4.1,4.14,4.01,4.03,3.2576,271472.0,0.0,1.0
2015-02-11,4.15,4.19,4.08,4.1,3.3142,203914.0,0.0,1.0
2015-02-12,4.15,4.19,4.06,4.09,3.3061,191238.0,0.0,1.0
2015-02-13,4.1,4.1,4.04,4.07,3.2899,169119.0,0.0,1.0
2015-02-16,4.09,4.3,4.05,4.28,3.4597,349506.0,0.0,1.0
2015-02-17,4.28,4.28,4.2,4.24,3.4273,132357.0,0.0,1.0
2015-02-18,4.24,4.39,4.2,4.34,3.5082,224730.0,0.0,1.0
2015-02-19,4.35,4.4,4.3,4.37,3.5324,171339.0,0.0,1.0
2015-02-20,4.48,4.485,4.38,4.4,3.5567,197682.0,0.0,1.0
2015-02-23,4.42,4.55,4.42,4.5,3.6375,98144.0,0.0,1.0
2015-02-24,4.5,4.52,4.4,4.45,3.5971,185264.0,0.0,1.0
2015-02-25,4.47,4.47,4.38,4.41,3.5647,244102.0,0.0,1.0
2015-02-26,4.41,4.41,4.11,4.4,3.5567,609614.0,0.0,1.0
2015-02-27,4.41,4.8,4.41,4.72,3.8153,764889.0,0.0,1.0
2015-03-02,4.68,4.79,4.68,4.72,3.8153,178385.0,0.0,1.0
2015-03-03,4.71,4.99,4.71,4.9,3.9904,118955.0,0.0,1.0
2015-03-04,4.85,4.87,4.77,4.77,3.8845,235132.0,0.0,1.0
2015-03-05,4.74,4.87,4.74,4.8,3.909,75599.0,0.0,1.0
2015-03-06,4.92,4.92,4.74,4.8,3.909,82239.0,0.0,1.0
2015-03-09,4.74,4.75,4.62,4.69,3.8194,176091.0,0.0,1.0
2015-03-10,4.71,4.73,4.54,4.55,3.7054,360435.0,0.0,1.0
2015-03-11,4.53,4.6,4.53,4.59,3.738,416350.0,0.0,1.0
2015-03-12,4.6,4.71,4.6,4.65,3.7868,337459.0,0.0,1.0
2015-03-13,4.68,4.85,4.64,4.7,3.8275,160565.0,0.0,1.0
2015-03-16,4.7,4.82,4.7,4.74,3.8601,91461.0,0.0,1.0
2015-03-17,4.77,4.92,4.75,4.89,3.9823,228825.0,0.0,1.0
2015-03-18,4.9,4.99,4.89,4.97,4.0474,268930.0,0.0,1.0
2015-03-19,4.98,5.19,4.95,4.99,4.0637,944932.0,0.0,1.0
2015-03-20,5.0,5.0,4.86,4.89,3.9823,1430152.0,0.0,1.0
2015-03-23,4.88,4.9,4.83,4.88,3.9741,59232.0,0.0,1.0
2015-03-24,4.89,4.96,4.84,4.92,4.0067,128151.0,0.0,1.0
2015-03-25,4.9,4.93,4.86,4.92,4.0067,198643.0,0.0,1.0
2015-03-26,4.9,5.09,4.9,5.0,4.0718,251152.0,0.0,1.0
2015-03-27,5.0,5.05,4.92,5.0,4.0718,95420.0,0.0,1.0
2015-03-30,4.97,5.0,4.92,4.94,4.023,47673.0,0.0,1.0
2015-03-31,4.95,5.0,4.88,4.89,3.9823,89622.0,0.0,1.0
2015-04-01,4.9,5.03,4.79,4.8,3.909,293051.0,0.0,1.0
2015-04-02,4.84,4.84,4.6,4.65,3.7868,1071446.0,0.0,1.0
2015-04-07,4.7,4.75,4.44,4.48,3.6484,730981.0,0.0,1.0
2015-04-08,4.5,4.6,4.43,4.5,3.6647,446106.0,0.0,1.0
2015-04-09,4.5,4.52,4.35,4.41,3.5914,443117.0,0.0,1.0
2015-04-10,4.45,4.55,4.45,4.5,3.6647,584751.0,0.0,1.0
2015-04-13,4.53,4.61,4.5,4.52,3.6809,288099.0,0.0,1.0
2015-04-14,4.52,4.7,4.52,4.7,3.8275,749892.0,0.0,1.0
2015-04-15,4.7,4.745,4.67,4.7,3.8275,1520322.0,0.0,1.0
2015-04-16,4.69,4.73,4.62,4.66,3.795,194761.0,0.0,1.0
2015-04-17,4.69,4.72,4.6,4.63,3.7705,108934.0,0.0,1.0
2015-04-20,4.62,4.71,4.53,4.59,3.738,236774.0,0.0,1.0
2015-04-21,4.56,4.61,4.5,4.5,3.6647,339011.0,0.0,1.0
2015-04-22,4.55,4.55,4.45,4.5,3.6647,257260.0,0.0,1.0
2015-04-23,4.5,4.5,4.3,4.49,3.6565,249515.0,0.0,1.0
2015-04-24,4.49,4.51,4.42,4.49,3.6565,151457.0,0.0,1.0
2015-04-27,4.46,4.54,4.45,4.5,3.6647,255690.0,0.0,1.0
2015-04-28,4.48,4.49,4.4,4.45,3.6239,70152.0,0.0,1.0
2015-04-29,4.4,4.42,4.3,4.32,3.5181,127623.0,0.0,1.0
2015-04-30,4.3,4.32,4.2,4.32,3.5181,196148.0,0.0,1.0
2015-05-01,4.32,4.42,4.26,4.3,3.5018,78589.0,0.0,1.0
2015-05-04,4.35,4.36,4.29,4.34,3.5344,84203.0,0.0,1.0
2015-05-05,4.34,4.5,4.33,4.34,3.5344,96238.0,0.0,1.0
2015-05-06,4.38,4.38,4.18,4.21,3.4285,127429.0,0.0,1.0
2015-05-07,4.19,4.39,4.15,4.35,3.5425,264804.0,0.0,1.0
2015-05-08,4.33,4.41,4.15,4.32,3.5181,230680.0,0.0,1.0
2015-05-11,4.35,4.35,4.19,4.25,3.4611,158697.0,0.0,1.0
2015-05-12,4.23,4.52,4.22,4.52,3.6809,518540.0,0.0,1.0
2015-05-13,4.64,4.7,4.6,4.61,3.7542,572515.0,0.0,1.0
2015-05-14,4.64,4.65,4.53,4.57,3.7217,185775.0,0.0,1.0
2015-05-15,4.57,4.67,4.53,4.67,3.8031,1411022.0,0.0,1.0
2015-05-18,4.68,4.69,4.59,4.66,3.795,144239.0,0.0,1.0
2015-05-19,4.64,4.67,4.6,4.64,3.7787,59198.0,0.0,1.0
2015-05-20,4.66,4.7,4.59,4.65,3.7868,348471.0,0.0,1.0
2015-05-21,4.68,4.92,4.64,4.87,3.966,163525.0,0.0,1.0
2015-05-22,4.92,4.92,4.82,4.85,3.9497,117083.0,0.0,1.0
2015-05-25,4.8,4.8,4.66,4.7,3.8275,161047.0,0.0,1.0
2015-05-26,4.7,4.82,4.7,4.73,3.852,881488.0,0.0,1.0
2015-05-27,4.75,4.85,4.74,4.84,3.9415,93096.0,0.0,1.0
2015-05-28,4.82,4.84,4.77,4.81,3.9171,258677.0,0.0,1.0
2015-05-29,4.85,5.0,4.825,4.9,3.9904,2668110.0,0.0,1.0
2015-06-01,4.96,5.0,4.82,5.0,4.0718,1479748.0,0.0,1.0
2015-06-02,5.0,5.0,4.81,4.91,3.9986,83673.0,0.0,1.0
2015-06-03,4.93,4.93,4.72,4.83,3.9334,268686.0,0.0,1.0
2015-06-04,4.8,4.9,4.74,4.9,3.9904,168345.0,0.0,1.0
2015-06-05,4.89,4.89,4.85,4.87,3.966,173718.0,0.0,1.0
2015-06-09,4.84,4.9,4.83,4.89,3.9823,154937.0,0.0,1.0
2015-06-10,4.85,4.86,4.64,4.65,3.7868,188956.0,0.0,1.0
2015-06-11,4.68,4.88,4.67,4.86,3.9578,141325.0,0.0,1.0
2015-06-12,4.85,4.85,4.67,4.82,3.9253,117091.0,0.0,1.0
2015-06-15,4.79,4.79,4.71,4.78,3.8927,41502.0,0.0,1.0
2015-06-16,4.73,4.8,4.66,4.68,3.8112,63697.0,0.0,1.0
2015-06-17,4.68,4.8,4.67,4.78,3.8927,85816.0,0.0,1.0
2015-06-18,4.75,4.78,4.55,4.62,3.7624,279103.0,0.0,1.0
2015-06-19,4.65,4.65,4.58,4.6,3.7461,107816.0,0.0,1.0
2015-06-22,4.61,4.68,4.59,4.61,3.7542,177665.0,0.0,1.0
2015-06-23,4.66,4.72,4.63,4.71,3.8357,189585.0,0.0,1.0
2015-06-24,4.73,4.77,4.69,4.74,3.8601,59532.0,0.0,1.0
2015-06-25,4.74,4.76,4.68,4.71,3.8357,89639.0,0.0,1.0
2015-06-26,4.66,4.69,4.57,4.6,3.7461,74471.0,0.0,1.0
2015-06-29,4.58,4.58,4.33,4.37,3.5588,263636.0,0.0,1.0
2015-06-30,4.3,4.7,4.3,4.7,3.8275,182423.0,0.0,1.0
2015-07-01,4.56,4.77,4.56,4.69,3.8194,88187.0,0.0,1.0
2015-07-02,4.66,4.69,4.56,4.6,3.7461,128823.0,0.0,1.0
2015-07-03,4.62,4.7,4.56,4.7,3.8275,22656.0,0.0,1.0
2015-07-06,4.75,4.75,4.55,4.59,3.738,88737.0,0.0,1.0
2015-07-07,4.65,4.75,4.65,4.7,3.8275,35387.0,0.0,1.0
2015-07-08,4.7,4.73,4.65,4.7,3.8275,84599.0,0.0,1.0
2015-07-09,4.66,4.67,4.51,4.54,3.6972,74484.0,0.0,1.0
2015-07-10,4.55,4.61,4.52,4.52,3.6809,53702.0,0.0,1.0
2015-07-13,4.52,4.61,4.51,4.55,3.7054,68733.0,0.0,1.0
2015-07-14,4.6,4.75,4.6,4.68,3.8112,105948.0,0.0,1.0
2015-07-15,4.68,4.7,4.55,4.56,3.7135,67514.0,0.0,1.0
2015-07-16,4.56,4.74,4.56,4.57,3.7217,84819.0,0.0,1.0
2015-07-17,4.58,4.75,4.58,4.7,3.8275,127872.0,0.0,1.0
2015-07-20,4.77,4.77,4.65,4.69,3.8194,56466.0,0.0,1.0
2015-07-21,4.65,4.87,4.65,4.87,3.966,190014.0,0.0,1.0
2015-07-22,4.79,4.95,4.75,4.95,4.0311,127989.0,0.0,1.0
