date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-11-02,1.6094,1.6094,1.6094,1.6094,0.7028,0.0,0.0,1.0
2000-11-03,2.0971,2.3995,2.0971,2.3995,1.0478,23847464.0,0.0,1.0
2000-11-06,2.3819,2.3819,2.2434,2.2532,0.9839,1507202.0,0.0,1.0
2000-11-07,2.2629,2.2629,2.2239,2.2629,0.9882,1111770.0,0.0,1.0
2000-11-08,2.2629,2.3897,2.2434,2.3702,1.0351,627309.0,0.0,1.0
2000-11-09,2.3702,2.3897,2.341,2.3897,1.0436,114517.0,0.0,1.0
2000-11-10,2.3897,2.3897,2.3215,2.341,1.0223,789303.0,0.0,1.0
2000-11-13,2.341,2.3702,2.341,2.341,1.0223,322432.0,0.0,1.0
2000-11-14,2.3702,2.3702,2.341,2.341,1.0223,3606134.0,0.0,1.0
2000-11-15,2.3927,2.3927,2.341,2.3507,1.0265,18710.0,0.0,1.0
2000-11-16,2.3946,2.3946,2.3507,2.3507,1.0265,61308.0,0.0,1.0
2000-11-17,2.3507,2.3702,2.3507,2.3702,1.0351,120463.0,0.0,1.0
2000-11-20,2.3605,2.3605,2.3215,2.3605,1.0308,516919.0,0.0,1.0
2000-11-21,2.3605,2.3605,2.3361,2.341,1.0223,55362.0,0.0,1.0
2000-11-22,2.341,2.341,2.341,2.341,1.0223,37626.0,0.0,1.0
2000-11-23,2.341,2.341,2.3215,2.341,1.0223,104979.0,0.0,1.0
2000-11-24,2.341,2.3507,2.3215,2.3507,1.0265,1173570.0,0.0,1.0
2000-11-27,2.3556,2.3556,2.341,2.341,1.0223,9945.0,0.0,1.0
2000-11-28,2.341,2.341,2.3215,2.3215,1.0138,27937.0,0.0,1.0
2000-11-29,2.2824,2.2922,2.2727,2.2922,1.001,118970.0,0.0,1.0
2000-11-30,2.2922,2.341,2.2824,2.3312,1.018,1030451.0,0.0,1.0
2000-12-01,2.2922,2.3019,2.2922,2.2922,1.001,38945.0,0.0,1.0
2000-12-04,2.2922,2.3019,2.2922,2.2922,1.001,192936.0,0.0,1.0
2000-12-05,2.2922,2.3019,2.2922,2.2922,1.001,44802.0,0.0,1.0
2000-12-06,2.3117,2.3312,2.2922,2.2922,1.001,104876.0,0.0,1.0
2000-12-07,2.2922,2.3312,2.2922,2.3312,1.018,355997.0,0.0,1.0
2000-12-08,2.3215,2.3215,2.2922,2.2922,1.001,44700.0,0.0,1.0
2000-12-11,2.2922,2.3019,2.2922,2.2922,1.001,80172.0,0.0,1.0
2000-12-12,2.3019,2.3605,2.3019,2.3605,1.0308,628472.0,0.0,1.0
2000-12-13,2.3605,2.4873,2.3605,2.4873,1.0862,116109.0,0.0,1.0
2000-12-14,2.4873,2.4873,2.4102,2.4102,1.0525,381952.0,0.0,1.0
2000-12-15,2.4775,2.4775,2.4287,2.4385,1.0649,4996.0,0.0,1.0
2000-12-18,2.4092,2.4092,2.3897,2.3897,1.0436,422698.0,0.0,1.0
2000-12-19,2.38,2.38,2.38,2.38,1.0393,52758.0,0.0,1.0
2000-12-20,2.341,2.341,2.341,2.341,1.0223,62949.0,0.0,1.0
2000-12-21,2.3215,2.3215,2.2922,2.2922,1.001,180565.0,0.0,1.0
2000-12-22,2.2922,2.2922,2.2922,2.2922,1.001,258560.0,0.0,1.0
2000-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-27,2.3117,2.3117,2.3117,2.3117,1.0095,221755.0,0.0,1.0
2000-12-28,2.2922,2.2922,2.2922,2.2922,1.001,40420.0,0.0,1.0
2000-12-29,2.341,2.3507,2.341,2.3507,1.0265,24810.0,0.0,1.0
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-02,2.3439,2.3439,2.341,2.341,1.0223,1948.0,0.0,1.0
2001-01-03,2.2922,2.2922,2.2922,2.2922,1.001,37933.0,0.0,1.0
2001-01-04,2.3458,2.3897,2.341,2.3897,1.0436,176837.0,0.0,1.0
2001-01-05,2.341,2.341,2.341,2.341,1.0223,22145.0,0.0,1.0
2001-01-08,2.3507,2.3507,2.3507,2.3507,1.0265,4613.0,0.0,1.0
2001-01-09,2.3507,2.3507,2.3507,2.3507,1.0265,689563.0,0.0,1.0
2001-01-10,2.3507,2.3507,2.3507,2.3507,1.0265,14814.0,0.0,1.0
2001-01-11,2.3507,2.3507,2.341,2.341,1.0223,428083.0,0.0,1.0
2001-01-12,2.3507,2.3507,2.341,2.3507,1.0265,24148.0,0.0,1.0
2001-01-15,2.3507,2.3605,2.3507,2.3605,1.0308,15378.0,0.0,1.0
2001-01-16,2.3507,2.3507,2.3507,2.3507,1.0265,190927.0,0.0,1.0
2001-01-17,2.3507,2.3507,2.3507,2.3507,1.0265,48038.0,0.0,1.0
2001-01-18,2.3722,2.3722,2.3507,2.3507,1.0265,2609.0,0.0,1.0
2001-01-19,2.3507,2.3897,2.3507,2.3897,1.0436,23898.0,0.0,1.0
2001-01-22,2.3507,2.3507,2.3507,2.3507,1.0265,643.0,0.0,1.0
2001-01-23,2.3605,2.3605,2.3605,2.3605,1.0308,146347.0,0.0,1.0
2001-01-24,2.3605,2.3605,2.341,2.341,1.0223,4408.0,0.0,1.0
2001-01-25,2.341,2.3605,2.341,2.3605,1.0308,54744.0,0.0,1.0
