date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-12-12,1.9,1.9,1.9,1.9,0.7141,0.0,0.0,1.0
2000-12-13,1.662,1.7,1.41,1.43,0.5374,6983017.0,0.0,1.0
2000-12-14,1.45,1.61,1.41,1.6,0.6013,1845383.0,0.0,1.0
2000-12-15,1.61,1.61,1.51,1.54,0.5788,712749.0,0.0,1.0
2000-12-18,1.52,1.53,1.48,1.51,0.5675,371289.0,0.0,1.0
2000-12-19,1.54,1.59,1.52,1.57,0.5901,417658.0,0.0,1.0
2000-12-20,1.59,1.65,1.58,1.6,0.6013,358881.0,0.0,1.0
2000-12-21,1.58,1.58,1.52,1.57,0.5901,327573.0,0.0,1.0
2000-12-22,1.6,1.62,1.55,1.59,0.5976,120573.0,0.0,1.0
2000-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-12-27,1.59,1.59,1.55,1.58,0.5938,67837.0,0.0,1.0
2000-12-28,1.55,1.57,1.53,1.57,0.5901,63149.0,0.0,1.0
2000-12-29,1.55,1.55,1.53,1.53,0.575,53048.0,0.0,1.0
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-02,1.55,1.55,1.52,1.55,0.5825,131040.0,0.0,1.0
2001-01-03,1.54,1.54,1.5,1.5,0.5637,87844.0,0.0,1.0
2001-01-04,1.54,1.57,1.5,1.51,0.5675,115928.0,0.0,1.0
2001-01-05,1.52,1.52,1.49,1.49,0.56,141028.0,0.0,1.0
2001-01-08,1.49,1.49,1.43,1.43,0.5374,228832.0,0.0,1.0
2001-01-09,1.43,1.43,1.31,1.4,0.5262,240745.0,0.0,1.0
2001-01-10,1.4,1.4,1.2,1.3,0.4886,320256.0,0.0,1.0
2001-01-11,1.3,1.37,1.3,1.34,0.5036,143493.0,0.0,1.0
2001-01-12,1.35,1.36,1.31,1.34,0.5036,102521.0,0.0,1.0
2001-01-15,1.32,1.32,1.25,1.25,0.4698,276227.0,0.0,1.0
2001-01-16,1.233,1.233,1.1,1.21,0.4548,258568.0,0.0,1.0
2001-01-17,1.21,1.28,1.2,1.27,0.4773,97842.0,0.0,1.0
2001-01-18,1.3,1.42,1.3,1.37,0.5149,175775.0,0.0,1.0
2001-01-19,1.38,1.5,1.38,1.5,0.5637,193323.0,0.0,1.0
2001-01-22,1.52,1.57,1.52,1.53,0.575,255524.0,0.0,1.0
2001-01-23,1.5,1.55,1.48,1.55,0.5825,167765.0,0.0,1.0
2001-01-24,1.55,1.57,1.55,1.57,0.5901,292014.0,0.0,1.0
2001-01-25,1.56,1.59,1.55,1.59,0.5976,82120.0,0.0,1.0
2001-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-01-29,1.59,1.59,1.54,1.54,0.5788,50762.0,0.0,1.0
2001-01-30,1.575,1.59,1.55,1.57,0.5901,58099.0,0.0,1.0
2001-01-31,1.6,1.6,1.55,1.56,0.5863,215396.0,0.0,1.0
2001-02-01,1.55,1.55,1.45,1.47,0.5525,176576.0,0.0,1.0
2001-02-02,1.45,1.45,1.41,1.45,0.545,134073.0,0.0,1.0
2001-02-05,1.46,1.46,1.4,1.4,0.5262,122726.0,0.0,1.0
2001-02-06,1.47,1.47,1.41,1.46,0.5487,158827.0,0.0,1.0
2001-02-07,1.514,1.514,1.4,1.4,0.5262,127077.0,0.0,1.0
2001-02-08,1.41,1.48,1.41,1.45,0.545,85807.0,0.0,1.0
2001-02-09,1.42,1.44,1.41,1.41,0.5299,41619.0,0.0,1.0
2001-02-12,1.41,1.41,1.33,1.37,0.5149,141620.0,0.0,1.0
2001-02-13,1.34,1.38,1.33,1.35,0.5074,159907.0,0.0,1.0
2001-02-14,1.34,1.34,1.3,1.34,0.5036,100069.0,0.0,1.0
2001-02-15,1.343,1.35,1.34,1.34,0.5036,349532.0,0.0,1.0
2001-02-16,1.34,1.4,1.33,1.38,0.5186,52878.0,0.0,1.0
2001-02-19,1.373,1.373,1.32,1.34,0.5036,372435.0,0.0,1.0
2001-02-20,1.33,1.34,1.32,1.334,0.5014,39850.0,0.0,1.0
2001-02-21,1.33,1.34,1.31,1.34,0.5036,64789.0,0.0,1.0
2001-02-22,1.31,1.31,1.3,1.3,0.4886,91562.0,0.0,1.0
2001-02-23,1.32,1.33,1.3,1.31,0.4923,111556.0,0.0,1.0
2001-02-26,1.28,1.28,1.21,1.21,0.4548,86180.0,0.0,1.0
2001-02-27,1.25,1.25,1.21,1.24,0.466,121721.0,0.0,1.0
2001-02-28,1.23,1.24,1.15,1.2,0.451,280964.0,0.0,1.0
2001-03-01,1.2,1.2,1.16,1.16,0.436,55606.0,0.0,1.0
2001-03-02,1.2,1.25,1.2,1.22,0.4585,186323.0,0.0,1.0
2001-03-05,1.23,1.29,1.23,1.29,0.4878,23229.0,0.0,1.0
2001-03-06,1.29,1.4,1.29,1.4,0.5294,33625.0,0.0,1.0
2001-03-07,1.4,1.4,1.34,1.35,0.5105,23323.0,0.0,1.0
2001-03-08,1.32,1.32,1.28,1.28,0.484,28865.0,0.0,1.0
2001-03-09,1.28,1.3,1.26,1.26,0.4765,45470.0,0.0,1.0
2001-03-12,1.22,1.22,1.2,1.2,0.4538,74823.0,0.0,1.0
2001-03-13,1.2,1.2,1.15,1.16,0.4387,110586.0,0.0,1.0
2001-03-14,1.15,1.18,1.15,1.16,0.4387,130867.0,0.0,1.0
2001-03-15,1.16,1.16,1.15,1.16,0.4387,140935.0,0.0,1.0
2001-03-16,1.16,1.19,1.15,1.16,0.4387,27000.0,0.0,1.0
2001-03-19,1.15,1.15,1.1,1.1,0.416,64310.0,0.0,1.0
2001-03-20,1.1,1.13,1.05,1.09,0.4122,162359.0,0.0,1.0
2001-03-21,1.1,1.1,1.03,1.05,0.3971,34563.0,0.0,1.0
2001-03-22,1.05,1.07,0.95,0.95,0.3592,139904.0,0.0,1.0
2001-03-23,0.95,0.96,0.93,0.95,0.3592,184804.0,0.0,1.0
2001-03-26,0.95,1.0,0.95,1.0,0.3782,53736.0,0.0,1.0
2001-03-27,0.999,0.999,0.95,0.95,0.3592,29059.0,0.0,1.0
2001-03-28,0.95,1.01,0.95,1.01,0.3819,31855.0,0.0,1.0
2001-03-29,1.0,1.0,0.95,0.95,0.3592,73641.0,0.0,1.0
2001-03-30,0.95,1.0,0.94,1.0,0.3782,222722.0,0.0,1.0
2001-04-02,0.96,0.96,0.92,0.92,0.3479,15264.0,0.0,1.0
2001-04-03,0.96,0.98,0.95,0.96,0.363,55228.0,0.0,1.0
2001-04-04,0.954,0.97,0.91,0.91,0.3441,223044.0,0.0,1.0
2001-04-05,0.91,0.95,0.91,0.93,0.3517,20733.0,0.0,1.0
2001-04-06,0.95,0.99,0.91,0.91,0.3441,75209.0,0.0,1.0
2001-04-09,0.91,0.92,0.9,0.92,0.3479,23529.0,0.0,1.0
2001-04-10,0.92,0.92,0.9,0.9,0.3403,31763.0,0.0,1.0
2001-04-11,0.92,0.97,0.92,0.94,0.3555,52300.0,0.0,1.0
2001-04-12,0.95,0.97,0.9,0.9,0.3403,79383.0,0.0,1.0
2001-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-04-17,0.94,0.95,0.92,0.95,0.3592,669000.0,0.0,1.0
2001-04-18,0.973,1.15,0.973,1.15,0.4349,73796.0,0.0,1.0
2001-04-19,1.21,1.28,1.21,1.24,0.4689,368292.0,0.0,1.0
2001-04-20,1.24,1.24,1.2,1.22,0.4614,41315.0,0.0,1.0
2001-04-23,1.2,1.2,1.16,1.2,0.4538,49605.0,0.0,1.0
2001-04-24,1.17,1.17,1.05,1.05,0.3971,72382.0,0.0,1.0
2001-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-04-26,1.058,1.15,1.058,1.1,0.416,80410.0,0.0,1.0
2001-04-27,1.1,1.12,1.03,1.07,0.4046,187867.0,0.0,1.0
2001-04-30,1.07,1.07,1.05,1.07,0.4046,79952.0,0.0,1.0
2001-05-01,1.07,1.07,1.07,1.07,0.4046,198307.0,0.0,1.0
