date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-06-05,2.45,2.51,2.41,2.43,2.2294,23144325.0,0.0,1.0
2014-06-06,2.41,2.42,2.35,2.36,2.1652,6074732.0,0.0,1.0
2014-06-10,2.37,2.37,2.31,2.33,2.1377,3063583.0,0.0,1.0
2014-06-11,2.32,2.33,2.31,2.33,2.1377,1695506.0,0.0,1.0
2014-06-12,2.32,2.35,2.31,2.33,2.1377,1179659.0,0.0,1.0
2014-06-13,2.32,2.37,2.31,2.37,2.1744,410350.0,0.0,1.0
2014-06-16,2.39,2.39,2.34,2.35,2.156,2595881.0,0.0,1.0
2014-06-17,2.37,2.37,2.35,2.36,2.1652,1774654.0,0.0,1.0
2014-06-18,2.35,2.39,2.35,2.35,2.156,349545.0,0.0,1.0
2014-06-19,2.35,2.36,2.31,2.35,2.156,546962.0,0.0,1.0
2014-06-20,2.31,2.35,2.31,2.35,2.156,558739.0,0.0,1.0
2014-06-23,2.31,2.34,2.3,2.33,2.1377,69256.0,0.0,1.0
2014-06-24,2.34,2.35,2.33,2.34,2.1468,84908.0,0.0,1.0
2014-06-25,2.35,2.37,2.35,2.37,2.1744,269999.0,0.0,1.0
2014-06-26,2.37,2.39,2.37,2.38,2.1835,114019.0,0.0,1.0
2014-06-27,2.38,2.38,2.37,2.38,2.1835,398127.0,0.0,1.0
2014-06-30,2.38,2.4,2.35,2.36,2.1652,74503.0,0.0,1.0
2014-07-01,2.35,2.35,2.33,2.33,2.1377,208844.0,0.0,1.0
2014-07-02,2.35,2.36,2.32,2.35,2.156,135355.0,0.0,1.0
2014-07-03,2.34,2.38,2.34,2.38,2.1835,485296.0,0.0,1.0
2014-07-04,2.38,2.38,2.31,2.37,2.1744,187869.0,0.0,1.0
2014-07-07,2.38,2.38,2.35,2.35,2.156,12100.0,0.0,1.0
2014-07-08,2.35,2.37,2.35,2.36,2.1652,172303.0,0.0,1.0
2014-07-09,2.37,2.39,2.37,2.39,2.1927,451396.0,0.0,1.0
2014-07-10,2.39,2.4,2.37,2.38,2.1835,279533.0,0.0,1.0
2014-07-11,2.36,2.38,2.35,2.36,2.1652,314724.0,0.0,1.0
2014-07-14,2.33,2.36,2.32,2.32,2.1285,35758.0,0.0,1.0
2014-07-15,2.35,2.385,2.34,2.35,2.156,343869.0,0.0,1.0
2014-07-16,2.38,2.39,2.36,2.37,2.1744,280501.0,0.0,1.0
2014-07-17,2.37,2.44,2.37,2.4,2.2019,1342118.0,0.0,1.0
2014-07-18,2.39,2.45,2.37,2.42,2.2202,187744.0,0.0,1.0
2014-07-21,2.47,2.5,2.4,2.4,2.2019,455490.0,0.0,1.0
2014-07-22,2.4,2.42,2.39,2.41,2.2111,513427.0,0.0,1.0
2014-07-23,2.41,2.45,2.4,2.45,2.2478,80660.0,0.0,1.0
2014-07-24,2.44,2.55,2.42,2.52,2.312,229505.0,0.0,1.0
2014-07-25,2.52,2.6,2.45,2.52,2.312,180891.0,0.0,1.0
2014-07-28,2.52,2.52,2.46,2.46,2.2569,51486.0,0.0,1.0
2014-07-29,2.46,2.48,2.44,2.48,2.2753,493956.0,0.0,1.0
2014-07-30,2.48,2.55,2.47,2.48,2.2753,45587.0,0.0,1.0
2014-07-31,2.6,2.6,2.46,2.49,2.2845,89942.0,0.0,1.0
2014-08-01,2.45,2.46,2.42,2.44,2.2386,70143.0,0.0,1.0
2014-08-04,2.44,2.44,2.44,2.44,2.2386,1456.0,0.0,1.0
2014-08-05,2.44,2.46,2.43,2.45,2.2478,131746.0,0.0,1.0
2014-08-06,2.45,2.45,2.42,2.45,2.2478,13765.0,0.0,1.0
2014-08-07,2.45,2.49,2.44,2.47,2.2661,391462.0,0.0,1.0
2014-08-08,2.47,2.47,2.44,2.44,2.2386,425867.0,0.0,1.0
2014-08-11,2.44,2.5,2.44,2.48,2.2753,9122.0,0.0,1.0
2014-08-12,2.47,2.49,2.46,2.49,2.2845,46352.0,0.0,1.0
2014-08-13,2.49,2.5,2.48,2.5,2.2936,41109.0,0.0,1.0
2014-08-14,2.5,2.5,2.5,2.5,2.2936,7369.0,0.0,1.0
2014-08-15,2.5,2.5,2.48,2.5,2.2936,18652.0,0.0,1.0
2014-08-18,2.47,2.55,2.47,2.53,2.3212,20148.0,0.0,1.0
2014-08-19,2.49,2.5,2.48,2.5,2.2936,47982.0,0.0,1.0
2014-08-20,2.5,2.5,2.48,2.5,2.2936,8977.0,0.0,1.0
2014-08-21,2.5,2.5,2.48,2.49,2.2845,66547.0,0.0,1.0
2014-08-22,2.49,2.6,2.47,2.48,2.2753,139885.0,0.0,1.0
2014-08-25,2.48,2.5,2.48,2.5,2.2936,7231.0,0.0,1.0
2014-08-26,2.5,2.53,2.45,2.49,2.2845,54250.0,0.0,1.0
2014-08-27,2.53,2.65,2.53,2.64,2.4221,195224.0,0.0,1.0
2014-08-28,2.65,2.67,2.6,2.63,2.4129,47516.0,0.0,1.0
2014-08-29,2.62,2.62,2.54,2.59,2.3762,205467.0,0.0,1.0
2014-09-01,2.57,2.67,2.57,2.59,2.3762,188956.0,0.0,1.0
2014-09-02,2.6,2.64,2.58,2.64,2.4221,369895.0,0.0,1.0
2014-09-03,2.64,2.75,2.62,2.72,2.4955,319036.0,0.0,1.0
2014-09-04,2.74,2.85,2.68,2.84,2.6056,976408.0,0.0,1.0
2014-09-05,2.85,2.99,2.8,2.92,2.679,220268.0,0.0,1.0
2014-09-08,2.95,2.95,2.83,2.83,2.5964,45931.0,0.0,1.0
2014-09-09,2.88,2.9,2.8,2.85,2.6147,30508.0,0.0,1.0
2014-09-10,2.85,2.94,2.84,2.92,2.679,127949.0,0.0,1.0
2014-09-11,2.91,2.95,2.89,2.9,2.6606,37407.0,0.0,1.0
2014-09-12,2.89,2.9,2.79,2.9,2.6606,112290.0,0.0,1.0
2014-09-15,2.9,2.9,2.84,2.88,2.6423,601094.0,0.0,1.0
2014-09-16,2.88,2.95,2.86,2.95,2.7065,278454.0,0.0,1.0
2014-09-17,2.93,2.965,2.9,2.96,2.7157,539639.0,0.0,1.0
2014-09-18,2.96,2.96,2.9,2.93,2.6881,181238.0,0.0,1.0
2014-09-19,2.94,3.14,2.93,2.99,2.7432,6351427.0,0.0,1.0
2014-09-22,3.0,3.03,2.95,3.0,2.7524,1114964.0,0.0,1.0
2014-09-23,3.0,3.105,2.98,3.0,2.7524,1677270.0,0.0,1.0
2014-09-24,3.01,3.05,2.97,3.0,2.7524,176135.0,0.0,1.0
2014-09-25,3.0,3.01,2.94,3.0,2.7524,500349.0,0.0,1.0
2014-09-26,2.95,3.025,2.89,2.95,2.7065,132858.0,0.0,1.0
2014-09-29,2.96,2.99,2.87,2.95,2.7065,116897.0,0.0,1.0
2014-09-30,3.0,3.0,2.91,2.94,2.6973,82921.0,0.0,1.0
2014-10-01,2.94,3.1,2.93,3.08,2.8258,122956.0,0.0,1.0
2014-10-02,3.07,3.07,2.96,3.0,2.7524,66274.0,0.0,1.0
2014-10-03,2.99,2.99,2.93,2.93,2.6881,51799.0,0.0,1.0
2014-10-06,2.99,3.05,2.89,3.05,2.7982,74063.0,0.0,1.0
2014-10-07,3.05,3.05,2.95,3.0,2.7524,57891.0,0.0,1.0
2014-10-08,2.99,3.0,2.95,2.98,2.734,36663.0,0.0,1.0
2014-10-09,2.95,3.0,2.95,3.0,2.7524,153528.0,0.0,1.0
2014-10-10,2.95,3.0,2.91,2.92,2.679,16962.0,0.0,1.0
2014-10-13,2.92,2.99,2.82,2.87,2.6331,331819.0,0.0,1.0
