date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-06-24,1.76,1.78,1.55,1.56,1.4637,29200865.0,0.0,1.0
2013-06-25,1.49,1.59,1.48,1.525,1.4308,5347732.0,0.0,1.0
2013-06-26,1.535,1.58,1.53,1.56,1.4637,1930537.0,0.0,1.0
2013-06-27,1.55,1.69,1.55,1.66,1.5575,3631024.0,0.0,1.0
2013-06-28,1.68,1.72,1.68,1.7,1.595,2812684.0,0.0,1.0
2013-07-01,1.675,1.69,1.65,1.65,1.5481,884397.0,0.0,1.0
2013-07-02,1.65,1.65,1.595,1.63,1.5294,420845.0,0.0,1.0
2013-07-03,1.6,1.645,1.6,1.64,1.5388,284497.0,0.0,1.0
2013-07-04,1.64,1.665,1.62,1.625,1.5247,647308.0,0.0,1.0
2013-07-05,1.63,1.635,1.607,1.61,1.5106,186981.0,0.0,1.0
2013-07-08,1.6,1.61,1.585,1.59,1.4918,963906.0,0.0,1.0
2013-07-09,1.6,1.6,1.57,1.59,1.4918,66953.0,0.0,1.0
2013-07-10,1.595,1.62,1.57,1.6,1.5012,453815.0,0.0,1.0
2013-07-11,1.6,1.65,1.6,1.62,1.52,954674.0,0.0,1.0
2013-07-12,1.63,1.635,1.6,1.62,1.52,510901.0,0.0,1.0
2013-07-15,1.6,1.635,1.6,1.635,1.5341,124997.0,0.0,1.0
2013-07-16,1.6,1.62,1.6,1.62,1.52,1246777.0,0.0,1.0
2013-07-17,1.61,1.63,1.58,1.63,1.5294,139878.0,0.0,1.0
2013-07-18,1.62,1.635,1.585,1.6,1.5012,604044.0,0.0,1.0
2013-07-19,1.605,1.625,1.58,1.6,1.5012,130385.0,0.0,1.0
2013-07-22,1.635,1.635,1.6,1.61,1.5106,1363040.0,0.0,1.0
2013-07-23,1.6,1.62,1.6,1.6,1.5012,229898.0,0.0,1.0
2013-07-24,1.6,1.625,1.6,1.6,1.5012,589717.0,0.0,1.0
2013-07-25,1.6,1.61,1.58,1.585,1.4871,488773.0,0.0,1.0
2013-07-26,1.585,1.59,1.575,1.58,1.4825,393404.0,0.0,1.0
2013-07-29,1.58,1.59,1.565,1.575,1.4778,213132.0,0.0,1.0
2013-07-30,1.58,1.6,1.58,1.6,1.5012,152601.0,0.0,1.0
2013-07-31,1.585,1.63,1.58,1.6,1.5012,322519.0,0.0,1.0
2013-08-01,1.61,1.62,1.55,1.6,1.5012,853241.0,0.0,1.0
2013-08-02,1.6,1.63,1.6,1.63,1.5294,173712.0,0.0,1.0
2013-08-05,1.63,1.65,1.625,1.645,1.5434,295001.0,0.0,1.0
2013-08-06,1.645,1.69,1.645,1.66,1.5575,326725.0,0.0,1.0
2013-08-07,1.655,1.66,1.63,1.64,1.5388,495564.0,0.0,1.0
2013-08-08,1.645,1.645,1.645,1.645,1.5434,122660.0,0.0,1.0
2013-08-09,1.65,1.67,1.63,1.65,1.5481,1044839.0,0.0,1.0
2013-08-12,1.69,1.69,1.64,1.65,1.5481,111529.0,0.0,1.0
2013-08-13,1.67,1.76,1.67,1.715,1.6091,577520.0,0.0,1.0
2013-08-14,1.71,1.74,1.71,1.71,1.6044,548421.0,0.0,1.0
2013-08-15,1.72,1.77,1.72,1.77,1.6607,2126215.0,0.0,1.0
2013-08-16,1.73,1.78,1.72,1.775,1.6654,60859.0,0.0,1.0
2013-08-19,1.77,1.85,1.77,1.795,1.6842,1859786.0,0.0,1.0
2013-08-20,1.79,1.8,1.76,1.78,1.6701,114583.0,0.0,1.0
2013-08-21,1.785,1.8,1.78,1.795,1.6842,97501.0,0.0,1.0
2013-08-22,1.79,1.8,1.78,1.79,1.6795,252579.0,0.0,1.0
2013-08-23,1.795,1.795,1.78,1.78,1.6701,620547.0,0.0,1.0
2013-08-26,1.76,1.78,1.76,1.78,1.6701,484312.0,0.0,1.0
2013-08-27,1.78,1.78,1.76,1.76,1.6513,67692.0,0.0,1.0
2013-08-28,1.795,1.795,1.725,1.725,1.6185,196582.0,0.0,1.0
2013-08-29,1.745,1.7525,1.59,1.62,1.52,244189.0,0.0,1.0
2013-08-30,1.5,1.51,1.395,1.42,1.3323,923182.0,0.0,1.0
2013-09-02,1.43,1.435,1.355,1.4,1.3136,7748856.0,0.0,1.0
2013-09-03,1.425,1.425,1.34,1.375,1.2901,552771.0,0.0,1.0
2013-09-04,1.375,1.395,1.345,1.35,1.2667,238848.0,0.0,1.0
2013-09-05,1.38,1.4,1.3,1.4,1.3136,739065.0,0.0,1.0
2013-09-06,1.41,1.455,1.39,1.455,1.3652,1604032.0,0.0,1.0
2013-09-09,1.455,1.465,1.435,1.44,1.3511,105402.0,0.0,1.0
2013-09-10,1.44,1.44,1.385,1.4,1.3136,812947.0,0.0,1.0
2013-09-11,1.4,1.43,1.38,1.4,1.3136,919753.0,0.0,1.0
2013-09-12,1.4,1.4,1.36,1.39,1.3042,44779.0,0.0,1.0
2013-09-13,1.4,1.425,1.355,1.405,1.3183,834649.0,0.0,1.0
2013-09-16,1.4,1.41,1.34,1.345,1.262,559841.0,0.0,1.0
2013-09-17,1.34,1.355,1.305,1.305,1.2244,783481.0,0.0,1.0
2013-09-18,1.305,1.305,1.255,1.29,1.2104,3617637.0,0.0,1.0
2013-09-19,1.26,1.275,1.245,1.25,1.1728,1800181.0,0.0,1.0
2013-09-20,1.24,1.325,1.24,1.325,1.2432,5354500.0,0.0,1.0
2013-09-23,1.32,1.32,1.27,1.285,1.2057,78741.0,0.0,1.0
2013-09-24,1.26,1.295,1.26,1.27,1.1916,672629.0,0.0,1.0
2013-09-25,1.257,1.29,1.255,1.27,1.1916,107573.0,0.0,1.0
2013-09-26,1.275,1.29,1.26,1.27,1.1916,136041.0,0.0,1.0
2013-09-27,1.29,1.3,1.27,1.29,1.2104,185733.0,0.0,1.0
2013-09-30,1.29,1.29,1.25,1.26,1.1822,100010.0,0.0,1.0
2013-10-01,1.255,1.265,1.215,1.25,1.1728,5161793.0,0.0,1.0
2013-10-02,1.25,1.3,1.25,1.255,1.1775,128851.0,0.0,1.0
2013-10-03,1.25,1.33,1.25,1.295,1.215,1437558.0,0.0,1.0
2013-10-04,1.3,1.35,1.28,1.305,1.2244,306664.0,0.0,1.0
2013-10-07,1.305,1.33,1.26,1.28,1.201,74383.0,0.0,1.0
2013-10-08,1.24,1.24,1.21,1.225,1.1494,68671.0,0.0,1.0
2013-10-09,1.2,1.295,1.195,1.2,1.1259,400679.0,0.0,1.0
2013-10-10,1.26,1.26,1.245,1.26,1.1822,6492732.0,0.0,1.0
2013-10-11,1.26,1.29,1.235,1.26,1.1822,243776.0,0.0,1.0
2013-10-14,1.26,1.37,1.26,1.365,1.2807,639650.0,0.0,1.0
2013-10-15,1.37,1.37,1.33,1.35,1.2667,267636.0,0.0,1.0
2013-10-16,1.345,1.35,1.33,1.35,1.2667,256260.0,0.0,1.0
2013-10-17,1.35,1.35,1.315,1.33,1.2479,145313.0,0.0,1.0
2013-10-18,1.33,1.33,1.3,1.305,1.2244,32234.0,0.0,1.0
2013-10-21,1.32,1.33,1.305,1.305,1.2244,116718.0,0.0,1.0
2013-10-22,1.3,1.325,1.3,1.325,1.2432,158420.0,0.0,1.0
2013-10-23,1.325,1.37,1.325,1.35,1.2667,163970.0,0.0,1.0
2013-10-24,1.35,1.39,1.35,1.38,1.2948,162467.0,0.0,1.0
2013-10-25,1.37,1.37,1.35,1.37,1.2854,76505.0,0.0,1.0
2013-10-28,1.4,1.4,1.365,1.4,1.3136,503790.0,0.0,1.0
2013-10-29,1.37,1.39,1.37,1.385,1.2995,687844.0,0.0,1.0
2013-10-30,1.37,1.38,1.37,1.375,1.2901,15132.0,0.0,1.0
2013-10-31,1.37,1.37,1.31,1.31,1.2291,239481.0,0.0,1.0
2013-11-01,1.32,1.37,1.3,1.37,1.2854,229568.0,0.0,1.0
2013-11-04,1.345,1.35,1.32,1.33,1.2479,20432.0,0.0,1.0
2013-11-05,1.3,1.35,1.295,1.315,1.2338,119452.0,0.0,1.0
2013-11-06,1.31,1.35,1.295,1.295,1.215,8138.0,0.0,1.0
2013-11-07,1.32,1.32,1.28,1.28,1.201,449725.0,0.0,1.0
2013-11-08,1.3,1.32,1.26,1.275,1.1963,455642.0,0.0,1.0
2013-11-11,1.28,1.3,1.265,1.265,1.1869,119527.0,0.0,1.0
2013-11-12,1.28,1.28,1.25,1.25,1.1728,1121962.0,0.0,1.0
2013-11-13,1.25,1.26,1.23,1.23,1.1541,152171.0,0.0,1.0
2013-11-14,1.245,1.245,1.19,1.19,1.1165,249400.0,0.0,1.0
2013-11-15,1.24,1.24,1.19,1.2,1.1259,406677.0,0.0,1.0
2013-11-18,1.22,1.25,1.2,1.2,1.1259,133617.0,0.0,1.0
2013-11-19,1.21,1.245,1.2,1.2,1.1259,117252.0,0.0,1.0
2013-11-20,1.23,1.23,1.2,1.2,1.1259,14863.0,0.0,1.0
2013-11-21,1.2,1.21,1.2,1.2,1.1259,460913.0,0.0,1.0
2013-11-22,1.22,1.225,1.165,1.165,1.0931,226518.0,0.0,1.0
2013-11-25,1.23,1.23,1.15,1.15,1.079,75329.0,0.0,1.0
2013-11-26,1.17,1.175,1.11,1.16,1.0884,435059.0,0.0,1.0
2013-11-27,1.15,1.15,1.07,1.11,1.0415,567653.0,0.0,1.0
2013-11-28,1.11,1.22,1.11,1.15,1.079,3203927.0,0.0,1.0
2013-11-29,1.17,1.22,1.17,1.22,1.1447,250697.0,0.0,1.0
2013-12-02,1.2,1.255,1.2,1.255,1.1775,375385.0,0.0,1.0
2013-12-03,1.25,1.27,1.24,1.25,1.1728,1225508.0,0.0,1.0
2013-12-04,1.255,1.295,1.25,1.26,1.1822,453974.0,0.0,1.0
2013-12-05,1.28,1.285,1.26,1.28,1.201,251714.0,0.0,1.0
2013-12-06,1.28,1.332,1.28,1.285,1.2057,1458244.0,0.0,1.0
2013-12-09,1.305,1.35,1.275,1.33,1.2479,874329.0,0.0,1.0
2013-12-10,1.32,1.35,1.25,1.29,1.2104,6045121.0,0.0,1.0
2013-12-11,1.3,1.32,1.3,1.32,1.2385,186358.0,0.0,1.0
2013-12-12,1.3,1.34,1.3,1.32,1.2385,4963816.0,0.0,1.0
2013-12-13,1.32,1.33,1.32,1.325,1.2432,165843.0,0.0,1.0
2013-12-16,1.325,1.34,1.325,1.34,1.2573,20735.0,0.0,1.0
2013-12-17,1.33,1.345,1.325,1.325,1.2432,39151.0,0.0,1.0
2013-12-18,1.33,1.37,1.31,1.35,1.2667,447687.0,0.0,1.0
2013-12-19,1.35,1.37,1.35,1.36,1.276,152672.0,0.0,1.0
2013-12-20,1.35,1.385,1.35,1.385,1.2995,100761.0,0.0,1.0
2013-12-23,1.39,1.42,1.365,1.42,1.3323,246656.0,0.0,1.0
2013-12-24,1.35,1.4,1.35,1.37,1.2854,13313.0,0.0,1.0
2013-12-27,1.38,1.42,1.38,1.42,1.3323,3984.0,0.0,1.0
2013-12-30,1.38,1.45,1.38,1.45,1.3605,60507.0,0.0,1.0
2013-12-31,1.45,1.45,1.42,1.445,1.3558,27728.0,0.0,1.0
2014-01-02,1.42,1.43,1.365,1.43,1.3417,69071.0,0.0,1.0
2014-01-03,1.36,1.39,1.355,1.38,1.2948,13247.0,0.0,1.0
2014-01-06,1.395,1.43,1.375,1.38,1.2948,14843.0,0.0,1.0
2014-01-07,1.4,1.405,1.36,1.405,1.3183,85241.0,0.0,1.0
2014-01-08,1.43,1.43,1.395,1.405,1.3183,322.0,0.0,1.0
2014-01-09,1.43,1.43,1.365,1.4,1.3136,14015.0,0.0,1.0
2014-01-10,1.395,1.4,1.33,1.36,1.276,115768.0,0.0,1.0
2014-01-13,1.355,1.395,1.335,1.395,1.3089,30534.0,0.0,1.0
2014-01-14,1.4,1.4,1.335,1.4,1.3136,136606.0,0.0,1.0
2014-01-15,1.39,1.4125,1.375,1.4,1.3136,887131.0,0.0,1.0
2014-01-16,1.425,1.435,1.4,1.405,1.3183,16452.0,0.0,1.0
2014-01-17,1.405,1.45,1.4,1.445,1.3558,61431.0,0.0,1.0
2014-01-20,1.445,1.45,1.42,1.45,1.3605,225063.0,0.0,1.0
2014-01-21,1.43,1.445,1.415,1.43,1.3417,136007.0,0.0,1.0
2014-01-22,1.44,1.45,1.41,1.45,1.3605,13837.0,0.0,1.0
2014-01-23,1.445,1.45,1.4,1.4,1.3136,453557.0,0.0,1.0
2014-01-24,1.4,1.415,1.4,1.41,1.3229,61788.0,0.0,1.0
2014-01-28,1.39,1.42,1.375,1.4,1.3136,96533.0,0.0,1.0
2014-01-29,1.39,1.405,1.38,1.39,1.3042,29600.0,0.0,1.0
2014-01-30,1.39,1.41,1.39,1.4,1.3136,73911.0,0.0,1.0
2014-01-31,1.39,1.4,1.305,1.385,1.2995,199323.0,0.0,1.0
2014-02-03,1.35,1.355,1.305,1.305,1.2244,47463.0,0.0,1.0
2014-02-04,1.28,1.37,1.28,1.335,1.2526,251162.0,0.0,1.0
2014-02-05,1.345,1.39,1.34,1.35,1.2667,148907.0,0.0,1.0
2014-02-06,1.3,1.39,1.3,1.355,1.2713,12578.0,0.0,1.0
2014-02-07,1.35,1.37,1.3,1.35,1.2667,142188.0,0.0,1.0
2014-02-10,1.33,1.33,1.2,1.23,1.1541,39913.0,0.0,1.0
2014-02-11,1.28,1.285,1.25,1.275,1.1963,279009.0,0.0,1.0
2014-02-12,1.28,1.2875,1.275,1.28,1.201,68259.0,0.0,1.0
