date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-12-03,1.85,1.85,1.85,1.85,1.0389,0.0,0.0,1.0
2003-12-04,1.89,1.9,1.87,1.88,1.0558,11205353.0,0.0,1.0
2003-12-05,1.89,1.93,1.89,1.9,1.067,6600242.0,0.0,1.0
2003-12-08,1.92,1.97,1.91,1.97,1.1063,2796469.0,0.0,1.0
2003-12-09,1.96,1.99,1.96,1.98,1.1119,1484233.0,0.0,1.0
2003-12-10,1.99,2.02,1.99,2.0,1.1231,1028306.0,0.0,1.0
2003-12-11,2.01,2.05,2.01,2.02,1.1344,665872.0,0.0,1.0
2003-12-12,2.03,2.04,2.02,2.02,1.1344,713550.0,0.0,1.0
2003-12-15,2.03,2.07,2.03,2.05,1.1512,948670.0,0.0,1.0
2003-12-16,2.05,2.06,2.01,2.01,1.1288,526630.0,0.0,1.0
2003-12-17,2.02,2.04,1.99,2.0,1.1231,668363.0,0.0,1.0
2003-12-18,2.0,2.02,1.99,2.0,1.1231,885692.0,0.0,1.0
2003-12-19,2.02,2.02,2.0,2.02,1.1344,315925.0,0.0,1.0
2003-12-22,2.03,2.04,2.02,2.04,1.1456,362200.0,0.0,1.0
2003-12-23,2.05,2.08,2.04,2.07,1.1625,325676.0,0.0,1.0
2003-12-24,2.09,2.11,2.05,2.08,1.1681,496702.0,0.0,1.0
2003-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-29,2.08,2.1,2.08,2.09,1.1737,172388.0,0.0,1.0
2003-12-30,2.1,2.13,2.09,2.11,1.1849,282087.0,0.0,1.0
2003-12-31,2.12,2.14,2.12,2.14,1.2018,125575.0,0.0,1.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-02,2.14,2.15,2.13,2.14,1.2018,74365.0,0.0,1.0
2004-01-05,2.14,2.15,2.11,2.13,1.1962,258655.0,0.0,1.0
2004-01-06,2.13,2.14,2.12,2.12,1.1905,447191.0,0.0,1.0
2004-01-07,2.12,2.13,2.12,2.13,1.1962,334507.0,0.0,1.0
2004-01-08,2.13,2.16,2.13,2.15,1.2074,332190.0,0.0,1.0
2004-01-09,2.16,2.16,2.14,2.14,1.2018,339528.0,0.0,1.0
2004-01-12,2.16,2.25,2.16,2.17,1.2186,388880.0,0.0,1.0
2004-01-13,2.17,2.21,2.17,2.17,1.2186,271251.0,0.0,1.0
2004-01-14,2.18,2.19,2.18,2.18,1.2242,257289.0,0.0,1.0
2004-01-15,2.19,2.2,2.16,2.17,1.2186,486524.0,0.0,1.0
2004-01-16,2.16,2.17,2.15,2.16,1.213,360500.0,0.0,1.0
2004-01-19,2.17,2.2,2.17,2.18,1.2242,176720.0,0.0,1.0
2004-01-20,2.19,2.21,2.19,2.2,1.2355,325242.0,0.0,1.0
2004-01-21,2.23,2.26,2.23,2.25,1.2635,215575.0,0.0,1.0
2004-01-22,2.27,2.33,2.27,2.29,1.286,739030.0,0.0,1.0
2004-01-23,2.29,2.29,2.25,2.25,1.2635,661944.0,0.0,1.0
2004-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-27,2.27,2.27,2.25,2.25,1.2635,226376.0,0.0,1.0
2004-01-28,2.25,2.27,2.24,2.24,1.2579,231946.0,0.0,1.0
2004-01-29,2.24,2.26,2.24,2.25,1.2635,329252.0,0.0,1.0
2004-01-30,2.25,2.35,2.25,2.32,1.3029,274194.0,0.0,1.0
2004-02-02,2.33,2.36,2.33,2.35,1.3197,363883.0,0.0,1.0
2004-02-03,2.35,2.36,2.32,2.33,1.3085,207015.0,0.0,1.0
2004-02-04,2.34,2.34,2.32,2.33,1.3085,238566.0,0.0,1.0
2004-02-05,2.34,2.35,2.31,2.31,1.2972,228305.0,0.0,1.0
2004-02-06,2.31,2.34,2.3,2.31,1.2972,80158.0,0.0,1.0
2004-02-09,2.32,2.32,2.27,2.29,1.286,185007.0,0.0,1.0
2004-02-10,2.3,2.3,2.24,2.24,1.2579,378867.0,0.0,1.0
2004-02-11,2.25,2.29,2.25,2.26,1.2692,242808.0,0.0,1.0
2004-02-12,2.28,2.29,2.27,2.27,1.2748,265586.0,0.0,1.0
2004-02-13,2.28,2.28,2.25,2.26,1.2692,165443.0,0.0,1.0
2004-02-16,2.26,2.26,2.21,2.21,1.2411,827360.0,0.0,1.0
2004-02-17,2.21,2.29,2.21,2.28,1.2804,143093.0,0.0,1.0
2004-02-18,2.28,2.29,2.26,2.29,1.286,116140.0,0.0,1.0
2004-02-19,2.29,2.3,2.27,2.29,1.286,138811.0,0.0,1.0
2004-02-20,2.29,2.29,2.27,2.29,1.286,183182.0,0.0,1.0
2004-02-23,2.29,2.29,2.27,2.27,1.2748,103023.0,0.0,1.0
2004-02-24,2.27,2.3,2.26,2.26,1.2692,142335.0,0.0,1.0
2004-02-25,2.27,2.28,2.26,2.28,1.2804,180896.0,0.0,1.0
2004-02-26,2.28,2.3,2.27,2.3,1.2916,167573.0,0.0,1.0
2004-02-27,2.3,2.31,2.28,2.28,1.2804,260905.0,0.0,1.0
2004-03-01,2.29,2.3,2.27,2.27,1.2748,126856.0,0.0,1.0
2004-03-02,2.28,2.29,2.28,2.29,1.286,149219.0,0.0,1.0
2004-03-03,2.29,2.3,2.28,2.29,1.286,267417.0,0.0,1.0
2004-03-04,2.29,2.29,2.26,2.28,1.2804,311242.0,0.0,1.0
2004-03-05,2.28,2.3,2.27,2.3,1.2916,651966.0,0.0,1.0
2004-03-08,2.3,2.34,2.3,2.31,1.2972,336146.0,0.0,1.0
2004-03-09,2.31,2.32,2.3,2.3,1.2916,275566.0,0.0,1.0
2004-03-10,2.3,2.3,2.28,2.3,1.2916,299215.0,0.0,1.0
2004-03-11,2.29,2.31,2.28,2.29,1.286,109532.0,0.0,1.0
2004-03-12,2.29,2.3,2.28,2.29,1.286,139647.0,0.0,1.0
2004-03-15,2.29,2.3,2.28,2.28,1.2804,161256.0,0.0,1.0
2004-03-16,2.29,2.29,2.28,2.28,1.2804,116839.0,0.0,1.0
2004-03-17,2.29,2.3,2.28,2.29,1.286,159101.0,0.0,1.0
2004-03-18,2.29,2.29,2.25,2.25,1.2635,1818431.0,0.0,1.0
2004-03-19,2.25,2.28,2.23,2.25,1.2635,344501.0,0.0,1.0
2004-03-22,2.22,2.25,2.21,2.22,1.2467,411364.0,0.0,1.0
2004-03-23,2.21,2.24,2.21,2.24,1.2579,1176318.0,0.0,1.0
2004-03-24,2.25,2.26,2.21,2.24,1.2579,1087133.0,0.0,1.0
2004-03-25,2.25,2.27,2.25,2.27,1.2748,112318.0,0.0,1.0
2004-03-26,2.27,2.29,2.27,2.29,1.286,173829.0,0.0,1.0
2004-03-29,2.29,2.35,2.29,2.35,1.3197,394300.0,0.0,1.0
2004-03-30,2.36,2.38,2.35,2.38,1.3365,696833.0,0.0,1.0
2004-03-31,2.38,2.4,2.36,2.38,1.3365,1245679.0,0.0,1.0
2004-04-01,2.36,2.39,2.36,2.37,1.3309,184250.0,0.0,1.0
