date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-10-22,2.1734,2.1734,2.1734,2.1734,1.1832,0.0,0.0,1.0
2003-10-23,2.1734,2.2426,2.124,2.2228,1.2101,29212195.0,0.0,1.0
2003-10-24,2.2228,2.2228,2.1734,2.1734,1.1832,8039229.0,0.0,1.0
2003-10-27,2.1734,2.1734,2.1339,2.1339,1.1617,2979769.0,0.0,1.0
2003-10-28,2.124,2.1339,2.0746,2.1043,1.1456,1882587.0,0.0,1.0
2003-10-29,2.0944,2.1043,2.0845,2.0944,1.1402,1658654.0,0.0,1.0
2003-10-30,2.0944,2.1043,2.0944,2.0944,1.1402,1003277.0,0.0,1.0
2003-10-31,2.0944,2.1043,2.0845,2.0944,1.1402,613070.0,0.0,1.0
2003-11-03,2.1141,2.1339,2.1043,2.1339,1.1617,401036.0,0.0,1.0
2003-11-04,2.124,2.1438,2.1141,2.124,1.1563,326003.0,0.0,1.0
2003-11-05,2.1141,2.124,2.0944,2.0944,1.1402,514577.0,0.0,1.0
2003-11-06,2.0944,2.1043,2.0845,2.0845,1.1348,1730927.0,0.0,1.0
2003-11-07,2.0944,2.0944,2.0845,2.0944,1.1402,1151601.0,0.0,1.0
2003-11-10,2.0944,2.1734,2.0944,2.1635,1.1778,701725.0,0.0,1.0
2003-11-11,2.1438,2.1635,2.1339,2.1536,1.1724,487834.0,0.0,1.0
2003-11-12,2.1635,2.1635,2.1438,2.1438,1.1671,535553.0,0.0,1.0
2003-11-13,2.1339,2.1438,2.124,2.1339,1.1617,103556.0,0.0,1.0
2003-11-14,2.1339,2.1438,2.124,2.1339,1.1617,1314877.0,0.0,1.0
2003-11-17,2.124,2.1339,2.124,2.124,1.1563,201938.0,0.0,1.0
2003-11-18,2.124,2.1339,2.124,2.124,1.1563,941627.0,0.0,1.0
2003-11-19,2.124,2.124,2.0845,2.1043,1.1456,163196.0,0.0,1.0
2003-11-20,2.1141,2.124,2.1043,2.1141,1.1509,332941.0,0.0,1.0
2003-11-21,2.1043,2.1141,2.0845,2.0845,1.1348,1163933.0,0.0,1.0
2003-11-24,2.124,2.124,2.0746,2.0746,1.1294,152895.0,0.0,1.0
2003-11-25,2.0845,2.1043,2.0845,2.0944,1.1402,297616.0,0.0,1.0
2003-11-26,2.0944,2.0944,2.045,2.0647,1.124,129265.0,0.0,1.0
2003-11-27,2.0549,2.0647,2.0351,2.0647,1.124,182705.0,0.0,1.0
2003-11-28,2.0549,2.0647,2.0153,2.045,1.1133,911967.0,0.0,1.0
2003-12-01,2.0351,2.0351,1.9561,1.9758,1.0756,2479653.0,0.0,1.0
2003-12-02,1.9758,2.0153,1.9758,1.9956,1.0864,637247.0,0.0,1.0
2003-12-03,2.0055,2.0351,1.9857,2.0153,1.0971,228716.0,0.0,1.0
2003-12-04,2.0252,2.0647,2.0252,2.0549,1.1187,403495.0,0.0,1.0
2003-12-05,2.0746,2.0746,2.0549,2.0549,1.1187,1216318.0,0.0,1.0
2003-12-08,2.0845,2.1043,2.0746,2.0746,1.1294,868232.0,0.0,1.0
2003-12-09,2.0944,2.124,2.0647,2.0746,1.1294,945870.0,0.0,1.0
2003-12-10,2.0845,2.0944,2.0746,2.0746,1.1294,317629.0,0.0,1.0
2003-12-11,2.0845,2.1043,2.0845,2.0845,1.1348,99217.0,0.0,1.0
2003-12-12,2.1043,2.1339,2.1043,2.1043,1.1456,641758.0,0.0,1.0
2003-12-15,2.1339,2.2228,2.1339,2.2228,1.2101,610795.0,0.0,1.0
2003-12-16,2.2228,2.2426,2.1734,2.1734,1.1832,172207.0,0.0,1.0
2003-12-17,2.1734,2.1734,2.1339,2.1536,1.1724,177784.0,0.0,1.0
2003-12-18,2.1734,2.2129,2.1536,2.1734,1.1832,174122.0,0.0,1.0
2003-12-19,2.2129,2.2228,2.2031,2.2031,1.1993,419537.0,0.0,1.0
2003-12-22,2.2031,2.3315,2.2031,2.3018,1.2531,1046443.0,0.0,1.0
2003-12-23,2.3117,2.3414,2.3018,2.3117,1.2585,419337.0,0.0,1.0
2003-12-24,2.3117,2.3117,2.2524,2.2524,1.2262,43981.0,0.0,1.0
2003-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-29,2.2426,2.3216,2.2228,2.2722,1.237,465944.0,0.0,1.0
2003-12-30,2.3018,2.3117,2.2722,2.2722,1.237,119840.0,0.0,1.0
2003-12-31,2.2722,2.292,2.2426,2.2821,1.2424,39174.0,0.0,1.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-02,2.2821,2.2821,2.2722,2.2722,1.237,39873.0,0.0,1.0
2004-01-05,2.292,2.292,2.2722,2.292,1.2477,103808.0,0.0,1.0
2004-01-06,2.3018,2.3315,2.3018,2.3117,1.2585,184677.0,0.0,1.0
2004-01-07,2.3117,2.3117,2.2722,2.2821,1.2424,94760.0,0.0,1.0
2004-01-08,2.2821,2.3018,2.2722,2.2821,1.2424,61788.0,0.0,1.0
2004-01-09,2.292,2.3018,2.2722,2.292,1.2477,135220.0,0.0,1.0
2004-01-12,2.2722,2.3117,2.2623,2.3117,1.2585,96781.0,0.0,1.0
2004-01-13,2.3018,2.3117,2.2722,2.292,1.2477,215818.0,0.0,1.0
2004-01-14,2.3018,2.3018,2.2821,2.3018,1.2531,88941.0,0.0,1.0
2004-01-15,2.3018,2.3117,2.292,2.3018,1.2531,155230.0,0.0,1.0
