date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-04-17,2.41,2.7,2.41,2.7,2.1161,18502724.0,0.0,1.0
2014-04-22,2.7,2.73,2.59,2.6,2.0377,3605748.0,0.0,1.0
2014-04-23,2.6,2.62,2.55,2.57,2.0142,3499961.0,0.0,1.0
2014-04-24,2.57,2.58,2.54,2.56,2.0063,1686587.0,0.0,1.0
2014-04-28,2.55,2.56,2.55,2.56,2.0063,352223.0,0.0,1.0
2014-04-29,2.55,2.62,2.55,2.6,2.0377,1733274.0,0.0,1.0
2014-04-30,2.64,2.65,2.6,2.6,2.0377,2573494.0,0.0,1.0
2014-05-01,2.63,2.63,2.57,2.57,2.0142,788198.0,0.0,1.0
2014-05-02,2.6,2.6,2.49,2.51,1.9672,4895450.0,0.0,1.0
2014-05-05,2.52,2.55,2.5,2.52,1.975,180745.0,0.0,1.0
2014-05-06,2.52,2.56,2.52,2.55,1.9985,1382670.0,0.0,1.0
2014-05-07,2.55,2.6,2.55,2.58,2.022,832458.0,0.0,1.0
2014-05-08,2.58,2.6,2.57,2.58,2.022,466557.0,0.0,1.0
2014-05-09,2.6,2.6,2.58,2.6,2.0377,206759.0,0.0,1.0
2014-05-12,2.59,2.61,2.56,2.59,2.0299,577214.0,0.0,1.0
2014-05-13,2.59,2.64,2.59,2.61,2.0455,604836.0,0.0,1.0
2014-05-14,2.61,2.61,2.61,2.61,2.0455,0.0,0.0,1.0
2014-05-15,2.39,2.49,2.39,2.47,1.9358,11050694.0,0.0,1.0
2014-05-16,2.47,2.48,2.45,2.48,1.9436,1377065.0,0.0,1.0
2014-05-19,2.48,2.48,2.45,2.45,1.9201,615997.0,0.0,1.0
2014-05-20,2.47,2.48,2.45,2.47,1.9358,511191.0,0.0,1.0
2014-05-21,2.48,2.56,2.47,2.56,2.0063,2733628.0,0.0,1.0
2014-05-22,2.6,2.62,2.55,2.6,2.0377,2399588.0,0.0,1.0
2014-05-23,2.64,2.64,2.6,2.64,2.069,750008.0,0.0,1.0
2014-05-26,2.63,2.68,2.61,2.65,2.0769,804355.0,0.0,1.0
2014-05-27,2.66,2.69,2.62,2.66,2.0847,659986.0,0.0,1.0
2014-05-28,2.67,2.75,2.66,2.72,2.1317,509653.0,0.0,1.0
2014-05-29,2.79,2.79,2.7,2.7,2.1161,621999.0,0.0,1.0
2014-05-30,2.7,2.72,2.7,2.7,2.1161,364652.0,0.0,1.0
2014-06-02,2.71,2.72,2.68,2.72,2.1317,1183499.0,0.0,1.0
2014-06-03,2.7,2.7,2.64,2.66,2.0847,308255.0,0.0,1.0
2014-06-04,2.65,2.71,2.62,2.7,2.1161,425686.0,0.0,1.0
2014-06-05,2.68,2.68,2.61,2.61,2.0455,220403.0,0.0,1.0
2014-06-06,2.64,2.66,2.63,2.63,2.0612,9096650.0,0.0,1.0
2014-06-10,2.65,2.7,2.63,2.7,2.1161,497823.0,0.0,1.0
2014-06-11,2.72,2.73,2.62,2.7,2.1161,455491.0,0.0,1.0
2014-06-12,2.69,2.7,2.61,2.61,2.0455,93676.0,0.0,1.0
2014-06-13,2.61,2.69,2.57,2.6,2.0377,191510.0,0.0,1.0
2014-06-16,2.6,2.62,2.59,2.61,2.0455,59504.0,0.0,1.0
2014-06-17,2.61,2.62,2.55,2.57,2.0142,100572.0,0.0,1.0
2014-06-18,2.57,2.65,2.57,2.65,2.0769,264352.0,0.0,1.0
2014-06-19,2.65,2.7,2.62,2.68,2.1004,385130.0,0.0,1.0
2014-06-20,2.68,2.68,2.61,2.65,2.0769,3541655.0,0.0,1.0
2014-06-23,2.65,2.66,2.62,2.66,2.0847,669532.0,0.0,1.0
2014-06-24,2.62,2.65,2.61,2.61,2.0455,158028.0,0.0,1.0
2014-06-25,2.61,2.63,2.54,2.55,1.9985,1958439.0,0.0,1.0
2014-06-26,2.55,2.61,2.45,2.45,1.9201,1173758.0,0.0,1.0
2014-06-27,2.28,2.4,2.25,2.3,1.8026,5150980.0,0.0,1.0
2014-06-30,2.38,2.46,2.32,2.35,1.8418,3115521.0,0.0,1.0
2014-07-01,2.35,2.41,2.31,2.4,1.8809,3965842.0,0.0,1.0
2014-07-02,2.43,2.43,2.36,2.38,1.8653,292698.0,0.0,1.0
2014-07-03,2.39,2.4,2.37,2.38,1.8653,118284.0,0.0,1.0
2014-07-04,2.38,2.45,2.37,2.4,1.8809,978704.0,0.0,1.0
2014-07-07,2.4,2.4,2.38,2.39,1.8731,542935.0,0.0,1.0
2014-07-08,2.41,2.45,2.38,2.4,1.8809,5426714.0,0.0,1.0
2014-07-09,2.4,2.4,2.38,2.39,1.8731,332542.0,0.0,1.0
2014-07-10,2.45,2.45,2.37,2.4,1.8809,358442.0,0.0,1.0
2014-07-11,2.4,2.4,2.38,2.4,1.8809,567872.0,0.0,1.0
2014-07-14,2.41,2.41,2.36,2.37,1.8574,8345707.0,0.0,1.0
2014-07-15,2.4,2.4,2.28,2.31,1.8104,1387049.0,0.0,1.0
2014-07-16,2.29,2.31,2.24,2.25,1.7634,776483.0,0.0,1.0
2014-07-17,2.3,2.33,2.26,2.29,1.7947,658663.0,0.0,1.0
2014-07-18,2.28,2.34,2.28,2.34,1.8339,550838.0,0.0,1.0
2014-07-21,2.32,2.35,2.3,2.35,1.8418,441310.0,0.0,1.0
2014-07-22,2.32,2.35,2.3,2.34,1.8339,221329.0,0.0,1.0
2014-07-23,2.35,2.35,2.3,2.32,1.8182,809279.0,0.0,1.0
2014-07-24,2.33,2.35,2.3,2.31,1.8104,266256.0,0.0,1.0
2014-07-25,2.32,2.34,2.27,2.34,1.8339,615744.0,0.0,1.0
2014-07-28,2.3,2.34,2.28,2.28,1.7869,3306698.0,0.0,1.0
2014-07-29,2.31,2.35,2.31,2.35,1.8418,409288.0,0.0,1.0
2014-07-30,2.35,2.37,2.33,2.33,1.8261,410849.0,0.0,1.0
2014-07-31,2.35,2.37,2.31,2.33,1.8261,2296817.0,0.0,1.0
2014-08-01,2.33,2.34,2.26,2.32,1.8182,439236.0,0.0,1.0
2014-08-04,2.29,2.3,2.26,2.26,1.7712,220910.0,0.0,1.0
2014-08-05,2.27,2.33,2.25,2.33,1.8261,418617.0,0.0,1.0
2014-08-06,2.28,2.33,2.26,2.27,1.7791,375178.0,0.0,1.0
2014-08-07,2.28,2.31,2.25,2.31,1.8104,403703.0,0.0,1.0
2014-08-08,2.26,2.28,2.25,2.27,1.7791,369180.0,0.0,1.0
2014-08-11,2.29,2.34,2.28,2.32,1.8182,413323.0,0.0,1.0
2014-08-12,2.33,2.39,2.3,2.36,1.8496,439228.0,0.0,1.0
2014-08-13,2.35,2.36,2.28,2.29,1.7947,376547.0,0.0,1.0
2014-08-14,2.3,2.31,2.27,2.28,1.7869,431443.0,0.0,1.0
2014-08-15,2.28,2.32,2.27,2.32,1.8182,299184.0,0.0,1.0
2014-08-18,2.3,2.35,2.29,2.3,1.8026,289409.0,0.0,1.0
2014-08-19,2.34,2.34,2.3,2.33,1.8261,1031117.0,0.0,1.0
2014-08-20,2.33,2.35,2.3,2.31,1.8104,178587.0,0.0,1.0
2014-08-21,2.32,2.38,2.3,2.31,1.8104,922515.0,0.0,1.0
2014-08-22,2.32,2.32,2.29,2.31,1.8104,479816.0,0.0,1.0
2014-08-25,2.32,2.32,2.29,2.29,1.7947,702800.0,0.0,1.0
2014-08-26,2.3,2.35,2.295,2.32,1.8182,737501.0,0.0,1.0
2014-08-27,2.33,2.38,2.33,2.33,1.8261,518559.0,0.0,1.0
2014-08-28,2.33,2.37,2.17,2.18,1.7085,1757086.0,0.0,1.0
2014-08-29,2.22,2.29,2.22,2.26,1.7712,2127795.0,0.0,1.0
2014-09-01,2.27,2.27,2.24,2.27,1.7791,2235619.0,0.0,1.0
2014-09-02,2.27,2.285,2.24,2.28,1.7869,389176.0,0.0,1.0
2014-09-03,2.29,2.3,2.25,2.27,1.7791,231388.0,0.0,1.0
2014-09-04,2.26,2.3,2.24,2.26,1.7712,311355.0,0.0,1.0
2014-09-05,2.26,2.26,2.24,2.25,1.7634,243792.0,0.0,1.0
2014-09-08,2.24,2.26,2.23,2.26,1.7712,348551.0,0.0,1.0
2014-09-09,2.25,2.25,2.2,2.21,1.732,380191.0,0.0,1.0
2014-09-10,2.2,2.21,2.17,2.18,1.7085,2397929.0,0.0,1.0
2014-09-11,2.21,2.27,2.195,2.26,1.7712,1156151.0,0.0,1.0
2014-09-12,2.25,2.3,2.25,2.3,1.8026,833364.0,0.0,1.0
2014-09-15,2.26,2.3,2.26,2.3,1.8026,3568572.0,0.0,1.0
2014-09-16,2.27,2.32,2.27,2.3,1.8026,500489.0,0.0,1.0
2014-09-17,2.31,2.32,2.27,2.28,1.7869,1512745.0,0.0,1.0
2014-09-18,2.3,2.34,2.27,2.32,1.8182,688354.0,0.0,1.0
2014-09-19,2.31,2.33,2.3,2.33,1.8261,866448.0,0.0,1.0
2014-09-22,2.28,2.32,2.28,2.32,1.8182,373420.0,0.0,1.0
2014-09-23,2.31,2.34,2.28,2.34,1.8339,341529.0,0.0,1.0
2014-09-24,2.32,2.34,2.3,2.32,1.8182,401079.0,0.0,1.0
2014-09-25,2.32,2.37,2.32,2.37,1.8574,441966.0,0.0,1.0
2014-09-26,2.32,2.39,2.295,2.36,1.8496,684728.0,0.0,1.0
2014-09-29,2.36,2.43,2.36,2.41,1.8888,561219.0,0.0,1.0
2014-09-30,2.4,2.41,2.36,2.38,1.8653,619776.0,0.0,1.0
2014-10-01,2.36,2.43,2.36,2.4,1.8809,473149.0,0.0,1.0
2014-10-02,2.38,2.4,2.34,2.35,1.8418,649429.0,0.0,1.0
2014-10-03,2.33,2.41,2.31,2.37,1.8574,284781.0,0.0,1.0
2014-10-06,2.37,2.42,2.36,2.39,1.8731,250669.0,0.0,1.0
2014-10-07,2.42,2.42,2.35,2.37,1.8574,692144.0,0.0,1.0
2014-10-08,2.32,2.37,2.32,2.36,1.8496,599398.0,0.0,1.0
2014-10-09,2.37,2.39,2.35,2.36,1.8496,726417.0,0.0,1.0
2014-10-10,2.35,2.36,2.32,2.32,1.8182,632041.0,0.0,1.0
2014-10-13,2.28,2.35,2.28,2.35,1.8418,355478.0,0.0,1.0
2014-10-14,2.31,2.36,2.29,2.34,1.8339,454025.0,0.0,1.0
2014-10-15,2.35,2.38,2.31,2.37,1.8574,457226.0,0.0,1.0
2014-10-16,2.37,2.38,2.34,2.36,1.8496,461948.0,0.0,1.0
2014-10-17,2.37,2.39,2.34,2.35,1.8418,400973.0,0.0,1.0
2014-10-20,2.39,2.39,2.37,2.38,1.8653,282435.0,0.0,1.0
2014-10-21,2.39,2.39,2.375,2.38,1.8653,367418.0,0.0,1.0
2014-10-22,2.39,2.41,2.37,2.38,1.8653,722967.0,0.0,1.0
2014-10-23,2.38,2.39,2.38,2.39,1.8731,346048.0,0.0,1.0
2014-10-24,2.39,2.4,2.38,2.4,1.8809,283859.0,0.0,1.0
2014-10-27,2.4,2.5,2.39,2.48,1.9436,989147.0,0.0,1.0
2014-10-28,2.5,2.5,2.44,2.48,1.9436,1018055.0,0.0,1.0
2014-10-29,2.5,2.58,2.46,2.48,1.9436,1082819.0,0.0,1.0
2014-10-30,2.48,2.53,2.46,2.5,1.9593,696384.0,0.0,1.0
2014-10-31,2.52,2.56,2.5,2.56,2.0063,863847.0,0.0,1.0
2014-11-03,2.57,2.6,2.55,2.56,2.0063,784021.0,0.0,1.0
2014-11-04,2.58,2.64,2.575,2.64,2.069,391537.0,0.0,1.0
2014-11-05,2.64,2.64,2.56,2.6,2.0377,1501010.0,0.0,1.0
2014-11-06,2.6,2.62,2.56,2.56,2.0063,1523472.0,0.0,1.0
2014-11-07,2.61,2.62,2.52,2.6,2.0377,1286851.0,0.0,1.0
2014-11-10,2.6,2.6,2.56,2.59,2.0299,691133.0,0.0,1.0
2014-11-11,2.59,2.59,2.55,2.59,2.0299,627912.0,0.0,1.0
2014-11-12,2.55,2.6,2.53,2.55,1.9985,515661.0,0.0,1.0
2014-11-13,2.6,2.6,2.53,2.53,1.9828,663418.0,0.0,1.0
2014-11-14,2.59,2.59,2.48,2.49,1.9515,722627.0,0.0,1.0
2014-11-17,2.5,2.5,2.44,2.47,1.9358,319198.0,0.0,1.0
2014-11-18,2.47,2.495,2.45,2.47,1.9358,158758.0,0.0,1.0
2014-11-19,2.45,2.46,2.33,2.39,1.8731,747370.0,0.0,1.0
2014-11-20,2.47,2.47,2.38,2.38,1.8653,551749.0,0.0,1.0
2014-11-21,2.4,2.4,2.32,2.38,1.8653,386881.0,0.0,1.0
2014-11-24,2.4,2.41,2.34,2.41,1.8888,581539.0,0.0,1.0
2014-11-25,2.38,2.45,2.35,2.37,1.8574,5321526.0,0.0,1.0
2014-11-26,2.44,2.45,2.37,2.4,1.8809,500949.0,0.0,1.0
2014-11-27,2.4,2.4,2.37,2.4,1.8809,379696.0,0.0,1.0
2014-11-28,2.4,2.41,2.38,2.39,1.8731,406922.0,0.0,1.0
2014-12-01,2.39,2.39,2.22,2.24,1.7556,732524.0,0.0,1.0
2014-12-02,2.25,2.28,1.99,2.02,1.5831,2872540.0,0.0,1.0
2014-12-03,2.0,2.1,1.91,1.99,1.5596,4079286.0,0.0,1.0
2014-12-04,2.03,2.04,1.86,1.89,1.4812,2921925.0,0.0,1.0
2014-12-05,1.94,2.03,1.91,1.94,1.5204,5223621.0,0.0,1.0
2014-12-08,1.97,2.13,1.97,2.12,1.6615,2822112.0,0.0,1.0
2014-12-09,2.1,2.1,2.02,2.03,1.591,1422309.0,0.0,1.0
2014-12-10,2.0,2.05,1.98,1.98,1.5518,1489111.0,0.0,1.0
2014-12-11,1.96,2.01,1.96,2.0,1.5675,1159376.0,0.0,1.0
2014-12-12,2.02,2.06,1.96,1.975,1.5479,570527.0,0.0,1.0
2014-12-15,1.97,1.98,1.92,1.945,1.5244,622943.0,0.0,1.0
2014-12-16,1.92,1.92,1.84,1.87,1.4656,2009212.0,0.0,1.0
2014-12-17,1.86,1.925,1.86,1.92,1.5048,1299038.0,0.0,1.0
2014-12-18,1.895,1.965,1.895,1.93,1.5126,1612724.0,0.0,1.0
2014-12-19,1.965,2.04,1.96,2.02,1.5831,5629677.0,0.0,1.0
2014-12-22,2.05,2.08,2.02,2.07,1.6223,1042403.0,0.0,1.0
2014-12-23,2.07,2.08,2.0,2.01,1.5753,346840.0,0.0,1.0
2014-12-24,2.02,2.04,2.01,2.03,1.591,145101.0,0.0,1.0
2014-12-29,2.04,2.08,2.03,2.07,1.6223,496424.0,0.0,1.0
2014-12-30,2.07,2.07,2.03,2.04,1.5988,245299.0,0.0,1.0
2014-12-31,2.05,2.08,2.04,2.06,1.6145,275148.0,0.0,1.0
2015-01-02,2.03,2.08,2.01,2.08,1.6302,79654.0,0.0,1.0
2015-01-05,2.06,2.08,2.0,2.01,1.5753,483287.0,0.0,1.0
2015-01-06,1.975,2.02,1.975,2.0,1.5675,363451.0,0.0,1.0
2015-01-07,2.0,2.01,1.97,1.975,1.5479,525282.0,0.0,1.0
2015-01-08,1.985,2.0,1.92,1.995,1.5635,492806.0,0.0,1.0
